InvoiceMonth,MeatIndustry
2016-11,75
2016-12,52
2017-01,36
2017-02,49
2017-03,43
2017-04,41
2017-05,54
2017-06,51
2017-07,46
2017-08,60
2017-09,50
2017-10,47
