ID,LSOA11CD,POPULATION,CRIMETYPE1,TIMEPERIOD,RT1000POP,NO_INCID
134,E01025126,1935,All Burglary,SEP-2014 to AUG-2015,17,33
139,E01025127,1393,All Burglary,SEP-2014 to AUG-2015,5,7
148,E01025130,2110,All Burglary,SEP-2014 to AUG-2015,9,19
278,E01024891,1646,All Burglary,SEP-2014 to AUG-2015,5,9
901,E01025088,1106,All Burglary,SEP-2014 to AUG-2015,3,3
908,E01025090,1752,All Burglary,SEP-2014 to AUG-2015,3,5
295,E01024895,1341,All Burglary,SEP-2014 to AUG-2015,44,59
360,E01024912,1402,All Burglary,SEP-2014 to AUG-2015,10,14
373,E01024914,1453,All Burglary,SEP-2014 to AUG-2015,16,23
383,E01024915,2314,All Burglary,SEP-2014 to AUG-2015,5,11
391,E01024916,1692,All Burglary,SEP-2014 to AUG-2015,7,11
409,E01024918,1744,All Burglary,SEP-2014 to AUG-2015,2,4
417,E01024919,3044,All Burglary,SEP-2014 to AUG-2015,4,13
425,E01024920,1956,All Burglary,SEP-2014 to AUG-2015,3,6
432,E01024921,2109,All Burglary,SEP-2014 to AUG-2015,8,17
323,E01024903,1287,All Burglary,SEP-2014 to AUG-2015,12,16
345,E01024908,1075,All Burglary,SEP-2014 to AUG-2015,29,31
439,E01024922,1420,All Burglary,SEP-2014 to AUG-2015,6,8
449,E01024923,1219,All Burglary,SEP-2014 to AUG-2015,8,10
456,E01024924,1461,All Burglary,SEP-2014 to AUG-2015,6,9
463,E01024925,1724,All Burglary,SEP-2014 to AUG-2015,11,19
468,E01024926,2031,All Burglary,SEP-2014 to AUG-2015,2,5
498,E01024930,1480,All Burglary,SEP-2014 to AUG-2015,1,2
501,E01024931,1460,All Burglary,SEP-2014 to AUG-2015,5,7
503,E01024932,1026,All Burglary,SEP-2014 to AUG-2015,5,5
510,E01024933,1418,All Burglary,SEP-2014 to AUG-2015,8,11
511,E01024934,1491,All Burglary,SEP-2014 to AUG-2015,3,4
515,E01024935,1414,All Burglary,SEP-2014 to AUG-2015,6,9
521,E01024937,1494,All Burglary,SEP-2014 to AUG-2015,7,11
357,E01024911,1772,All Burglary,SEP-2014 to AUG-2015,7,13
370,E01024913,1333,All Burglary,SEP-2014 to AUG-2015,12,16
523,E01024938,1793,All Burglary,SEP-2014 to AUG-2015,4,7
527,E01024939,1844,All Burglary,SEP-2014 to AUG-2015,4,8
530,E01024940,1719,All Burglary,SEP-2014 to AUG-2015,12,21
537,E01024941,1580,All Burglary,SEP-2014 to AUG-2015,8,12
539,E01024942,1630,All Burglary,SEP-2014 to AUG-2015,6,9
398,E01024917,1693,All Burglary,SEP-2014 to AUG-2015,6,11
474,E01024927,1721,All Burglary,SEP-2014 to AUG-2015,6,10
484,E01024928,1537,All Burglary,SEP-2014 to AUG-2015,4,6
488,E01024929,1366,All Burglary,SEP-2014 to AUG-2015,4,6
519,E01024936,1567,All Burglary,SEP-2014 to AUG-2015,4,6
543,E01024943,2310,All Burglary,SEP-2014 to AUG-2015,2,4
547,E01024944,1841,All Burglary,SEP-2014 to AUG-2015,1,1
553,E01024945,2993,All Burglary,SEP-2014 to AUG-2015,3,9
555,E01024946,1222,All Burglary,SEP-2014 to AUG-2015,2,2
559,E01024947,1359,All Burglary,SEP-2014 to AUG-2015,1,2
563,E01024948,1547,All Burglary,SEP-2014 to AUG-2015,3,4
566,E01024949,2558,All Burglary,SEP-2014 to AUG-2015,0,1
410,E01025545,1892,All Burglary,SEP-2014 to AUG-2015,9,17
418,E01025546,1519,All Burglary,SEP-2014 to AUG-2015,5,8
567,E01024950,1375,All Burglary,SEP-2014 to AUG-2015,7,9
570,E01024951,1197,All Burglary,SEP-2014 to AUG-2015,2,2
573,E01024952,1331,All Burglary,SEP-2014 to AUG-2015,5,6
577,E01024953,1378,All Burglary,SEP-2014 to AUG-2015,4,5
306,E01024899,1646,All Burglary,SEP-2014 to AUG-2015,19,32
311,E01024900,1619,All Burglary,SEP-2014 to AUG-2015,17,27
315,E01024901,1821,All Burglary,SEP-2014 to AUG-2015,13,24
319,E01024902,1530,All Burglary,SEP-2014 to AUG-2015,15,23
638,E01024968,1884,All Burglary,SEP-2014 to AUG-2015,1,1
647,E01024969,1351,All Burglary,SEP-2014 to AUG-2015,4,6
467,E01025000,1299,All Burglary,SEP-2014 to AUG-2015,2,3
614,E01025001,1594,All Burglary,SEP-2014 to AUG-2015,5,8
615,E01025002,1445,All Burglary,SEP-2014 to AUG-2015,8,11
622,E01025003,1632,All Burglary,SEP-2014 to AUG-2015,5,8
630,E01025004,1344,All Burglary,SEP-2014 to AUG-2015,4,6
633,E01025005,1433,All Burglary,SEP-2014 to AUG-2015,4,6
702,E01024976,1575,All Burglary,SEP-2014 to AUG-2015,1,1
727,E01024980,1383,All Burglary,SEP-2014 to AUG-2015,5,7
731,E01024981,1318,All Burglary,SEP-2014 to AUG-2015,3,4
737,E01024982,1388,All Burglary,SEP-2014 to AUG-2015,4,6
740,E01024983,1453,All Burglary,SEP-2014 to AUG-2015,6,9
745,E01024984,1429,All Burglary,SEP-2014 to AUG-2015,11,16
750,E01024985,1380,All Burglary,SEP-2014 to AUG-2015,2,3
753,E01024986,1543,All Burglary,SEP-2014 to AUG-2015,12,19
579,E01024954,1482,All Burglary,SEP-2014 to AUG-2015,3,4
593,E01024958,1342,All Burglary,SEP-2014 to AUG-2015,1,2
595,E01024959,1734,All Burglary,SEP-2014 to AUG-2015,3,6
606,E01024963,1523,All Burglary,SEP-2014 to AUG-2015,1,2
648,E01025009,1446,All Burglary,SEP-2014 to AUG-2015,8,12
654,E01025010,1908,All Burglary,SEP-2014 to AUG-2015,1,1
658,E01025011,1449,All Burglary,SEP-2014 to AUG-2015,2,3
667,E01025012,2013,All Burglary,SEP-2014 to AUG-2015,3,6
672,E01025014,1636,All Burglary,SEP-2014 to AUG-2015,6,10
395,E01024989,1491,All Burglary,SEP-2014 to AUG-2015,10,15
397,E01024990,1591,All Burglary,SEP-2014 to AUG-2015,8,13
407,E01024991,1013,All Burglary,SEP-2014 to AUG-2015,9,9
414,E01024992,1344,All Burglary,SEP-2014 to AUG-2015,1,1
605,E01025367,1773,All Burglary,SEP-2014 to AUG-2015,8,15
613,E01025368,1542,All Burglary,SEP-2014 to AUG-2015,14,21
620,E01025369,1190,All Burglary,SEP-2014 to AUG-2015,30,36
626,E01025370,1205,All Burglary,SEP-2014 to AUG-2015,10,12
634,E01025373,1585,All Burglary,SEP-2014 to AUG-2015,15,23
428,E01024994,1595,All Burglary,SEP-2014 to AUG-2015,6,10
434,E01024995,1425,All Burglary,SEP-2014 to AUG-2015,3,4
441,E01024996,1228,All Burglary,SEP-2014 to AUG-2015,8,10
637,E01025006,1307,All Burglary,SEP-2014 to AUG-2015,5,6
670,E01025013,1714,All Burglary,SEP-2014 to AUG-2015,2,3
705,E01025022,1903,All Burglary,SEP-2014 to AUG-2015,3,6
631,E01025371,1400,All Burglary,SEP-2014 to AUG-2015,4,5
639,E01025374,1448,All Burglary,SEP-2014 to AUG-2015,8,12
674,E01025015,1524,All Burglary,SEP-2014 to AUG-2015,1,2
677,E01025016,2350,All Burglary,SEP-2014 to AUG-2015,1,3
682,E01025017,1414,All Burglary,SEP-2014 to AUG-2015,2,3
686,E01025018,1253,All Burglary,SEP-2014 to AUG-2015,7,9
689,E01025019,1346,All Burglary,SEP-2014 to AUG-2015,6,8
692,E01025020,1328,All Burglary,SEP-2014 to AUG-2015,3,4
699,E01025021,1440,All Burglary,SEP-2014 to AUG-2015,3,4
379,E01024987,1268,All Burglary,SEP-2014 to AUG-2015,18,23
386,E01024988,1603,All Burglary,SEP-2014 to AUG-2015,10,16
694,E01025574,1510,All Burglary,SEP-2014 to AUG-2015,13,19
708,E01025577,1416,All Burglary,SEP-2014 to AUG-2015,1,2
852,E01033224,1023,All Burglary,SEP-2014 to AUG-2015,15,15
892,E01025509,1201,All Burglary,SEP-2014 to AUG-2015,1,1
902,E01025513,2024,All Burglary,SEP-2014 to AUG-2015,4,9
624,E01025556,1525,All Burglary,SEP-2014 to AUG-2015,3,4
713,E01025578,1488,All Burglary,SEP-2014 to AUG-2015,10,15
719,E01025579,1405,All Burglary,SEP-2014 to AUG-2015,9,13
721,E01025580,1303,All Burglary,SEP-2014 to AUG-2015,8,11
743,E01025584,1394,All Burglary,SEP-2014 to AUG-2015,21,29
918,E01025520,1196,All Burglary,SEP-2014 to AUG-2015,9,11
255,E01025526,1679,All Burglary,SEP-2014 to AUG-2015,4,6
725,E01025581,1366,All Burglary,SEP-2014 to AUG-2015,5,7
732,E01025582,1288,All Burglary,SEP-2014 to AUG-2015,16,21
262,E01025527,1422,All Burglary,SEP-2014 to AUG-2015,5,7
266,E01025528,1822,All Burglary,SEP-2014 to AUG-2015,6,11
632,E01025558,1684,All Burglary,SEP-2014 to AUG-2015,3,5
636,E01025559,1855,All Burglary,SEP-2014 to AUG-2015,2,4
736,E01025583,1262,All Burglary,SEP-2014 to AUG-2015,8,10
746,E01025585,2333,All Burglary,SEP-2014 to AUG-2015,9,22
751,E01025586,1554,All Burglary,SEP-2014 to AUG-2015,3,5
757,E01025587,1544,All Burglary,SEP-2014 to AUG-2015,2,3
759,E01025588,1340,All Burglary,SEP-2014 to AUG-2015,6,8
761,E01025589,1237,All Burglary,SEP-2014 to AUG-2015,5,6
764,E01025590,1561,All Burglary,SEP-2014 to AUG-2015,4,6
768,E01025591,1531,All Burglary,SEP-2014 to AUG-2015,1,2
775,E01025593,1773,All Burglary,SEP-2014 to AUG-2015,3,5
778,E01025594,1482,All Burglary,SEP-2014 to AUG-2015,2,3
780,E01025595,1431,All Burglary,SEP-2014 to AUG-2015,1,2
784,E01025596,2073,All Burglary,SEP-2014 to AUG-2015,5,10
790,E01025598,1462,All Burglary,SEP-2014 to AUG-2015,3,5
795,E01025600,1551,All Burglary,SEP-2014 to AUG-2015,8,12
799,E01025601,1396,All Burglary,SEP-2014 to AUG-2015,1,2
805,E01025603,1488,All Burglary,SEP-2014 to AUG-2015,3,5
810,E01025605,1405,All Burglary,SEP-2014 to AUG-2015,5,7
817,E01025608,1626,All Burglary,SEP-2014 to AUG-2015,4,7
821,E01025609,2094,All Burglary,SEP-2014 to AUG-2015,6,12
310,E01025532,1512,All Burglary,SEP-2014 to AUG-2015,4,6
646,E01025561,1495,All Burglary,SEP-2014 to AUG-2015,5,7
652,E01025562,2101,All Burglary,SEP-2014 to AUG-2015,13,27
660,E01025563,1091,All Burglary,SEP-2014 to AUG-2015,5,6
669,E01025565,1521,All Burglary,SEP-2014 to AUG-2015,5,8
671,E01025566,1999,All Burglary,SEP-2014 to AUG-2015,2,4
673,E01025567,1524,All Burglary,SEP-2014 to AUG-2015,6,9
676,E01025568,1710,All Burglary,SEP-2014 to AUG-2015,6,11
679,E01025569,1855,All Burglary,SEP-2014 to AUG-2015,3,5
697,E01025575,1156,All Burglary,SEP-2014 to AUG-2015,17,20
704,E01025576,2332,All Burglary,SEP-2014 to AUG-2015,2,4
771,E01025592,1528,All Burglary,SEP-2014 to AUG-2015,7,11
788,E01025597,1079,All Burglary,SEP-2014 to AUG-2015,4,4
823,E01032485,1757,All Burglary,SEP-2014 to AUG-2015,10,18
830,E01032928,2017,All Burglary,SEP-2014 to AUG-2015,6,12
841,E01033072,2417,All Burglary,SEP-2014 to AUG-2015,7,16
860,E01033231,2883,All Burglary,SEP-2014 to AUG-2015,4,12
864,E01033281,2632,All Burglary,SEP-2014 to AUG-2015,9,23
328,E01025536,1538,All Burglary,SEP-2014 to AUG-2015,7,11
448,E01025550,1506,All Burglary,SEP-2014 to AUG-2015,4,6
793,E01025599,1005,All Burglary,SEP-2014 to AUG-2015,8,8
801,E01025602,1583,All Burglary,SEP-2014 to AUG-2015,1,1
457,E01025551,1310,All Burglary,SEP-2014 to AUG-2015,3,4
627,E01025557,1561,All Burglary,SEP-2014 to AUG-2015,3,4
806,E01025604,1503,All Burglary,SEP-2014 to AUG-2015,8,12
814,E01025606,1254,All Burglary,SEP-2014 to AUG-2015,5,6
640,E01025560,1326,All Burglary,SEP-2014 to AUG-2015,1,1
681,E01025570,1189,All Burglary,SEP-2014 to AUG-2015,23,27
815,E01025607,1578,All Burglary,SEP-2014 to AUG-2015,7,11
826,E01032486,1438,All Burglary,SEP-2014 to AUG-2015,8,12
684,E01025571,1414,All Burglary,SEP-2014 to AUG-2015,5,7
688,E01025572,1403,All Burglary,SEP-2014 to AUG-2015,1,2
832,E01032929,1071,All Burglary,SEP-2014 to AUG-2015,1,1
835,E01033071,1300,All Burglary,SEP-2014 to AUG-2015,40,52
666,E01025564,1621,All Burglary,SEP-2014 to AUG-2015,2,3
691,E01025573,1383,All Burglary,SEP-2014 to AUG-2015,7,9
846,E01033073,1796,All Burglary,SEP-2014 to AUG-2015,14,26
848,E01033223,1445,All Burglary,SEP-2014 to AUG-2015,28,40
366,E01025313,1890,All Burglary,SEP-2014 to AUG-2015,13,24
377,E01025314,2588,All Burglary,SEP-2014 to AUG-2015,14,36
481,E01025335,1399,All Burglary,SEP-2014 to AUG-2015,4,6
485,E01025336,1121,All Burglary,SEP-2014 to AUG-2015,4,4
486,E01025337,1581,All Burglary,SEP-2014 to AUG-2015,1,1
491,E01025338,1621,All Burglary,SEP-2014 to AUG-2015,4,7
492,E01025339,1540,All Burglary,SEP-2014 to AUG-2015,1,2
493,E01025340,1418,All Burglary,SEP-2014 to AUG-2015,8,11
495,E01025341,1175,All Burglary,SEP-2014 to AUG-2015,3,3
499,E01025342,1595,All Burglary,SEP-2014 to AUG-2015,4,6
502,E01025343,1412,All Burglary,SEP-2014 to AUG-2015,4,5
508,E01025345,1477,All Burglary,SEP-2014 to AUG-2015,3,5
512,E01025346,1512,All Burglary,SEP-2014 to AUG-2015,4,6
756,E01025488,2245,All Burglary,SEP-2014 to AUG-2015,6,14
760,E01025489,1351,All Burglary,SEP-2014 to AUG-2015,7,9
497,E01025434,1929,All Burglary,SEP-2014 to AUG-2015,3,5
500,E01025435,1518,All Burglary,SEP-2014 to AUG-2015,4,6
505,E01025436,2216,All Burglary,SEP-2014 to AUG-2015,3,6
509,E01025437,1788,All Burglary,SEP-2014 to AUG-2015,4,8
518,E01025439,1412,All Burglary,SEP-2014 to AUG-2015,2,3
520,E01025440,1411,All Burglary,SEP-2014 to AUG-2015,1,1
433,E01025198,1405,All Burglary,SEP-2014 to AUG-2015,1,2
455,E01025201,1577,All Burglary,SEP-2014 to AUG-2015,3,5
401,E01025194,1405,All Burglary,SEP-2014 to AUG-2015,4,5
405,E01025318,1068,All Burglary,SEP-2014 to AUG-2015,4,4
453,E01025325,1562,All Burglary,SEP-2014 to AUG-2015,8,12
516,E01025347,1644,All Burglary,SEP-2014 to AUG-2015,8,13
526,E01025348,1512,All Burglary,SEP-2014 to AUG-2015,6,9
529,E01025349,1416,All Burglary,SEP-2014 to AUG-2015,5,7
763,E01025490,1696,All Burglary,SEP-2014 to AUG-2015,2,4
769,E01025492,1281,All Burglary,SEP-2014 to AUG-2015,1,1
525,E01025442,1081,All Burglary,SEP-2014 to AUG-2015,8,9
528,E01025443,1341,All Burglary,SEP-2014 to AUG-2015,3,4
228,E01025205,1400,All Burglary,SEP-2014 to AUG-2015,8,11
241,E01025207,1239,All Burglary,SEP-2014 to AUG-2015,13,16
470,E01025328,1242,All Burglary,SEP-2014 to AUG-2015,4,5
910,E01025282,1398,All Burglary,SEP-2014 to AUG-2015,4,6
774,E01025493,1642,All Burglary,SEP-2014 to AUG-2015,9,14
900,E01025512,1264,All Burglary,SEP-2014 to AUG-2015,9,11
904,E01025514,2266,All Burglary,SEP-2014 to AUG-2015,5,12
906,E01025515,1605,All Burglary,SEP-2014 to AUG-2015,7,12
909,E01025516,1492,All Burglary,SEP-2014 to AUG-2015,3,5
912,E01025517,1555,All Burglary,SEP-2014 to AUG-2015,7,11
914,E01025518,1420,All Burglary,SEP-2014 to AUG-2015,7,10
917,E01025519,1251,All Burglary,SEP-2014 to AUG-2015,4,5
225,E01025521,1689,All Burglary,SEP-2014 to AUG-2015,7,12
230,E01025522,1131,All Burglary,SEP-2014 to AUG-2015,5,6
237,E01025523,1685,All Burglary,SEP-2014 to AUG-2015,11,18
245,E01025524,1460,All Burglary,SEP-2014 to AUG-2015,8,12
249,E01025525,1634,All Burglary,SEP-2014 to AUG-2015,4,7
283,E01025529,1859,All Burglary,SEP-2014 to AUG-2015,8,15
531,E01025444,1303,All Burglary,SEP-2014 to AUG-2015,2,3
533,E01025445,1438,All Burglary,SEP-2014 to AUG-2015,10,15
536,E01025446,1475,All Burglary,SEP-2014 to AUG-2015,5,7
542,E01025448,1596,All Burglary,SEP-2014 to AUG-2015,16,26
549,E01025450,1001,All Burglary,SEP-2014 to AUG-2015,5,5
561,E01025453,1674,All Burglary,SEP-2014 to AUG-2015,4,7
246,E01025208,1206,All Burglary,SEP-2014 to AUG-2015,6,7
312,E01025210,1816,All Burglary,SEP-2014 to AUG-2015,13,23
916,E01025283,1723,All Burglary,SEP-2014 to AUG-2015,4,7
920,E01025285,1427,All Burglary,SEP-2014 to AUG-2015,6,8
809,E01025498,1294,All Burglary,SEP-2014 to AUG-2015,2,2
820,E01025499,1376,All Burglary,SEP-2014 to AUG-2015,2,3
307,E01025531,1159,All Burglary,SEP-2014 to AUG-2015,7,8
314,E01025533,1584,All Burglary,SEP-2014 to AUG-2015,2,3
321,E01025534,1735,All Burglary,SEP-2014 to AUG-2015,9,16
327,E01025535,1393,All Burglary,SEP-2014 to AUG-2015,12,17
339,E01025537,1471,All Burglary,SEP-2014 to AUG-2015,15,22
349,E01025538,1524,All Burglary,SEP-2014 to AUG-2015,12,18
355,E01025539,1354,All Burglary,SEP-2014 to AUG-2015,12,16
365,E01025540,1170,All Burglary,SEP-2014 to AUG-2015,7,8
374,E01025541,1722,All Burglary,SEP-2014 to AUG-2015,7,12
387,E01025542,1605,All Burglary,SEP-2014 to AUG-2015,1,2
394,E01025543,1765,All Burglary,SEP-2014 to AUG-2015,3,6
400,E01025544,1545,All Burglary,SEP-2014 to AUG-2015,6,9
540,E01025447,1159,All Burglary,SEP-2014 to AUG-2015,5,6
546,E01025449,982,All Burglary,SEP-2014 to AUG-2015,9,9
335,E01025212,1404,All Burglary,SEP-2014 to AUG-2015,7,10
507,E01025238,1560,All Burglary,SEP-2014 to AUG-2015,3,4
922,E01025287,1966,All Burglary,SEP-2014 to AUG-2015,6,11
924,E01025289,1618,All Burglary,SEP-2014 to AUG-2015,6,10
854,E01025501,1115,All Burglary,SEP-2014 to AUG-2015,1,1
776,E01025494,1532,All Burglary,SEP-2014 to AUG-2015,9,14
867,E01025503,1359,All Burglary,SEP-2014 to AUG-2015,4,5
551,E01025451,1945,All Burglary,SEP-2014 to AUG-2015,4,7
556,E01025452,1726,All Burglary,SEP-2014 to AUG-2015,3,6
569,E01025455,1446,All Burglary,SEP-2014 to AUG-2015,4,6
571,E01025456,1207,All Burglary,SEP-2014 to AUG-2015,6,7
574,E01025457,1420,All Burglary,SEP-2014 to AUG-2015,18,25
150,E01025131,1549,All Burglary,SEP-2014 to AUG-2015,15,23
154,E01025132,1509,All Burglary,SEP-2014 to AUG-2015,5,7
156,E01025133,1435,All Burglary,SEP-2014 to AUG-2015,6,9
160,E01025136,1579,All Burglary,SEP-2014 to AUG-2015,13,21
166,E01025137,1453,All Burglary,SEP-2014 to AUG-2015,6,9
524,E01025241,1590,All Burglary,SEP-2014 to AUG-2015,9,14
534,E01025242,1614,All Burglary,SEP-2014 to AUG-2015,7,11
925,E01025290,1636,All Burglary,SEP-2014 to AUG-2015,20,32
926,E01025291,1317,All Burglary,SEP-2014 to AUG-2015,21,28
869,E01025504,1121,All Burglary,SEP-2014 to AUG-2015,12,14
881,E01025505,1409,All Burglary,SEP-2014 to AUG-2015,4,6
564,E01025454,1294,All Burglary,SEP-2014 to AUG-2015,1,1
168,E01025138,1448,All Burglary,SEP-2014 to AUG-2015,8,11
169,E01025139,1673,All Burglary,SEP-2014 to AUG-2015,41,68
177,E01025141,1454,All Burglary,SEP-2014 to AUG-2015,12,18
180,E01025142,1471,All Burglary,SEP-2014 to AUG-2015,1,1
182,E01025143,1400,All Burglary,SEP-2014 to AUG-2015,6,9
552,E01025244,1685,All Burglary,SEP-2014 to AUG-2015,2,3
560,E01025246,1726,All Burglary,SEP-2014 to AUG-2015,5,9
927,E01025292,3059,All Burglary,SEP-2014 to AUG-2015,5,16
929,E01025294,1873,All Burglary,SEP-2014 to AUG-2015,7,14
532,E01025350,1268,All Burglary,SEP-2014 to AUG-2015,8,10
535,E01025351,2677,All Burglary,SEP-2014 to AUG-2015,5,14
538,E01025352,1495,All Burglary,SEP-2014 to AUG-2015,1,2
541,E01025353,1097,All Burglary,SEP-2014 to AUG-2015,2,2
545,E01025354,1386,All Burglary,SEP-2014 to AUG-2015,4,6
548,E01025355,2278,All Burglary,SEP-2014 to AUG-2015,4,8
554,E01025357,1349,All Burglary,SEP-2014 to AUG-2015,6,8
558,E01025358,2231,All Burglary,SEP-2014 to AUG-2015,5,12
562,E01025359,1611,All Burglary,SEP-2014 to AUG-2015,9,15
565,E01025360,1975,All Burglary,SEP-2014 to AUG-2015,10,19
568,E01025361,2098,All Burglary,SEP-2014 to AUG-2015,6,12
575,E01025362,1997,All Burglary,SEP-2014 to AUG-2015,5,9
584,E01025365,1478,All Burglary,SEP-2014 to AUG-2015,7,11
642,E01025375,1707,All Burglary,SEP-2014 to AUG-2015,6,11
644,E01025376,2239,All Burglary,SEP-2014 to AUG-2015,7,15
174,E01025140,1519,All Burglary,SEP-2014 to AUG-2015,11,17
184,E01025144,2057,All Burglary,SEP-2014 to AUG-2015,12,24
187,E01025145,1460,All Burglary,SEP-2014 to AUG-2015,8,12
192,E01025146,2023,All Burglary,SEP-2014 to AUG-2015,9,19
194,E01025147,1481,All Burglary,SEP-2014 to AUG-2015,17,25
196,E01025148,2046,All Burglary,SEP-2014 to AUG-2015,3,7
199,E01025149,2116,All Burglary,SEP-2014 to AUG-2015,12,25
203,E01025151,1554,All Burglary,SEP-2014 to AUG-2015,14,22
209,E01025153,1231,All Burglary,SEP-2014 to AUG-2015,5,6
212,E01025155,1261,All Burglary,SEP-2014 to AUG-2015,15,19
224,E01025157,1167,All Burglary,SEP-2014 to AUG-2015,5,6
572,E01025247,1712,All Burglary,SEP-2014 to AUG-2015,5,8
581,E01025248,1363,All Burglary,SEP-2014 to AUG-2015,4,6
931,E01025296,1928,All Burglary,SEP-2014 to AUG-2015,7,13
649,E01025377,1439,All Burglary,SEP-2014 to AUG-2015,7,10
659,E01025378,1516,All Burglary,SEP-2014 to AUG-2015,4,6
665,E01025379,1407,All Burglary,SEP-2014 to AUG-2015,4,5
675,E01025380,1455,All Burglary,SEP-2014 to AUG-2015,3,5
680,E01025381,1473,All Burglary,SEP-2014 to AUG-2015,8,12
683,E01025382,1757,All Burglary,SEP-2014 to AUG-2015,9,15
687,E01025383,2387,All Burglary,SEP-2014 to AUG-2015,7,17
693,E01025384,1233,All Burglary,SEP-2014 to AUG-2015,19,23
710,E01025387,1297,All Burglary,SEP-2014 to AUG-2015,8,11
718,E01025388,1511,All Burglary,SEP-2014 to AUG-2015,11,17
729,E01025389,1244,All Burglary,SEP-2014 to AUG-2015,8,10
201,E01025150,1497,All Burglary,SEP-2014 to AUG-2015,7,11
208,E01025152,1517,All Burglary,SEP-2014 to AUG-2015,4,6
229,E01025158,1400,All Burglary,SEP-2014 to AUG-2015,4,5
236,E01025159,1432,All Burglary,SEP-2014 to AUG-2015,5,7
243,E01025161,1106,All Burglary,SEP-2014 to AUG-2015,10,11
259,E01025163,1375,All Burglary,SEP-2014 to AUG-2015,6,8
272,E01025166,1159,All Burglary,SEP-2014 to AUG-2015,5,6
273,E01025167,1224,All Burglary,SEP-2014 to AUG-2015,7,9
279,E01025169,1246,All Burglary,SEP-2014 to AUG-2015,7,9
285,E01025171,1715,All Burglary,SEP-2014 to AUG-2015,16,27
289,E01025172,1520,All Burglary,SEP-2014 to AUG-2015,9,14
296,E01025174,1463,All Burglary,SEP-2014 to AUG-2015,3,5
586,E01025249,1033,All Burglary,SEP-2014 to AUG-2015,7,7
594,E01025251,1484,All Burglary,SEP-2014 to AUG-2015,5,8
599,E01025252,1454,All Burglary,SEP-2014 to AUG-2015,5,7
601,E01025253,1774,All Burglary,SEP-2014 to AUG-2015,7,12
933,E01025298,1639,All Burglary,SEP-2014 to AUG-2015,9,14
936,E01025301,1137,All Burglary,SEP-2014 to AUG-2015,2,2
590,E01025366,1606,All Burglary,SEP-2014 to AUG-2015,10,16
701,E01025385,1258,All Burglary,SEP-2014 to AUG-2015,9,11
734,E01025390,1109,All Burglary,SEP-2014 to AUG-2015,9,10
739,E01025391,1495,All Burglary,SEP-2014 to AUG-2015,7,10
744,E01025392,1212,All Burglary,SEP-2014 to AUG-2015,2,3
749,E01025393,1432,All Burglary,SEP-2014 to AUG-2015,5,7
211,E01025154,1328,All Burglary,SEP-2014 to AUG-2015,17,22
217,E01025156,1139,All Burglary,SEP-2014 to AUG-2015,11,12
301,E01025175,1557,All Burglary,SEP-2014 to AUG-2015,2,3
304,E01025176,2023,All Burglary,SEP-2014 to AUG-2015,10,20
308,E01025177,1778,All Burglary,SEP-2014 to AUG-2015,2,3
313,E01025178,1802,All Burglary,SEP-2014 to AUG-2015,8,14
317,E01025179,1571,All Burglary,SEP-2014 to AUG-2015,8,13
320,E01025180,1917,All Burglary,SEP-2014 to AUG-2015,10,19
325,E01025181,1582,All Burglary,SEP-2014 to AUG-2015,4,7
329,E01025182,1625,All Burglary,SEP-2014 to AUG-2015,7,11
334,E01025183,1647,All Burglary,SEP-2014 to AUG-2015,11,18
344,E01025185,2015,All Burglary,SEP-2014 to AUG-2015,11,22
351,E01025186,1460,All Burglary,SEP-2014 to AUG-2015,12,17
354,E01025187,1433,All Burglary,SEP-2014 to AUG-2015,6,9
604,E01025254,1196,All Burglary,SEP-2014 to AUG-2015,13,15
607,E01025255,1613,All Burglary,SEP-2014 to AUG-2015,13,21
612,E01025256,1527,All Burglary,SEP-2014 to AUG-2015,4,6
617,E01025257,1341,All Burglary,SEP-2014 to AUG-2015,5,7
623,E01025258,1490,All Burglary,SEP-2014 to AUG-2015,7,10
653,E01025259,2054,All Burglary,SEP-2014 to AUG-2015,4,9
664,E01025261,1400,All Burglary,SEP-2014 to AUG-2015,3,4
717,E01025267,1446,All Burglary,SEP-2014 to AUG-2015,6,9
755,E01025268,1697,All Burglary,SEP-2014 to AUG-2015,5,8
770,E01025269,1689,All Burglary,SEP-2014 to AUG-2015,9,15
781,E01025270,1603,All Burglary,SEP-2014 to AUG-2015,7,11
792,E01025271,1578,All Burglary,SEP-2014 to AUG-2015,4,7
808,E01025272,1556,All Burglary,SEP-2014 to AUG-2015,4,6
839,E01025275,1626,All Burglary,SEP-2014 to AUG-2015,15,25
847,E01025277,1731,All Burglary,SEP-2014 to AUG-2015,8,14
857,E01025278,2533,All Burglary,SEP-2014 to AUG-2015,8,21
939,E01025304,1864,All Burglary,SEP-2014 to AUG-2015,6,12
476,E01025332,1039,All Burglary,SEP-2014 to AUG-2015,4,4
782,E01025394,1544,All Burglary,SEP-2014 to AUG-2015,3,4
786,E01025395,1547,All Burglary,SEP-2014 to AUG-2015,13,20
791,E01025396,1393,All Burglary,SEP-2014 to AUG-2015,4,6
812,E01025397,1745,All Burglary,SEP-2014 to AUG-2015,21,36
824,E01025398,1434,All Burglary,SEP-2014 to AUG-2015,6,8
828,E01025399,1553,All Burglary,SEP-2014 to AUG-2015,7,11
833,E01025400,1878,All Burglary,SEP-2014 to AUG-2015,6,11
837,E01025401,1512,All Burglary,SEP-2014 to AUG-2015,4,6
