ID,LSOA11CD,POPULATION,CRIMETYPE1,TIMEPERIOD,RT1000POP,NO_INCID
419,E01025222,1495,All Burglary,SEP-2014 to AUG-2015,8,12
445,E01025226,1545,All Burglary,SEP-2014 to AUG-2015,19,30
459,E01025228,1557,All Burglary,SEP-2014 to AUG-2015,17,27
4,E01012681,1636,All Burglary,SEP-2014 to AUG-2015,48,79
5,E01012682,1455,All Burglary,SEP-2014 to AUG-2015,15,22
6,E01012683,1446,All Burglary,SEP-2014 to AUG-2015,11,16
7,E01012684,1485,All Burglary,SEP-2014 to AUG-2015,15,23
8,E01012685,1517,All Burglary,SEP-2014 to AUG-2015,7,11
9,E01012686,1501,All Burglary,SEP-2014 to AUG-2015,3,4
10,E01012687,1448,All Burglary,SEP-2014 to AUG-2015,3,5
11,E01012688,1229,All Burglary,SEP-2014 to AUG-2015,11,13
12,E01012689,1274,All Burglary,SEP-2014 to AUG-2015,7,9
15,E01012692,1730,All Burglary,SEP-2014 to AUG-2015,3,6
16,E01012693,1553,All Burglary,SEP-2014 to AUG-2015,6,9
18,E01012695,1416,All Burglary,SEP-2014 to AUG-2015,6,9
19,E01012696,1514,All Burglary,SEP-2014 to AUG-2015,5,7
28,E01012701,1469,All Burglary,SEP-2014 to AUG-2015,8,12
29,E01012702,1454,All Burglary,SEP-2014 to AUG-2015,2,3
30,E01012703,1536,All Burglary,SEP-2014 to AUG-2015,5,8
13,E01012690,1703,All Burglary,SEP-2014 to AUG-2015,5,8
14,E01012691,1912,All Burglary,SEP-2014 to AUG-2015,4,7
36,E01012707,1183,All Burglary,SEP-2014 to AUG-2015,10,12
37,E01012708,1398,All Burglary,SEP-2014 to AUG-2015,9,13
42,E01012709,1579,All Burglary,SEP-2014 to AUG-2015,6,10
17,E01012694,1364,All Burglary,SEP-2014 to AUG-2015,5,7
20,E01012697,1371,All Burglary,SEP-2014 to AUG-2015,6,8
23,E01012698,1549,All Burglary,SEP-2014 to AUG-2015,5,7
25,E01012699,1741,All Burglary,SEP-2014 to AUG-2015,5,8
26,E01012700,1862,All Burglary,SEP-2014 to AUG-2015,3,6
31,E01012704,2008,All Burglary,SEP-2014 to AUG-2015,9,19
34,E01012575,1259,All Burglary,SEP-2014 to AUG-2015,13,16
38,E01012576,1634,All Burglary,SEP-2014 to AUG-2015,11,18
40,E01012577,1929,All Burglary,SEP-2014 to AUG-2015,4,8
41,E01012578,2001,All Burglary,SEP-2014 to AUG-2015,6,12
44,E01012579,1690,All Burglary,SEP-2014 to AUG-2015,5,9
46,E01012580,2165,All Burglary,SEP-2014 to AUG-2015,2,5
48,E01012581,1232,All Burglary,SEP-2014 to AUG-2015,4,5
51,E01012582,1639,All Burglary,SEP-2014 to AUG-2015,4,6
52,E01012583,1654,All Burglary,SEP-2014 to AUG-2015,1,2
56,E01012584,1500,All Burglary,SEP-2014 to AUG-2015,8,12
64,E01012587,1993,All Burglary,SEP-2014 to AUG-2015,7,14
127,E01012606,1698,All Burglary,SEP-2014 to AUG-2015,8,13
135,E01012607,1489,All Burglary,SEP-2014 to AUG-2015,5,7
141,E01012609,1558,All Burglary,SEP-2014 to AUG-2015,4,6
149,E01012611,1059,All Burglary,SEP-2014 to AUG-2015,5,5
153,E01012612,1383,All Burglary,SEP-2014 to AUG-2015,4,6
58,E01012585,1631,All Burglary,SEP-2014 to AUG-2015,5,8
61,E01012586,1585,All Burglary,SEP-2014 to AUG-2015,5,8
106,E01012730,1652,All Burglary,SEP-2014 to AUG-2015,6,10
111,E01012731,1601,All Burglary,SEP-2014 to AUG-2015,3,5
113,E01012732,1703,All Burglary,SEP-2014 to AUG-2015,3,5
125,E01012738,1281,All Burglary,SEP-2014 to AUG-2015,9,12
129,E01012740,1516,All Burglary,SEP-2014 to AUG-2015,16,25
151,E01012750,1743,All Burglary,SEP-2014 to AUG-2015,7,13
67,E01012588,2075,All Burglary,SEP-2014 to AUG-2015,2,4
70,E01012589,1431,All Burglary,SEP-2014 to AUG-2015,13,19
54,E01012710,1276,All Burglary,SEP-2014 to AUG-2015,8,10
57,E01012711,1373,All Burglary,SEP-2014 to AUG-2015,9,12
21,E01012571,1529,All Burglary,SEP-2014 to AUG-2015,6,9
22,E01012572,1545,All Burglary,SEP-2014 to AUG-2015,8,12
24,E01012573,1759,All Burglary,SEP-2014 to AUG-2015,4,7
27,E01012574,1433,All Burglary,SEP-2014 to AUG-2015,1,1
94,E01012596,1853,All Burglary,SEP-2014 to AUG-2015,16,30
97,E01012597,1772,All Burglary,SEP-2014 to AUG-2015,3,6
100,E01012598,3019,All Burglary,SEP-2014 to AUG-2015,2,5
103,E01012599,1187,All Burglary,SEP-2014 to AUG-2015,8,10
107,E01012600,1439,All Burglary,SEP-2014 to AUG-2015,6,8
