OrganisationNameLabel,OrganisationURI,EffectiveDate,PaymentDate,Directorate/ServiceWhereExpenditureIncurred,ServiceCategoryLabel,ServiceCategoryURI,Supplier,NetAmount,IrrecoverableVAT,PurposeOfExpenditure,ProcurementClassification:ProclassLabel,ProcrementClassification:ProClassCode
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,04/08/2017,12/06/2017,Housing Standards,Housing Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/108,Amazon,22.99,0,1 x 8 pack clear risers,Office Furniture,211200
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,04/08/2017,27/06/2017,Housing Standards,Housing Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/108,Argos,57.5,11.5,1 x camera ,Office & Reprographics Equipment,271400
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,04/08/2017,19/06/2017,"Noise, Air and Water Pollution",Cultural Environmental Regulatory & Planning Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/104,CIEH Ltd,23,0,2 x Prosecution reference books,Training & Conferences,261500
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,04/08/2017,03/06/2017,ICT Group,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,Amazon,0,0,3M 10 gang plug extensions x 2 (non vat company),Consumables,271100
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,04/08/2017,07/06/2017,Cemeteries Office,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,Amazon,30.86,0,Adjustable Footrest,Consumables,271100
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,04/08/2017,27/06/2016,Economic Development,Cultural Environmental Regulatory & Planning Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/104,Cumb Chamber of Commerce,50.3,0,Attendance at Cumbria Chamber of Commerce event,Events,291000
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,04/08/2017,16/06/2017,Kendal Town Hall,Cultural Environmental Regulatory & Planning Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/104,Home Bargains ,2.08,0,Biscuits for KTH,Food & Beverages,111200
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,04/08/2017,16/06/2017,Kendal Town Hall,Cultural Environmental Regulatory & Planning Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/104,Poundland,3.34,0,Biscuits for KTH,Food & Beverages,111200
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,04/08/2017,16/06/2017,Kendal Town Hall,Cultural Environmental Regulatory & Planning Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/104,Poundland,6,0,Biscuits for KTH,Food & Beverages,111200
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,04/08/2017,06/06/2017,"Noise, Air and Water Pollution",Cultural Environmental Regulatory & Planning Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/104,Amazon,21.96,0,Bluetooth keyboard,Consumables,271100
