post_date,Category,Spend,Number of Transactions
01/05/2014,Travel/Airlines," £1,551.20 ",1
01/05/2014,Travel/Airlines, £971.20 ,1
01/05/2014,Travel/Airlines," £2,213.95 ",1
01/05/2014,Travel/Airlines," £(1,520.60)",1
01/05/2014,Electrical Parts/Equipment," £1,291.62 ",1
01/05/2014,Electrical Parts/Equipment," £1,237.49 ",1
01/05/2014,Electrical Parts/Equipment, £790.12 ,1
01/05/2014,Electrical Parts/Equipment, £530.88 ,1
01/05/2014,Electrical Parts/Equipment, £640.22 ,1
01/05/2014,Electrical Parts/Equipment, £640.22 ,1
01/05/2014,Industrial Supplies ," £1,344.00 ",1
01/05/2014,Lumber/Build. Supply Stores," £1,892.40 ",1
01/05/2014,Electrical Parts/Equipment, £867.60 ,1
01/05/2014,Travel/Airlines," £2,115.09 ",1
01/05/2014,Computer Software Stores, £958.59 ,1
01/05/2014,Electrical Parts/Equipment," £1,227.23 ",1
01/05/2014,Electrical Parts/Equipment," £1,171.20 ",1
01/05/2014,Furniture/Equip Stores, £513.07 ,1
01/05/2014,Travel/Airlines," £3,494.45 ",1
01/05/2014,Travel/Airlines, £760.70 ,1
01/05/2014,Travel/Airlines, £875.95 ,1
01/05/2014,Car Hire, £545.40 ,1
01/05/2014,Vehicle Accessories," £2,014.72 ",1
02/05/2014,Travel/Airlines," £1,229.62 ",1
02/05/2014,Computer Software Stores, £916.13 ,1
02/05/2014,Car Hire, £848.20 ,1
02/05/2014,Catering," £1,591.71 ",1
02/05/2014,Hotels, £900.00 ,1
02/05/2014,Travel/Airlines," £3,193.31 ",1
02/05/2014,Travel/Airlines, £813.20 ,1
02/05/2014,Travel/Airlines, £878.60 ,1
02/05/2014,Travel/Airlines, £599.70 ,1
02/05/2014,Travel/Airlines," £3,712.55 ",1
02/05/2014,Travel/Airlines, £636.80 ,1
02/05/2014,Travel/Airlines, £652.04 ,1
02/05/2014,Travel/Airlines," £1,071.74 ",1
02/05/2014,Travel/Airlines, £909.70 ,1
02/05/2014,Hotels, £912.06 ,1
02/05/2014,Computer Software Stores, £962.86 ,1
02/05/2014,Electrical Parts/Equipment, £637.50 ,1
02/05/2014,Electrical Parts/Equipment," £1,080.46 ",1
02/05/2014,Electrical Parts/Equipment," £1,596.00 ",1
02/05/2014,Travel/Airlines, £766.99 ,1
02/05/2014,Travel/Airlines," £4,560.95 ",1
02/05/2014,Travel/Airlines," £1,107.90 ",1
02/05/2014,Travel/Airlines," £1,107.90 ",1
02/05/2014,Travel/Airlines," £(3,493.03)",1
02/05/2014,Computer Program/Sys Design, £537.98 ,1
02/05/2014,Computer Program/Sys Design," £1,356.14 ",1
02/05/2014,Computer Program/Sys Design," £1,392.55 ",1
02/05/2014,Stationery Stores, £534.72 ,1
05/05/2014,Computer Program/Sys Design," £16,859.64 ",1
05/05/2014,Computer Program/Sys Design, £595.86 ,1
05/05/2014,Hotels," £1,133.51 ",1
05/05/2014,Travel/Airlines," £3,295.95 ",1
05/05/2014,Travel/Airlines," £4,866.00 ",1
05/05/2014,Travel/Airlines," £3,839.45 ",1
05/05/2014,Travel/Airlines," £5,094.00 ",1
05/05/2014,Travel/Airlines," £1,958.35 ",1
05/05/2014,Travel/Airlines," £1,697.75 ",1
05/05/2014,Travel/Airlines," £2,365.45 ",1
05/05/2014,Lumber/Build. Supply Stores, £699.44 ,1
05/05/2014,Furniture/Equip Stores," £1,026.04 ",1
05/05/2014,Catalog Merchant, £547.39 ,1
05/05/2014,Travel/Airlines, £544.68 ,1
05/05/2014,Computer Software Stores, £714.12 ,1
05/05/2014,Industrial Supplies ," £1,311.03 ",1
05/05/2014,Hotels, £696.70 ,1
05/05/2014,Electrical Parts/Equipment," £1,192.80 ",1
05/05/2014,Lumber/Build. Supply Stores," £1,224.00 ",1
05/05/2014,Travel/Airlines," £1,509.63 ",1
05/05/2014,Travel/Airlines," £1,083.05 ",1
05/05/2014,Travel/Airlines," £(5,576.55)",1
05/05/2014,Computers/Peripherals/Software, £803.22 ,1
05/05/2014,Commercial Equipment, £797.65 ,1
05/05/2014,Direct Marketers," £2,569.59 ",1
05/05/2014,Hotels," £1,387.74 ",1
05/05/2014,Hotels," £1,513.58 ",1
05/05/2014,Hotels, £546.10 ,1
05/05/2014,Electrical Parts/Equipment, £690.00 ,1
05/05/2014,Hotels, £617.68 ,1
05/05/2014,Hotels, £534.42 ,1
05/05/2014,Hotels," £4,013.20 ",1
05/05/2014,Hotels," £1,618.39 ",1
05/05/2014,Travel/Airlines," £1,700.08 ",1
05/05/2014,Hotels," £1,671.22 ",1
05/05/2014,Travel/Airlines, £561.58 ,1
05/05/2014,Travel/Airlines, £561.58 ,1
05/05/2014,Computer Software Stores, £688.10 ,1
05/05/2014,Travel/Airlines, £(505.64),1
05/05/2014,Hotels, £562.89 ,1
05/05/2014,Hotels," £1,337.15 ",1
06/05/2014,Hotels," £3,039.57 ",1
06/05/2014,Travel/Airlines, £962.57 ,1
06/05/2014,Travel/Airlines, £809.24 ,1
06/05/2014,Travel/Airlines, £749.35 ,1
06/05/2014,Hotels, £810.11 ,1
06/05/2014,Hotels, £599.29 ,1
06/05/2014,Hotels," £2,195.36 ",1
06/05/2014,Hotels," £1,653.24 ",1
06/05/2014,Travel/Airlines, £874.75 ,1
06/05/2014,Travel/Airlines, £770.27 ,1
06/05/2014,Travel/Airlines," £4,577.00 ",1
06/05/2014,Travel/Airlines, £743.94 ,1
06/05/2014,Hotels," £1,990.49 ",1
06/05/2014,Travel/Airlines," £1,457.55 ",1
06/05/2014,Travel/Airlines," £3,589.95 ",1
06/05/2014,Travel/Airlines," £2,304.75 ",1
07/05/2014,Travel/Airlines," £2,339.45 ",1
07/05/2014,Travel/Airlines," £(3,692.00)",1
07/05/2014,Electrical Parts/Equipment, £938.92 ,1
07/05/2014,Lumber/Build. Supply Stores, £754.90 ,1
07/05/2014,Hardware Stores, £595.15 ,1
07/05/2014,Training, £790.00 ,1
07/05/2014,Training, £768.00 ,1
07/05/2014,Hotels," £2,746.73 ",1
07/05/2014,Computer Program/Sys Design, £611.55 ,1
07/05/2014,Travel/Airlines," £3,503.14 ",1
07/05/2014,Travel/Airlines," £3,503.14 ",1
07/05/2014,Travel/Airlines," £1,369.49 ",1
07/05/2014,Travel/Airlines," £3,503.14 ",1
07/05/2014,Travel/Airlines," £1,369.49 ",1
07/05/2014,Travel/Airlines," £2,745.89 ",1
07/05/2014,Travel/Airlines, £650.34 ,1
07/05/2014,Travel/Airlines," £1,530.30 ",1
07/05/2014,Travel/Airlines," £(1,730.00)",1
07/05/2014,Hotels, £902.59 ,1
07/05/2014,Travel/Airlines, £613.89 ,1
07/05/2014,Hotels, £844.19 ,1
07/05/2014,Travel/Airlines, £579.10 ,1
07/05/2014,Training, £540.00 ,1
07/05/2014,Travel/Airlines, £558.29 ,1
08/05/2014,Travel/Airlines," £4,620.45 ",1
08/05/2014,Hotels, £904.00 ,1
08/05/2014,Travel/Airlines, £953.78 ,1
08/05/2014,Catalog Merchant, £924.12 ,1
08/05/2014,Travel/Airlines," £1,446.95 ",1
08/05/2014,Travel/Airlines," £1,081.68 ",1
08/05/2014,Travel/Airlines," £2,994.66 ",1
08/05/2014,Travel/Airlines," £1,878.35 ",1
08/05/2014,Travel/Airlines, £823.40 ,1
08/05/2014,Travel/Airlines," £(2,337.28)",1
08/05/2014,Travel/Airlines," £(2,337.28)",1
08/05/2014,Travel/Airlines," £(2,337.28)",1
08/05/2014,Computers/Peripherals/Software," £1,303.20 ",1
08/05/2014,Travel/Airlines, £689.60 ,1
08/05/2014,Industrial Supplies , £504.00 ,1
08/05/2014,Hotels," £1,912.62 ",1
08/05/2014,Travel/Airlines," £3,153.41 ",1
08/05/2014,Travel/Airlines," £1,090.20 ",1
08/05/2014,Travel/Airlines," £1,090.20 ",1
08/05/2014,Travel/Airlines," £3,807.95 ",1
08/05/2014,Travel/Airlines," £(1,099.40)",1
08/05/2014,Travel/Airlines," £(1,099.40)",1
08/05/2014,Travel/Airlines, £(911.20),1
08/05/2014,Travel/Airlines," £(1,432.30)",1
08/05/2014,Travel/Airlines," £(3,884.05)",1
08/05/2014,Electrical Parts/Equipment," £1,170.00 ",1
08/05/2014,Hardware Stores, £679.30 ,1
09/05/2014,Stationery Stores," £1,152.48 ",1
09/05/2014,Stationery Stores," £1,820.11 ",1
09/05/2014,Electrical Parts/Equipment, £682.80 ,1
09/05/2014,Business Services, £653.52 ,1
09/05/2014,Computers/Peripherals/Software," £1,400.00 ",1
09/05/2014,Travel/Airlines, £511.70 ,1
09/05/2014,Travel/Airlines," £3,754.25 ",1
09/05/2014,Travel/Airlines," £2,222.60 ",1
09/05/2014,Travel/Airlines, £797.40 ,1
09/05/2014,Travel/Airlines, £797.40 ,1
09/05/2014,Travel/Airlines, £797.40 ,1
09/05/2014,Travel/Airlines," £(1,016.30)",1
09/05/2014,Travel/Airlines, £(554.30),1
09/05/2014,Travel/Airlines," £(3,754.25)",1
09/05/2014,Travel/Airlines," £(1,223.50)",1
09/05/2014,Travel/Airlines, £(801.60),1
09/05/2014,Travel/Airlines, £(801.60),1
09/05/2014,Travel/Airlines, £(801.60),1
09/05/2014,Travel/Airlines, £(801.60),1
09/05/2014,Travel/Airlines," £(2,850.10)",1
09/05/2014,Architectural/Eng/Survey," £1,020.94 ",1
09/05/2014,Travel/Airlines, £974.85 ,1
09/05/2014,Hardware Stores, £927.52 ,1
09/05/2014,Travel/Airlines," £2,077.17 ",1
09/05/2014,Travel/Airlines," £2,077.17 ",1
09/05/2014,Travel/Airlines, £786.90 ,1
09/05/2014,Travel/Airlines, £701.29 ,1
09/05/2014,Travel/Airlines, £822.95 ,1
09/05/2014,Travel/Airlines, £822.95 ,1
09/05/2014,Travel/Airlines," £4,433.25 ",1
09/05/2014,Travel/Airlines," £1,783.45 ",1
09/05/2014,Travel/Airlines," £1,515.84 ",1
09/05/2014,Travel/Airlines, £536.90 ,1
09/05/2014,Travel/Airlines, £536.90 ,1
09/05/2014,Electrical Parts/Equipment, £592.80 ,1
09/05/2014,Travel/Airlines," £4,695.56 ",1
09/05/2014,Travel/Airlines," £1,672.40 ",1
09/05/2014,Travel/Airlines, £623.10 ,1
09/05/2014,Travel/Airlines, £615.55 ,1
09/05/2014,Travel/Airlines," £3,503.48 ",1
09/05/2014,Car Hire, £512.60 ,1
09/05/2014,Electrical Parts/Equipment, £698.75 ,1
09/05/2014,Travel/Airlines," £1,527.59 ",1
12/05/2014,Computers/Peripherals/Software, £642.24 ,1
12/05/2014,Direct Marketers," £1,247.55 ",1
12/05/2014,Hotels," £1,059.95 ",1
12/05/2014,Hotels, £800.57 ,1
12/05/2014,Catering, £534.99 ,1
12/05/2014,Training," £1,360.80 ",1
12/05/2014,Hotels, £529.90 ,1
12/05/2014,Travel/Airlines, £909.29 ,1
12/05/2014,Hotels," £1,728.50 ",1
12/05/2014,Hotels, £747.73 ,1
12/05/2014,Travel/Airlines, £629.30 ,1
12/05/2014,Travel/Airlines, £654.89 ,1
12/05/2014,Travel/Airlines, £654.89 ,1
12/05/2014,Travel/Airlines, £712.45 ,1
12/05/2014,Travel/Airlines, £712.45 ,1
12/05/2014,Travel/Airlines, £659.59 ,1
12/05/2014,Travel/Airlines," £2,054.25 ",1
12/05/2014,Travel/Airlines, £851.13 ,1
12/05/2014,Hotels, £703.19 ,1
12/05/2014,Hotels, £798.14 ,1
12/05/2014,Construction Materials, £503.56 ,1
12/05/2014,Hardware Stores," £1,060.37 ",1
12/05/2014,Hotels," £1,108.40 ",1
12/05/2014,Travel/Airlines, £775.98 ,1
12/05/2014,Travel/Airlines," £1,955.92 ",1
12/05/2014,Travel/Airlines," £3,233.95 ",1
12/05/2014,Travel/Airlines," £(3,760.55)",1
12/05/2014,Computer Software Stores," £1,439.70 ",1
12/05/2014,Lumber/Build. Supply Stores," £1,436.52 ",1
12/05/2014,Electrical Parts/Equipment," £1,839.04 ",1
12/05/2014,Electrical Parts/Equipment," £1,756.80 ",1
12/05/2014,Electrical Parts/Equipment," £1,296.26 ",1
12/05/2014,Electrical Parts/Equipment," £1,032.64 ",1
12/05/2014,Lumber/Build. Supply Stores," £1,955.58 ",1
12/05/2014,Hardware Stores," £1,300.67 ",1
13/05/2014,Hardware Stores," £1,628.04 ",1
13/05/2014,Computer Software Stores," £1,188.00 ",1
13/05/2014,Computers/Peripherals/Software," £1,152.00 ",1
13/05/2014,Stationery/Office Supplies," £1,030.00 ",1
13/05/2014,Travel/Airlines," £(3,233.95)",1
13/05/2014,Computer Program/Sys Design," £29,800.32 ",1
13/05/2014,Computer Program/Sys Design," £1,483.53 ",1
13/05/2014,Travel/Airlines," £4,462.00 ",1
13/05/2014,Travel/Airlines," £2,883.67 ",1
13/05/2014,Electrical Parts/Equipment," £1,098.00 ",1
13/05/2014,Professional Services ," £1,434.00 ",1
13/05/2014,Hardware Stores," £1,066.10 ",1
13/05/2014,Furniture/Equip Stores, £595.69 ,1
13/05/2014,Professional Services , £528.00 ,1
13/05/2014,Professional Services ," £1,032.00 ",1
13/05/2014,Hotels, £665.00 ,1
13/05/2014,Travel/Airlines," £(2,441.40)",1
13/05/2014,Hotels," £4,549.60 ",1
13/05/2014,Diy & Household Stores," £(1,349.60)",1
13/05/2014,Hotels, £821.59 ,1
13/05/2014,Hotels," £4,369.84 ",1
13/05/2014,Hotels," £4,277.55 ",1
13/05/2014,Travel/Airlines, £947.35 ,1
14/05/2014,Electrical Parts/Equipment," £7,913.13 ",1
14/05/2014,Travel/Airlines, £989.01 ,1
14/05/2014,Electrical Parts/Equipment, £922.50 ,1
14/05/2014,Diy & Household Stores," £(1,349.60)",1
14/05/2014,Travel/Airlines," £2,029.30 ",1
14/05/2014,Travel/Airlines," £1,186.14 ",1
14/05/2014,Hotels, £510.02 ,1
14/05/2014,Misc Publishing & Printing, £649.09 ,1
14/05/2014,Hotels," £2,517.19 ",1
14/05/2014,Computers/Peripherals/Software," £1,400.00 ",1
14/05/2014,Travel/Airlines," £(2,944.00)",1
14/05/2014,Computer Software Stores," £1,442.16 ",1
14/05/2014,Lumber/Build. Supply Stores, £852.14 ,1
15/05/2014,Hardware Stores, £616.48 ,1
15/05/2014,Electrical Parts/Equipment," £1,319.56 ",1
15/05/2014,Commercial Equipment, £652.80 ,1
15/05/2014,Travel/Airlines, £602.50 ,1
