Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Department for Education,Ministerial Department,Department for Education,106,99.72,585,563.16,1132,1091.47,796,761.99,119,113.43,,,2738,2629.77,30,19.76,3,3,122,121.6,,,155,144.36,2893,2774.13,9133506.68,,,27936.05,1953031.24,1010753.66,12125227.63,1338473.13,363745.61,1702218.74,13827446.37,"Please note we are unable to split the contingent labour by interims or specialist contractors with regards to the departments preferred frameworks. Consultants/Consultancy cannot be measured in HC or FTE.  In previous monthly workforce MI returns, only Hays agency staff were recorded.  From April 2012 onwards, agency staff from both Reed and Hays will be recorded and from May 2014 Brook Street information will be recorded."
Education Funding Agency ,Executive Agency,Department for Education,26,24.16,155,150.13,337,322.32,416,407.11,29,28.89,,,963,932.61,22,22,0,0,214,205,0,0,236,227,1199,1159.61,2745282.7,,,223.1,743417.44,386968.65,3875891.89,786040.43,,786040.43,4661932.32,
National College for Teaching and Leadership,Executive Agency,Department for Education,19,19,87,83.5,138,128.06,61,57.89,6,6,,,311,294.45,9,8.6,,,,,,,9,8.6,320,303.05,916394.16,,,1309.51,186800.24,94707.46,1199211.37,45454.97,,45454.97,1244666.34,
Standards and Testing Agency,Executive Agency,Department for Education,0,0,21,20.97,70,68.22,25,24.51,2,1.92,,,118,115.62,1,1,,,8,2.05,2,0.29,11,3.34,129,118.96,388022.14,,,461.32,81971.65,41809.1,512264.21,1207.46,10323.6,11531.06,523795.27,
The Office of the Children's Commissioner,Executive Non-Departmental Public Body,Department for Education,,,2,2,15,14.2,6,5.8,3,2.8,,,26,24.8,2,2,,,1,1,2,0.8,5,3.8,31,28.6,94516.96,789.89,,,18573.6,10793.67,124674.12,0,0,0,124674.12,
Equality & Human Rights Commission,Executive Non-Departmental Public Body,Department for Education,3,2.87,14,13.2,103,98.939,43,39.9,11,10.83,,,174,165.739,3,3,5,5,,,,,8,8,182,173.739,545324.6,11942.29,,,119469.21,60378.63,737114.73,59735.02,,59735.02,796849.75,
