DeclarationDate,YearOfDeclaration,QuarterOfDeclaration,MonthOfDeclaration,DayOfDeclaration,DecisionControlDate_Month,ControlDate,ConsignorCountryCode,DPE_Name,ConsigneeCountry,CountryOfOrigin,ImporterCountry,DeliveryCountry,CommodityCode,DescriptionOfCommodity,TotalNumberOfPackages,TotalNetWeight_kg,CommodityIntendedFor,DocumentaryCheck,AcceptableForTransfer,NotAcceptable1,IdentityCheck,PhysicalCheck,LaboratoryTests,TestedFor,Results,AcceptableForReleaseForFreeCirculation,NotAcceptable2,ReasonForRefusal,DecsionControlDate,NumberOfConsignments
2017-07-01,2017,Q3,Jul,1,2017-07,,EG,Heathrow,EG,Egypt,GB,GB,8061010,Table grapes,380,960,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-01,2017,Q3,Jul,1,2017-07,,IN,Heathrow,IN,India,GB,GB,14049000,Other,150,600,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-01,2017,Q3,Jul,1,2017-07,,IN,Heathrow,IN,India,GB,GB,14049000,Other,150,600,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-01,2017,Q3,Jul,1,2017-07,,KE,Stansted,KE,Kenya,GB,GB,7081000,Peas (Pisum sativum),2,60,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-01,2017,Q3,Jul,1,2017-07,,KE,Stansted,KE,Kenya,GB,GB,7081000,Peas (Pisum sativum),15,96,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-01,2017,Q3,Jul,1,2017-07,,EG,Heathrow,EG,Egypt,GB,GB,8061010,Table grapes,620,2728,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,.RESIDUES OF PESTICIDES,satisfactory,Human consumption,-,-,,1
2017-07-02,2017,Q3,Jul,2,2017-07,,KE,Stansted,KE,Kenya,GB,GB,7081000,Peas (Pisum sativum),50,250,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-02,2017,Q3,Jul,2,2017-07,,IN,Heathrow,IN,India,GB,GB,14049000,Other,140,560,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-02,2017,Q3,Jul,2,2017-07,,KE,Stansted,KE,Kenya,GB,GB,7081000,Peas (Pisum sativum),446,1075,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-02,2017,Q3,Jul,2,2017-07,,EG,Heathrow,EG,Egypt,GB,GB,8061010,Table grapes,1300,2600,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-02,2017,Q3,Jul,2,2017-07,,KE,Stansted,KE,Kenya,GB,GB,7081000,Peas (Pisum sativum),50,75,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-02,2017,Q3,Jul,2,2017-07,,IN,Gatwick,IN,India,GB,GB,7099990,Other,950,3730,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-02,2017,Q3,Jul,2,2017-07,,CN,Heathrow,CN,China,GB,GB,7049090,Other,200,1140,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-02,2017,Q3,Jul,2,2017-07,,IN,Heathrow,IN,India,GB,GB,14049000,Other,200,800,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-02,2017,Q3,Jul,2,2017-07,,KE,Stansted,KE,Kenya,GB,GB,7081000,Peas (Pisum sativum),380,1900,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-02,2017,Q3,Jul,2,2017-07,,KE,Stansted,KE,Kenya,GB,GB,7081000,Peas (Pisum sativum),450,2250,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-02,2017,Q3,Jul,2,2017-07,,KE,Heathrow,KE,Kenya,GB,GB,7081000,Peas (Pisum sativum),262,3432,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-02,2017,Q3,Jul,2,2017-07,,TH,Heathrow,TH,Thailand,GB,GB,7093000,Aubergines (eggplants),16,80,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-02,2017,Q3,Jul,2,2017-07,,KE,Stansted,KE,Kenya,GB,GB,7081000,Peas (Pisum sativum),334,1258,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-02,2017,Q3,Jul,2,2017-07,,KE,Heathrow,KE,Kenya,GB,GB,7081000,Peas (Pisum sativum),200,1000,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,No,.RESIDUES OF PESTICIDES,satisfactory,Human consumption,-,-,,1
2017-07-02,2017,Q3,Jul,2,2017-07,,IN,Heathrow,IN,India,GB,GB,7099990,Other,550,1950,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,.RESIDUES OF PESTICIDES,satisfactory,Human consumption,-,-,,1
2017-07-02,2017,Q3,Jul,2,2017-07,,UG,Gatwick,UG,Uganda,GB,GB,7093000,Aubergines (eggplants),170,1050,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-03,2017,Q3,Jul,3,2017-07,,EG,Heathrow,EG,Egypt,GB,GB,8061010,Table grapes,370,1080,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-03,2017,Q3,Jul,3,2017-07,,TR,Felixstowe P,TR,Turkey,GB,GB,8062030,Sultanas,1600,20000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-03,2017,Q3,Jul,3,2017-07,,EG,Felixstowe P,EG,Egypt,GB,GB,8061010,Table grapes,4784,23920,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-03,2017,Q3,Jul,3,2017-07,,EG,Felixstowe P,EG,Egypt,GB,GB,8061010,Table grapes,4784,23920,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-03,2017,Q3,Jul,3,2017-07,,EG,Heathrow,EG,Egypt,GB,GB,8061010,Table grapes,892,2264,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-03,2017,Q3,Jul,3,2017-07,,EG,Felixstowe P,EG,Egypt,GB,GB,8061010,Table grapes,2496,12480,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-07-03,2017,Q3,Jul,3,2017-07,,EG,Felixstowe P,EG,Egypt,GB,GB,8061010,Table grapes,2496,12480,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
