"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Department for Transport","Trinity House Lighthouse Service","Operations Directorate","TH04","F","32928","47040","IT Project Manager","1.00","Finance"
"Department for Transport","Trinity House Lighthouse Service","Operations Directorate","TH04","F","32928","47040","Purchasing Manager","1.00","Finance"
"Department for Transport","Trinity House Lighthouse Service","Operations Directorate","TH04","F","32928","47040","Senior IT Support Officer","1.00","Finance"
"Department for Transport","Trinity House Lighthouse Service","Operations Directorate","TH04","E","26484","35316","IT Network Engineer","1.00","Finance"
"Department for Transport","Trinity House Lighthouse Service","Operations Directorate","TH04","E","26484","35316","IT Project Co-ordinator","1.00","Finance"
"Department for Transport","Trinity House Lighthouse Service","Operations Directorate","TH04","E","26484","35316","Supplies Manager","1.00","Finance"
"Department for Transport","Trinity House Lighthouse Service","Operations Directorate","TH04","E","26484","35316","Pension&Benefits Co-ordinator","1.00","Finance"
"Department for Transport","Trinity House Lighthouse Service","Operations Directorate","TH04","E","26484","35316","Training Co-ordinator","1.00","Finance"
"Department for Transport","Trinity House Lighthouse Service","Operations Directorate","TH04","E","26484","35316","Communications Officer","1.00","Finance"
"Department for Transport","Trinity House Lighthouse Service","Operations Directorate","TH04","E","26484","35316","IT Support Officer","3.00","Finance"
"Department for Transport","Trinity House Lighthouse Service","Operations Directorate","TH04","D","21396","28524","Assistant Financial Accountant","0.81","Finance"
"Department for Transport","Trinity House Lighthouse Service","Operations Directorate","TH04","D","21396","28524","Light Dues Team Leader","1.00","Finance"
"Department for Transport","Trinity House Lighthouse Service","Operations Directorate","TH04","D","21396","28524","Assistant Mangement Accountant","1.00","Finance"
"Department for Transport","Trinity House Lighthouse Service","Operations Directorate","TH04","D","21396","28524","HR Officer","1.00","Finance"
"Department for Transport","Trinity House Lighthouse Service","Operations Directorate","TH04","C","18906","25272","Buyer","2.40","Finance"
"Department for Transport","Trinity House Lighthouse Service","Operations Directorate","TH04","C","18906","25272","Supplies Supervisor","1.00","Finance"
"Department for Transport","Trinity House Lighthouse Service","Operations Directorate","TH04","C","18906","25272","Finance Administrator","4.00","Finance"
"Department for Transport","Trinity House Lighthouse Service","Operations Directorate","TH04","C","18906","25272","Trainee Accountant","1.00","Finance"
"Department for Transport","Trinity House Lighthouse Service","Operations Directorate","TH04","C","18906","25272","HR Administrator","3.40","Finance"
"Department for Transport","Trinity House Lighthouse Service","Operations Directorate","TH04","C","18906","25272","IT Help Desk Administrator","1.00","Finance"
"Department for Transport","Trinity House Lighthouse Service","Operations Directorate","TH04","C","18906","25272","Supplies Officer","6.00","Finance"
"Department for Transport","Trinity House Lighthouse Service","Operations Directorate","TH04","C","18906","25272","Purchasing Administrator","2.50","Finance"
"Department for Transport","Trinity House Lighthouse Service","Operations Directorate","TH04","C","18906","25272","Receptionist","1.00","Finance"
"Department for Transport","Trinity House Lighthouse Service","Operations Directorate","TH04","C","18906","25272","Light Dues Administrator","4.40","Finance"
