Census Ward 1992 code,Ward 1992 UK name,Local Government District 1992 UK code,PC Total Claimants (2017),PC Claimants: Male (60-64 years),PC Claimants: Male (65+ years),PC Claimants: Female (60-64 years),PC Claimants: Female (65+ years),Adults in PC Households,PC Claimants in receipt of disability premium (60+ years),PC Claimants not in receipt of disability premium (60+ years),PC Claimants - part of a couple (60+ years),PC Claimants - part of a couple and pensionable age (60+/65+ years),PC Claimants - part of a couple and working age (60-64 years),PC Claimants - single (60+ years),PC Claimants - single and pensionable age (60+/65+ years),PC Claimants - single and working age (60-64 years)
95AA01,ALDERGROVE,ANTRIM,60,0,20,0,40,80,20,40,20,20,0,40,40,0
95AA02,BALLOO,ANTRIM,110,0,40,0,60,140,50,70,30,30,0,90,80,0
95AA03,BALLYCRAIGY,ANTRIM,90,0,30,0,60,100,40,50,10,10,0,80,80,0
95AA04,CLADY,ANTRIM,70,0,20,0,30,80,20,50,20,20,0,50,40,0
95AA05,CRANFIELD,ANTRIM,80,0,30,0,50,100,30,60,20,20,0,60,60,0
95AA06,CRUMLIN (ANTRIM),ANTRIM,140,0,60,0,80,180,60,90,30,30,0,110,110,0
95AA07,DRUMANAWAY,ANTRIM,70,0,30,0,40,80,20,50,10,10,0,50,50,0
95AA08,FARRANSHANE,ANTRIM,90,0,40,0,50,100,30,60,10,10,0,70,70,0
95AA09,FOUNTAIN HILL,ANTRIM,90,0,30,0,50,100,30,50,10,10,0,70,70,0
95AA10,GREYSTONE (ANTRIM),ANTRIM,80,0,30,0,50,110,40,40,20,20,0,60,60,0
95AA11,MASSEREENE,ANTRIM,160,0,50,10,110,180,60,100,20,20,0,140,140,0
95AA12,PARKGATE,ANTRIM,50,0,30,0,30,70,20,30,20,20,0,40,40,0
95AA13,RANDALSTOWN,ANTRIM,130,0,40,0,80,150,50,80,30,30,0,100,100,0
95AA14,SHILVODAN,ANTRIM,60,0,20,0,40,80,20,40,10,10,0,50,50,0
95AA15,SPRINGFARM,ANTRIM,110,0,30,0,70,130,50,70,20,20,0,90,90,0
95AA16,STEEPLE,ANTRIM,80,0,30,0,50,100,40,40,20,20,0,60,60,0
95AA17,STILES,ANTRIM,80,0,30,0,50,100,40,40,20,20,0,60,60,0
95AA18,TEMPLEPATRICK,ANTRIM,60,0,20,0,40,70,20,40,10,10,0,50,50,0
95AA19,TOOME,ANTRIM,120,0,50,10,60,160,40,80,40,40,0,90,80,0
95BB01,BALLYGOWAN,ARDS,90,0,30,0,60,110,40,50,20,20,0,70,70,0
95BB02,BALLYRAINEY,ARDS,150,0,50,10,100,180,70,80,20,20,0,130,130,0
95BB03,BALLYWALTER,ARDS,170,0,70,10,90,220,70,100,50,50,0,120,120,0
95BB04,BRADSHAWS BRAE,ARDS,120,0,40,0,80,150,40,80,30,30,0,90,90,0
95BB05,CARROWDORE,ARDS,110,0,40,0,60,140,40,70,30,30,0,80,80,0
95BB06,CENTRAL (ARDS),ARDS,240,0,80,0,150,270,110,130,40,40,0,200,190,0
95BB07,COMBER EAST,ARDS,160,0,50,0,100,190,60,100,40,30,0,120,120,0
95BB08,COMBER NORTH,ARDS,130,0,50,0,80,160,50,80,30,30,0,100,90,0
95BB09,COMBER WEST,ARDS,80,0,30,0,50,100,20,60,20,20,0,70,70,0
95BB10,DONAGHADEE NORTH,ARDS,130,0,40,0,90,150,60,80,20,20,0,110,110,0
95BB11,DONAGHADEE SOUTH,ARDS,190,0,70,0,110,230,70,120,40,40,0,140,140,0
95BB12,GLEN,ARDS,100,0,40,0,60,130,40,70,30,20,0,80,80,0
95BB13,GREGSTOWN,ARDS,90,0,40,0,50,120,40,60,30,30,0,70,60,0
95BB14,KILLINCHY,ARDS,60,0,20,0,40,80,20,40,10,10,0,50,50,0
95BB15,KIRCUBBIN,ARDS,160,0,70,10,80,220,60,110,60,60,0,110,100,0
95BB16,LISBANE,ARDS,60,0,30,0,30,70,20,40,10,10,0,40,40,0
95BB17,LOUGHRIES,ARDS,90,0,30,0,50,110,30,60,20,20,0,60,60,0
95BB18,MILLISLE,ARDS,150,0,50,0,90,180,50,100,40,30,0,110,110,0
95BB19,MOVILLA,ARDS,70,0,30,0,40,90,30,50,20,20,0,60,60,0
95BB20,PORTAFERRY,ARDS,210,10,80,0,120,270,100,110,60,50,0,150,150,0
95BB21,PORTAVOGIE,ARDS,220,0,90,10,130,290,100,120,70,70,0,160,150,0
95BB22,SCRABO,ARDS,150,0,50,0,90,180,40,110,30,30,0,120,120,0
95BB23,WHITESPOTS,ARDS,50,0,10,0,30,60,10,30,10,10,0,30,30,0
95CC01,ABBEY PARK,ARMAGH,160,0,50,0,100,190,50,110,30,30,0,130,130,0
95CC02,BALLYMARTRIM,ARMAGH,100,0,50,0,50,120,40,60,20,20,0,80,80,0
95CC03,CALLAN BRIDGE,ARMAGH,170,0,90,10,80,210,80,100,30,30,0,140,140,0
95CC04,CARRIGATUKE,ARMAGH,120,0,50,0,70,150,50,70,30,30,0,90,90,0
95CC05,CHARLEMONT,ARMAGH,130,0,60,0,70,170,50,80,40,40,0,90,90,0
95CC06,DEMESNE,ARMAGH,70,0,20,0,50,80,30,30,10,10,0,50,50,0
95CC07,DERRYNOOSE,ARMAGH,130,0,50,0,70,170,50,80,40,40,0,90,90,0
95CC08,DOWNS,ARMAGH,160,0,60,10,90,190,60,90,40,30,0,120,120,0
95CC09,HAMILTONSBAWN,ARMAGH,70,0,30,0,30,90,30,40,20,20,0,50,50,0
95CC10,HOCKLEY,ARMAGH,90,0,40,0,50,110,30,60,20,20,0,70,70,0
95CC11,KEADY,ARMAGH,150,0,70,0,80,190,70,80,40,40,0,110,110,0
95CC12,KILLEEN,ARMAGH,100,0,40,0,60,130,40,60,30,30,0,70,70,0
95CC13,KILLYLEA,ARMAGH,80,0,40,0,40,120,40,40,30,30,0,50,50,0
95CC14,LAURELVALE,ARMAGH,80,0,40,0,50,110,40,50,30,30,0,60,60,0
95CC15,LOUGHGALL,ARMAGH,120,0,50,0,60,150,50,70,40,40,0,80,80,0
95CC16,MARKETHILL,ARMAGH,140,0,50,10,80,170,60,80,30,30,0,110,110,0
95CC17,MILFORD,ARMAGH,90,0,40,0,50,120,40,50,30,30,0,60,60,0
95CC18,OBSERVATORY,ARMAGH,100,0,40,0,60,120,40,60,20,20,0,80,80,0
95CC19,POYNTZ PASS,ARMAGH,100,0,40,0,60,120,30,70,20,20,0,80,80,0
95CC20,RICH HILL,ARMAGH,70,0,20,0,40,80,20,40,20,20,0,50,50,0
95CC21,TANDRAGEE,ARMAGH,80,0,40,0,40,100,40,40,20,20,0,60,60,0
95CC22,THE MALL,ARMAGH,100,0,30,0,60,110,40,50,10,10,0,80,80,0
95DD01,ACADEMY,BALLYMENA,80,0,30,0,50,90,20,50,10,10,0,70,70,0
95DD02,AHOGHILL,BALLYMENA,120,0,30,0,80,140,50,70,20,20,0,100,100,0
95DD03,ARDEEVIN,BALLYMENA,60,0,20,0,40,70,20,40,20,20,0,40,40,0
95DD04,BALLEE,BALLYMENA,140,0,40,10,90,170,60,90,30,30,0,120,120,0
95DD05,BALLYKEEL,BALLYMENA,70,0,20,0,40,80,20,40,10,10,0,50,50,0
95DD06,BALLYLOUGHAN,BALLYMENA,110,0,10,0,90,110,20,90,10,10,0,100,100,0
95DD07,BROUGHSHANE,BALLYMENA,120,0,40,0,80,140,50,70,20,20,0,110,110,0
95DD08,CASTLE DEMESNE,BALLYMENA,190,0,60,10,120,220,90,100,30,30,0,160,150,0
