Department,Entity,Transaction Date,Expense Type,Expense Area,PES Category,Supplier,Transaction No.,Amount
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/02/2014,HOTEL ACCOMMODATION,BOARD,TRAVEL&EVENTS-HOTELS,REDFERN TRAVEL LTD,0000208876,386.96
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,13/03/2014,PROFESSIONAL SUBSCRIPTIONS,BOARD,PERSONNEL RLTD-STAFF SUBSCRPTN,ANNUAL MEMBERSHIP OF PUBL,0000209125,1500.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/03/2014,SUBSISTENCE ALLOWANCES,BOARD,FACILITIES - FOOD,COMPANY BARCLAYCARD,0000209433,33.73
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/02/2014,FARES - RAIL,CHIEF EXECUTIVE,TRAVEL&EVENTS-RAIL,REDFERN TRAVEL LTD,0000208877,208.98
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/03/2014,FARES - RAIL,CHIEF EXECUTIVE,TRAVEL&EVENTS-RAIL,COMPANY BARCLAYCARD,0000209346,135.35
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/02/2014,HOTEL ACCOMMODATION,CHIEF EXECUTIVE,TRAVEL&EVENTS-HOTELS,REDFERN TRAVEL LTD,0000208876,476.76
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/03/2014,INCIDENTALS,CHIEF EXECUTIVE,VEHICLES-FLEET MANAGEMENT,COMPANY BARCLAYCARD,0000209118,114.78
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/03/2014,INCIDENTALS,CHIEF EXECUTIVE,VEHICLES-FLEET MANAGEMENT,COMPANY BARCLAYCARD,0000209346,7.91
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/03/2014,MEETINGS,CHIEF EXECUTIVE,FACILITIES - FOOD,COMPANY BARCLAYCARD,0000209346,5.67
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,21/03/2014,MILEAGE PAYMENTS,CHIEF EXECUTIVE,FUELS/LUBRCNT/GAS-FUELS,STAFF EXPENSES CONTROL,0000209461,47.77
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,21/03/2014,MILEAGE PAYMENTS,CHIEF EXECUTIVE,FUELS/LUBRCNT/GAS-FUELS,STAFF EXPENSES CONTROL,0000209484,47.16
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/03/2014,PUBLICATIONS,CHIEF EXECUTIVE,OPRTNL GOODS&SERV-DEVLPNG MTRL,COMPANY BARCLAYCARD,0000209152,48.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/03/2014,SUBSISTENCE ALLOWANCES,CHIEF EXECUTIVE,FACILITIES - FOOD,COMPANY BARCLAYCARD,0000209346,114.69
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/02/2014,HOTEL ACCOMMODATION,CORPORATE AFFAIRS,TRAVEL&EVENTS-HOTELS,REDFERN TRAVEL LTD,0000208876,400.65
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,14/03/2014,INCIDENTALS,CORPORATE AFFAIRS,VEHICLES-FLEET MANAGEMENT,COMPANY BARCLAYCARD,0000209209,20.50
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/01/2014,PUBLIC RELATIONS,CORPORATE AFFAIRS,PROF SER LRNG&DEV-STAFF TRNING,BRAND VISTA LIMITED,0000208913,1250.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/02/2014,PUBLIC RELATIONS,CORPORATE AFFAIRS,MARKETING & MEDIA-PROMOTION,GORKANA GROUP LTD,0000209177,201.98
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/02/2014,PUBLIC RELATIONS,CORPORATE AFFAIRS,MARKETING & MEDIA-PROMOTION,GORKANA GROUP LTD,0000209178,501.84
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/02/2014,PUBLIC RELATIONS,CORPORATE AFFAIRS,MARKETING & MEDIA-PROMOTION,SHARPE PRITCHARD,0000209219,432.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,14/03/2014,SUBSISTENCE ALLOWANCES,CORPORATE AFFAIRS,FACILITIES - FOOD,COMPANY BARCLAYCARD,0000209209,9.95
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/02/2014,FARES - RAIL,CORPORATE PROJECT OFFICE,TRAVEL&EVENTS-RAIL,REDFERN TRAVEL LTD,0000208877,164.65
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,24/02/2014,PAYMENTS TO AGENCIES FOR TEMPS,CORPORATE PROJECT OFFICE,PROF SER TMP STFF-SPCLST CNTRT,COMPUTER PEOPLE,0000208584,657.14
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,24/02/2014,PAYMENTS TO AGENCIES FOR TEMPS,CORPORATE PROJECT OFFICE,PROF SER TMP STFF-SPCLST CNTRT,COMPUTER PEOPLE,0000208585,532.51
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,03/03/2014,PAYMENTS TO AGENCIES FOR TEMPS,CORPORATE PROJECT OFFICE,PROF SER TMP STFF-SPCLST CNTRT,COMPUTER PEOPLE,0000208962,668.47
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,20/03/2014,PAYMENTS TO AGENCIES FOR TEMPS,CORPORATE PROJECT OFFICE,PROF SER TMP STFF-SPCLST CNTRT,COMPUTER PEOPLE,0000209565,725.12
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,20/03/2014,PAYMENTS TO AGENCIES FOR TEMPS,CORPORATE PROJECT OFFICE,PROF SER TMP STFF-SPCLST CNTRT,COMPUTER PEOPLE,0000209569,736.45
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,05/03/2014,DAMP PROOF SURVEY FEES,DAMPPROOF/TIMBER TREATMENT,"CONSTRUCTION-BLD,REPR&MAINTNCE",PONTEFRACT INSULATION,0000208906,1550.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,07/02/2014,CAR HIRE,ENVIRONMENT,TRAVEL&EVENTS-VEHICLE HIRE,ENTERPRISE RENT A CAR,0000208950,48.50
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,07/02/2014,CAR HIRE,ENVIRONMENT,TRAVEL&EVENTS-VEHICLE HIRE,ENTERPRISE RENT A CAR,0000208951,70.96
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,13/02/2014,CAR HIRE,ENVIRONMENT,TRAVEL&EVENTS-VEHICLE HIRE,ENTERPRISE RENT A CAR,0000208953,48.50
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,01/03/2014,CHILDCARE VOUCHERS,ENVIRONMENT,PERSONNEL RLTD-STAFF CHILDCARE,FIDELITI LIMITED,0000208785,100.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/02/2014,CONSULTANTS OPERATIONS,ENVIRONMENT,CONSTRUCTION-CNSTRN SER PROVDR,HYDRO LOGIC SERVICES LLP,0000208845,487.23
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/02/2014,CONSULTANTS OPERATIONS,ENVIRONMENT,CONSTRUCTION-CNSTRN SER PROVDR,HYDRO LOGIC SERVICES LLP,0000208845,974.46
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/02/2014,CONSULTANTS OPERATIONS,ENVIRONMENT,CONSTRUCTION-CNSTRN SER PROVDR,HYDRO LOGIC SERVICES LLP,0000208845,487.23
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/02/2014,CONSULTANTS OPERATIONS,ENVIRONMENT,CONSTRUCTION-CNSTRN SER PROVDR,HYDRO LOGIC SERVICES LLP,0000208845,487.23
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/02/2014,CONSULTANTS OPERATIONS,ENVIRONMENT,CONSTRUCTION-CNSTRN SER PROVDR,HYDRO LOGIC SERVICES LLP,0000208845,487.23
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/02/2014,CONSULTANTS OPERATIONS,ENVIRONMENT,CONSTRUCTION-CNSTRN SER PROVDR,HYDRO LOGIC SERVICES LLP,0000208845,487.23
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/02/2014,CONSULTANTS OPERATIONS,ENVIRONMENT,CONSTRUCTION-CNSTRN SER PROVDR,HYDRO LOGIC SERVICES LLP,0000208845,487.23
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/02/2014,CONSULTANTS OPERATIONS,ENVIRONMENT,CONSTRUCTION-CNSTRN SER PROVDR,HYDRO LOGIC SERVICES LLP,0000208845,487.23
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/02/2014,CONSULTANTS OPERATIONS,ENVIRONMENT,CONSTRUCTION-CNSTRN SER PROVDR,HYDRO LOGIC SERVICES LLP,0000208845,487.23
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,17/03/2014,CONSULTANTS OPERATIONS,ENVIRONMENT,PROF SER TECH-ENGINEERING SER,ATKINS LIMITED,0000209285,4306.55
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,20/03/2014,CONSULTANTS OPERATIONS,ENVIRONMENT,PROF SER TECH-ENGINEERING SER,SCOTTISH WATER INTERNATIO,0000209505,5000.00
