Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs
Cabinet Office,Ministerial Department,Cabinet Office,144,139.97,393,386.10,651,635.35,924,904.33,240,234.22,177,171.93,"2,529","2,472",8,8,163,163,47,47,0,0,218,218,"2,747","2,690","£8,815,806.02","£407,005.03","£43,266.00","£86,711.04","£1,989,966.03","£1,060,248.73","£12,403,002.85","£2,735,478.10","£772,063.00","£3,507,541.10","£15,910,543.95"
Civil Service Commission,Executive Non-Departmental Public Body,Cabinet Office,1,0.56,3,3.00,6,5.59,4,4.00,1,1.00,0,0.00,15,14,0,0,0,0,0,0,0,0,0,0,15,14,"£49,294.63",£736.08,£0.00,£0.00,"£10,739.53","£5,504.96","£66,275.20",£0.00,£0.00,£0.00,"£66,275.20"
Crown Commercial Services,Executive Agency,Cabinet Office,26,23.75,117,112.41,318,306.50,196,190.72,64,60.82,0,0.00,721,694,0,0,49,49,0,0,0,0,49,49,770,743,"£2,551,803.93","£6,346.39",£0.00,£0.00,"£509,062.29","£285,808.73","£3,353,021.34","£674,348.28","£109,024.23","£783,372.51","£4,136,393.85"
Big Lottery Fund,Executive Non-Departmental Public Body,Cabinet Office,96,90.00,456,418.00,248,233.00,71,69.00,18,18.00,0,0.00,889,828,16,16,0,0,3,0.5,0,0,19,16.5,908,845,"£1,977,806.19","£34,177.25","£200,000.74","£9,108.08","£395,088.09","£221,994.99","£2,838,175.34","£56,167.15",£0.00,"£56,167.15","£2,894,342.49"
