TRANSACTION TYPE,TRANSACTION DATE,TRANSACTION REFERENCE,MERCHANT,TOTAL
Individual GPC,07/03/2016,BIS75399,Ragan Communications Inc.  ,906.97
Individual GPC,10/03/2016,BIS75710,Clarion Events Ltd       ,663.55
Individual GPC,10/03/2016,BIS76296,"HOC CRS, London",523.45
Individual GPC,25/03/2016,BIS75588,"Atlassian, Sydney       ",2430.38
Lodged GPC,03/03/2016,52192003,Hogg Robinson Group Ltd,644.55
Lodged GPC,03/03/2016,52195002,Hogg Robinson Group Ltd,663.18
Lodged GPC,30/03/2016,52191003,Hogg Robinson Group Ltd,579.2
Lodged GPC,31/03/2016,52195002,Hogg Robinson Group Ltd,24647.52
