Topic:,Waste and Recycling,,,,,,,,
Title:,Construction and Demolition Waste management 1999 to 2005,,,,,,,,
Format:,stacked bar,,,,,,,,
y-axis:,million tonnes; show range 0-100,,,,,,,,
x-axis:,year,,,,,,,,
Legend:,,,,,,,,,
Geographic Scope:,England,,,,,,,,
Source:,"CLG: Survey of Arisings and Use of Construction, Demolition and Excavation Waste as Aggregate in England (1999, 2001, 2003 and 2005)",,,,,,,,
Special instructions:,,,,,,,,,
,,,,,,,,,
,,Million tonnes,,,,Percentage,,,
,,1999,2001,2003,2005,1999,2001,2003,2005
,Recycled by crushers/screeners,24.4,43.3,45.5,46.4,35%,49%,50%,52%
,Used or disposed in Landfill,25.8,23.2,29.1,27.8,37%,26%,32%,31%
,Spread on exempt sites,19.0,22.4,16.4,15.4,27%,25%,18%,17%
,Total,69.2,88.89,90.93,89.6,100%,100%,100%,100%
