Grade,Men Headcount,Men Percentage,Women Headcount,Women Percentage,Not known Headcount,Not known Percentage,Grand Total
A1/A2,21,43.75%,27,56.25%,0,0.00%,48
B1,6,23.08%,18,69.23%,2,7.69%,26
B2/B3,5,41.67%,7,58.33%,,0.00%,12
DCP/SCP/Specialist Pros.,2,20.00%,8,80.00%,0,0.00%,10
D/SDCP/SSP/E,3,30.00%,6,60.00%,1,10.00%,10
All CPS,37,34.91%,66,62.26%,3,2.83%,106
