Minister,Date of Trip,Destination,Purpose,"Scheduled, 'No.32 (The Royal Squadron)'  or 'other RAF' or 'Charter' or 'Scheduled' or 'Eurostar'",Number of officials accompanying Ministers (where non-scheduled travel is used),Total Cost including travel and accommodation of Minister only
"Prime Minister, The Rt Hon David Cameron MP",23-24/01/2014,Davos (Switzerland),To attend the World Economic Forum and for bilateral meetings,No32 (The Royal) Squadron,13,£913.00
,06/03/2014,Brussels (Belgium),To attend meetings of European Council members,No32 (The Royal) Squadron,10,£279.00
,09-10/03/2014,Hanover (Germany),To attend the Cebit trade fair,No32 (The Royal) Squadron,11,£840.00
,12-13/03/2014,Israel & OPTs,Trade mission and bilateral meetings,Charter,18,"£47,980.00"
,20-21/03/2014,Brussels (Belgium),To attend a meeting of the European Council and bilateral meetings,No32 (The Royal) Squadron,10,£943.00
,24-25/03/2014,The Hague (Netherlands),To attend the Nuclear Security Summit and bilateral meetings,No32 (The Royal) Squadron,8,£997.00
