ID,LSOA11CD,POPULATION,TIMEPERIOD,RT1000POP,NO_INCID
21,E01012571,1529,SEP-2014 to AUG-2015,24,36
22,E01012572,1545,SEP-2014 to AUG-2015,18,28
24,E01012573,1759,SEP-2014 to AUG-2015,16,28
27,E01012574,1433,SEP-2014 to AUG-2015,18,26
34,E01012575,1259,SEP-2014 to AUG-2015,48,61
38,E01012576,1634,SEP-2014 to AUG-2015,26,42
40,E01012577,1929,SEP-2014 to AUG-2015,20,39
41,E01012578,2001,SEP-2014 to AUG-2015,11,23
44,E01012579,1690,SEP-2014 to AUG-2015,17,28
46,E01012580,2165,SEP-2014 to AUG-2015,23,49
48,E01012581,1232,SEP-2014 to AUG-2015,5,6
51,E01012582,1639,SEP-2014 to AUG-2015,7,12
52,E01012583,1654,SEP-2014 to AUG-2015,12,20
56,E01012584,1500,SEP-2014 to AUG-2015,21,31
58,E01012585,1631,SEP-2014 to AUG-2015,42,68
61,E01012586,1585,SEP-2014 to AUG-2015,20,31
64,E01012587,1993,SEP-2014 to AUG-2015,19,38
67,E01012588,2075,SEP-2014 to AUG-2015,14,30
70,E01012589,1431,SEP-2014 to AUG-2015,36,52
73,E01012590,1340,SEP-2014 to AUG-2015,31,41
75,E01012591,1497,SEP-2014 to AUG-2015,40,60
79,E01012592,1902,SEP-2014 to AUG-2015,9,17
83,E01012593,1807,SEP-2014 to AUG-2015,28,51
86,E01012594,1475,SEP-2014 to AUG-2015,41,61
91,E01012595,1961,SEP-2014 to AUG-2015,25,50
94,E01012596,1853,SEP-2014 to AUG-2015,23,42
97,E01012597,1772,SEP-2014 to AUG-2015,7,12
100,E01012598,3019,SEP-2014 to AUG-2015,6,18
103,E01012599,1187,SEP-2014 to AUG-2015,14,17
107,E01012600,1439,SEP-2014 to AUG-2015,58,84
109,E01012601,1526,SEP-2014 to AUG-2015,23,35
112,E01012602,1590,SEP-2014 to AUG-2015,10,16
115,E01012603,1572,SEP-2014 to AUG-2015,17,26
119,E01012604,1694,SEP-2014 to AUG-2015,11,19
123,E01012605,2001,SEP-2014 to AUG-2015,25,50
127,E01012606,1698,SEP-2014 to AUG-2015,28,48
135,E01012607,1489,SEP-2014 to AUG-2015,14,21
137,E01012608,1714,SEP-2014 to AUG-2015,26,44
141,E01012609,1558,SEP-2014 to AUG-2015,10,15
146,E01012610,1281,SEP-2014 to AUG-2015,21,27
149,E01012611,1059,SEP-2014 to AUG-2015,31,33
153,E01012612,1383,SEP-2014 to AUG-2015,25,35
157,E01012613,1350,SEP-2014 to AUG-2015,31,42
158,E01012614,1718,SEP-2014 to AUG-2015,7,12
162,E01012615,1463,SEP-2014 to AUG-2015,18,27
167,E01012616,1792,SEP-2014 to AUG-2015,9,16
170,E01012617,1392,SEP-2014 to AUG-2015,10,14
172,E01012618,1428,SEP-2014 to AUG-2015,18,26
176,E01012619,1407,SEP-2014 to AUG-2015,26,36
179,E01012620,1360,SEP-2014 to AUG-2015,26,36
181,E01012621,1492,SEP-2014 to AUG-2015,17,26
185,E01012622,1626,SEP-2014 to AUG-2015,39,63
186,E01012623,1524,SEP-2014 to AUG-2015,18,28
191,E01012624,1574,SEP-2014 to AUG-2015,22,35
193,E01012625,1685,SEP-2014 to AUG-2015,26,44
195,E01012628,1164,SEP-2014 to AUG-2015,11,13
198,E01012629,1139,SEP-2014 to AUG-2015,62,71
200,E01012630,2279,SEP-2014 to AUG-2015,16,36
202,E01012631,1286,SEP-2014 to AUG-2015,32,41
207,E01012632,2111,SEP-2014 to AUG-2015,215,453
210,E01012633,1598,SEP-2014 to AUG-2015,22,35
214,E01012634,1386,SEP-2014 to AUG-2015,16,22
216,E01012635,1705,SEP-2014 to AUG-2015,21,35
220,E01012636,1473,SEP-2014 to AUG-2015,16,23
222,E01012637,1581,SEP-2014 to AUG-2015,25,39
227,E01012638,1633,SEP-2014 to AUG-2015,25,41
232,E01012639,1824,SEP-2014 to AUG-2015,18,33
235,E01012640,1762,SEP-2014 to AUG-2015,28,50
240,E01012641,1699,SEP-2014 to AUG-2015,26,44
248,E01012642,1700,SEP-2014 to AUG-2015,22,37
253,E01012643,1604,SEP-2014 to AUG-2015,57,92
256,E01012644,2521,SEP-2014 to AUG-2015,41,104
260,E01012645,1985,SEP-2014 to AUG-2015,11,21
265,E01012646,1658,SEP-2014 to AUG-2015,25,42
271,E01012647,1373,SEP-2014 to AUG-2015,21,29
275,E01012648,1170,SEP-2014 to AUG-2015,22,26
277,E01012649,1464,SEP-2014 to AUG-2015,40,59
282,E01012650,1386,SEP-2014 to AUG-2015,27,38
287,E01012651,1679,SEP-2014 to AUG-2015,13,22
288,E01012652,1516,SEP-2014 to AUG-2015,7,11
293,E01012653,1301,SEP-2014 to AUG-2015,33,43
298,E01012654,1650,SEP-2014 to AUG-2015,33,55
300,E01012655,1889,SEP-2014 to AUG-2015,98,185
302,E01012656,1673,SEP-2014 to AUG-2015,47,78
305,E01012657,2030,SEP-2014 to AUG-2015,22,44
309,E01012658,1854,SEP-2014 to AUG-2015,28,51
316,E01012659,1425,SEP-2014 to AUG-2015,13,19
318,E01012660,1188,SEP-2014 to AUG-2015,9,11
322,E01012661,1500,SEP-2014 to AUG-2015,14,21
326,E01012662,1415,SEP-2014 to AUG-2015,26,37
331,E01012663,1584,SEP-2014 to AUG-2015,20,31
336,E01012664,1638,SEP-2014 to AUG-2015,24,40
341,E01012665,1627,SEP-2014 to AUG-2015,29,47
346,E01012666,1435,SEP-2014 to AUG-2015,43,62
352,E01012667,1572,SEP-2014 to AUG-2015,22,35
358,E01012668,1567,SEP-2014 to AUG-2015,24,38
361,E01012669,1792,SEP-2014 to AUG-2015,23,41
367,E01012670,1237,SEP-2014 to AUG-2015,27,33
372,E01012671,1392,SEP-2014 to AUG-2015,97,135
385,E01012672,1298,SEP-2014 to AUG-2015,83,108
393,E01012673,1314,SEP-2014 to AUG-2015,96,126
402,E01012674,1621,SEP-2014 to AUG-2015,48,78
404,E01012675,1580,SEP-2014 to AUG-2015,34,53
420,E01012676,1362,SEP-2014 to AUG-2015,18,25
423,E01012677,1381,SEP-2014 to AUG-2015,30,41
1,E01012678,1289,SEP-2014 to AUG-2015,11,14
2,E01012679,1466,SEP-2014 to AUG-2015,29,42
3,E01012680,1584,SEP-2014 to AUG-2015,35,55
4,E01012681,1636,SEP-2014 to AUG-2015,180,294
5,E01012682,1455,SEP-2014 to AUG-2015,58,85
6,E01012683,1446,SEP-2014 to AUG-2015,44,64
7,E01012684,1485,SEP-2014 to AUG-2015,40,60
8,E01012685,1517,SEP-2014 to AUG-2015,14,21
9,E01012686,1501,SEP-2014 to AUG-2015,16,24
10,E01012687,1448,SEP-2014 to AUG-2015,23,34
11,E01012688,1229,SEP-2014 to AUG-2015,39,48
12,E01012689,1274,SEP-2014 to AUG-2015,33,42
13,E01012690,1703,SEP-2014 to AUG-2015,14,24
14,E01012691,1912,SEP-2014 to AUG-2015,18,34
