Geo_Name,Geo_Code,Mid_Year_Ending,Gender,Age,Population_Estimate
Belfast East,N06000001,2001,All People,0,827
Belfast East,N06000001,2001,All People,1,1045
Belfast East,N06000001,2001,All People,2,1159
Belfast East,N06000001,2001,All People,3,1032
Belfast East,N06000001,2001,All People,4,1106
Belfast East,N06000001,2001,All People,5,1068
Belfast East,N06000001,2001,All People,6,1079
Belfast East,N06000001,2001,All People,7,1113
Belfast East,N06000001,2001,All People,8,1123
Belfast East,N06000001,2001,All People,9,1235
Belfast East,N06000001,2001,All People,10,1191
Belfast East,N06000001,2001,All People,11,1218
Belfast East,N06000001,2001,All People,12,1179
Belfast East,N06000001,2001,All People,13,1185
Belfast East,N06000001,2001,All People,14,1242
Belfast East,N06000001,2001,All People,15,1205
Belfast East,N06000001,2001,All People,16,1131
Belfast East,N06000001,2001,All People,17,1128
Belfast East,N06000001,2001,All People,18,1077
Belfast East,N06000001,2001,All People,19,916
Belfast East,N06000001,2001,All People,20,909
Belfast East,N06000001,2001,All People,21,938
Belfast East,N06000001,2001,All People,22,903
Belfast East,N06000001,2001,All People,23,863
Belfast East,N06000001,2001,All People,24,897
Belfast East,N06000001,2001,All People,25,1059
Belfast East,N06000001,2001,All People,26,1077
Belfast East,N06000001,2001,All People,27,1183
Belfast East,N06000001,2001,All People,28,1228
Belfast East,N06000001,2001,All People,29,1231
Belfast East,N06000001,2001,All People,30,1332
Belfast East,N06000001,2001,All People,31,1339
Belfast East,N06000001,2001,All People,32,1380
Belfast East,N06000001,2001,All People,33,1362
Belfast East,N06000001,2001,All People,34,1478
Belfast East,N06000001,2001,All People,35,1454
Belfast East,N06000001,2001,All People,36,1463
Belfast East,N06000001,2001,All People,37,1475
Belfast East,N06000001,2001,All People,38,1364
Belfast East,N06000001,2001,All People,39,1350
Belfast East,N06000001,2001,All People,40,1399
Belfast East,N06000001,2001,All People,41,1336
Belfast East,N06000001,2001,All People,42,1285
Belfast East,N06000001,2001,All People,43,1282
Belfast East,N06000001,2001,All People,44,1235
Belfast East,N06000001,2001,All People,45,1223
Belfast East,N06000001,2001,All People,46,1079
Belfast East,N06000001,2001,All People,47,1089
Belfast East,N06000001,2001,All People,48,1120
Belfast East,N06000001,2001,All People,49,1043
Belfast East,N06000001,2001,All People,50,1022
Belfast East,N06000001,2001,All People,51,994
Belfast East,N06000001,2001,All People,52,968
Belfast East,N06000001,2001,All People,53,1024
Belfast East,N06000001,2001,All People,54,1130
Belfast East,N06000001,2001,All People,55,981
Belfast East,N06000001,2001,All People,56,964
