Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Reference, Amount 
,,,,,,,
"Department for Environment, Food and Rural Affairs",Veterinary Laboratories Agency,06/05/2011,Capital Expend #2000 and above,Various,Nikon UK Ltd,352928,"39,665.40"
"Department for Environment, Food and Rural Affairs",Veterinary Laboratories Agency,23/05/2011,Sub Contracts,Research Programmes,The Food and Environment Research Agency,355101,"283,151.52"
"Department for Environment, Food and Rural Affairs",Veterinary Laboratories Agency,17/05/2011,Sub Contracts,Research Programmes,University of Edinburgh,355513,"70,072.44"
"Department for Environment, Food and Rural Affairs",Veterinary Laboratories Agency,17/05/2011,Capital Expend #2000 and above,Various,Bott Ltd,355814,"99,898.80"
"Department for Environment, Food and Rural Affairs",Veterinary Laboratories Agency,19/05/2011,Project Misc Expend,Research Programmes,Immune Solutions Ltd,355898,"29,065.07"
"Department for Environment, Food and Rural Affairs",Veterinary Laboratories Agency,23/05/2011,Sub Contracts,Surveillance Programmes,The University of Liverpool,356028,"37,653.25"
