Department Family,Entity,Transaction Date,Name,Description,Description,Description,Transaction Reference,Base Amount
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/06/2012,HOTEL ACCOMMODATION,CORPORATE AFFAIRS,TRAVEL&EVENTS-HOTELS,REDFERN TRAVEL LTD,0000193064,116.50
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/07/2012,HOTEL ACCOMMODATION,CORPORATE AFFAIRS,TRAVEL&EVENTS-HOTELS,REDFERN TRAVEL LTD,0000193068,-19.20
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/08/2012,HOTEL ACCOMMODATION,CORPORATE AFFAIRS,TRAVEL&EVENTS-HOTELS,COMPANY BARCLAYCARD,0000193383,101.66
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/07/2012,FARES - RAIL,CORPORATE AFFAIRS,TRAVEL&EVENTS-RAIL,REDFERN TRAVEL LTD,0000193065,176.78
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,22/08/2012,FARES - RAIL,CORPORATE AFFAIRS,TRAVEL&EVENTS-RAIL,STAFF EXPENSES CONTROL,0000193451,7.70
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,22/08/2012,FARES - PUBLIC TRANSPORT,CORPORATE AFFAIRS,TRAVEL&EVENTS-TAXI,STAFF EXPENSES CONTROL,0000193451,16.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/08/2012,INCIDENTALS,CORPORATE AFFAIRS,VEHICLES-FLEET MANAGEMENT,COMPANY BARCLAYCARD,0000193383,27.07
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,22/08/2012,INCIDENTALS,CORPORATE AFFAIRS,VEHICLES-FLEET MANAGEMENT,STAFF EXPENSES CONTROL,0000193451,4.83
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/07/2012,CURR YR ADDNS MINEWATER SCHEME,ENVIRONMENT,CONSTRUCTION-CNSTRN SER PROVDR,ATKINS LIMITED,0000192904,750.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,26/07/2012,CURR YR ADDNS MINEWATER SCHEME,ENVIRONMENT,CONSTRUCTION-CNSTRN SER PROVDR,ATKINS LIMITED,0000192907,681.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/07/2012,CURR YR ADDNS MINEWATER SCHEME,ENVIRONMENT,CONSTRUCTION-CNSTRN SER PROVDR,MOTT MACDONALD LTD,0000193009,3726.74
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/07/2012,CURR YR ADDNS MINEWATER SCHEME,ENVIRONMENT,CONSTRUCTION-CNSTRN SER PROVDR,MOTT MACDONALD LTD,0000193012,329.80
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/07/2012,M/W NEW SCHEME - CONSULTANCY,ENVIRONMENT,CONSTRUCTION-CNSTRN SER PROVDR,J N BENTLEY LIMITED,0000193274,2163.70
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/08/2012,PROJECT MANAGEMENT-BOREHOLES,ENVIRONMENT,CONSTRUCTION-CNSTRN SER PROVDR,MIDLAND SURVEYING & ENGIN,0000191106,185.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,25/06/2012,CONTRACTORS - OPERATIONAL,ENVIRONMENT,CONSTRUCTION-MAIN CONTRACTORS,INTEGRATED WATER SERVICES,0000192098,2350.00
