Department Family,Entity,Transaction Date,Name,Description,Description,Description,Transaction Reference,Base Amount
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,15/08/2012,PROJECT MANAGEMENT-BOREHOLES,ENVIRONMENT,PROF SER CNSLTNCY-TCHNL CNSLTY,WYG ENV PLANNING TRANSPOR,0000193323,168.75
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,01/08/2012,CONSULTANTS TECHNICAL,ENVIRONMENT,PROF SER TECH-ENGINEERING SER,JMC ENGINEERING (UK) LTD,0000192878,2086.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,01/08/2012,M/W LANDSCAPING SUPERVISION,ENVIRONMENT,PROF SER TECH-ENGINEERING SER,JMC ENGINEERING (UK) LTD,0000192883,338.80
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,01/08/2012,M/W LANDSCAPING SUPERVISION,ENVIRONMENT,PROF SER TECH-ENGINEERING SER,JMC ENGINEERING (UK) LTD,0000192884,427.50
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,01/08/2012,M/W LANDSCAPING SUPERVISION,ENVIRONMENT,PROF SER TECH-ENGINEERING SER,JMC ENGINEERING (UK) LTD,0000192885,125.40
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,01/08/2012,M/W LANDSCAPING SUPERVISION,ENVIRONMENT,PROF SER TECH-ENGINEERING SER,JMC ENGINEERING (UK) LTD,0000192886,171.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,01/08/2012,M/W LAND AGENTS (AQUISITIONS),ENVIRONMENT,PROF SER TECH-ENGINEERING SER,JMC ENGINEERING (UK) LTD,0000192887,648.90
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,01/08/2012,CURR YR ADDNS MINEWATER SCHEME,ENVIRONMENT,PROF SER TECH-ENGINEERING SER,JMC ENGINEERING (UK) LTD,0000192890,125.40
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,01/08/2012,M/W LAND AGENTS (AQUISITIONS),ENVIRONMENT,PROF SER TECH-ENGINEERING SER,JMC ENGINEERING (UK) LTD,0000192892,459.60
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,01/08/2012,M/W LANDSCAPING SUPERVISION,ENVIRONMENT,PROF SER TECH-ENGINEERING SER,JMC ENGINEERING (UK) LTD,0000192894,641.70
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,01/08/2012,M/W LANDSCAPING SUPERVISION,ENVIRONMENT,PROF SER TECH-ENGINEERING SER,JMC ENGINEERING (UK) LTD,0000192895,398.40
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,01/08/2012,M/W LANDSCAPING SUPERVISION,ENVIRONMENT,PROF SER TECH-ENGINEERING SER,JMC ENGINEERING (UK) LTD,0000192896,108.30
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,01/08/2012,M/W LANDSCAPING SUPERVISION,ENVIRONMENT,PROF SER TECH-ENGINEERING SER,JMC ENGINEERING (UK) LTD,0000192897,45.60
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,01/08/2012,M/W LANDSCAPING SUPERVISION,ENVIRONMENT,PROF SER TECH-ENGINEERING SER,JMC ENGINEERING (UK) LTD,0000192898,162.80
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,01/08/2012,M/W LANDSCAPING SUPERVISION,ENVIRONMENT,PROF SER TECH-ENGINEERING SER,JMC ENGINEERING (UK) LTD,0000192902,1653.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,26/07/2012,CURR YR ADDNS MINEWATER SCHEME,ENVIRONMENT,PROF SER TECH-ENGINEERING SER,ATKINS LIMITED,0000192903,693.75
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,26/07/2012,CURR YR ADDNS MINEWATER SCHEME,ENVIRONMENT,PROF SER TECH-ENGINEERING SER,ATKINS LIMITED,0000192905,1959.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,26/07/2012,M/W FEASIBILITY STUDIES,ENVIRONMENT,PROF SER TECH-ENGINEERING SER,ATKINS LIMITED,0000192906,3015.25
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,26/07/2012,M/W FEASIBILITY STUDIES,ENVIRONMENT,PROF SER TECH-ENGINEERING SER,ATKINS LIMITED,0000192908,2757.50
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,25/07/2012,M/W FEASIBILITY STUDIES,ENVIRONMENT,PROF SER TECH-ENGINEERING SER,ATKINS LIMITED,0000192909,3653.50
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,26/07/2012,M/W FEASIBILITY STUDIES,ENVIRONMENT,PROF SER TECH-ENGINEERING SER,ATKINS LIMITED,0000192910,1133.50
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,26/07/2012,M/W FEASIBILITY STUDIES,ENVIRONMENT,PROF SER TECH-ENGINEERING SER,ATKINS LIMITED,0000192911,432.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,26/07/2012,CURR YR ADDNS MINEWATER SCHEME,ENVIRONMENT,PROF SER TECH-ENGINEERING SER,ATKINS LIMITED,0000192912,1650.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,26/07/2012,CURR YR ADDNS MINEWATER SCHEME,ENVIRONMENT,PROF SER TECH-ENGINEERING SER,ATKINS LIMITED,0000192913,281.25
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,26/07/2012,M/W FEASIBILITY STUDIES,ENVIRONMENT,PROF SER TECH-ENGINEERING SER,ATKINS LIMITED,0000192914,150.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,27/07/2012,M/W FEASIBILITY STUDIES,ENVIRONMENT,PROF SER TECH-ENGINEERING SER,ATKINS LIMITED,0000192915,1180.25
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,27/07/2012,CONSULTANTS TECHNICAL,ENVIRONMENT,PROF SER TECH-ENGINEERING SER,ATKINS LIMITED,0000192923,1027.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,26/07/2012,CURR YR ADDNS MINEWATER SCHEME,ENVIRONMENT,PROF SER TECH-ENGINEERING SER,ATKINS LIMITED,0000192926,4498.75
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,26/07/2012,CONSULTANTS TECHNICAL,ENVIRONMENT,PROF SER TECH-ENGINEERING SER,ATKINS LIMITED,0000192927,1329.50
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/07/2012,CURR YR ADDNS MINEWATER SCHEME,ENVIRONMENT,PROF SER TECH-ENGINEERING SER,MOTT MACDONALD LTD,0000193011,3166.08
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/07/2012,M/W FEASIBILITY STUDIES,ENVIRONMENT,PROF SER TECH-ENGINEERING SER,MOTT MACDONALD LTD,0000193013,590.90
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/07/2012,M/W FEASIBILITY STUDIES,ENVIRONMENT,PROF SER TECH-ENGINEERING SER,MOTT MACDONALD LTD,0000193014,2255.22
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,07/08/2012,LAND PURCHASE - NEW SCHEMES,ENVIRONMENT,PROF SER TECH-ENGINEERING SER,ATKINS LIMITED,0000193094,7566.50
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,02/08/2012,CURR YR ADDNS MINEWATER SCHEME,ENVIRONMENT,PROF SER TECH-ENGINEERING SER,OPUS INT CONSULTANTS (UK),0000193104,1322.01
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,07/08/2012,M/W FEASIBILITY STUDIES,ENVIRONMENT,PROF SER TECH-ENGINEERING SER,ATKINS LIMITED,0000193110,2190.50
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,02/07/2012,CURR YR ADDNS MINEWATER SCHEME,ENVIRONMENT,PROF SER TECH-ENGINEERING SER,OPUS INT CONSULTANTS (UK),0000193438,221.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/08/2012,M/W FEASIBILITY STUDIES,ENVIRONMENT,PROF SER TECH-ENGINEERING SER,ATKINS LIMITED,0000190418,2077.50
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,24/07/2012,WATER SAMPLING - OPERATIONAL,ENVIRONMENT,PROF SER TECH-FORENSIC/LAB SER,ENVIRONMENTAL SCIENTIFICS,0000192825,63.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,26/07/2012,WATER SAMPLING - OPERATIONAL,ENVIRONMENT,PROF SER TECH-FORENSIC/LAB SER,ENVIRONMENTAL SCIENTIFICS,0000192834,213.42
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,26/07/2012,WATER SAMPLING - OPERATIONAL,ENVIRONMENT,PROF SER TECH-FORENSIC/LAB SER,ENVIRONMENTAL SCIENTIFICS,0000192836,91.17
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/07/2012,WATER SAMPLING - OPERATIONAL,ENVIRONMENT,PROF SER TECH-FORENSIC/LAB SER,ENVIRONMENTAL SCIENTIFICS,0000192839,5962.13
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/06/2012,PAYMENTS TO AGENCIES FOR TEMPS,ENVIRONMENT,PROF SER TMP STFF-SPCLST CNTRT,ATKINS LIMITED,0000192830,500.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,26/07/2012,PAYMENTS TO AGENCIES FOR TEMPS,ENVIRONMENT,PROF SER TMP STFF-SPCLST CNTRT,ATKINS LIMITED,0000192916,9521.25
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,20/07/2012,PAYMENTS TO AGENCIES FOR TEMPS,ENVIRONMENT,PROF SER TMP STFF-TEMP WRKERS,KEY PERSONNEL SOLUTIONS L,0000192631,440.84
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,27/07/2012,PAYMENTS TO AGENCIES FOR TEMPS,ENVIRONMENT,PROF SER TMP STFF-TEMP WRKERS,KEY PERSONNEL SOLUTIONS L,0000192823,182.88
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,03/08/2012,PAYMENTS TO AGENCIES FOR TEMPS,ENVIRONMENT,PROF SER TMP STFF-TEMP WRKERS,KEY PERSONNEL SOLUTIONS L,0000193080,293.54
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,10/08/2012,PAYMENTS TO AGENCIES FOR TEMPS,ENVIRONMENT,PROF SER TMP STFF-TEMP WRKERS,KEY PERSONNEL SOLUTIONS L,0000193222,770.47
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,22/07/2012,CONSULTANTS TECHNICAL,ENVIRONMENT,PROF SER-ENVIRONMENTAL SRVICES,ENTECH USB LIMITED,0000192641,484.92
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/06/2012,M/W REMEDIATION - OPERATION,ENVIRONMENT,PROF SER-ENVIRONMENTAL SRVICES,TILHILL  FORESTRY LIMITED,0000192859,1217.95
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/06/2012,M/W REMEDIATION - OPERATION,ENVIRONMENT,PROF SER-ENVIRONMENTAL SRVICES,TILHILL  FORESTRY LIMITED,0000192859,213.60
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/06/2012,M/W REMEDIATION - OPERATION,ENVIRONMENT,PROF SER-ENVIRONMENTAL SRVICES,TILHILL  FORESTRY LIMITED,0000192861,1534.56
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/06/2012,M/W REMEDIATION - OPERATION,ENVIRONMENT,PROF SER-ENVIRONMENTAL SRVICES,TILHILL  FORESTRY LIMITED,0000192861,881.05
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/06/2012,M/W REMEDIATION - OPERATION,ENVIRONMENT,PROF SER-ENVIRONMENTAL SRVICES,TILHILL  FORESTRY LIMITED,0000192861,1014.62
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/06/2012,M/W REMEDIATION - OPERATION,ENVIRONMENT,PROF SER-ENVIRONMENTAL SRVICES,TILHILL  FORESTRY LIMITED,0000192861,969.03
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/06/2012,M/W REMEDIATION - OPERATION,ENVIRONMENT,PROF SER-ENVIRONMENTAL SRVICES,TILHILL  FORESTRY LIMITED,0000192861,1317.85
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/06/2012,M/W REMEDIATION - OPERATION,ENVIRONMENT,PROF SER-ENVIRONMENTAL SRVICES,TILHILL  FORESTRY LIMITED,0000192861,1069.69
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/06/2012,M/W REMEDIATION - OPERATION,ENVIRONMENT,PROF SER-ENVIRONMENTAL SRVICES,TILHILL  FORESTRY LIMITED,0000192861,406.53
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/06/2012,M/W REMEDIATION - OPERATION,ENVIRONMENT,PROF SER-ENVIRONMENTAL SRVICES,TILHILL  FORESTRY LIMITED,0000192861,881.10
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/06/2012,M/W REMEDIATION - OPERATION,ENVIRONMENT,PROF SER-ENVIRONMENTAL SRVICES,TILHILL  FORESTRY LIMITED,0000192861,723.24
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,01/08/2012,M/W LANDSCAPING SUPERVISION,ENVIRONMENT,PROF SER-ENVIRONMENTAL SRVICES,JMC ENGINEERING (UK) LTD,0000192888,148.20
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,02/08/2012,LEGAL COSTS,ENVIRONMENT,PROF SER-LEGAL SERVICES,NABARRO LLP,0000192989,3731.80
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,06/08/2012,LEGAL COSTS,ENVIRONMENT,PROF SER-LEGAL SERVICES,ANDERSON STRATHERN,0000193207,1106.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/08/2012,MEETINGS,ENVIRONMENT,TRAVEL&EVENTS-EVENT ORGNSTN,COMPANY BARCLAYCARD,0000193404,83.33
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/08/2012,STAFF EVENTS,ENVIRONMENT,TRAVEL&EVENTS-EVENT ORGNSTN,COMPANY BARCLAYCARD,0000193404,218.80
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/06/2012,HOTEL ACCOMMODATION,ENVIRONMENT,TRAVEL&EVENTS-HOTELS,REDFERN TRAVEL LTD,0000193064,23.46
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/06/2012,HOTEL ACCOMMODATION,ENVIRONMENT,TRAVEL&EVENTS-HOTELS,REDFERN TRAVEL LTD,0000193064,1791.68
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/07/2012,HOTEL ACCOMMODATION,ENVIRONMENT,TRAVEL&EVENTS-HOTELS,REDFERN TRAVEL LTD,0000193066,15.47
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/07/2012,HOTEL ACCOMMODATION,ENVIRONMENT,TRAVEL&EVENTS-HOTELS,REDFERN TRAVEL LTD,0000193066,1645.28
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/07/2012,HOTEL ACCOMMODATION,ENVIRONMENT,TRAVEL&EVENTS-HOTELS,REDFERN TRAVEL LTD,0000193071,-329.40
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,24/08/2012,HOTEL ACCOMMODATION,ENVIRONMENT,TRAVEL&EVENTS-HOTELS,STAFF EXPENSES CONTROL,0000193492,41.66
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/07/2012,FARES - RAIL,ENVIRONMENT,TRAVEL&EVENTS-RAIL,REDFERN TRAVEL LTD,0000193065,120.52
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/08/2012,FARES - RAIL,ENVIRONMENT,TRAVEL&EVENTS-RAIL,COMPANY BARCLAYCARD,0000193409,2.40
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/08/2012,INCIDENTALS,ENVIRONMENT,VEHICLES-FLEET MANAGEMENT,COMPANY BARCLAYCARD,0000193398,8.33
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/08/2012,INCIDENTALS,ENVIRONMENT,VEHICLES-FLEET MANAGEMENT,COMPANY BARCLAYCARD,0000193409,16.67
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/08/2012,INCIDENTALS,ENVIRONMENT,VEHICLES-FLEET MANAGEMENT,COMPANY BARCLAYCARD,0000193414,10.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,24/08/2012,INCIDENTALS,ENVIRONMENT,VEHICLES-FLEET MANAGEMENT,STAFF EXPENSES CONTROL,0000193497,7.50
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,24/08/2012,INCIDENTALS,ENVIRONMENT,VEHICLES-FLEET MANAGEMENT,STAFF EXPENSES CONTROL,0000193511,32.75
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/07/2012,CONTRACTORS - OPERATIONAL,ENVIRONMENT,WASTE MANAGEMENT-WSTE MNGT SER,PREMIER WASTE RECYCLING L,0000193103,22.04
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,10/08/2012,ELECTRICITY,FACILITIES MANAGEMENT,ENERGY&UTILITIES-ELECTRICITY,EDF ENERGY,0000193218,9482.60
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,19/07/2012,WATER CHARGES,FACILITIES MANAGEMENT,ENERGY&UTILITIES-WATER,SEVERN TRENT WATER,0000192817,2275.35
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,27/07/2012,TEMP STAFF - CANTEEN,FACILITIES MANAGEMENT,FACILITIES - CATERING,SEVEN DAY CATERING LIMITE,0000193075,3069.42
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/07/2012,MEETINGS,FACILITIES MANAGEMENT,FACILITIES - CATERING,SEVEN DAY CATERING LIMITE,0000193259,109.75
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/07/2012,CANTEEN PROVISIONS,FACILITIES MANAGEMENT,FACILITIES - CATERING,SEVEN DAY CATERING LIMITE,0000193260,123.81
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/07/2012,CANTEEN PROVISIONS,FACILITIES MANAGEMENT,FACILITIES - CATERING,SEVEN DAY CATERING LIMITE,0000193265,167.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/08/2012,CANTEEN EQUIPMENT,FACILITIES MANAGEMENT,FACILITIES - CATERING,COMPANY BARCLAYCARD,0000193413,18.66
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/08/2012,SITE MAINTENANCE,FACILITIES MANAGEMENT,FACILITIES - CLEANING,COMPANY BARCLAYCARD,0000193419,40.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/08/2012,CLEANING MATERIALS,FACILITIES MANAGEMENT,FACILITIES - CLEANING,COMPANY BARCLAYCARD,0000193419,442.15
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/08/2012,CANTEEN PROVISIONS,FACILITIES MANAGEMENT,FACILITIES - FOOD,COMPANY BARCLAYCARD,0000193419,459.38
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,22/08/2012,SUNDRY OFFICE EXPENSES,FACILITIES MANAGEMENT,FACILITIES - SECURITY,2 REPLACEMENT KEYS FOR PA,0000193449,33.42
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/08/2012,SITE SECURITY,FACILITIES MANAGEMENT,FACILITIES - SECURITY,KINGS ARMOURED SEC SERVS,0000193589,157.07
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,01/07/2012,SITE SERVICES,FACILITIES MANAGEMENT,FACILITIES-BUILDING MANAGEMENT,GREEN COMPLIANCE,0000193077,107.50
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,12/07/2012,SITE SERVICES,FACILITIES MANAGEMENT,FACILITIES-BUILDING MANAGEMENT,GARRY DALTON,0000193262,110.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,12/07/2012,SITE SERVICES,FACILITIES MANAGEMENT,FACILITIES-BUILDING MANAGEMENT,GARRY DALTON,0000193263,55.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,11/08/2012,SITE SERVICES,FACILITIES MANAGEMENT,FACILITIES-BUILDING MANAGEMENT,GARRY DALTON,0000193304,770.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,11/08/2012,SITE SERVICES,FACILITIES MANAGEMENT,FACILITIES-BUILDING MANAGEMENT,GARRY DALTON,0000193305,40.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,11/08/2012,SITE SERVICES,FACILITIES MANAGEMENT,FACILITIES-BUILDING MANAGEMENT,GARRY DALTON,0000193306,110.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,11/08/2012,SITE SERVICES,FACILITIES MANAGEMENT,FACILITIES-BUILDING MANAGEMENT,GARRY DALTON,0000193307,30.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,11/08/2012,SITE SERVICES,FACILITIES MANAGEMENT,FACILITIES-BUILDING MANAGEMENT,GARRY DALTON,0000193308,55.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,16/08/2012,SITE SERVICES,FACILITIES MANAGEMENT,FACILITIES-BUILDING MANAGEMENT,FOOD SERVICE SOLUTIONS UK,0000193349,68.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,15/08/2012,SITE MAINTENANCE,FACILITIES MANAGEMENT,FACILITIES-BUILDING MANAGEMENT,SHIRE SYSTEMS LIMITED,0000193482,99.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,23/07/2012,SITE SERVICES,FACILITIES MANAGEMENT,FUELS/LUBRCNT/GAS-FUELS,CALOR GAS LIMITED,0000192816,32.01
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/07/2012,FUEL (VEHICLE),FACILITIES MANAGEMENT,FUELS/LUBRCNT/GAS-FUELS,ALLSTAR BUSINESS SOLUTION,0000192975,101.22
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/07/2012,FUEL (VEHICLE),FACILITIES MANAGEMENT,FUELS/LUBRCNT/GAS-FUELS,ALLSTAR BUSINESS SOLUTION,0000192976,46.67
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/07/2012,FUEL (VEHICLE),FACILITIES MANAGEMENT,FUELS/LUBRCNT/GAS-FUELS,ALLSTAR BUSINESS SOLUTION,0000192977,85.96
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/07/2012,FUEL (VEHICLE),FACILITIES MANAGEMENT,FUELS/LUBRCNT/GAS-FUELS,ALLSTAR BUSINESS SOLUTION,0000192978,97.71
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/07/2012,FUEL (VEHICLE),FACILITIES MANAGEMENT,FUELS/LUBRCNT/GAS-FUELS,ALLSTAR BUSINESS SOLUTION,0000192979,57.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,06/08/2012,FUEL (VEHICLE),FACILITIES MANAGEMENT,FUELS/LUBRCNT/GAS-FUELS,ALLSTAR BUSINESS SOLUTION,0000193161,203.63
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,06/08/2012,FUEL (VEHICLE),FACILITIES MANAGEMENT,FUELS/LUBRCNT/GAS-FUELS,ALLSTAR BUSINESS SOLUTION,0000193162,29.59
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,06/08/2012,FUEL (VEHICLE),FACILITIES MANAGEMENT,FUELS/LUBRCNT/GAS-FUELS,ALLSTAR BUSINESS SOLUTION,0000193163,122.47
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,06/08/2012,FUEL (VEHICLE),FACILITIES MANAGEMENT,FUELS/LUBRCNT/GAS-FUELS,ALLSTAR BUSINESS SOLUTION,0000193164,57.72
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,06/08/2012,FUEL (VEHICLE),FACILITIES MANAGEMENT,FUELS/LUBRCNT/GAS-FUELS,ALLSTAR BUSINESS SOLUTION,0000193165,130.64
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,06/08/2012,FUEL (VEHICLE),FACILITIES MANAGEMENT,FUELS/LUBRCNT/GAS-FUELS,ALLSTAR BUSINESS SOLUTION,0000193166,111.49
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,06/08/2012,FUEL (VEHICLE),FACILITIES MANAGEMENT,FUELS/LUBRCNT/GAS-FUELS,ALLSTAR BUSINESS SOLUTION,0000193167,68.25
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,06/08/2012,FUEL (VEHICLE),FACILITIES MANAGEMENT,FUELS/LUBRCNT/GAS-FUELS,ALLSTAR BUSINESS SOLUTION,0000193168,51.22
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,06/08/2012,FUEL (VEHICLE),FACILITIES MANAGEMENT,FUELS/LUBRCNT/GAS-FUELS,ALLSTAR BUSINESS SOLUTION,0000193169,27.54
