Site,TotalCostsGBP,OccupiedArea(m2),OfficeFTEStaff,Workstations,CostPerFTEGBP,m2PerFTE,CostPerm2GBP,SqMPerWorkstation
Aviation House,7226431,8063,557,650,12974,14.5,896,12.4
St Magnus House,431934,1041,76,84,5683,13.7,415,12.4
Southgate House,221535,762,37,44,5987,20.6,291,17.3
Clarendon Quay,212729,511,37,43,5749,13.8,416,11.9
Foss House,,,,,,,,
