Date,Mentions,Engagements
2016-11-09,2898,2832
2016-11-10,1762,1414
2016-11-11,1924,1064
2016-11-12,2000,1198
2016-11-13,2691,1486
2016-11-14,1666,1141
2016-11-15,1803,1115
2016-11-16,1812,1018
2016-11-17,1783,971
2016-11-18,1903,921
2016-11-19,2100,925
2016-11-20,1837,962
2016-11-21,2360,1223
2016-11-22,1504,936
2016-11-23,1833,1287
2016-11-24,1988,2031
2016-11-25,1906,1764
2016-11-26,1715,1467
2016-11-27,1635,1022
2016-11-28,1994,1333
2016-11-29,2136,1193
2016-11-30,2152,1856
2016-12-01,2099,2659
2016-12-02,2035,1193
2016-12-03,1744,847
2016-12-04,1745,1004
2016-12-05,1632,1891
2016-12-06,2288,1577
2016-12-07,2319,1785
2016-12-08,1974,968
2016-12-09,2097,979
2016-12-10,1827,1345
2016-12-11,1659,1034
2016-12-12,1868,948
2016-12-13,1936,1005
2016-12-14,1959,1074
2016-12-15,1938,1188
2016-12-16,2123,1196
2016-12-17,1658,868
2016-12-18,1624,1221
2016-12-19,2334,1839
2016-12-20,2204,1609
2016-12-21,1883,1636
2016-12-22,2025,1404
2016-12-23,2661,1747
2016-12-24,2444,3272
2016-12-25,1852,1358
2016-12-26,1131,833
2016-12-27,1399,855
2016-12-28,1579,2034
2016-12-29,1862,1689
2016-12-30,2170,1367
2016-12-31,4348,3364
2017-01-01,2189,1828
2017-01-02,1739,1278
2017-01-03,1850,1116
2017-01-04,1907,1068
2017-01-05,2247,1407
2017-01-06,2309,1633
2017-01-07,2026,1169
2017-01-08,1795,1158
2017-01-09,1885,1209
2017-01-10,2100,1297
2017-01-11,2680,1669
2017-01-12,2769,2018
2017-01-13,3221,2052
2017-01-14,1955,1355
2017-01-15,1717,1196
2017-01-16,2185,1886
2017-01-17,1953,1822
2017-01-18,2102,1471
2017-01-19,2341,1453
2017-01-20,2227,1262
2017-01-21,2270,1659
2017-01-22,1857,1245
2017-01-23,2008,1044
2017-01-24,1907,1160
2017-01-25,2085,1126
2017-01-26,1815,1176
2017-01-27,2054,1686
2017-01-28,1894,1338
2017-01-29,1811,981
2017-01-30,1782,1251
2017-01-31,1849,1340
2017-02-01,1773,1201
2017-02-02,1483,990
2017-02-03,2118,1337
2017-02-04,1896,1122
2017-02-05,1755,1410
2017-02-06,1716,1123
2017-02-07,2320,2002
2017-02-08,1740,1062
2017-02-09,1973,1160
2017-02-10,2136,1386
2017-02-11,2035,1366
2017-02-12,1830,1311
2017-02-13,1865,1387
2017-02-14,2149,1213
2017-02-15,1531,1002
2017-02-16,1614,1373
2017-02-17,2969,1606
2017-02-18,2381,1480
2017-02-19,1968,1050
2017-02-20,2182,1535
2017-02-21,2513,1814
2017-02-22,3119,1908
2017-02-23,4907,3676
2017-02-24,2725,1539
2017-02-25,2349,1429
2017-02-26,1964,1193
2017-02-27,2084,1266
2017-02-28,2179,1718
2017-03-01,2206,1721
2017-03-02,2102,1394
2017-03-03,2141,1294
2017-03-04,2003,1012
2017-03-05,1926,936
2017-03-06,2033,1037
2017-03-07,2193,1147
2017-03-08,2086,1182
2017-03-09,2245,1215
2017-03-10,2183,1292
2017-03-11,2123,1162
2017-03-12,1887,1222
2017-03-13,2055,1279
2017-03-14,2623,1491
2017-03-15,2369,1448
2017-03-16,2445,1299
2017-03-17,2487,1363
2017-03-18,1916,1220
2017-03-19,1732,955
2017-03-20,329,263
