DirectorateTeam,PercentageUsedWisdom,PercentageAddedDocument,PercentageAdded10PlusDocuments,PercentageEmailedLink
Finance & Performance Total,1,0.86,0.73,0.43
Northern Ireland and Organisational Dev,0.98,0.78,0.62,0.53
"Openness, Data & Digital Total",0.98,0.59,0.39,0.39
Operational Delivery Group Total,0.86,0.38,0.22,0.13
Regulatory and Legal Strategy Directorate Total,0.96,0.74,0.54,0.3
Science and Policy Total,0.98,0.84,0.48,0.36
Wales & Regulatory Delivery Total,1,0.89,0.57,0.32
