Entity,GL Date,Merchant name,Amount,Description
DEFRA,06/07/2016,ENTERPRISE RENT-A-CAR,631.2, Car Renting
DEFRA,06/07/2016,ENTERPRISE RENT-A-CAR,631.2, Car Renting
DEFRA,12/07/2016,NULL,10410.54,Incorrect SOP transaction
JNCC,14/07/2016,Microsoft ,1200,8 x licences of Office 365 E3
KEW,11/07/2016,ARDLEIGH GUEST HOUSE,1170,"Accommodation for (I&N Asia Team) whilst attending the Flora Malesiana 10 Symposium at Royal Botanic Garden Edinburgh, 10-15 July."
KEW,14/07/2016,CIVIL SERVICE LEARNING,1114.8,Staff training - APM Project Management Qualification for Temperate House Project Co-ordinator 
KEW,15/07/2016,Kulturbrauerei AG,686.97,2 nights accomodation for 3 staff members visiting local gardens
KEW,22/07/2016,BARCONWOOD LTD,612.34,Purchase of Interpretation materials
MMO,20/05/2016,WWW.THEWATERFRONT.CO.U,670.08,2 x staff members attendance fee for the UK Ports Conference 2016
MMO,15/07/2016,AIRBNB,854,Staff member accommodation for 7 nights when on detached duty
NE,02/06/2016,ENVIRONMENT AGENCY,745.8,Water Framework Directive project to analyse the water quality of the inflows of the Midlands Meres - June 2015-October 2016
NE,02/06/2016,JEB SUPPLIES LIMITED,565.47,15 padlocks for security gates and barriers at Goss Moor National Nature Reserve
NE,02/06/2016,BEN BURGESS COATES,1300,Second payment of two for second-hand utility vehicle with ROPS system (roll cage) to replace old vehicle without roll cage for Woodwalton and Holme Fen National Nature Reserves
NE,02/06/2016,TRURO TRACTORS LTD,1665.33,"Servicing of tractor, hedge flail and trailers at Goss Moor National Nature Reserve"
NE,02/06/2016,INVESTEC ASSET FINANCE       ABINGDON     ,1427.44,Lease of Franking Machine at Crewe office -1 May-31 July 2016
NE,02/06/2016,ENVIRONMENT AGENCY,621.5,Water Framework Directive project to analyse the water quality of the inflows of the Midlands Meres - June 2015-October 2016
NE,03/06/2016,PEP PRINTERS,1013.2,Initial contact letters to landowners for the England Coast Path - Iwade to Grain in Kent stretch
NE,03/06/2016,ARCO LTD,1047.56,Refresher training for seven people for one day for use of self contained breathing apparatus - 22 January 2016
NE,06/06/2016,CRANFIELD UNIVERSITY,1400,"Staff training, subsistence and four nights accommodation for one person for five days for Use of Unmanned Aerial Vehicles (UAVs) for Environmental Monitoring - 25-29 July 2016"
NE,06/06/2016,ACLE GARDEN MACHINERY,779,One battery powered pole saw to replace old equipment at the Suffolk Coast National Nature Reserve
NE,06/06/2016,BROOK STREET (BUREAU),82447.57,Agency staff costs
NE,06/06/2016,BROOK STREET (BUREAU),62333.62,Agency staff costs
NE,06/06/2016,BRIGHT SPARK ELECTRICAL,691.5,Replacement Solar power inverter for Scolt Head Island National Nature Reserve
NE,06/06/2016,PAYPAL  RTPI,570,"Staff training for five people paid for in advance, for professional development training for land use staff."
NE,06/06/2016,WWW.MUTTSBUTTS.COM,516,Biodegradable dog waste bags for Saltfleetby and Theddlethorpe Dunes National Nature Reserve
NE,06/06/2016,BROOK STREET (BUREAU),84293.52,Agency staff costs
NE,06/06/2016,BROOK STREET (BUREAU),79340.94,Agency staff costs
NE,06/06/2016,BROOK STREET (BUREAU),67820.78,Agency staff costs
NE,06/06/2016,ENVIRONMENT AGENCY,2479.21,Water quality monitoring project at Malham Tarn to investigate condition and status of the site - 1 January-20 March 2016
NE,09/06/2016,WWW.KEDEL.CO.UK,943.92,150 recycled plastic posts for boardwalk project at Thursley National Nature Reserve
NE,09/06/2016,COPTHORNE HOTEL BIRMINGHAM,615,"Dinner, Bed and breakfast accommodation for five people for one night to attend Sustainable Development event with an early start - 18 April 2016"
NE,09/06/2016,CENTREWIRE,1100.67,Replacement gate for factory entrance on Bolton Fell Moss SAC (Special Area of Conservation)
NE,10/06/2016,MITCHELL & WEBBER LTD,1094.09,Bio-diesel for tractors at the Lizard National Nature Reserve
NE,10/06/2016,CR WILLCOCKS & CO,1004.68,"Repair of tractor at East Dartmoor, Yarner Wood National Nature Reserve"
NE,10/06/2016,FIELDFARE TRAILERS,769.26,Service of trailer stored at Parsonage Down National Nature Reserve
NE,10/06/2016,SOUTH WEST LAKES LTD,2285,Staff training and subsistence for 100 people for one day for Devon and Cornwall Area Team Conference - 27 April 2016
NE,13/06/2016,C I E E M,1300,Staff training and subsistence and one night accommodation for 12 people for two days for Training the Trainer course - November 2016
NE,13/06/2016,FORFARMERS UK LTD,621.25,Barley seed for Parsonage Down National Nature Reserve
NE,13/06/2016,WWW.WORLDOFPOWER.CO.UK,724.11,"One battery operated brush cutter and two spare batteries to replace old equipment for use at Cotswold Commons and Beechwoods, North Meadow and Bredon Hill National Nature Reserves"
NE,13/06/2016,WORLD OF TRAVEL,506.1,Venue hire and refreshments for 64 people for one day for Local Access Forum conference - 1 March 2016
NE,13/06/2016,ROAD PLANING SUPPLIES LTD,576,Road planings to repair hard surface for livestock feed bales at Parsonage Down National Nature Reserve
NE,13/06/2016,C I E E M,1300,Staff training and subsistence and one night accommodation for 12 people for two days for Training the Trainer course - November 2016
NE,13/06/2016,AVON WILDLIFE TRUST,2500,Contribution to Avalon Marshes Partnership Project to ensure agreed visitor plan - 2016-17
NE,13/06/2016,BRISTOL NATURAL HISTORY CONSORTIUM,2500,"Membership fees for ongoing partnership to deliver Festival of Nature, Bioblitz and Communicate Conference - 2016-17"
NE,13/06/2016,MAXWELLAMEN,593.1,14 bottles of herbicide for common ragwort control on the Wye National Nature Reserve
NE,13/06/2016,EAST MALLING TRUST,580,Staff training for one person for three days for Herbicide Sprayers Course - 13-15 June 2016 plus two hour assessment
NE,13/06/2016,WYNNSTAY ARGICULTURAL,786.65,Livestock feed and supplements and two water troughs with top-up box and fittings for Parsonage Down National Nature Reserve
NE,13/06/2016,WWW.SENSIBLESOLUTION.CO.UK,706.85,"Disinfectant for biosecurity station for Northumberland National Nature Reserves, to protect the juniper woods from disease"
NE,13/06/2016,SECOM PLC,651.99,Annual maintenance for security alarm and CCTV (Closed-circuit Television) at Northumberland National Nature Reserves base at Widdybank Farm - 1 May 2016-30 April 2017
NE,14/06/2016,BRIGHT SPARK ELECTRICAL,1941.23,Replacement batteries for solar lighting at Scolt Head Island National Nature Reserve
NE,14/06/2016,RIX PETROLEUM,560.48,"Diesel for pump at Thorne Moors, Humberhead Peatlands National Nature Reserve"
NE,15/06/2016,C SMART AGRICULTURAL SERVICES LTD,721.53,Service of tractor used at East Dorset National Nature Reserves
NE,15/06/2016,J SUTTLE TRANSPORT LTD,1044,"Hoggin aggregate (mix of gravel, sand and clay) to repair surfaces on the Sunnyside Tramway at Stodmarsh Heath National Nature Reserve"
NE,17/06/2016,ARCO LTD,727.94,"Ten branded fleece jackets, three branded waterproof jackets, two branded polo shirts, one branded gilet and one pair of over trousers, to be used by trainees at the East Dartmoor National Nature Reserve"
NE,17/06/2016,TUDOR ENVIRONMENTAL,652.52,Two chainsaws to replace old equipment at the Wyre Forest National Nature Reserve
NE,20/06/2016,ARCO LTD,856.8,Six life jackets to be used by staff when working on or near deep or running water
NE,21/06/2016,OVENDEN TIPPER SERVICE,600,20 tonnes of ragstone for track repairs at Stodmarsh National Nature Reserve
NE,21/06/2016,SHELLEY SIGNS LIMITED,2340,Three interpretation boards for Moccas Park National Nature Reserve
NE,22/06/2016,COLCHESTER BOROUGH COUNCIL,883.3,Non Domestic Business Rates for the Blackwater Estuary National Nature Reserve office - 1 April 2016-31 March 2017
NE,23/06/2016,ROYAL MAIL GROUP,2618.18,Postage costs to send out Environmental Stewardship claim letters for Newcastle office - 26 February-10 March 2016
NE,23/06/2016,WWW.BBOFFICESUPPLIES.CO.UK,582.3,Specialist office equipment and furniture for specific health and safety requirements
NE,24/06/2016,MARSHALL DIRECT LTD,970,"Hand-held scanner for tracking satellite tags on hen harriers, to be used by Natural England volunteers in the North and North-East of England"
NE,24/06/2016,KINGS LYNN & W NORFOLK,521.35,"Refuse collection charge for Dersingham Bog National Nature Reserve base, Norfolk - 2016-17"
NE,24/06/2016,POST OFFICE COUNTER,560,18 staff reward and recognition awards for Sustainable Development staff event
NE,24/06/2016,PARAMO LTD,515.7,One waterproof coat and four pairs of waterproof leggings for use by volunteers in North of England
NE,26/06/2016,CLARKES OF WALSHAM,970.26,Fencing materials for use at the Suffolk Coast National Nature Reserve
NE,26/06/2016,BROADLAND TOILET HIRE,628.8,Hire of two portable toilets on 1 May 2016 and six portable toilets on 25 May 2016 at Benacre National Nature Reserve
NE,27/06/2016,WWW.FINEMESHMETALS.CO.UK,567.72,40 gabion baskets for essential footpath maintenance at Ebbor Gorge National Nature Reserve
NE,27/06/2016,HARRISON CLARK RICKERBYS,1008,Negotiation between Natural England and Fisheries tenant over implementation of Fisheries Management Plan
NE,27/06/2016,ROYAL MAIL GROUP,1792.96,Postage costs for Newcastle office - 8th-14th  April 2016
NE,27/06/2016,BROOK STREET (BUREAU),84229.1,Agency staff costs
NE,27/06/2016,WWW.PB.COM,1540.8,Franking machine top-up (Bristol office) - 16 May 2016
NE,27/06/2016,BROOK STREET (BUREAU),62761.07,Agency staff costs
NE,27/06/2016,FRANCOTYP,1048,Franking machine Top-up - Crewe office (12 May 2016)
NE,27/06/2016,FRANCOTYP,1048,Franking machine Top-up - Crewe office (18 April 2016)
NE,27/06/2016,BROOK STREET (BUREAU),80600.58,Agency staff costs
NE,27/06/2016,BROOK STREET (BUREAU),82185.14,Agency staff costs
NE,27/06/2016,FRANCOTYP,2096,Franking Machine Top-up - Crewe office (5 May 2016)
NE,27/06/2016,WWW.BBOFFICESUPPLIES.CO.UK,689.1,Specialist office equipment and furniture for specific health and safety requirements
NE,27/06/2016,ROYAL MAIL GROUP,1686.02,Postage costs for Newcastle office - 11 March-7 April 2016
NE,28/06/2016,THE JERSEY FARM COUNTRY HOTEL,1276.25,"Venue hire, refreshments, lunches for 23 people for two days, with dinner on one day for meeting of Natural England Senior Leadership Team, the Board Flood Group and Natural England Board and external guests – 10-11 May 2016"
NE,28/06/2016,KENSEY TRANING LTD,810,Staff training for two people for two days for Handled Application of Chemicals training - 17-18 May 2016 plus assessment - 27 June 2016
NE,28/06/2016,WWW.THEWATERFRONT.CO.UK,658.8,Attendance only for one person for two days at the Annual UK Ports Conference - 24-25 May 2016
