"Reference Number","Decision","Decision Date","Officer Making Decision","Reason for Decision","Alternative Options Considered","Other Background Documents"
"B26/2015/0295","Refused","01/06/2015","Development Services Manager","In accordance with the Town and Country Planning Act 1990, Town and Country Planning (Development Management Procedure) Order 2010,Town and Country Planning (General Permitted Development) Order 1995, Town and Country Planning (General Permitted Development) Order 2013, Town and Country Planning (Control of Advertisements) Regulations 2007, Town and Country Planning (General Development Procedure) Order 2009, Town and Country Planning (Tree Preservation Order) Regulations 1999, Town and Country Planning (Tree Preservation) Regulations 2012","None","None"
"B20/2015/0241","Appcond","01/06/2015","Development Services Manager","In accordance with the Town and Country Planning Act 1990, Town and Country Planning (Development Management Procedure) Order 2010,Town and Country Planning (General Permitted Development) Order 1995, Town and Country Planning (General Permitted Development) Order 2013, Town and Country Planning (Control of Advertisements) Regulations 2007, Town and Country Planning (General Development Procedure) Order 2009, Town and Country Planning (Tree Preservation Order) Regulations 1999, Town and Country Planning (Tree Preservation) Regulations 2012","None","None"
"B18/2015/0222","Appcond","02/06/2015","Development Services Manager","In accordance with the Town and Country Planning Act 1990, Town and Country Planning (Development Management Procedure) Order 2010,Town and Country Planning (General Permitted Development) Order 1995, Town and Country Planning (General Permitted Development) Order 2013, Town and Country Planning (Control of Advertisements) Regulations 2007, Town and Country Planning (General Development Procedure) Order 2009, Town and Country Planning (Tree Preservation Order) Regulations 1999, Town and Country Planning (Tree Preservation) Regulations 2012","None","None"
"B21/2015/0297","Appcond","03/06/2015","Development Services Manager","In accordance with the Town and Country Planning Act 1990, Town and Country Planning (Development Management Procedure) Order 2010,Town and Country Planning (General Permitted Development) Order 1995, Town and Country Planning (General Permitted Development) Order 2013, Town and Country Planning (Control of Advertisements) Regulations 2007, Town and Country Planning (General Development Procedure) Order 2009, Town and Country Planning (Tree Preservation Order) Regulations 1999, Town and Country Planning (Tree Preservation) Regulations 2012","None","None"
"B31/2015/0308","Appcond","03/06/2015","Development Services Manager","In accordance with the Town and Country Planning Act 1990, Town and Country Planning (Development Management Procedure) Order 2010,Town and Country Planning (General Permitted Development) Order 1995, Town and Country Planning (General Permitted Development) Order 2013, Town and Country Planning (Control of Advertisements) Regulations 2007, Town and Country Planning (General Development Procedure) Order 2009, Town and Country Planning (Tree Preservation Order) Regulations 1999, Town and Country Planning (Tree Preservation) Regulations 2012","None","None"
"B15/2015/0268","Appcond","03/06/2015","Development Services Manager","In accordance with the Town and Country Planning Act 1990, Town and Country Planning (Development Management Procedure) Order 2010,Town and Country Planning (General Permitted Development) Order 1995, Town and Country Planning (General Permitted Development) Order 2013, Town and Country Planning (Control of Advertisements) Regulations 2007, Town and Country Planning (General Development Procedure) Order 2009, Town and Country Planning (Tree Preservation Order) Regulations 1999, Town and Country Planning (Tree Preservation) Regulations 2012","None","None"
"B21/2015/0237","Appcond","03/06/2015","Development Services Manager","In accordance with the Town and Country Planning Act 1990, Town and Country Planning (Development Management Procedure) Order 2010,Town and Country Planning (General Permitted Development) Order 1995, Town and Country Planning (General Permitted Development) Order 2013, Town and Country Planning (Control of Advertisements) Regulations 2007, Town and Country Planning (General Development Procedure) Order 2009, Town and Country Planning (Tree Preservation Order) Regulations 1999, Town and Country Planning (Tree Preservation) Regulations 2012","None","None"
"B21/2015/0291","Appcond","05/06/2015","Development Services Manager","In accordance with the Town and Country Planning Act 1990, Town and Country Planning (Development Management Procedure) Order 2010,Town and Country Planning (General Permitted Development) Order 1995, Town and Country Planning (General Permitted Development) Order 2013, Town and Country Planning (Control of Advertisements) Regulations 2007, Town and Country Planning (General Development Procedure) Order 2009, Town and Country Planning (Tree Preservation Order) Regulations 1999, Town and Country Planning (Tree Preservation) Regulations 2012","None","None"
"B21/2015/0150","Appcond","05/06/2015","Development Services Manager","In accordance with the Town and Country Planning Act 1990, Town and Country Planning (Development Management Procedure) Order 2010,Town and Country Planning (General Permitted Development) Order 1995, Town and Country Planning (General Permitted Development) Order 2013, Town and Country Planning (Control of Advertisements) Regulations 2007, Town and Country Planning (General Development Procedure) Order 2009, Town and Country Planning (Tree Preservation Order) Regulations 1999, Town and Country Planning (Tree Preservation) Regulations 2012","None","None"
"BLHC/2015/0012","Approved","10/06/2015","Development Services Manager","In accordance with the Town and Country Planning Act 1990, Town and Country Planning (Development Management Procedure) Order 2010,Town and Country Planning (General Permitted Development) Order 1995, Town and Country Planning (General Permitted Development) Order 2013, Town and Country Planning (Control of Advertisements) Regulations 2007, Town and Country Planning (General Development Procedure) Order 2009, Town and Country Planning (Tree Preservation Order) Regulations 1999, Town and Country Planning (Tree Preservation) Regulations 2012","None","None"
"BLHC/2015/0013","Approved","11/06/2015","Development Services Manager","In accordance with the Town and Country Planning Act 1990, Town and Country Planning (Development Management Procedure) Order 2010,Town and Country Planning (General Permitted Development) Order 1995, Town and Country Planning (General Permitted Development) Order 2013, Town and Country Planning (Control of Advertisements) Regulations 2007, Town and Country Planning (General Development Procedure) Order 2009, Town and Country Planning (Tree Preservation Order) Regulations 1999, Town and Country Planning (Tree Preservation) Regulations 2012","None","None"
"B21/2015/0288","Appcond","12/06/2015","Development Services Manager","In accordance with the Town and Country Planning Act 1990, Town and Country Planning (Development Management Procedure) Order 2010,Town and Country Planning (General Permitted Development) Order 1995, Town and Country Planning (General Permitted Development) Order 2013, Town and Country Planning (Control of Advertisements) Regulations 2007, Town and Country Planning (General Development Procedure) Order 2009, Town and Country Planning (Tree Preservation Order) Regulations 1999, Town and Country Planning (Tree Preservation) Regulations 2012","None","None"
"B22/2015/0278","Appcond","15/06/2015","Development Services Manager","In accordance with the Town and Country Planning Act 1990, Town and Country Planning (Development Management Procedure) Order 2010,Town and Country Planning (General Permitted Development) Order 1995, Town and Country Planning (General Permitted Development) Order 2013, Town and Country Planning (Control of Advertisements) Regulations 2007, Town and Country Planning (General Development Procedure) Order 2009, Town and Country Planning (Tree Preservation Order) Regulations 1999, Town and Country Planning (Tree Preservation) Regulations 2012","None","None"
"B21/2015/0265","Appcond","15/06/2015","Development Services Manager","In accordance with the Town and Country Planning Act 1990, Town and Country Planning (Development Management Procedure) Order 2010,Town and Country Planning (General Permitted Development) Order 1995, Town and Country Planning (General Permitted Development) Order 2013, Town and Country Planning (Control of Advertisements) Regulations 2007, Town and Country Planning (General Development Procedure) Order 2009, Town and Country Planning (Tree Preservation Order) Regulations 1999, Town and Country Planning (Tree Preservation) Regulations 2012","None","None"
"B26/2015/0294","Approved","15/06/2015","Development Services Manager","In accordance with the Town and Country Planning Act 1990, Town and Country Planning (Development Management Procedure) Order 2010,Town and Country Planning (General Permitted Development) Order 1995, Town and Country Planning (General Permitted Development) Order 2013, Town and Country Planning (Control of Advertisements) Regulations 2007, Town and Country Planning (General Development Procedure) Order 2009, Town and Country Planning (Tree Preservation Order) Regulations 1999, Town and Country Planning (Tree Preservation) Regulations 2012","None","None"
"B20/2015/0272","Appcond","17/06/2015","Development Services Manager","In accordance with the Town and Country Planning Act 1990, Town and Country Planning (Development Management Procedure) Order 2010,Town and Country Planning (General Permitted Development) Order 1995, Town and Country Planning (General Permitted Development) Order 2013, Town and Country Planning (Control of Advertisements) Regulations 2007, Town and Country Planning (General Development Procedure) Order 2009, Town and Country Planning (Tree Preservation Order) Regulations 1999, Town and Country Planning (Tree Preservation) Regulations 2012","None","None"
"B21/2015/0236","Appcond","17/06/2015","Development Services Manager","In accordance with the Town and Country Planning Act 1990, Town and Country Planning (Development Management Procedure) Order 2010,Town and Country Planning (General Permitted Development) Order 1995, Town and Country Planning (General Permitted Development) Order 2013, Town and Country Planning (Control of Advertisements) Regulations 2007, Town and Country Planning (General Development Procedure) Order 2009, Town and Country Planning (Tree Preservation Order) Regulations 1999, Town and Country Planning (Tree Preservation) Regulations 2012","None","None"
