Newcastle City Council Invoices over £500 paid in July 2010,,,,,,

Directorate,Service Area,Payment Date,Supplier Name,Internal Ref,Capital/ Revenue,Grand Total
Adult and Culture,Ad Serv-Welfare Rights-    ,19/07/10,IMAGE VISUAL COMMUNICATIONS,4741044,Revenue,745.00
Adult and Culture,Adult - Learning & Development   ,30/06/10,DURHAM UNIVERSITY,4720165,Revenue,3390.00
Adult and Culture,Adult - Learning & Development   ,21/07/10,GED LAING PERSONAL SAFETY TRAINING,4748140,Revenue,1279.20
Adult and Culture,Adult - Learning & Development   ,20/07/10,OPEN UNIVERSITY,4738416,Revenue,2785.00
Adult and Culture,Adult - Learning & Development   ,05/07/10,OPEN UNIVERSITY,4726191,Revenue,580.00
Adult and Culture,Adult Serv Admin Support   ,06/07/10,ALBANY OFFICE FURNITURE SOLUTIONS,4712111,Revenue,1963.50
Adult and Culture,Adult Serv Admin Support   ,13/07/10,ALBANY OFFICE FURNITURE SOLUTIONS,4712115,Revenue,4376.50
Adult and Culture,Adult Serv Admin Support   ,22/07/10,PASANTE LTD,4749786,Revenue,934.00
Adult and Culture,Adult Serv Admin Support   ,06/07/10,Redacted Personal Data,4707085,Revenue,1990.00
Adult and Culture,Adult Serv Capability's    ,01/07/10,ALBANY OFFICE EQUIPMENT (WHOLESALE) LTD,4695314,Capital,548.00
Adult and Culture,Adult Serv Capability's    ,12/07/10,CLAVERING STATIONERS,4705223,Capital,521.00
Adult and Culture,Adult Serv Capability's    ,01/07/10,OFFICE PERFECTION LTD,4710489,Capital,3534.00
Adult and Culture,Adult Serv Capability's    ,29/07/10,RENTOKIL INITIAL,4749651,Revenue,1203.82
Adult and Culture,Adult Serv Capability's    ,18/07/10,YELL,4741054,Revenue,785.00
Adult and Culture,Adult Serv Chirton House   ,01/07/10,N POWER NORTHERN LTD,4722617,Revenue,826.85
Adult and Culture,Adult Serv Chirton House   ,01/07/10,N POWER NORTHERN LTD,4722618,Revenue,705.43
Adult and Culture,Adult Serv Finance         ,26/07/10,ALBANY OFFICE EQUIPMENT (WHOLESALE) LTD,4738643,Revenue,1000.00
Adult and Culture,Adult Serv Finance         ,01/07/10,BEAVER BUSINESS GIFTS,4722560,Revenue,662.28
Adult and Culture,Adult Serv Finance         ,14/07/10,CIPFA,4738597,Revenue,620.00
Adult and Culture,Adult Serv Finance         ,20/07/10,DATASTOR,4745780,Revenue,1101.42
Adult and Culture,Adult Serv Finance         ,20/07/10,DATASTOR,4746189,Revenue,1228.57
Adult and Culture,Adult Serv Finance         ,04/07/10,IN CONTROL PARTNERSHIPS,4724027,Revenue,6500.00
Adult and Culture,Adult Serv Finance         ,07/07/10,JOHN MONK & CO,4729741,Revenue,3950.00
Adult and Culture,Adult Serv Finance         ,20/07/10,N POWER NORTHERN LTD,4738642,Revenue,643.95
Adult and Culture,Adult Serv Finance         ,28/07/10,N POWER NORTHERN LTD,4756564,Revenue,816.95
Adult and Culture,Adult Serv Finance         ,26/07/10,N POWER NORTHERN LTD,4752104,Revenue,1200.68
Adult and Culture,Adult Serv Finance         ,26/07/10,N POWER NORTHERN LTD,4752981,Revenue,1422.48
Adult and Culture,Adult Serv Finance         ,20/07/10,NEWCASTLE PCT,4746479,Revenue,998.12
Adult and Culture,Adult Serv Finance         ,30/06/10,NEWCASTLE PCT,4718421,Revenue,1032.17
Adult and Culture,Adult Serv Finance         ,28/07/10,NEWCASTLE PCT,4756565,Revenue,762.25
Adult and Culture,Adult Serv Finance         ,28/07/10,NEWCASTLE PCT,4756562,Revenue,1015.15
Adult and Culture,Adult Serv Finance         ,20/07/10,NEWCASTLE UPON TYNE HOSPITALS NHS TRUST,4745776,Revenue,2183.43
Adult and Culture,Adult Serv Finance         ,04/07/10,NORTHUMBERLAND TYNE & WEAR NHS TRUST,4724031,Revenue,6786.93
Adult and Culture,Adult Serv Finance         ,04/07/10,NORTHUMBERLAND TYNE & WEAR NHS TRUST,4724255,Revenue,5782.81
Adult and Culture,Adult Serv Finance         ,08/07/10,UNIVERSITY OF NORTHUMBRIA,4698881,Revenue,1500.00
Adult and Culture,Adult Serv Finance         ,21/07/10,UNIVERSITY OF NORTHUMBRIA,4747979,Revenue,840.00
Adult and Culture,Adult Serv Finance         ,21/07/10,UNIVERSITY OF NORTHUMBRIA,4748112,Revenue,12250.00
Adult and Culture,Adult Serv Finance         ,04/07/10,UNIVERSITY OF NORTHUMBRIA,4724029,Revenue,2216.00
Adult and Culture,Adult Serv Finance         ,04/07/10,UNIVERSITY OF NORTHUMBRIA,4724030,Revenue,2216.00
Adult and Culture,Adult Serv Finance         ,04/07/10,UNIVERSITY OF NORTHUMBRIA,4724254,Revenue,2216.00
Adult and Culture,Adult Serv Finance         ,04/07/10,UNIVERSITY OF NORTHUMBRIA,4724028,Revenue,2500.00
Adult and Culture,Adult Serv Future Jobs Fund      ,22/07/10,BUILDING FUTURES EAST,4749575,Revenue,15423.87
Adult and Culture,Adult Serv Future Jobs Fund      ,04/07/10,BUILDING FUTURES EAST,4723561,Revenue,14799.94
Adult and Culture,Adult Serv Future Jobs Fund      ,27/07/10,CRISIS UK,4716796,Revenue,2494.40
Adult and Culture,Adult Serv Future Jobs Fund      ,15/07/10,DWP JOB CENTRE PLUS NO1A/C,4723558,Revenue,10815.00
Adult and Culture,Adult Serv Future Jobs Fund      ,04/07/10,FAWDON COMMUNITY ASSOC.,4723559,Revenue,4396.90
Adult and Culture,Adult Serv Future Jobs Fund      ,21/07/10,JET,4740017,Revenue,3018.56
Adult and Culture,Adult Serv Future Jobs Fund      ,04/07/10,JET,4723560,Revenue,2518.56
Adult and Culture,Adult Serv Future Jobs Fund      ,22/07/10,LEMINGTON CENTRE,4749578,Revenue,509.59
Adult and Culture,Adult Serv Future Jobs Fund      ,08/07/10,NEWBURN LEISURE CENTRE,4729930,Revenue,749.15
Adult and Culture,Adult Serv Future Jobs Fund      ,08/07/10,NEWBURN LEISURE CENTRE,4729931,Revenue,870.00
Adult and Culture,Adult Serv Future Jobs Fund      ,30/06/10,NEWCASTLE SPORTS FOR YOUTH ACADEMY,4689172,Revenue,746.87
Adult and Culture,Adult Serv Future Jobs Fund      ,07/07/10,NEWCASTLE UPON TYNE YMCA,4689168,Revenue,4135.22
Adult and Culture,Adult Serv Future Jobs Fund      ,07/07/10,NORTHERN ARCHITECTURE,4729928,Revenue,912.96
Adult and Culture,Adult Serv Future Jobs Fund      ,07/07/10,NORTHERN ARCHITECTURE,4729929,Revenue,912.96
Adult and Culture,Adult Serv Future Jobs Fund      ,21/07/10,NORTHERN ARCHITECTURE,4748193,Revenue,912.96
Adult and Culture,Adult Serv Future Jobs Fund      ,22/07/10,NORTHERN LEARNING TRUST,4749579,Revenue,3256.00
Adult and Culture,Adult Serv Future Jobs Fund      ,20/07/10,NORTHUMBERLAND COUNTY SCOUT COUNCIL,4748192,Revenue,836.34
Adult and Culture,Adult Serv Future Jobs Fund      ,21/07/10,NORTHUMBERLAND COUNTY SCOUT COUNCIL,4740019,Revenue,836.34
Adult and Culture,Adult Serv Future Jobs Fund      ,22/07/10,THE ANGELOU CENTRE,4749576,Revenue,706.08
Adult and Culture,Adult Serv Future Jobs Fund      ,22/07/10,THE ANGELOU CENTRE,4749577,Revenue,561.24
Adult and Culture,Adult Serv Harehills       ,07/07/10,N POWER NORTHERN LTD,4729892,Revenue,546.38
Adult and Culture,Adult Serv Harehills       ,07/07/10,N POWER NORTHERN LTD,4729985,Revenue,687.27
Adult and Culture,Adult Serv Harehills       ,29/07/10,N POWER NORTHERN LTD,4758272,Revenue,665.01
Adult and Culture,Adult Serv Learn Disab     ,07/07/10,LA TAXIS,4729766,Revenue,1300.80
Adult and Culture,Adult Serv Learn Disab     ,07/07/10,LA TAXIS,4729767,Revenue,1309.80
Adult and Culture,Adult Serv Learn Disab     ,21/07/10,LA TAXIS,4748110,Revenue,1274.80
Adult and Culture,Adult Serv Learn Disab     ,07/07/10,NODA TAXIS LTD,4729770,Revenue,700.60
Adult and Culture,Adult Serv Learn Disab     ,07/07/10,NODA TAXIS LTD,4729780,Revenue,735.40
Adult and Culture,Adult Serv Learn Disab     ,21/07/10,NODA TAXIS LTD,4748138,Revenue,791.90
Adult and Culture,Adult Serv Lewcock House   ,21/07/10,N POWER NORTHERN LTD,4748141,Revenue,1178.89
Adult and Culture,Adult Serv Lewcock House   ,21/07/10,N POWER NORTHERN LTD,4748142,Revenue,1399.73
Adult and Culture,Adult Serv Lewcock House   ,21/07/10,N POWER NORTHERN LTD,4748143,Revenue,993.94
Adult and Culture,Adult Serv Lewcock House   ,21/07/10,N POWER NORTHERN LTD,4748144,Revenue,1050.28
Adult and Culture,Adult Serv Lewcock House   ,21/07/10,N POWER NORTHERN LTD,4748145,Revenue,1290.06
Adult and Culture,Adult Serv Occ Therapy     ,01/07/10,EASIBATHE,4698682,Revenue,531.47
Adult and Culture,Adult Serv Perf Dev        ,18/07/10,COMPLETE SOURCE LTD,4738568,Both,538.00
Adult and Culture,Adult Serv Phys Disab      ,20/07/10,NEWCASTLE AMBULANCE SERVICE,4746358,Revenue,1474.00
Adult and Culture,Adult Serv Phys Disab      ,07/07/10,NEWCASTLE AMBULANCE SERVICE,4729762,Revenue,1474.00
Adult and Culture,Adult Serv Phys Disab      ,07/07/10,NEWCASTLE AMBULANCE SERVICE,4729763,Revenue,1474.00
Adult and Culture,Adult Serv Sens Supp       ,07/07/10,RNID SOUND ADVANTAGE,4722543,Revenue,1084.52
Adult and Culture,Adult Serv Sens Supp       ,14/07/10,SARABEC LTD,4731251,Revenue,1764.30
Adult and Culture,Adult Serv Transport       ,15/07/10,HI Q TYRESERVICE,4740029,Revenue,1175.36
Adult and Culture,Adult Serv Transport       ,26/07/10,VIRGIN MEDIA,4753581,Capital,9216.88
Adult and Culture,Adult Serv Welf         ,01/07/10,Redacted Personal Data,4722549,Revenue,765.00
Adult and Culture,EEC Homeless               ,07/07/10,GVA GRIMLEY,4729731,Revenue,9937.50
Adult and Culture,EEC Homeless               ,07/07/10,GVA GRIMLEY,4729732,Revenue,6280.00
Adult and Culture,EEC Homeless               ,11/07/10,HAWDON CONTRACT SERVICES LTD,4734368,Revenue,528.00
Adult and Culture,Gosforth AE                ,13/07/10,UNITED CARLTON OFFICE SYSTEMS LTD,4736735,Revenue,579.25
Adult and Culture,Libraries/Galaxy Payments              ,30/06/10,ASKEWS LIBRARY SERVICES LTD,4720180,Revenue,573.02
Adult and Culture,Libraries/Galaxy Payments              ,30/06/10,ASKEWS LIBRARY SERVICES LTD,4720185,Revenue,701.66
Adult and Culture,Libraries/Galaxy Payments              ,30/06/10,ASKEWS LIBRARY SERVICES LTD,4720189,Revenue,602.52
Adult and Culture,Libraries/Galaxy Payments              ,30/06/10,ASKEWS LIBRARY SERVICES LTD,4720193,Revenue,776.64
Adult and Culture,Libraries/Galaxy Payments              ,07/07/10,ASKEWS LIBRARY SERVICES LTD,4730008,Revenue,952.91
Adult and Culture,Libraries/Galaxy Payments              ,14/07/10,ASKEWS LIBRARY SERVICES LTD,4738772,Revenue,758.25
Adult and Culture,Libraries/Galaxy Payments              ,21/07/10,BBC AUDIO BOOKS LTD,4747994,Revenue,658.09
