Parent Department,Organisation,Unit,Reporting SCS post reference,Grade,Payscale minimum,Payscale maximum,Generic job title,Number of such posts in FTE,Notes
Export Credits Guarantee Department,Export Credits Guarantee Department,Business Group,DBG001,PB10,46210,56630,,4,
Export Credits Guarantee Department,Export Credits Guarantee Department,Business Group,DBG001,PB11,56670,68890,,0,
Export Credits Guarantee Department,Export Credits Guarantee Department,Credit Risk Group,CPM001,PB01,18940,18940,,0,
Export Credits Guarantee Department,Export Credits Guarantee Department,Credit Risk Group,CPM001,PB02,20720,22670,,1,
Export Credits Guarantee Department,Export Credits Guarantee Department,Credit Risk Group,CPM001,PB03,25000,27770,,2,
Export Credits Guarantee Department,Export Credits Guarantee Department,Credit Risk Group,CPM001,PB06,28710,34700,,4,
Export Credits Guarantee Department,Export Credits Guarantee Department,Credit Risk Group,CPM001,PB07,35940,43250,,1,
Export Credits Guarantee Department,Export Credits Guarantee Department,Credit Risk Group,CPM001,PB10,46210,56630,,2,
Export Credits Guarantee Department,Export Credits Guarantee Department,Credit Risk Group,CPM001,PB11,56670,68890,,0,
Export Credits Guarantee Department,Export Credits Guarantee Department,Credit Risk Group,CRD001,PB01,18940,18940,,0,
Export Credits Guarantee Department,Export Credits Guarantee Department,Credit Risk Group,CRD001,PB02,20720,22670,,1,
Export Credits Guarantee Department,Export Credits Guarantee Department,Credit Risk Group,CRD001,PB03,25000,27770,,1,
Export Credits Guarantee Department,Export Credits Guarantee Department,Credit Risk Group,CRD001,PB06,28710,34700,,7,
Export Credits Guarantee Department,Export Credits Guarantee Department,Credit Risk Group,CRD001,PB07,35940,43250,,5,
Export Credits Guarantee Department,Export Credits Guarantee Department,Credit Risk Group,CRD001,PB10,46210,56630,,4,
Export Credits Guarantee Department,Export Credits Guarantee Department,Credit Risk Group,CRD001,PB11,56670,68890,,0,
Export Credits Guarantee Department,Export Credits Guarantee Department,Credit Risk Group,TRD001,PB01,18940,18940,,0,
Export Credits Guarantee Department,Export Credits Guarantee Department,Credit Risk Group,TRD001,PB02,20720,22670,,0,
Export Credits Guarantee Department,Export Credits Guarantee Department,Credit Risk Group,TRD001,PB03,25000,27770,,2,
Export Credits Guarantee Department,Export Credits Guarantee Department,Credit Risk Group,TRD001,PB06,28710,34700,,4,
Export Credits Guarantee Department,Export Credits Guarantee Department,Credit Risk Group,TRD001,PB07,35940,43250,,1,
Export Credits Guarantee Department,Export Credits Guarantee Department,Credit Risk Group,TRD001,PB10,46210,56630,,1,
Export Credits Guarantee Department,Export Credits Guarantee Department,Credit Risk Group,TRD001,PB11,56670,68890,,1,
Export Credits Guarantee Department,Export Credits Guarantee Department,Finance Group,BCF001,PB01,18940,18940,,0,
Export Credits Guarantee Department,Export Credits Guarantee Department,Finance Group,BCF001,PB02,20720,22670,,2,
Export Credits Guarantee Department,Export Credits Guarantee Department,Finance Group,BCF001,PB03,25000,27770,,5,
Export Credits Guarantee Department,Export Credits Guarantee Department,Finance Group,BCF001,PB06,28710,34700,,6,
Export Credits Guarantee Department,Export Credits Guarantee Department,Finance Group,BCF001,PB07,35940,43250,,2,
Export Credits Guarantee Department,Export Credits Guarantee Department,Finance Group,BCF001,PB10,46210,56630,,2,
Export Credits Guarantee Department,Export Credits Guarantee Department,Finance Group,BCF001,PB11,56670,68890,,0,
Export Credits Guarantee Department,Export Credits Guarantee Department,Finance Group,DFG001,PB01,18940,18940,,0,
Export Credits Guarantee Department,Export Credits Guarantee Department,Finance Group,DFG001,PB02,20720,22670,,0,
Export Credits Guarantee Department,Export Credits Guarantee Department,Finance Group,DFG001,PB03,25000,27770,,4,
Export Credits Guarantee Department,Export Credits Guarantee Department,Finance Group,DFG001,PB06,28710,34700,,4,
Export Credits Guarantee Department,Export Credits Guarantee Department,Finance Group,DFG001,PB07,35940,43250,,1,
Export Credits Guarantee Department,Export Credits Guarantee Department,Finance Group,DFG001,PB10,46210,56630,,2,
Export Credits Guarantee Department,Export Credits Guarantee Department,Finance Group,DFG001,PB11,56670,68890,,1,
Export Credits Guarantee Department,Export Credits Guarantee Department,Finance Group,IFD001,PB01,18940,18940,,0,
Export Credits Guarantee Department,Export Credits Guarantee Department,Finance Group,IFD001,PB02,20720,22670,,0,
Export Credits Guarantee Department,Export Credits Guarantee Department,Finance Group,IFD001,PB03,25000,27770,,1,
Export Credits Guarantee Department,Export Credits Guarantee Department,Finance Group,IFD001,PB06,28710,34700,,3,
Export Credits Guarantee Department,Export Credits Guarantee Department,Finance Group,IFD001,PB07,35940,43250,,6,
Export Credits Guarantee Department,Export Credits Guarantee Department,Finance Group,IFD001,PB10,46210,56630,,2,
Export Credits Guarantee Department,Export Credits Guarantee Department,Finance Group,IFD001,PB11,56670,68890,,0,
Export Credits Guarantee Department,Export Credits Guarantee Department,General Counsels Office,GCO001,PB01,18940,18940,,0,
Export Credits Guarantee Department,Export Credits Guarantee Department,General Counsels Office,GCO001,PB02,20720,22670,,3,
Export Credits Guarantee Department,Export Credits Guarantee Department,General Counsels Office,GCO001,PB03,25000,27770,,1,
Export Credits Guarantee Department,Export Credits Guarantee Department,General Counsels Office,GCO001,PB06,28710,34700,,0,
Export Credits Guarantee Department,Export Credits Guarantee Department,General Counsels Office,GCO001,PB07,35940,43250,,0,
Export Credits Guarantee Department,Export Credits Guarantee Department,General Counsels Office,GCO001,PB10,46210,56630,,0,
Export Credits Guarantee Department,Export Credits Guarantee Department,General Counsels Office,GCO001,PB11,56670,68890,,10,
Export Credits Guarantee Department,Export Credits Guarantee Department,Other,CXO001,PB01,18940,18940,,1,
Export Credits Guarantee Department,Export Credits Guarantee Department,Other,CXO001,PB02,20720,22670,,1,
Export Credits Guarantee Department,Export Credits Guarantee Department,Other,CXO001,PB03,25000,27770,,1,
Export Credits Guarantee Department,Export Credits Guarantee Department,Other,CXO001,PB06,28710,34700,,3,
Export Credits Guarantee Department,Export Credits Guarantee Department,Other,CXO001,PB07,35940,43250,,5,
Export Credits Guarantee Department,Export Credits Guarantee Department,Other,CXO001,PB10,46210,56630,,2,
Export Credits Guarantee Department,Export Credits Guarantee Department,Other,CXO001,PB11,56670,68890,,1,
Export Credits Guarantee Department,Export Credits Guarantee Department,Other,HRD001,PB01,18940,18940,,4.1,
Export Credits Guarantee Department,Export Credits Guarantee Department,Other,HRD001,PB02,20720,22670,,3,
Export Credits Guarantee Department,Export Credits Guarantee Department,Other,HRD001,PB03,25000,27770,,3.6,
Export Credits Guarantee Department,Export Credits Guarantee Department,Other,HRD001,PB06,28710,34700,,5,
Export Credits Guarantee Department,Export Credits Guarantee Department,Other,HRD001,PB07,35940,43250,,3,
Export Credits Guarantee Department,Export Credits Guarantee Department,Other,HRD001,PB10,46210,56630,,1,
Export Credits Guarantee Department,Export Credits Guarantee Department,Other,HRD001,PB11,56670,68890,,0,
