Force,All crimes (total) December 2011,All crimes (total) December 2010,All crimes (total) December 2009,Victim-based crimes December 2011,Victim-based crimes December 2010,Victim-based crimes December 2009,Non Victim-based crimes December 2011,Non Victim-based crimes December 2010,Non Victim-based crimes December 2009,Fraud and Forgery December 2011,Fraud and Forgery December 2010,Fraud and Forgery December 2009,Violence (all) December 2011,Violence (all) December 2010,Violence (all) December 2009,Violence With Injury December 2011,Violence With Injury December 2010,Violence With Injury December 2009,Violence Without Injury December 2011,Violence Without Injury December 2010,Violence Without Injury December 2009,Sexual offences (all) December 2011,Sexual offences (all) December 2010,Sexual offences (all) December 2009,Rape December 2011,Rape December 2010,Rape December 2009,Other sexual offences December 2011,Other sexual offences December 2010,Other sexual offences December 2009,Stealing (all) December 2011,Stealing (all) December 2010,Stealing (all) December 2009,Burglary (all) December 2011,Burglary (all) December 2010,Burglary (all) December 2009,Robbery (all) December 2011,Robbery (all) December 2010,Robbery (all) December 2009,Vehicle Crime December 2011,Vehicle Crime December 2010,Vehicle Crime December 2009,Other stealing December 2011,Other stealing December 2010,Other stealing December 2009,Burglary From a House December 2011,Burglary From a House December 2010,Burglary From a House December 2009,Burglary Non-Domestic December 2011,Burglary Non-Domestic December 2010,Burglary Non-Domestic December 2009,Robbery From a Person December 2011,Robbery From a Person December 2010,Robbery From a Person December 2009,Robbery From a Business December 2011,Robbery From a Business December 2010,Robbery From a Business December 2009,Shoplifting December 2011,Shoplifting December 2010,Shoplifting December 2009,Criminal damage and arson December 2011,Criminal damage and arson December 2010,Criminal damage and arson December 2009,Public disorder December 2011,Public disorder December 2010,Public disorder December 2009,Drug offences December 2011,Drug offences December 2010,Drug offences December 2009,Crime disrupted December 2011,Crime disrupted December 2010,Crime disrupted December 2009,Other non-victim based crimes December 2011,Other non-victim based crimes December 2010,Other non-victim based crimes December 2009,Drugs Trafficking December 2011,Drugs Trafficking December 2010,Drugs Trafficking December 2009,Possessing or using drugs December 2011,Possessing or using drugs December 2010,Possessing or using drugs December 2009
Avon & Somerset,73.17,74.45,80.46,60.95,63.39,69.11,9.23,8.52,8.31,0.01,0,0,11.55,11.85,12.77,6.02,6.33,7.04,5.53,5.52,5.73,0.93,0.82,0.9,0.29,0.21,0.22,0.64,0.6,0.67,36.44,37.9,40.29,8.64,9.67,10.91,0.77,0.9,1.13,6.58,7.48,8.84,13.25,12.84,12.5,3.53,4.36,4.7,5.11,5.31,6.21,0.72,0.84,1.06,0.05,0.06,0.07,7.2,7,6.91,12.03,12.82,15.15,4.41,4.36,4.39,4.36,3.71,3.47,0.02,0.02,0.01,0.44,0.43,0.44,0.44,0.32,0.36,3.92,3.39,3.11
Bedfordshire,70.24,70.93,70.77,61.52,62.48,63.06,5.46,5.41,5.01,0,0,0.01,12,11.84,10.44,6.91,7.41,6.91,5.09,4.43,3.53,0.59,0.68,0.77,0.09,0.19,0.29,0.5,0.49,0.47,37.16,37.17,38.25,10.19,11.33,10.99,1.29,1.37,1.23,8.31,8.07,9.95,11.41,10.73,10.62,5.49,6.48,5.96,4.7,4.85,5.02,1.2,1.24,1.14,0.09,0.13,0.09,5.95,5.67,5.46,11.77,12.79,13.59,2.25,2.3,2.14,2.82,2.58,2.3,0.06,0.05,0.03,0.33,0.47,0.55,0.4,0.46,0.51,2.42,2.12,1.79
Cambridgeshire,67.14,73.63,79.63,57.41,63.93,70.55,7.12,6.61,6.5,2.03,0,0,9.92,11.42,11.13,4.99,5.9,6.06,4.93,5.52,5.06,0.9,1.02,0.91,0.25,0.3,0.24,0.66,0.72,0.67,35.62,39.48,42.74,8.22,8.86,10.8,0.56,0.8,1.03,6.1,7.34,8.8,15.4,16.32,15.95,3.63,4.44,5.29,4.59,4.42,5.51,0.51,0.72,0.96,0.05,0.08,0.06,5.34,6.16,6.17,10.97,12.02,15.78,2.62,3.09,2.73,3.93,2.87,3.03,0.25,0.28,0.35,0.31,0.37,0.38,0.61,0.38,0.39,3.33,2.49,2.64
Cheshire,60.59,64.27,68.57,52.25,55.12,59.92,5.99,6.54,6.37,0.35,0.92,1.64,9.98,10.92,11.23,5.81,6.51,6.95,4.17,4.41,4.28,0.79,0.73,0.67,0.21,0.18,0.15,0.58,0.55,0.53,30.31,31.59,33.51,7.66,8.2,8.96,0.35,0.37,0.51,5.59,6.29,7.43,10.96,10.87,10.72,3.23,3.52,4.14,4.43,4.67,4.82,0.25,0.29,0.39,0.1,0.08,0.11,5.76,5.87,5.89,11.17,11.88,14.5,2.02,2.65,2.73,3.44,3.29,2.99,0.25,0.22,0.27,0.28,0.38,0.39,0.41,0.52,0.47,3.03,2.77,2.52
Cleveland,79.37,77.28,89.26,69.74,66.06,77.14,7.37,8.86,9.58,2.68,0.59,0.55,12.56,13.26,13.96,7.88,8.2,8.63,4.69,5.05,5.33,1.09,1.01,0.95,0.35,0.33,0.26,0.75,0.68,0.69,39.07,35.22,40.35,9.54,8.59,10.53,0.55,0.51,0.54,6.57,6.04,8.22,13.74,11.35,11.91,4.44,4.18,4.54,5.1,4.41,5.98,0.49,0.46,0.48,0.06,0.05,0.06,8.67,8.73,9.15,17.02,16.58,21.88,2.68,3.16,3.95,4.21,5.19,5.06,0.16,0.15,0.11,0.31,0.36,0.45,0.68,1.15,1.08,3.53,4.04,3.99
Cumbria,53.83,54.37,58.11,44.43,45.27,48.89,7.51,7.28,7.21,0.02,3.26,3.42,9.92,9.82,9.93,5.55,5.81,6.07,4.37,4.01,3.86,0.87,0.79,0.72,0.26,0.25,0.19,0.61,0.54,0.53,20.59,20.66,22.39,4.24,4.32,5.23,0.14,0.13,0.08,3.19,3.42,4.19,7.88,8.14,7.9,1.31,1.39,1.58,2.94,2.92,3.65,0.12,0.08,0.07,0.02,0.04,0.02,5.14,4.65,4.98,13.06,14,15.85,3.16,3.07,3.73,3.78,3.65,2.98,0.07,0.05,0.04,0.5,0.51,0.45,0.53,0.8,0.49,3.25,2.85,2.49
Derbyshire,62.76,65.52,69.49,55.37,57.77,62.26,4.97,5.25,4.81,0.02,0.01,0.01,11.94,13.06,12.27,6.79,8.39,8.65,5.15,4.67,3.62,0.91,1.15,1.08,0.28,0.32,0.29,0.63,0.83,0.79,30.71,30.73,33.48,8.05,8.43,9.25,0.59,0.8,0.91,5.69,6.09,7.96,11.59,10.83,10.69,3.32,3.71,3.87,4.73,4.73,5.39,0.54,0.72,0.81,0.05,0.08,0.09,4.79,4.58,4.67,11.81,12.83,15.43,1.59,1.95,1.9,2.71,2.57,2.2,0.31,0.29,0.27,0.36,0.43,0.44,0.43,0.54,0.51,2.28,2.03,1.69
Devon & Cornwall,53.62,52.11,57.42,45.65,44.26,49.34,6.19,6.23,5.99,0.01,0.02,0.01,10.49,10.03,10.1,6.42,6.15,6.3,4.07,3.88,3.8,1.08,1.01,0.91,0.35,0.32,0.27,0.73,0.68,0.64,23.29,21.83,24.25,5.76,5.21,5.71,0.29,0.26,0.25,4.28,4.33,5.31,8.78,8.2,8.83,2.47,2.13,2.19,3.29,3.08,3.52,0.27,0.24,0.22,0.02,0.02,0.03,4.18,3.83,4.14,10.79,11.38,14.08,2.68,2.73,2.6,3.08,3.06,2.95,0.13,0.12,0.13,0.3,0.31,0.31,0.53,0.49,0.5,2.55,2.57,2.45
Dorset,65.62,64.4,69.66,58.79,57.18,61.97,4.4,4.89,4.91,0.06,0.01,0.03,10.92,11.02,12.45,6.43,6.29,6.9,4.49,4.74,5.54,0.86,1.06,1.13,0.24,0.32,0.31,0.62,0.73,0.83,35.05,32.42,33.58,7.87,7.72,7.86,0.37,0.34,0.32,6.47,5.89,7.06,14.97,13.3,13.21,2.75,2.71,2.67,5.12,5.01,5.19,0.33,0.3,0.27,0.04,0.04,0.05,5.38,5.17,5.12,11.95,12.68,14.8,1.86,2.12,2.33,2.32,2.47,2.23,0,0.01,0,0.23,0.3,0.35,0.3,0.52,0.33,2.01,1.94,1.9
Durham,59.43,59.94,70.22,52.22,52.8,62.11,5.45,5.4,5.96,0,0.02,0.02,8.38,8.79,8.97,5.16,5.41,5.92,3.22,3.38,3.05,0.76,0.78,0.64,0.24,0.24,0.2,0.52,0.53,0.44,29.98,28.38,32.91,7.61,7.89,9.8,0.19,0.19,0.31,5.9,6.03,7.83,11.67,10.08,9.75,2.72,3.03,4.03,4.89,4.86,5.77,0.16,0.16,0.26,0.03,0.03,0.05,4.6,4.18,5.22,13.11,14.85,19.6,2.32,2.5,3.13,2.53,2.44,2.4,0.2,0.07,0.03,0.4,0.39,0.4,0.61,0.67,0.65,1.92,1.77,1.75
