List,Year,Order,Level,Award,Name,Citation,County
New Year,2011,Knighthoods,Kt,Knight Bachelor,Professor Robert James Timothy WILSON ,"Lately Vice-Chancellor, University of Hertfordshire.  For services to Higher Education and to Business.",Hertfordshire
New Year,2011,Knights Grand Cross of the Order of the Bath,GCB,Knight Grand Cross of the Order of the Bath,Sir David John NORMINGTON KCB,"Lately Permanent Secretary, Home Office.",Surrey
New Year,2011,Knights Commander of the Order of the Bath,KCB,Knight Commander of the Order of the Bath,Mr Stephen Charles LAWS CB,"First Parliamentary Counsel, Office of the Parliamentary Counsel.",London
New Year,2011,Knights Commander of the Order of the Bath,KCB,Knight Commander of the Order of the Bath,Mr Bruce ROBINSON ,Head of the Northern Ireland Civil Service.,Belfast
New Year,2011,Companions of the Order of the Bath,CB,Companion of the Order of the Bath,Professor Brian Stanley COLLINS ,"Chief Scientific Adviser, Department for Business, Innovation and Skills.",London
New Year,2011,Companions of the Order of the Bath,CB,Companion of the Order of the Bath,Mrs Yasmin DIAMOND ,"Director of Communications, Home Office.",London
New Year,2011,Companions of the Order of the Bath,CB,Companion of the Order of the Bath,Ms Carolyn DOWNS ,"Chief Executive, Legal Services Commission, Ministry of Justice.",Oxfordshire
New Year,2011,Companions of the Order of the Bath,CB,Companion of the Order of the Bath,Dr Andrew William GOUDIE FRSE,"Director-General Economy and Chief Economic Adviser, Scottish Government.",Edinburgh
New Year,2011,Companions of the Order of the Bath,CB,Companion of the Order of the Bath,Mr Andrew Fleming HIND ,"Lately Chief Executive, Charity Commission for England and Wales.",London
New Year,2011,Companions of the Order of the Bath,CB,Companion of the Order of the Bath,Ms Hilary JACKSON ,For public service.,London
New Year,2011,Companions of the Order of the Bath,CB,Companion of the Order of the Bath,Mr Mark Andrew LOWCOCK ,"Director-General, Country Programmes, Department for International Development.",Surrey
New Year,2011,Companions of the Order of the Bath,CB,Companion of the Order of the Bath,Ms Una O'BRIEN ,"Lately Director-General, Policy and Strategy, Department of Health.",London
New Year,2011,Companions of the Order of the Bath,CB,Companion of the Order of the Bath,Mr Nigel Watkin Roberts SMITH ,"Lately Chief Executive, Office of Government Commerce, Cabinet Office.",Buckinghamshire
New Year,2011,Companions of the Order of the Bath,CB,Companion of the Order of the Bath,Mr Peter Francis UNWIN ,"Director-General, Environment and Rural Group, Department for Environment, Food and Rural Affairs.",London
New Year,2011,Companions of the Order of St Michael and St George,CMG,Companion of the Order of St Michael and St George,Mr Thomas FLETCHER ,Lately Foreign Policy Adviser to the Prime Minister.,London
New Year,2011,Knights Grand Cross of the Order of the British Empire,GBE,Knight Grand Cross of the Order of the British Empire,Earl John Roundell SELBORNE KBE,For services to Science.,Hampshire
New Year,2011,Knights Grand Cross of the Order of the British Empire,GBE,Knight Grand Cross of the Order of the British Empire,Lord Arthur George WEIDENFELD ,Publisher.  For public service.,London
New Year,2011,Dames Commander of the Order of the British Empire,DBE,Dame Commander of the Order of the British Empire,Ms Patricia Anne BACON ,"Principal, St Helens College.  For services to local and national Further Education.",Cheshire
New Year,2011,Dames Commander of the Order of the British Empire,DBE,Dame Commander of the Order of the British Empire,Ms Anne BEGG ,For services to Disabled People and to Equal Opportunities.,Aberdeenshire
New Year,2011,Dames Commander of the Order of the British Empire,DBE,Dame Commander of the Order of the British Empire,Lady Antonia FRASER CBE,Historian and Author.  For services to Literature.,London
New Year,2011,Dames Commander of the Order of the British Empire,DBE,Dame Commander of the Order of the British Empire,Professor Caroline HUMPHREY ,"Professor of Collaborative Anthropology, University of Cambridge.  For services to Scholarship.",Cambridgeshire
New Year,2011,Dames Commander of the Order of the British Empire,DBE,Dame Commander of the Order of the British Empire,Mrs Susan JOHN ,"Headteacher, Lampton School, London Borough of Hounslow.  For services to local and national Education.",London
New Year,2011,Dames Commander of the Order of the British Empire,DBE,Dame Commander of the Order of the British Empire,Miss Felicity Joan PALMER CBE,Mezzo Soprano. For services to Music.,London
New Year,2011,Dames Commander of the Order of the British Empire,DBE,Dame Commander of the Order of the British Empire,Mrs Indira PATEL OBE,For services to Human Rights.,London
New Year,2011,Dames Commander of the Order of the British Empire,DBE,Dame Commander of the Order of the British Empire,Professor Helen Sarah WALLACE CMG FBA,"Centennial Professor, European Institute, London School of Economics and Political Science.  For services to Social Science.",London
New Year,2011,Dames Commander of the Order of the British Empire,DBE,Dame Commander of the Order of the British Empire,Ms Harriet Mary WALTER CBE,Actor. For services to Drama.,London
New Year,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Miss Evelyn Jean Selby ARNOLD ,"Deputy Director, State Pensions Policy, Department for Work and Pensions.",Hertfordshire
New Year,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mrs Sheila AUDSLEY ,"Lately Headteacher, Clifton Green Primary School, York.  For services to local and national Education.",North Yorkshire
New Year,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Ms Kirstin BAKER ,"Lately Head, Financial Stability Team, HM Treasury.",Edinburgh
New Year,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Francis BARON OBE,"Lately Chief Executive, Rugby Football Union.  For services to Sport.",East Sussex
New Year,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Rabbi Dr Anthony Michael BAYFIELD ,For services to British Reform Judaism,London
New Year,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Professor John BENINGTON ,"Emeritus Professor of Public Policy and Management, Warwick Business School.  For public service.",West Midlands
New Year,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Professor Stephen BLACKMORE ,"Regius Keeper, Royal Botanic Garden Edinburgh.  For services to Plant Conservation.",Edinburgh
New Year,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr George William BOLSOVER ,"Chairman, Aggregate Industries.  For services to the Construction Industry.",Worcestershire
New Year,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Dr Christopher Paul Hadley BROWN ,"Director, Ashmolean Museum, University of Oxford.  For services to Museums.",Oxfordshire
New Year,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Ian Arthur BROWN ,"Managing Director, London Rail, Transport for London.  For services to the Rail Industry.",London
New Year,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Joe BROWN MBE,For services to Rock Climbing and to Mountaineering.,Gwynedd
New Year,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Dr Lindsay BURLEY ,"Lately Chair, National Waiting Times Centre Board.  For services to the NHS in Scotland.",Lothian
New Year,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Ravi Parkash CHAND QPM,"Head of Equality and Diversity, Home Office.",Northamptonshire
New Year,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Keith Edward Frank CLARKE ,"Chief Executive Officer, WS Atkins plc.  For services to Engineering and to the Construction Industry.",London
New Year,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Andrew COLE ,"Director Operations, Specialist Investigations, Bootle, Merseyside, HM Revenue and Customs.",Clwyd
New Year,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Professor Michael John COOKE ,"Chief Executive, Nottinghamshire Healthcare NHS Trust.  For services to Mental Healthcare.",Cheshire
New Year,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Howard COOPER ,"Director of Children's Services, Wirral Metropolitan Borough Council.  For services to Local Government.",Merseyside
New Year,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Leslie Thomas CRAMP ,"Deputy Chief Executive, Insolvency Service, Department for Business, Innovation and Skills.",Kent
New Year,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mrs Allison CROMPTON ,"Headteacher, Middleton Technology School, Rochdale.  For services to local and national Education.",Greater Manchester
New Year,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Dr Peter Geoffrey CULLUM ,"Chairman, Towergate Partnership.  For services to Business and to Charity.",Kent
New Year,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Ian Mark Marshall DALTON ,"Chief Executive, North East Strategic Health Authority.  For services to the NHS.",Durham
New Year,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Mark DAMAZER ,"Lately Controller of Radio 4, BBC.  For services to Broadcasting.",London
New Year,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Stephen Howard DAVIES ,Director.  For services to Drama.,London
New Year,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Dr Minaxi Sharad DESAI ,"Consultant Cytopathologist and Clinical Director, Manchester Royal Infirmary.  For services to Women's Healthcare.",Greater Manchester
New Year,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Ronald James DOBSON QFSM,"Commissioner, London Fire and Emergency Planning Authority. For services to Local Government.",London
New Year,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mrs Joyce DRUMMOND-HILL ,"Head, Audit and Corporate Assurance, National Offender Management Service, Ministry of Justice.",West Sussex
New Year,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Gerard James Patrick EADIE ,For services to the Glazing Industry and to the Voluntary Sector in Scotland.,Fife
New Year,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Jason FEENEY ,"Chief Operating Officer, Pension, Disability and Carers' Service, Department for Work and Pensions.",West Yorkshire
New Year,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Professor John FISHER ,"Professor of Mechanical Engineering and Deputy Vice-Chancellor, University of Leeds.  For services to Biomedical Engineering.",West Yorkshire
New Year,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Dr Peter FITZGERALD ,"Managing Director, Randox Laboratories Ltd.  For services to Business in Northern Ireland.",Antrim
New Year,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mrs Angiolina FOSTER ,"Director, Strategy and Ministerial Support, Scottish Government.",Glasgow
New Year,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mrs Angela Jane FROST ,"Director, Individual Customer Directorate, London, HM Revenue and Customs.",London
New Year,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr David Stuart FROST ,"Director-General, British Chambers of Commerce.  For services to Business.",London
New Year,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Professor Michael Gordon FULFORD ,"Professor of Archaeology, University of Reading.  For services to Scholarship.",Berkshire
New Year,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Professor Hugh Charles Jonathan GODFRAY FRS,"Hope Professor of Entomology, University of Oxford.  For services to Science.",Oxfordshire
New Year,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Howard Lindsay GOODALL ,National Ambassador for Singing.  For services to Music Education.,London
New Year,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Christopher Samuel GORDON CLARK ,For services to the Academy of Culinary Arts.,London
New Year,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Edward Peter GOSTLING ,For services to the Voluntary Sector.,Surrey
New Year,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Dr Dennis GUNNING ,"Lately Director, Skills, Higher Education and Lifelong Learning Group, Welsh Assembly Government.",Cardiff
New Year,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Ali HADAWI ,"Principal, Southend Adult Community College.  For services to Vocational Education in Iraq and to Further Education.",London
New Year,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mrs Donna HALL ,"Chief Executive, Chorley and Wyre Borough Councils.  For services to Local Government in Lancashire.",Lancashire
New Year,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Professor Katharine HAMNETT ,Designer.  For services to the Fashion Industry.,London
New Year,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Ms Sheila Cameron HANCOCK OBE,Actor.  For services to Drama.,London
New Year,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Ronald David HARKER OBE,"Lately Chief Executive, Citizens' Advice.  For services to the Voluntary Sector.",London
New Year,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Kenneth George HARVEY ,"Chairman, Pennon Group plc. For services to the Utility Industries.",Buckinghamshire
New Year,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Peter Richard HEAD OBE,"Director, Arup.  For services to Civil Engineering and to the Environment.",London
New Year,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Professor Graham HENDERSON ,"Vice-Chancellor, University of Teesside.  For services to local and national Higher Education.",North Yorkshire
New Year,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Professor Stephen HOLGATE ,"Professor of Immunopharmacology, University of Southampton.  For services to Clinical Science.",Hampshire
New Year,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Professor Julian Meurglyn HOPKIN ,"Rector for Medicine and Health, University of Swansea.  For services to Medicine.",Swansea
New Year,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Ms Sandra HORLEY OBE,"Chief Executive, Refuge.  For services to the Prevention of Domestic Violence.",London
New Year,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Trevor Charles HORN ,Record Producer.  For services to the Music Industry.,London
New Year,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Ms Eileen Margaret HUMPHREYS OAM,"Founder and International Director, Child Migrants Trust.  For services to Disadvantaged People.",Nottinghamshire
New Year,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Edward David Brynmor JONES ,For services to Architecture.,London
New Year,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Lionel JOYCE OBE,"Lately Commissioner, Legal Services Commission.  For services to the Administration of Justice.",Tyne and Wear
New Year,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Dr Raymond Stuart KELVIN ,"Founder and Chief Executive, Ted Baker.  For services to the Fashion Industry.",London
New Year,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Anthony Denis KENNAN OBE,"Chairman, Multiple Sclerosis Society.  For services to Healthcare.",Durham
New Year,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr George KERR ,For services to Judo.,Edinburgh
New Year,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Professor Ronald Alfred LASKEY ,"Lately Professor of Embryology, University of Cambridge and lately Director, Medical Research Council Cancer Cell Unit. For services to Science.",Cambridgeshire
New Year,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr John Hardress Wilfred LLOYD ,Radio and Television Producer.  For services to Broadcasting.,Oxfordshire
New Year,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Ms Rosalynde LOWE ,"Chair, Queen's Nursing Institute.  For services to Healthcare.",London
New Year,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Christopher Colin MACLEHOSE ,For services to the Publishing Industry.,London
New Year,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Wayne MCGREGOR ,Choreographer.  For services to Dance.,London
New Year,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Professor Quintin MCKELLAR ,"Principal, Royal Veterinary College.  For services to Science.",Hertfordshire
New Year,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Steve Rodney MCQUEEN OBE,For services to the Visual Arts.,London
New Year,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Jonathan Edward MOOR ,"Director, Aviation Directorate, Department for Transport.",Buckinghamshire
New Year,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Robert Stewart NAPIER ,"Chairman, Homes and Communities Agency and the Met Office.  For public service.",West Sussex
New Year,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Nigel Thomas NEWCOMEN ,Deputy Chief Inspector of Prisons.  For public service.,Surrey
New Year,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Simon NORRIS ,"Deputy Director, Central Policy, London, HM Revenue and Customs.",London
New Year,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Michael John OGLESBY ,For services to Business and to Charity in the North West.,Greater Manchester
New Year,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Hamish Macgregor OGSTON ,"Non-Executive Director, CPP Group plc.  For services to Business and to the community in York.",London
New Year,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Michael Antonio PARKER ,"Chairman, King's College Hospital NHS Foundation Trust.  For services to the NHS.",London
New Year,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Dr Richard Newton PARKER ,"Lately Principal, Chichester College.  For services to local and national Further Education.",East Riding of Yorkshire
New Year,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Giles Dominic St Richard PEGRAM ,"Lately Director of Fundraising, NSPCC.  For services to the Voluntary Sector.",London
New Year,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mrs Farah RAMZAN GOLANT ,"Executive Chairman, Abbott Mead Vickers BBDO.  For services to the Advertising Industry.",London
New Year,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Hon Philip John REMNANT ,For services to the Financial Services Industry and to the Public Sector.,Hampshire
New Year,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Robert Nigel RICKETTS ,"Director, System Management and New Enterprise, Department of Health.",Bedfordshire
New Year,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mrs Diane Mary ROBERTS ,"Principal, Brockenhurst College, Hampshire.  For services to Further Education.",Isle of Wight
New Year,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Dr John Anthony ROBERTS QC DL,"For services to the Administration of Justice, Diversity and to Equal Opportunities.",London
New Year,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Ms Amanda ROWLATT ,"Director of Analysis and Child Poverty, Department for Work and Pensions.",London
New Year,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Dr Sheila Joan SHRIBMAN ,"National Clinical Director for Children, Young People and Maternity, London.  For services to Medicine.",Northamptonshire
New Year,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Dr Ambrose Joseph SMITH ,"Principal, Aquinas Sixth Form College, Stockport.  For services to local and national Education.",Derbyshire
New Year,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mrs Carole Lesley SOUTER ,"Chief Executive, National Heritage Memorial Fund and Heritage Lottery Fund.  For services to Conservation.",London
New Year,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Ms Katrine SPORLE ,"Chief Executive, Planning Inspectorate, Department for Communities and Local Government.",Hampshire
New Year,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr David SUCHET OBE,Actor.  For services to Drama.,London
New Year,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Alastair John SYKES ,"Lately Chairman and Chief Executive, Nestlé UK.  For services to the Food Industry.",Oxfordshire
New Year,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Museji  Ahmed TAKOLIA ,For services to Diversity and to Equal Opportunities.,Gloucestershire
New Year,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mrs Ann TATE ,"Lately Vice-Chancellor, University of Northampton.  For services to Higher Education.",Suffolk
New Year,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mrs Sheila Margaret TAYLOR ,"Headteacher, Annette Street Primary School, Glasgow.  For services to local and national Education in Scotland.",Renfrewshire
New Year,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Ms Sara Joanne THORNTON QPM,"Chief Constable, Thames Valley Police.  For services to the Police.",Oxfordshire
New Year,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Arthur TORRINGTON OBE,"Co-Founder, Equiano Society.  For services to Black British Heritage.",London
New Year,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Professor Nicholas TYLER ,"Head of Department and Chadwick Professor of Civil Engineering, University College London.  For services to Technology.",London
New Year,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Ms Janet VITMAYER ,"Chief Executive and Director, Horniman Museum.  For services to Museums.",London
New Year,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Professor John WALLACE OBE,"Principal, Royal Scottish Academy of Music and Drama.  For services to Dance, Music and Drama Education in Scotland.",Glasgow
New Year,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Ms Alison Jane WARD ,"Chief Executive,Torfaen County Borough Council.  For services to Local Government.",Monmouthshire
New Year,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Richard WENTWORTH ,Sculptor.  For services to Art.,London
New Year,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Rt Rev Martin WHARTON ,For services to the Church of England and to the community in the North East.,Tyne and Wear
New Year,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Graham Clive WHITE ,"Director, International Energy and Technology, Department of Energy and Climate Change.",Surrey
New Year,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Brian Paul WHITTAKER ,"Chief Crown Prosecutor, Merseyside and Chairman, Cheshire and Mersey Group, Crown Prosecution Service.",Merseyside
New Year,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Tom WILLIAMS ,"Executive Vice-President of Programmes, Airbus SAS.  For services to the Aerospace Industry.",Ayrshire and Arran
New Year,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Dr David WILSON ,Philanthropist. For services to Young People.,Leicestershire
New Year,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Roger Leslie WILSON ,"Founder, Sarcoma UK Charity.  For services to Healthcare.",Shropshire
New Year,2011,Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Mrs Sarah AARONSON ,For services to Music and to Charity.,London
New Year,2011,Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Mr John David ADAMS ,"General-Secretary, Voluntary Organisations Disability Group.  For services to Social Care.",Wiltshire
New Year,2011,Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Mrs Charubala AINSCOUGH ,"Founder and Chair, Sahara Project.  For services to Black and Minority Ethnic People in Lancashire.",Lancashire
New Year,2011,Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Councillor Nasim ALI ,"Councillor, London Borough of Camden.  For services to Local Government.",London
New Year,2011,Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Mr Adrian ALLEN ,"Commercial Director, Advanced Manufacturing Research Centre.  For services to Industry in the Yorkshire and Humber Region.",South Yorkshire
New Year,2011,Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Miss Kay ALLEN ,For services to Equal Opportunities and to Diversity.,Wiltshire
New Year,2011,Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Mrs Jill ALLEN-KING MBE,For services to Blind and Partially Sighted People.,Essex
New Year,2011,Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Mrs Ellah Wakatama ALLFREY ,For services to the Publishing Industry.,London
New Year,2011,Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Mr Brian AMBROSE ,"Chief Executive, George Best Belfast City Airport.  For services to the Aviation Industry.",Down
New Year,2011,Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Mr Roger Arthur Simon AMES ,"Lately Honorary Secretary, Air Squadron.  For voluntary service to Aviation.",Surrey
New Year,2011,Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Mr Bruce Patrick ARMSTRONG TD,"Consultant Nurse and Emergency Planning Officer, Basingstoke and North Hampshire NHS Foundation Trust.  For services to Healthcare.",Hampshire
New Year,2011,Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Ms Andrea ARNOLD ,Director.  For services to the Film Industry.,London
New Year,2011,Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Mrs Helen ASHBY ,"Curator, National Railway Museum, York.  For services to Heritage.",North Yorkshire
