Senior official (SCS2 and above),Start date of trip,Duration of Visit,Destination,Purpose of trip,Mode of transport - air,Accommodation/Meals,Mode of transport - rail,Mode of transport - Eurostar,Mode of Transport - taxi,"PURPOSE - DETAIL - Include information on reason for type of ticket bought - eg economy, no further information required,  club class - reason it was required. (Delete from version for publishing)",Other (including hospitality given),"Total cost, including all visas, accommodation, travel, meals etc (£)",Total Cost of Use of Official Secure Car
Robin Grimes - Chief Scientific Adviser,18 September 2015,1 day,Exeter,Outreach visit to Met Office,N/A,,Standard,N/A,N/A,Return economy class railfare. ,N/A,,
Robin Grimes - Chief Scientific Adviser,21 September 2015,1 day,France (Paris),1 day visit to Paris to speak at the SFEN 2015 Global Conference (the French Association of Nuclear Energy),N/A,,Standard,N/A,Standard,Return economy class Eurostar fare London St Pancras - Paris Gare du Nord.  Taxi Paris Gare du Nord to Porte Maillot,N/A,,
Robin Grimes - Chief Scientific Adviser,30 September 2015,1 day,London Olympia,Give Introductory talk at European Society for Biobanking Conference,N/A,,N/A,N/A,Standard,"Taxi from venue to next event at Royal Society, timing of events did not allow enough time between venues to use public transport. ",N/A,,
Jill Gallard - Director Human Resources,Nil return,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,,N/A,N/A,
Iain Walker - Director Finance,24 August 2015,N/A,Cobham,Taxi taken from train station-home as left office very late,N/A,,N/A,N/A,Standard,,N/A,£6,
Iain Walker - Director Finance,2 September 2015,1 day,Newcastle,Civil Service Live event,N/A,,Standard,N/A,Standard,Rail - Economy. Taxi to/from venue - train station.,N/A,£140,
Sarah MacIntosh - Director General Defence and Intelligence,3 August 2015,4 days,"Jordan, Oman",4 day official visit to Jordan and Oman,Business/Economy,,Standard,,,Return business class airfare on outward/return legs due. to meetings on arrival on both legs. Economy airfare between Jordan and Oman. Accomodation/meals provided by Post in both locations. Heathrow Express from LHR.,N/A,"£2,366",
Sarah MacIntosh - Director General Defence and Intelligence,17 August 2015,2 days,Edinburgh,Attend the Military Tattoo as a guest of the Governor of Edinburgh Castle,N/A,,Standard,,,Dinner and accomodation provided at Edinburgh Castle.,Hospitality provided by Edinburgh Castle,£134,
Sarah MacIntosh - Director General Defence and Intelligence,7 September 2015,4 days,Japan,To lead the UK/Japan PolMil talks with MOD,Business,,Standard,,,"Return business class fare, cheaper than outward journey in business and return journey in economy. Agreed by PUS office. Heathrow Express from LHR. Accomodation/meals provided by Post.",n/a,"£2,695",
Matthew Rycroft - UK Permanent Representative to UN,5 July 2015,7 days,London,Attend Senior Leadership Conference,Business/Economy,,Standard,n/a,Yes,NY to London flight was business class as had to travel overnight and go straight to meetings on arrival in London; NB assume information on travel to London is required for Matthew as he is based in New York!,n/a,"£3,171",
Shamik Dhar - Director Economics Unit,10 September 2015,11/09/2015,Berlin,To attend Chief Economist meeting,Standard,,n/a,n.a,n/a,Economy class air ticket.,None,£586,
Peter Hill - Director Strategy,N/A,,,,,,,,,,,,
Hugh Elliott - Director Communications,16 July 2015,1 day,UK - GCHQ,Travel for various meetings,,,Economy,,Yes,,None,£172,
Hugh Elliott - Director Communications,22 September 2015,1 day,UK - Bristol,Attending Civil Service Live Bristol (incl. Speaker slot),,Meal,Economy,,,,None,£83,
