ExtractionDate,PublisherLabel,PublisherURI,BeneficiaryName,OrganisationType,CompanyNumber,CharityNumber,AwardDate,PaymentDate,GrantDuration,Department,GrantProgrammeName,TotalGrantAwarded,TotalCostOfProject,GrantPaid2015/16,PurposeOfGrant,GeoAreaURI,GeoAreaLabel
23/11/2016,South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,Kendal First Responders,Community Group,,,15/01/2016,07/03/2016,One off,Partnerships and Organisational Development,Members locality budget scheme 2015/16,400,,400,Equipment for the service,http://statistics.data.gov.uk/id/statistical-geography/E05003257,Kendal Romney
23/11/2016,South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,Kendal Town Council,Local Authority,,,06/01/2016,29/03/2016,One off,Partnerships and Organisational Development,Members locality budget scheme 2015/16,1000,,1000,Footpath,http://statistics.data.gov.uk/id/statistical-geography/,Kendal Stonecross
23/11/2016,South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,Hallgarth Young People Organisation,Community Group,,,29/09/2015,14/10/2015,One off,Partnerships and Organisational Development,Members locality budget scheme 2015/16,150,,150,Young People Functions - Halloween/Christmas,http://statistics.data.gov.uk/id/statistical-geography/,Kendal Strickland
23/11/2016,South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,Kendal First Responders,Community Group,,,09/01/2016,18/01/2016,One off,Partnerships and Organisational Development,Members locality budget scheme 2015/16,200,,200,Funds towards equipment,http://statistics.data.gov.uk/id/statistical-geography/,Kendal Strickland
23/11/2016,South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,Right2Work,Community Group,,,30/12/2015,02/03/2016,One off,Partnerships and Organisational Development,Members locality budget scheme 2015/16,450,,450,Upholstery Project,http://statistics.data.gov.uk/id/statistical-geography/,Kendal Strickland
23/11/2016,South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,Hallgarth Young People Organisation,Community Group,,,08/08/2015,09/03/2016,One off,Partnerships and Organisational Development,Members locality budget scheme 2015/16,150,,150,Young People Functions - Halloween/Christmas,http://statistics.data.gov.uk/id/statistical-geography/,Kendal Strickland
23/11/2016,South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,Kendal First Responders,Community Group,,,10/03/2016,14/03/2016,One off,Partnerships and Organisational Development,Members locality budget scheme 2015/16,200,,200,Funds towards equipment's,http://statistics.data.gov.uk/id/statistical-geography/,Kendal Strickland
23/11/2016,South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,St Thomas's Church,Community Group,,,07/08/2015,23/09/2016,One off,Partnerships and Organisational Development,Members locality budget scheme 2015/16,100,,100,Hallgarth Lunch Club,http://statistics.data.gov.uk/id/statistical-geography/E05003260,Kendal Underley
23/11/2016,South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,Hallgarth Management Centre Committee,community Group,,,18/09/2015,14/10/2015,One off,Partnerships and Organisational Development,Members locality budget scheme 2015/16,425,,425,Funding for pop-up café,http://statistics.data.gov.uk/id/statistical-geography/E05003260,Kendal Underley
23/11/2016,South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,Helsington Parish Council,Local Authority,,,05/02/2016,16/03/2016,One off,Partnerships and Organisational Development,Members locality budget scheme 2015/16,390,,390,Development of new website,http://statistics.data.gov.uk/id/statistical-geography/,Levens
23/11/2016,South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,Heversham Parish Council,Local Authority,,,09/03/2016,06/04/2016,One off,Partnerships and Organisational Development,Members locality budget scheme 2015/16,303.95,,303.95,Community Garden,http://statistics.data.gov.uk/id/statistical-geography/,Levens
23/11/2016,South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,Levens Parish Council,Local Authority,,,09/03/2016,22/03/2016,One off,Partnerships and Organisational Development,Members locality budget scheme 2015/16,305,,305,Community Project,http://statistics.data.gov.uk/id/statistical-geography/,Levens
23/11/2016,South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,Ulverston Rangers Football Club,Community Group,,,02/03/2016,22/03/2016,One off,Partnerships and Organisational Development,Members locality budget scheme 2015/16,500,,500,Equipment for football club,http://statistics.data.gov.uk/id/statistical-geography/,Low Furness
23/11/2016,South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,Friends of the X112,Community Group,,,02/03/2016,29/03/2016,One off,Partnerships and Organisational Development,Members locality budget scheme 2015/16,500,,500,Painting of bus shelters on route and promotion of the service.,http://statistics.data.gov.uk/id/statistical-geography/,Low Furness
23/11/2016,South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,Witherslack Village Hall,Community Group,,,23/11/2015,30/11/2015,One off,Partnerships and Organisational Development,Members locality budget scheme 2015/16,500,,500,Village hall improvements,http://statistics.data.gov.uk/id/statistical-geography/,Lyth Valley
23/11/2016,South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,Pennington Parish Council,Local Authority,,,12/09/2015,28/10/2015,One off,Partnerships and Organisational Development,Members locality budget scheme 2015/16,250,,250,Harry Christian VC Event ,http://statistics.data.gov.uk/id/statistical-geography/,Mid Furness
23/11/2016,South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,Swarthmoor Junior Football Club,Community Group,,,23/02/2016,06/04/2016,One off,Partnerships and Organisational Development,Members locality budget scheme 2015/16,750,,750,New football kit,http://statistics.data.gov.uk/id/statistical-geography/,Mid Furness
23/11/2016,South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,Swarthmoor Junior Football Club,Community Group,,,02/03/2016,09/03/2016,One off,Partnerships and Organisational Development,Members locality budget scheme 2015/16,750,,750,New football kit,http://statistics.data.gov.uk/id/statistical-geography/,Mid Furness
23/11/2016,South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,Pennington Parish Council,Local Authority,,,12/03/2016,29/03/2016,One off,Partnerships and Organisational Development,Members locality budget scheme 2015/16,250,,250,Harry Christian VC Event ,http://statistics.data.gov.uk/id/statistical-geography/,Mid Furness
23/11/2016,South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,Milnthorpe Parish Council,Local Authority,,,12/02/2016,24/02/2016,One off,Partnerships and Organisational Development,Members locality budget scheme 2015/16,300,,300,Speed watch Scheme,http://statistics.data.gov.uk/id/statistical-geography/E05003265,Milnthorpe
23/11/2016,South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,Mansergh Community Hall,Community Group,,,25/02/2016,14/03/2016,One off,Partnerships and Organisational Development,Members locality budget scheme 2015/16,1000,,1000,Improvement to Mansergh Community Hall,http://statistics.data.gov.uk/id/statistical-geography/E05003266,Sedbergh and Kirkby Lonsdale
23/11/2016,South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,Dent Primary School,Local Authority,,,09/03/2016,14/03/2016,One off,Partnerships and Organisational Development,Members locality budget scheme 2015/16,1000,,1000,Sound Boards,http://statistics.data.gov.uk/id/statistical-geography/E05003266,Sedbergh and Kirkby Lonsdale
23/11/2016,South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,Kentmere Parish Meeting,Community Group,,,12/03/2016,22/03/2016,One off,Partnerships and Organisational Development,Members locality budget scheme 2015/16,100,,100,Notice Boards,http://statistics.data.gov.uk/id/statistical-geography/,Staveley-in-Westmorland
23/11/2016,South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,Staveley with Ings Parish Council,Local Authority,,,13/03/2016,22/03/2016,One off,Partnerships and Organisational Development,Members locality budget scheme 2015/16,700,,700,,http://statistics.data.gov.uk/id/statistical-geography/,Staveley-in-Westmorland
23/11/2016,South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,Ulverston Town Council,Local Authority,,,16/11/2015,23/11/2015,One off,Partnerships and Organisational Development,Members locality budget scheme 2015/16,800,,800,New bus shelters,http://statistics.data.gov.uk/id/statistical-geography/,Ulverston Central
23/11/2016,South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,Friends of Lightburn Park,Community Group,,,22/03/2016,06/04/2016,One off,Partnerships and Organisational Development,Members locality budget scheme 2015/16,200,,200,Towards planting and public liability insurance,http://statistics.data.gov.uk/id/statistical-geography/,Ulverston Central
23/11/2016,South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,Ulverston Candlelit Walk Group,Community Group,,,29/07/2015,04/11/2015,One off,Partnerships and Organisational Development,Members locality budget scheme 2015/16,300,,300,Ulverston Candlelit Walk,http://statistics.data.gov.uk/id/statistical-geography/,Ulverston East
23/11/2016,South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,NW Ambulance Service Charitable Fund,Community Group,,,11/03/2016,16/03/2016,One off,Partnerships and Organisational Development,Members locality budget scheme 2015/16,1000,,1000,Defibrillator ,http://statistics.data.gov.uk/id/statistical-geography/,Ulverston North
23/11/2016,South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,Ulverston BID Company,Community Group,,,05/11/2015,23/11/2015,One off,Partnerships and Organisational Development,Members locality budget scheme 2015/16,750,,750,Light Up Christmas Trees,http://statistics.data.gov.uk/id/statistical-geography/,Ulverston West
23/11/2016,South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,Sandylands Methodist Church,Community Group,,,16/02/2016,17/02/2016,One off,Partnerships and Organisational Development,Members locality budget scheme 2015/16,953.54,,953.54,Equipment to help with flood recovery,http://statistics.data.gov.uk/id/statistical-geography/,Whinfell
23/11/2016,South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,Friends of the 597 Bus,Community Group,,,07/01/2016,29/02/2016,One off,Partnerships and Organisational Development,Members locality budget scheme 2015/16,1000,,1000,Support the running of the service,http://statistics.data.gov.uk/id/statistical-geography/E05003278,Windermere Bowness North
23/11/2016,South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,Windermere Town Council,Local Authority,,,18/08/2015,24/08/2015,One off,Partnerships and Organisational Development,Members locality budget scheme 2015/16,100,,100,Planting to improve appearance of Bowness,http://statistics.data.gov.uk/id/statistical-geography/E05003278,Windermere Bowness South
23/11/2016,South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,Windermere First Responders ,Community Group,,,12/01/2016,08/02/2016,One off,Partnerships and Organisational Development,Members locality budget scheme 2015/16,900,,900,Equipment for the service,http://statistics.data.gov.uk/id/statistical-geography/E05003278,Windermere Bowness South
23/11/2016,South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,Lakes School,Local Authority,,,23/10/2015,30/11/2015,One off,Partnerships and Organisational Development,Members locality budget scheme 2015/16,160,,160,Headphones for literacy,http://statistics.data.gov.uk/id/statistical-geography/,Windermere Town
23/11/2016,South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,Friends of the 597 Bus,Community Group,,,20/02/2016,29/02/2016,One off,Partnerships and Organisational Development,Members locality budget scheme 2015/16,840,,840,Continued running of bus service,http://statistics.data.gov.uk/id/statistical-geography/,Windermere Town
23/11/2016,South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakes Housing ,Community Group,,,14/03/2016,29/03/2016,One off,Partnerships and Organisational Development,Members locality budget scheme 2015/16,1000,,1000,Flood Recovery Events,http://statistics.data.gov.uk/id/statistical-geography/,Windermere Applethwaite and Troutbeck 
23/11/2016,South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,Grange over Sands Civic Society,Community Group,,,01/04/1998,16/09/2015|20/01/2016,ongoing,Neighbourhood Services,Parks contributions to organisations,2999.44,,1499.72|1499.72,For maintaining the promendae gardens in Grange paid in two installments each year,http://statistics.data.gov.uk/id/statistical-geography/E05003243,Grange North
23/11/2016,South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,Your English Home Ltd,Business,,,28/01/2015,16/02/2015,One off,Economic Development,Shop Front Grants,1500,,1500,Shop Front Grant for 45 Allhallows Lane.,http://statistics.data.gov.uk/id/statistical-geography/E05003249,Kendal Fell
23/11/2016,South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,H Hogarth,Business,,,13/05/2015,18/05/2015,One off,Economic Development,Shop Front Grants,1500,,1500,"Shop Front Grant for 27 Stricklandgate, Kendal",http://statistics.data.gov.uk/id/statistical-geography/E05003249,Kendal Fell
23/11/2016,South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,Windermere Town Council,Local Authority,,,15/09/2015,28/09/2015,One off,Economic Development,Shop Front Grants,5000,,5000,Shop Front Grant Scheme for Windermere and Bowness,http://statistics.data.gov.uk/id/statistical-geography/E04002661,Windermere
23/11/2016,South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,Ulverston Community Partnership,Community Group,,,22/10/2015,28/10/2015,One off,Economic Development,Shop Front Grants,2000,,2000,Shop Front Grant Funding,http://statistics.data.gov.uk/id/statistical-geography/E04002655,Ulverston
23/11/2016,South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,Staveley with Ings Parish Council,Local Authority,,,15/01/2016,25/01/2016,One off,Economic Development,Shop Front Grants,1000,,1000,Shop Front Grant for Staveley,http://statistics.data.gov.uk/id/statistical-geography/,Staveley-in-Westmorland
23/11/2016,South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,Windermere Town Council,Local Authority,,,08/03/2016,14/03/2016,One off,Economic Development,Shop Front Grants,2000,,2000,Shop Front Grant Scheme,http://statistics.data.gov.uk/id/statistical-geography/E04002661,Windermere
23/11/2016,South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,Heron Theatre,Charity,,501134,,03/08/2015,2 years,Partnerships and Organisational Development,Strategic Community and Arts Events ,1000,34000,600,To cover increased overheads for community function,http://statistics.data.gov.uk/id/statistical-geography/E05003236,Arnside and Beetham
23/11/2016,South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,Kendal Mountain Film Festival,Community Interest Company,6597071,,,12/10/2015,2 years,Partnerships and Organisational Development,Strategic Community and Arts Events ,7000,192000,3500,Support annual  Kendal Mountain Film Festival,http://statistics.data.gov.uk/id/statistical-geography/E04002617,Kendal
23/11/2016,South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,Kendal Torchlight Carnival,Not for Profit Company limited by guarantee,4583995,,,30/11/2015,2 years,Partnerships and Organisational Development,Strategic Community and Arts Events ,3000,30000,1500,To support annual torchlight event,http://statistics.data.gov.uk/id/statistical-geography/E04002617,Kendal
23/11/2016,South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,Westmorland Orchestra,Charity,,502339,,13/07/2015,2 years,Partnerships and Organisational Development,Strategic Community and Arts Events ,1000,26300,500,help meet costs of tackling a wider repertoire and replacement orchestra leader,http://statistics.data.gov.uk/id/statistical-geography/E04002617,Kendal
23/11/2016,South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,Lakeland Sinfonia Concert Society ,Charity,,505373 ,,16/11/2015,2 years,Partnerships and Organisational Development,Strategic Community and Arts Events ,7000,280600,3500,To help meet cost of high quality orchestras (and programme) for 2 seasons,http://statistics.data.gov.uk/id/statistical-geography/E05003257,Kendal Romney
23/11/2016,South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,Westmorland Youth Orchestra,Charity,,1075179,,16/09/2015,2 years,Partnerships and Organisational Development,Strategic Community and Arts Events ,1600,23000,800,to support youth programme.,http://statistics.data.gov.uk/id/statistical-geography/E07000031,South Lakeland
23/11/2016,South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,Manchester Camerata,Charity,1128463,503675,,30/11/2015,2 years,Partnerships and Organisational Development,Strategic Community and Arts Events ,29000,52100,14500,four concerts and outreach work with Coronation Hall and South Lakes Dementia Pilot,http://statistics.data.gov.uk/id/statistical-geography/E07000031,South Lakeland
23/11/2016,South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,South Cumbria Music Festival,Charity,,511814,,23/09/2015,2 years,Partnerships and Organisational Development,Strategic Community and Arts Events ,1000,13884,500,Help meet costs of annual music festival,http://statistics.data.gov.uk/id/statistical-geography/E05003273,Ulverston Town
23/11/2016,South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,Westmorland Music Trust,Charity,,,,07/09/2015,2 years,Partnerships and Organisational Development,Strategic Community and Arts Events ,1000,,500,Mary Wakefield Festival,http://statistics.data.gov.uk/id/statistical-geography/E07000031,South Lakeland
23/11/2016,South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,Retro Rendez-Vous Partnership,,,,,13/07/2015,One off,Partnerships and Organisational Development,Strategic Community and Arts Events ,1000,,1000,Retro Rendez-Vous Festival,http://statistics.data.gov.uk/id/statistical-geography/E07000031,South Lakeland
23/11/2016,South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,Arnside and Silverdale Area of Outstanding Natural Beauty,Charity,,702624 ,,15/06/2015,2 years,Partnerships and Organisational Development,Strategic Community Partnerships ,23000,193810,11500,SLDC contribution towards core costs to fulfil statutory duty,http://statistics.data.gov.uk/id/statistical-geography/E05003236,Arnside and Beetham
23/11/2016,South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland Hydrotherapy Trust,Charity,4431230,1094280,,20/05/2015,2 years,Partnerships and Organisational Development,Strategic Community Partnerships ,7000,120000,2500,towards running costs of Sandgate Pool,http://statistics.data.gov.uk/id/statistical-geography/E05003248,Kendal Far Cross
23/11/2016,South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,Cumbria Rural Citizens Advice Bureau,Charity,6113551,1118656,,08/07/2015,2 years,Partnerships and Organisational Development,Strategic Community Partnerships ,144000,170000,77858.33,funding to support provision of Citizens Advice Service,http://statistics.data.gov.uk/id/statistical-geography/E07000031,South Lakeland
23/11/2016,South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,Cumbria Association of Local Councils,Local Authority,,,,01/06/2015,2 years,Partnerships and Organisational Development,Strategic Community Partnerships ,6500,91870,3250,Help meet costs of providing services to Local Councils and work with SLDC to implement localism agenda,http://statistics.data.gov.uk/id/statistical-geography/E07000031,South Lakeland
23/11/2016,South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,Cumbria Council for Voluntary Services,Charity,8703970,1119671,,08/06/2015,2 years,Partnerships and Organisational Development,Strategic Community Partnerships ,10000,91810,5000,support localised development officers Stricklandgate House rental and staff costs,http://statistics.data.gov.uk/id/statistical-geography/E07000031,South Lakeland
23/11/2016,South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,Action with Communities in Cumbria,Charity,,1080875,,17/06/2015,2 years,Partnerships and Organisational Development,Strategic Community Partnerships ,14400,18183,5000,support production of community led planning,http://statistics.data.gov.uk/id/statistical-geography/E07000031,South Lakeland
23/11/2016,South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,Age Concern Ulverston and District,Charity,,,,08/06/2015,2 years,Partnerships and Organisational Development,Strategic Community Partnerships ,3000,,1500,Year 1 funding,http://statistics.data.gov.uk/id/statistical-geography/E04002655,Ulverston
23/11/2016,South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,Right 2 Work,Charity,,,18/05/2015,29/06/2015,2 years,Partnerships and Organisational Development,Strategic Community Partnerships ,10000,,5000,Year 1 funding,http://statistics.data.gov.uk/id/statistical-geography/E07000031,South Lakeland
23/11/2016,South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,The Wordsworth Trust,Charity,3442086,1066184,14/03/2013,16/12/2015,3 Years,Partnerships and Organisational Development,Strategic Cultural Partnerships,30000,563000,10000,to support the work of the Trust and provide leverage to unlock funding to carry out objectives,http://statistics.data.gov.uk/id/statistical-geography/E05003235,Ambleside and Grasmere
23/11/2016,South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,Ruskin Museum,Charity,,222234,14/03/2013,16/12/2015,3 years,Partnerships and Organisational Development,Strategic Cultural Partnerships,15000,85000,5000,contribution towards the museums core operating costs,http://statistics.data.gov.uk/id/statistical-geography/E05003241,Coniston and Crake Valley
23/11/2016,South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,Grizedale Arts,Charity,3776969,1076662 ,14/03/2013,08/04/2015,3 years,Partnerships and Organisational Development,Strategic Cultural Partnerships,30000,384692,10000,to support national and international work and acommunity arts and devleopment programme in Crake valley,http://statistics.data.gov.uk/id/statistical-geography/E05003245,Hawkshead
23/11/2016,South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,Grizedale Arts,Charity,3776969,1076662 ,14/03/2013,08/04/2015,3 years,Partnerships and Organisational Development,Strategic Cultural Partnerships,30000,384692,10000,to support national and international work and acommunity arts and devleopment programme in Crake valley,http://statistics.data.gov.uk/id/statistical-geography/E05003245,Hawkshead
23/11/2016,South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,Brewery Arts Centre,Charity,3927101,1086789,14/03/2013,13/07/15|07/12/2015,3 years,Partnerships and Organisational Development,Strategic Cultural Partnerships,192000,3350000,30000|34000,to help unlock other funding and support programme of events and outreach work. 2 payments per year,http://statistics.data.gov.uk/id/statistical-geography/E05003251,Kendal Highgate
23/11/2016,South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,Lakeland Arts Trust,Charity,8162578,526980,14/03/2013,13/07/2015,3 years,Partnerships and Organisational Development,Strategic Cultural Partnerships,60000,1764741,20000,To support the work of the trust at Abbott Hall and Blackwell,http://statistics.data.gov.uk/id/statistical-geography/E05003251,Kendal Highgate
23/11/2016,South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,Farfield Mill Arts and Heritage Centre,Charity,,1026293,14/03/2013,25/11/2015,3 years,Partnerships and Organisational Development,Strategic Cultural Partnerships,13500,43000,4500,contribution towards establishment of a Young Peoples Gallery,http://statistics.data.gov.uk/id/statistical-geography/E05003266,Sedbergh and Kirkby Lonsdale
23/11/2016,South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,Lake District Summer Music,Charity,1887957,516350 ,14/03/2013,04/11/2015,3 years,Partnerships and Organisational Development,Strategic Cultural Partnerships,15000,392677,5000,contribution towards core funding to support delivery of the festival and associated programme,http://statistics.data.gov.uk/id/statistical-geography/E07000031,South Lakeland
23/11/2016,South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,Highlights Rural Touring Scheme,Charity,,1100920 ,14/03/2013,22/02/2016,3 years,Partnerships and Organisational Development,Strategic Cultural Partnerships,10500,25750,3500,To support professional companies to tour rural villages in South Lakeland and a contemporary craft tour,http://statistics.data.gov.uk/id/statistical-geography/E07000031,South Lakeland
23/11/2016,South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,Arnside Parish Council,Local Authority,,,01/04/2011,20/05/2015,5 years,Partnerships and Organisational Development,Support for Public Conveniences,35000,,7000,Support for public toilets in Arnside,http://statistics.data.gov.uk/id/statistical-geography/E05003236,Arnside and Beetham
23/11/2016,South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,Grange over Sands Town Council,Local Authority,,,01/04/2011,20/05/2015,5 years,Partnerships and Organisational Development,Support for Public Conveniences,75000,,15250,Support for public toilets in Grange-over-Sands,http://statistics.data.gov.uk/id/statistical-geography/E05003243|http://statistics.data.gov.uk/id/statistical-geography/E05003244,Grange North|Grange South
23/11/2016,South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,Milnthorpe Parish Council,Local Authority,,,,06/05/2015,5 years,Partnerships and Organisational Development,Support for Public Conveniences,10000,,10000,Support for public toilets in Milnthorpe,http://statistics.data.gov.uk/id/statistical-geography/E05003265,Milnthorpe
23/11/2016,South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,Kirkby Lonsdale Parish Council,Local Authority,,,15/11/2013,27/01/2016,5 years,Partnerships and Organisational Development,Support for Public Conveniences,52500,,10479,Support for public toilets in the Kirkby Lonsdale area,http://statistics.data.gov.uk/id/statistical-geography/E05003266,Sedbergh and Kirkby Lonsdale
23/11/2016,South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,Ulverston Town Council,Local Authority,,,01/04/2011,27/05/2015,5 years,Partnerships and Organisational Development,Support for Public Conveniences,77500,,15500,Support for public toilets in Ulverston,http://statistics.data.gov.uk/id/statistical-geography/E05003273|http://statistics.data.gov.uk/id/statistical-geography/E05003271,Ulverston Town|Ulverston North
23/11/2016,South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,Windermere Town Council,Local Authority,,1079452 ,01/04/2014,19/08/2015,2 years,Partnerships and Organisational Development,Support for Public Conveniences,30000,,10000,Support for public toilets in Windermere,http://statistics.data.gov.uk/id/statistical-geography/E05003278 |http://statistics.data.gov.uk/id/statistical-geography/E05003279|http://statistics.data.gov.uk/id/statistical-geography/E05003276,Windermere Bowness South|Windermere Town|Windermere Applethwaite and Troutbeck
23/11/2016,South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,Grange over Sands Town Council,Local Authority,,,01/04/1974,22/03/2016,Ongoing,Neighbourhood Services,Victoria Hall discretionary grant ,28119.48,,28119.48,2014/15 contribution to running costs of Victora Hall,http://statistics.data.gov.uk/id/statistical-geography/E05003243,Grange North
23/11/2016,South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,Grange over Sands Town Council,Local Authority,,,01/04/1974,07/03/2016,Ongoing,Business Support,Victoria Hall discretionary grant ,10000,,10000,2014/15 contribution to running costs of Victora Hall,http://statistics.data.gov.uk/id/statistical-geography/E05003243,Grange North
23/11/2016,South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,Manna House,Charity,,1147785,unknown ,07/12/2015,Over 10 years,Housing Advice,,12000,,12000,Housing advice and advocacy service payments,http://statistics.data.gov.uk/id/statistical-geography/E07000031,South Lakeland
23/11/2016,South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,Broughton East Parish Council,Local Authority,,,03/03/2015,20/05/2015,One off,Partnerships and Organisational Development,Contribution for LAP project,346,,346,Relocation of Parish Council Notice Board,http://statistics.data.gov.uk/id/statistical-geography/,Staveley-in-Cartmel
23/11/2016,South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,Upper Allithwaite Parish Council,Local Authority,,,03/03/2015,01/07/2015,One off,Partnerships and Organisational Development,Contribution for LAP project,346,,346,Cleaning the Wilkinson Monument at Lindale,http://statistics.data.gov.uk/id/statistical-geography/,Lyth Valley
23/11/2016,South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,Staveley in Cartmel Parish Council,Local Authority,,,03/03/2015,20/07/2015,One off,Partnerships and Organisational Development,Contribution for LAP project,360,,360,Seating area improvements,http://statistics.data.gov.uk/id/statistical-geography/,Staveley-in-Cartmel
23/11/2016,South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,Lower Allithwaite Parish Council,Local Authority,,,03/03/2015,27/07/2015,One off,Partnerships and Organisational Development,Contribution for LAP project,346,,346,Information signage,http://statistics.data.gov.uk/id/statistical-geography/,Cartmel and Grange West 
23/11/2016,South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,Egton Newland and Mansriggs Osmotherley Parish Council,Local Authority,,,03/03/2015,13/04/2015,One off,Partnerships and Organisational Development,Contribution for LAP project,1200,,1200,Dementia Project,http://statistics.data.gov.uk/id/statistical-geography/,Mid Furness
23/11/2016,South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,Aldingham Parish Council,Local Authority,,,02/03/2015,16/11/2015,One off,Partnerships and Organisational Development,Contribution for LAP project,4000,,4000,LAP Projects,http://statistics.data.gov.uk/id/statistical-geography/,Low Furness
