Grade,Men Headcount,Men Percentage,Women Headcount,Women Percentage,Not known Headcount,Not known Percentage,Grand Total
A2,21,28.00%,51,68.00%,3,4.00%,75
B1,31,28.97%,76,71.03%,0,0.00%,107
B2,7,31.82%,15,68.18%,0,0.00%,22
B3,20,48.78%,21,51.22%,0,0.00%,41
CA,14,45.16%,17,54.84%,0,0.00%,31
D,7,25.00%,21,75.00%,0,0.00%,28
E,7,46.67%,5,33.33%,3,20.00%,15
ALL CPS,107,33.54%,206,64.58%,6,1.88%,319
