Greggs Plc,"136, Dalton Road, Barrow In Furness, Cumbria, LA14 1JH",25250
Phones 4 U Ltd,"138, Dalton Road, Barrow In Furness, Cumbria, LA14 1JH",25750
Easyclean Cumbria Ltd,"13, Anchor Road, Barrow In Furness, Cumbria, LA14 2QW",2175
Magnus Properties Ltd In Administration,"13a, Ramsden Dock Road, Barrow In Furness, Cumbria, LA14 2TG",3300
Coral Racing Ltd,"1-3, Lincoln Street, Barrow In Furness, Cumbria, LA14 5HS",9400
Grabal Alok (Uk) Ltd,"1-3, Portland Walk, Barrow-In-Furness, Cumbria, LA14 1DB",113000
The Reef (Uk) Ltd,"13, Strand, Barrow In Furness, Cumbria, LA14 2HG",5200
Barrow & District Credit Union,"1-3, The Mall, Dalton Road, Barrow In Furness, Cumbria, LA14 1HL",7800
Carphone Warehouse Plc,"140, Dalton Road, Barrow In Furness, Cumbria, LA14 1HZ",60500
Coral Racing Ltd,"14-16, Crellin Street, Barrow In Furness, Cumbria, LA14 1DU",7900
Tech Photo Services Ltd,"141, Market Street, Dalton In Furness, Cumbria, LA15 8RG",3250
Royal Mail Group Plc,"142, Abbey Road, Barrow In Furness, Cumbria, LA14 5AB",4650
Lloyds Bank Plc,"144, Dalton Road, Barrow In Furness, Cumbria, LA14 1JH",75500
Hbn Restaurants Ltd T/A Mcdonalds Restaurants,"148-150, Dalton Road, Barrow In Furness, Cumbria, LA14 1PU",68500
Ats Euromaster Ltd,"149-151, Ainslie Street, Barrow In Furness, Cumbria, LA14 5BB",8500
Sportswift Ltd,"14, Portland Walk, Barrow-In-Furness, Cumbria, LA14 1DB",37750
Boots Uk Limited,"15-17, Portland Walk, Barrow-In-Furness, Cumbria, LA14 1DB",111000
Caversham Trading Limited T/A Brighthouse,"152-156, Dalton Road, Barrow In Furness, Cumbria, LA14 1PU",78500
The Full Octave Ltd,"152, Market Street, Dalton In Furness, Cumbria, LA15 8RQ",2475
"Superdrug Stores Plc,","153-155, Dalton Road, Barrow In Furness, Cumbria, LA14 1PX",68000
Holbeck Homes Ltd,"153 , Holbeck Park Avenue, Barrow In Furness, Cumbria, LA13 0SB",15250
Barrow Family Funeral Service,"155, Ainslie Street, Barrow In Furness, Cumbria, LA14 5BB",13500
Poundland Ltd,"157-163, Dalton Road, Barrow In Furness, Cumbria, LA14 1PX",123000
Barrow Borough Council,"15a The Mall, Dalton Road, Barrow In Furness, Cumbria, LA14 1HL",1375
Purple World Ltd T/A Costa,"160-162, Dalton Road, Barrow In Furness, Cumbria, LA14 1PU",67000
"W G Ross & Co Ltd,","16-18, Cavendish Street, Barrow In Furness, Cumbria, LA14 1SB",7200
S Mason & Sons Ltd,"161, Rawlinson Street, Barrow In Furness, Cumbria, LA14 1ES",2425
G R & M M Blackledge Plc,"164-166, Dalton Road, Barrow In Furness, Cumbria, LA14 1PU",68000
Signet Group Plc,"165-167, Dalton Road, Barrow In Furness, Cumbria, LA14 1PU",44500
Barrow Borough Council,"166a, Rawlinson Street, Barrow In Furness, Cumbria, LA14 1DQ",2400
"J N Murray Ltd,","168-170, Dalton Road, Barrow In Furness, Cumbria, LA14 1PU",49750
Telefonica O2 Uk Ltd,"16a, Portland Walk, Barrow In Furness, Cumbria, LA14 1DB",27750
Digital Aerial Vision Limited,"16, Bath Street, Barrow In Furness, Cumbria, LA14 1LZ",3550
Baker Acquisitions Ltd,"16b, Portland Walk, Barrow In Furness, Cumbria, LA14 1DB",29500
Greggs Of Cumbria,"171, Dalton Road, Barrow In Furness, Cumbria, LA14 1PX",22000
G.S.A. Ltd,"173, Rawlinson Street, Barrow In Furness, Cumbria, LA14 1ED",3150
G R & M M Blackledge Plc,"174-176, Dalton Road, Barrow In Furness, Cumbria, LA14 1PU",92000
Zurich Assurance Ltd,"175-177, Dalton Road, Barrow In Furness, Cumbria, LA14 1PX",50500
J N Murray Ltd,"176, Roose Road, Barrow In Furness, Cumbria, LA13 OEE",5500
83 Furness Limited,"177,, Rawlinson Street, Barrow In Furness, Cumbria, LA14 1ED",3500
"Conlon & Sons,","178-180, Dalton Road, Barrow In Furness, Cumbria, LA14 1PR",32000
"Thomas Cook,","179, Dalton Road, Barrow In Furness, Cumbria, LA14 1PT",16500
"Crooks-Suzuki Ltd,","17, Allison Street, Barrow In Furness, Cumbria, LA14 1EE",2200
" N U G M W,","17, Hartington Street, Barrow In Furness, Cumbria, LA14 5SL",5100
Coral Racing Ltd,"17, Tudor Square, Dalton In Furness, Cumbria, LA15 8RH",5500
Diggle Ltd,"181, Dalton Road, Barrow In Furness, Cumbria, LA14 1PT",31500
Vickerstown Upholstery Ltd,"18-20, Douglas Street, Barrow In Furness, Cumbria, LA14 3QQ",13250
New Look Retailers Ltd,"18-22, Portland Walk, Barrow-In-Furness, Cumbria, LA14 1DB",215000
Tui Uk Ltd,"182, Dalton Road, Barrow In Furness, Cumbria, LA14 1PR",19000
Newmanor Properties Ltd,"183-185, Dalton Road, Barrow In Furness, Cumbria, LA14 1PT",30250
Harmony Windows Ltd,"184, Ainslie Street, Barrow In Furness, Cumbria, LA14 5BQ",4800
Devonshire 378 Limited,"184, Dalton Road, Barrow In Furness, Cumbria, LA14 1PR",18000
Cumberland Building Soc.,"186-188, Dalton Road, Barrow In Furness, Cumbria, LA14 1PR",35000
Mccreedy Restaurant Ltd,"186, Ainslie Street, Barrow In Furness, Cumbria, LA14 5BG",3800
Pps Electrical Ltd,"187-191, Duke Street, Barrow In Furness, Cumbria, LA14 1XS",21250
Celebrations Group Ltd (In Liq),"189-191, Dalton Road, Barrow In Furness, Cumbria, LA14 1PT",32750
Corporate Care Furness Ltd,"189a, Oxford Street, Barrow In Furness, Cumbria, LA14 5QF",2300
"R Forrest Ltd,","18, Tudor Square, Dalton In Furness, Cumbria, LA15 8RH",2950
Food (Kendal) Ltd,"190, Dalton Road, Barrow In Furness, Cumbria, LA14 1PR",15250
"Marks & Spencer Plc,","193-197, Dalton Road, Barrow In Furness, Cumbria, LA14 1PP",211000
Dev'S Plaice Ltd,"195, Rawlinson Street, Barrow In Furness, Cumbria, LA14 1ED",2850
Desai Properties Ltd,"196, Dalton Road, Barrow In Furness, Cumbria, LA14 1PR",19500
Tracy Wells Hair Ltd,"197, Rawlinson Street, Barrow In Furness, Cumbria, LA14 1ED",3000
Cumbria County Council,"19, Ramsden Dock Road, Barrow In Furness, Cumbria, LA14 2TP",2700
"Barrow Contract Bridge Club,","1a, Drake Street, Barrow In Furness, Cumbria, LA14 5RG",2150
Coral Racing Ltd,"1b, Island Road, Barrow In Furness, Cumbria, LA14 2QN",3250
"Marsh'S Sass Ltd,","1, Coulton Street, Barrow In Furness, Cumbria, LA14 1QJ",4400
Oasis Dentalcare Ltd,"1, Dalton Road, Barrow In Furness, Cumbria, LA14 1PQ",12500
