Organisation name,Organisation type,Main parent or sponsoring department,Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time equivalent,Payroll staff Other unknown or unspecified Headcount,Payroll staff Other unknown or unspecified Full-time equivalent,Payroll staff Total Employees Headcount,"Payroll staff Total Employees Full-time 
equivalent",Number of non-payroll staff Agency staff (clerical/admin) Headcount,Number of non-payroll staff Agency staff (clerical/admin) Full-time equivalent,Number of non-payroll staff Interim managers Headcount,Number of non-payroll staff Interim managers Full-time equivalent,Number of non-payroll staff Specialist Contractors Headcount,Number of non-payroll staff Specialist Contractors Full-time equivalent,Number of non-payroll staff Consultants/consultancy Headcount,Number of non-payroll staff Consultants/consultancy Full-time equivalent,Number of non-payroll staff Total Headcount,Number of non-payroll staff Total Full-time equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time equivalent,Payroll staff costs Salary,Payroll staff costs Allowances,Payroll staff costs Non-consolidated performance payments,Payroll staff costs Overtime,Payroll staff costs Employer pension contributions,Payroll staff costs Employer national insurance contributions,Payroll staff costs Total paybill for payroll staff,Total monthly cost of contingent labour: agency (clerical and admin) staff and interim managers and specialist contractors,Total monthly cost of consultants/consultancy,Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Cabinet Office,Ministerial Department,Cabinet Office,157,152.64,361,352.44,502,493.89,784,771.44,244,238.6,155,152.78,"2,203","2,162",7,7,151,151,21,20.6,7,7,186,185.6,"2,389","2,347","£7,593,847.14","£386,750.05","£19,350.00","£70,923.76","£1,648,661.66","£754,165.90","£10,473,698.51","1,603,547.58","£1,257,398.00","£2,860,945.58","£13,334,644.09",
Civil Service Commission,Executive Non-Departmental Public Body,Cabinet Office,3,2.56,5,5,3,2.8,4,4,1,1,0,0,16,15,0,0,0,0,0,0,0,0,0,0,16,15,"£34,740.85",£983.40,£250.00,£0.00,"£6,769.17","£3,033.02","£45,776.44",£0.00,£0.00,£0.00,"£45,776.44",
Crown Commercial Services,Executive Agency,Cabinet Office,44,41.8,136,129.4,340,331.5,186,184.1,51,51,0,0,757,738,12,12,40,40,0,0,0,0,52,52,809,790,"£2,659,718.38","£6,947.90",£0.00,"£2,066.64","£512,253.77","£242,795.13","£3,423,781.82","£543,048.42","£421,262.70","£964,311.12","£4,388,092.94",
Big Lottery Fund,Executive Non-Departmental Public Body,Cabinet Office,110,104,468,436,244,230,77,73,15,15,0,0,914,858,18,18,0,0,5,2.5,0,0,23,20.5,937,879,"£2,211,526.96","£29,761.08",£0.00,"£4,863.82","£400,198.04","£187,985.16","£2,834,335.06","77,924.80",£0.00,"£77,924.80","£2,912,259.86",
