Minister,Date of Trip,Destination,Purpose,No.32 (The Royal Squadron)'  or 'other RAF' or 'Charter' or 'Scheduled' or 'Eurostar',Number of officials accompanying Ministers (where non-scheduled travel is used),Total Cost including travel and accommodation of Minister only
"Prime Minister, The Rt Hon David Cameron MP",28-29 October 2010,"Brussels, Belgium",European Council,Eurostar,,£445
,8-12 November 2010,"Beijing, China and Seoul, South Korea",Trade and bilateral visit                             G20,Charter,27,"£137,995"
,19-20 November 2010,"Lisbon,Portugal",NATO Summit,No.32 Squadron,13,£665
,30 November-2 December 2010,"Zurich, Switzerland",World Cup 2018 Bid,,,"£1,316"
,5-7 December 2010,Afghanistan,Visit to troops and bilateral with President Karzai,Charter,17,"£185,700"
,16-17 December 2010,"Brussels, Belgium",European Council,Eurostar,,£445
