Number of Educational Establishments in Northern Ireland by Management Type, 1991/92 , 1992/93 , 1993/94 , 1994/95 , 1995/96 , 1996/97 , 1997/98 , 1998/99 , 1999/00 , 2000/01 , 2001/02 , 2002/03 , 2003/04 , 2004/05 ,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17
Voluntary and Private Pre-School Education Centres (see Notes 1 + 4), - , - , - , - , - , - , - ,190,268,305,360,363,383,364,366,372,366,354,358,380,381,390,396,401,405,399
Nursery Schools - Controlled,65,65,65,65,65,65,65,65,66,66,67,68,68,67,67,66,65,65,65,65,65,65,64,64,64,64
Nursery Schools - Catholic Maintained,23,23,24,26,26,26,26,26,29,29,29,32,32,32,33,33,33,33,33,33,32,32,32,32,32,31
Nursery Schools - TOTAL,88,88,89,91,91,91,91,91,95,95,96,100,100,99,100,99,98,98,98,98,97,97,96,96,96,95
Primary Schools -  Controlled,488,485,478,472,461,458,456,451,450,442,439,435,427,425,417,411,401,391,386,383,378,374,370,370,368,366
Primary Schools -  Catholic Maintained,452,445,443,437,434,432,431,429,429,422,417,417,414,413,411,408,404,402,398,396,392,387,384,381,374,370
Primary Schools -  Other Maintained - Irish Medium,2,2,2,2,2,3,6,6,6,6,9,11,14,15,16,18,20,20,20,21,23,25,25,25,25,25
Primary Schools -  Other Maintained - Other,11,11,11,10,7,6,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,3
Primary Schools -  Controlled Integrated,1,3,3,3,4,6,7,10,10,10,11,11,13,14,15,15,16,16,18,19,19,19,19,19,20,22
Primary Schools -  Grant Maintained Integrated,10,11,14,14,15,15,15,15,17,17,18,18,19,22,22,22,23,23,23,23,23,23,23,23,23,23
Primary Schools -  TOTAL,964,957,951,938,923,920,920,916,917,902,899,897,892,894,886,879,868,856,849,846,839,832,825,822,814,809
Grammar school prep depts.,26,26,25,25,25,25,25,24,24,22,21,20,19,18,17,17,17,17,17,17,15,15,14,14,13,12
Primary Schools + Grammar school prep depts. - TOTAL,990,983,976,963,948,945,945,940,941,924,920,917,911,912,903,896,885,873,866,863,854,847,839,836,827,821
Post Primary Schools - Secondary (non grammar) schools - Controlled,82,81,79,77,78,77,76,72,72,72,70,69,68,66,66,65,63,61,57,57,56,55,53,51,49,49
Post Primary Schools - Secondary (non grammar) schools - Catholic Maintained,82,80,78,78,78,78,78,77,77,76,76,76,76,76,75,74,73,72,72,71,71,71,68,68,64,64
Post Primary Schools - Secondary (non grammar) schools - Other Maintained - Irish Medium, - , - , - , - , - ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2
Post Primary Schools - Secondary (non grammar) schools - Other Maintained - Other, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Post Primary Schools - Secondary (non grammar) schools - Controlled Integrated, - , - ,1,1,1,1,1,4,4,4,4,4,4,4,4,4,5,4,5,5,5,5,5,5,5,5
Post Primary Schools - Secondary (non grammar) schools - Grant Maintained Integrated,2,3,3,5,8,10,10,11,12,13,13,14,14,15,15,15,15,16,15,15,15,15,15,15,15,15
Post Primary Schools - Secondary (non grammar) schools - TOTAL,166,164,161,161,165,167,166,165,166,166,164,164,163,162,161,159,157,154,150,149,148,147,142,140,135,135
Post Primary Schools - Grammar Schools - Controlled,18,18,18,18,18,18,18,18,18,18,17,17,17,17,17,17,17,17,17,17,17,17,17,18,17,16
Post Primary Schools - Grammar Schools - Voluntary - Schools under Catholic management,30,30,31,31,31,31,32,32,32,32,32,32,31,31,30,30,30,30,30,29,29,29,29,29,29,29
Post Primary Schools - Grammar Schools - Voluntary - Schools under other management,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,21,21,21
Post Primary Schools - Grammar Schools - TOTAL,70,70,71,71,71,71,72,72,72,72,71,71,70,70,69,69,69,69,69,68,68,68,68,68,67,66
Post Primary Schools - TOTAL,236,234,232,232,236,238,238,237,238,238,235,235,233,232,230,228,226,223,219,217,216,215,210,208,202,201
Special Schools (see Note 2) - TOTAL,46,46,46,47,47,47,47,47,50,48,48,47,47,45,45,45,43,42,41,41,41,40,40,39,39,39
Hospital Schools - TOTAL,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1
Independent Schools - TOTAL,18,18,21,20,21,19,22,22,22,27,25,22,17,17,19,18,17,16,14,15,15,15,15,14,14,14
All schools - GRAND TOTAL,"1,366","1,354","1,346","1,336","1,325","1,324","1,324","1,318","1,327","1,308","1,302","1,302","1,294","1,291","1,281","1,271","1,254","1,238","1,226","1,221","1,210","1,200","1,186","1,180","1,165","1,157"
Total schools and pre-school education centres (see Note 4),"1,366","1,354","1,346","1,336","1,325","1,324","1,324","1,508","1,595","1,613","1,662","1,665","1,677","1,655","1,647","1,643","1,620","1,592","1,584","1,601","1,591","1,590","1,582","1,581","1,570","1,556"
Note 1.  Voluntary and private centres funded under the Pre-school Education Expansion Programme which began in 1998/99. ,,,,,,,,,,,,,,,,,,,,,,,,,,
Note 2.  Three additional special schools were included in the 1999/00 school census. These schools were managed by the Northern Ireland Office until 31st August 1999. Two of these schools had closed by the time of the 2000/01 school census.,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 3.  "" - "" means zero cases.",,,,,,,,,,,,,,,,,,,,,,,,,,
Note 4.  Figure for 2008/09 revised 15 May 2009. ,,,,,,,,,,,,,,,,,,,,,,,,,,
