objectid,naer16cd,naer16nm,bng_e,bng_n,long,lat,st_areashape,st_lengthshape
1,W19000001,North Wales,292387,354137,-3.6077199,53.07360077,4811562432.67321,845673.558285758
2,W19000002,Mid Wales,275547,296445,-3.83696008,52.55158997,8554239250.30637,823677.635395864
3,W19000003,South West Wales,212902,216639,-4.71589994,51.81697845,4962186880.27408,874488.031690656
4,W19000004,South East Wales,322028,198849,-3.12922001,51.68296051,2896782837.44699,403245.595829994
