ROCHDALE COUNCIL MEMBERS' ALLOWANCES 2015/16,,,,,
Name,Basic All,ISP Contract,Spec RESP,Travel/Other,Grand Total
AHMED ALI,6780.97,,,,6780.97
AHMED FAROOQ,863.03,,,,863.03
AHMED IFTIKHAR,7644,,10308,,17952
AHMED SHAKIL,7644,180,3828,193.1,11845.1
ALI DAALAT,7644,180,7086.16,,14910.16
ALI SULTAN,7644,,3248.94,,10892.94
BELL ANDREW,7644,,2214.03,,9858.03
BESWICK JACQUELINE,7644,,10308,,17952
BETHELL PHILLIP,863.03,,,,863.03
BIANT CECILE,7644,,1254.38,,8898.38
BIANT SURINDER,7644,,346.05,,7990.05
BLUNDELL JOHN,7644,,2556,29.5,10229.5
BORISS MALCOLM,7644,,793.06,,8437.06
BRETT ALLAN,7644,174,10308,208.92,18334.92
BROSNAN LINDA,6780.97,,4414.06,,11195.03
BURKE PHILIP,7644,201,3828,140.85,11813.85
BUTTERWORTH NEIL,7644,,6967.36,,14611.36
CLEGG ROBERT,7644,180,6722.85,,14546.85
DANCZUK KAREN,863.03,,-498.95,,364.08
DARNBROUGH JANET,863.03,,85.1,,948.13
DEARNLEY ASHLEY,7644,180,9168,,16992
DUCKWORTH IAN,7644,,3828,,11472
DUTTON RAYMOND,7644,,7644,,15288
EMMOTT NEIL,7644,,10308,,17952
EMMOTT SUSAN,7644,180,5011.96,,12835.96
EMSLEY JANET,7644,,11837.7,,19481.7
FARNELL RICHARD,7644,,22908,863.53,31415.53
FAROOQ-AHMED SHEFALI,7644,,532.88,,8176.88
FURLONG CHRISTOPHER,7644,,346.05,,7990.05
GARTSIDE JAMES,7644,,750,,8394
GARTSIDE JANE,7644,,750,119.91,8513.91
GODSON ALAN,863.03,,,,863.03
GREENALL PATRICIA,7644,,2556,,10200
HARTLEY JOHN,7644,,2165.01,,9809.01
HEAKIN KIERAN,7644,,2556,,10200
HOLLY MICHAEL,7644,180,3248.94,,11072.94
HORNBY JEAN,7644,,3059.03,,10703.03
HUSSAIN AFTTAB,7644,,7644,,15288
JOINSON PETER,7644,,,,7644
KELLY ANDREW,6780.97,,,,6780.97
LAMBERT COLIN,7644,,395.07,,8039.07
LINDEN TERENCE,7644,,630.37,,8274.37
MARTIN DONNA,7644,156,10308,,18108
McCARTHY ALAN,7644,180,7644,,15468
MEREDITH DANIEL,6780.97,,2256.05,,9037.02
MIR AMNA,7644,,,,7644
MURPHY LILLIAN,7644,,7644,,15288
NEILSON ANDREW,863.03,,85.1,,948.13
NICKSON KATHLEEN,7644,,2556,,10200
O'NEILL SHAUN,7644,,6855.84,,14499.84
O'ROURKE LIAM,7644,,7644,,15288
PAOLUCCI ESCOBAR RINA,6780.97,,649.66,,7430.63
RASHID AASIM,7644,,2556,,10200
ROBINSON LINDA,7644,180,3248.94,,11072.94
RODGERS MARTIN,863.03,,793.06,,1656.09
ROWBOTHAM SARA,6780.97,,6621.31,,13402.28
RUSH PETER,7644,180,,,7824
SHEERIN WILLIAM,7644,,2556,,10200
STOTT ANN,7644,180,995.71,,8819.71
SULLIVAN MAUREEN,7644,168,2315.57,,10127.57
WARDLE CAROL,7644,191.88,6788.85,,14624.73
WAZIR SHAH,6780.97,159.68,2256.05,,9196.7
WEST JUNE,7644,150,7644,,15438
WILLIAMS PETER,7644,,11460,,19104
WINKLER PETER,7644,,750,,8394
ZAHEER SAMEENA,7644,180,2556,11.4,10391.4
ZAMAN MOHAMMED,7644,,2100,,9744
