OrganisationNameLabel,OrganisationURI,EffectiveDate,Directorate/ServiceWhereExpenditureIncurred,ServiceCategoryLabel,ServiceCategoryURI,Supplier,SupplierRegisteredCompany Number,PaymentDate,TransactionNumber,NetAmount,IrrecoverableVAT,PurposeOfSpend,ProcurementClassification:ProclassLabel,ProcrementClassification:ProClassCode
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,30/09/2015,Business Support Community Services,Internal Trading Accounts,,AINSWORTH'S GARAGE,,16/09/2015,51274,65,0,Recover SL207,381400,Vehicle Mgt Maintenance
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,30/09/2015,Customer Services,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,SHRED-IT,4047194,07/09/2015,51276,262.5,0,Removal of confidential waste,279999,ICT Not Elsewhere Classified
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,30/09/2015,ICT Group,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,NORTHGATE VEHICLE HIRE LTD,1434157,21/09/2015,51290,15.14,0,1 day car hire for Gary Mayall. Ford,381600,Vehicle Mgt Leasing
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,30/09/2015,Business Support Community Services,Internal Trading Accounts,,TAYLOR ENGINEERING & FABRICATIONS LTD,4989359,28/09/2015,51415,22.7,0,Filters,391200,Construction Engineering
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,30/09/2015,Customer Services,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,SHRED-IT,4047194,07/09/2015,51459,208.98,0,Removal of confidential waste,279999,ICT Not Elsewhere Classified
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,30/09/2015,Social Enterprise Admin,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,CUMBRIA COUNTY COUNCIL,,30/09/2015,51564,4642.6,0,LAND SEARCH CHARGE SEARCH ENQUIRIES CCC,908000,Public Bodies Council support services
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,30/09/2015,Social Enterprise Admin,Culture and Related Serv,http://opendatacommunities.org/def/concept/finance/sercop/objective/104,PFK Planning,,21/09/2015,51636,350,0,Professional planning services. RE.,391110,Construction Buildings Construction
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,30/09/2015,Business Support Community Services,Internal Trading Accounts,,BILL MOORE LIFTING TACKLE LTD,1482196,28/09/2015,51738,219.31,0,Inspect lifting equipment,181812,Environment Technical Equip Testing
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,30/09/2015,Business Support Community Services,Internal Trading Accounts,,BILL MOORE LIFTING TACKLE LTD,1482196,28/09/2015,51739,80,0,LOLER inspection,181812,Environment Technical Equip Testing
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,30/09/2015,Social Enterprise Admin,Highways & Transport Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/107,We Love Logos,,21/09/2015,51740,241.84,0,3x polo shirts UC101 colour navy size,141100,Clothing Protective
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,30/09/2015,Social Enterprise Admin,Cultural Environmental Regulatory & Planning Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/104,FURNESS NEWSPAPERS LTD,1155841,07/09/2015,51792,103.6,0,PUBLIC NOTICES FOR PLANNING 1 APRIL 2015,191000,Facilities Advertising
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,30/09/2015,Democratic Services,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,FLORENCE MADDEN,,07/09/2015,51821,600,0,NLP course during,999999,Unclassifiable
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,30/09/2015,Business Support Community Services,Internal Trading Accounts,,ARCO LIMITED,133804,21/09/2015,51827,12.7,0,PPE 2015/16,141100,Clothing Protective
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,30/09/2015,Customer Services,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,GRANGE OVER SANDS TOWN COUNCIL,,14/09/2015,51831,30,0,For Hire of Victoria Hall for the,908000,Public Bodies Council support services
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,30/09/2015,Printing Section,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,ALPHATEC P.F.E,5419826,16/09/2015,51852,69.95,0,Cutting Line Bulbs,271400,ICT Office & Reprographics Equipment
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,30/09/2015,Business Support Community Services,Internal Trading Accounts,,NORTHGATE VEHICLE HIRE LTD,1434157,21/09/2015,51929,15.14,0,Car hire,381600,Vehicle Mgt Leasing
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,30/09/2015,Human Resources,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,SELSIUS LIMITED,5073658,07/09/2015,51931,74.75,0,Quartly rental for water cooler at,111400,Catering Vending Machines & Dispensers
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,30/09/2015,Business Support Community Services,Internal Trading Accounts,,ARCO LIMITED,133804,09/09/2015,51976,28.15,0,PPE 2015/16,141100,Clothing Protective
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,30/09/2015,Social Enterprise Admin,Cultural Environmental Regulatory & Planning Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/104,RESOLUTION DATA MANAGEMENT LTD,1910045,09/09/2015,51985,6763.57,0,SCANNING OF DEVELOPMENT MANAGEMENT,271600,ICT Software Customised & Bespoke
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,30/09/2015,Business Support Community Services,Cultural Environmental Regulatory & Planning Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/104,UNITED UTILITIES WATER PLC,2366678,09/09/2015,51998,1239.76,0,Private Water Analysis - July 2015,371300,Utilities Water
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,30/09/2015,Social Enterprise Admin,Highways & Transport Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/107,ARCO LIMITED,133804,07/09/2015,51999,27.71,0,200 pairs Howard Leight LS400 Laser Lite,141100,Clothing Protective
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,30/09/2015,Business Support Community Services,Housing Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/108,ULVERSTON MEDICAL SERVICES LTD,,07/09/2015,52000,50,0,Medical report,311600,Healthcare Services
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,30/09/2015,Social Enterprise Admin,Highways & Transport Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/107,BEMROSE BOOTH PARAGON LTD,4891375,07/09/2015,52001,1128.75,0,"187,500 Aura self-adhesive pay and",191600,Facilities Printing
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,30/09/2015,Business Support Community Services,Housing Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/108,ULVERSTON MEDICAL SERVICES LTD,,07/09/2015,52002,50,0,Medical report ,311600,Healthcare Services
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,30/09/2015,Social Enterprise Admin,Cultural Environmental Regulatory & Planning Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/104,THOMSON REUTERS (PROFESSIONAL) UK LTD,1679046,28/09/2015,52007,53,0,PLANNING CONT THEIR ENFORCEMENT REL 11 &,202100,Financial Services Subscriptions
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,30/09/2015,Business Support Community Services,Housing Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/108,Landlord,,02/09/2015,52017,400,0,Monthly rent ,999999,Unclassifiable
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,30/09/2015,Business Support Community Services,Housing Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/108,Landlord,,02/09/2015,52018,600,0,Monthly rent ,999999,Unclassifiable
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,30/09/2015,Business Support Community Services,Housing Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/108,Landlord,,02/09/2015,52019,400,0,Monthly rent ,250010,Housing Letting Agents
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,30/09/2015,Development Implementation,Cultural Environmental Regulatory & Planning Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/104,TRILITHON LTD,3390011,07/09/2015,52027,300,0,Coding for bounce backs emails for,271515,ICT Website Development
