Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
HM Procurator General and Treasury Solicitor,The Treasury Solicitor's Department,05/03/2012,Counsel Fees,Litigation Division,Miss Sarah Hannaford Q.C.,524371,"43,200.00",Payment to Counsel,WC2R 3AA,SME,,,Administration
HM Procurator General and Treasury Solicitor,The Treasury Solicitor's Department,06/03/2012,Expert Report,Litigation Division,Davis Langdon,524545,"68,682.00",Payment relating to professional services or study offering an expert opinion in relation to a legal case,WC1V 8QS,SME,,,Administration
HM Procurator General and Treasury Solicitor,The Treasury Solicitor's Department,08/03/2012,Agency Staff: Legal,Litigation Division,Capita Resourcing Ltd (Staff),132248,"41,383.76",Payments for interim legal professionals,SL6 1DP,SME,,,Administration
HM Procurator General and Treasury Solicitor,The Treasury Solicitor's Department,08/03/2012,Agency Staff: Legal,Employment Group ,Capita Resourcing Ltd (Staff),132248,"1,609.06",Payments for interim legal professionals,SL6 1DP,SME,,,Administration
HM Procurator General and Treasury Solicitor,The Treasury Solicitor's Department,08/03/2012,Agency Staff: Legal,Litigation Division,Capita Resourcing Ltd (Staff),132249,"43,028.46",Payments for interim legal professionals,SL6 1DP,SME,,,Administration
HM Procurator General and Treasury Solicitor,The Treasury Solicitor's Department,08/03/2012,Agency Staff: Legal,Employment Group ,Capita Resourcing Ltd (Staff),132249,"3,021.00",Payments for interim legal professionals,SL6 1DP,SME,,,Administration
HM Procurator General and Treasury Solicitor,The Treasury Solicitor's Department,09/03/2012,Agency Staff: Legal,Litigation Division,Capita Resourcing Ltd (Staff),132270,"42,073.67",Payments for interim legal professionals,SL6 1DP,SME,,,Administration
HM Procurator General and Treasury Solicitor,The Treasury Solicitor's Department,09/03/2012,Agency Staff: Legal,Employment Group ,Capita Resourcing Ltd (Staff),132270,"3,695.45",Payments for interim legal professionals,SL6 1DP,SME,,,Administration
HM Procurator General and Treasury Solicitor,The Treasury Solicitor's Department,09/03/2012,Accommodation: Rent,Government Property Lawyers,Colliers Conrad Ritblat Erdman,132271,"122,700.00",Payment of rent,W1U 1HL,SME,,,Administration
HM Procurator General and Treasury Solicitor,The Treasury Solicitor's Department,09/03/2012,Accommodation: Service Charges,Government Property Lawyers,Colliers Conrad Ritblat Erdman,132271,"4,538.70",Payment of service charges ,W1U 1HL,SME,,,Administration
