Static Library Name,Number,Street,Town,Postcode,Tel No,X COORDINATE,Y COORDINATE
Antrim Library,10,Railway Street,Antrim,BT41 4AE,028 9446 1942,314928,386622
Ardoyne Library,446-450,Crumlin Road,Belfast,BT14 7GH,028 9050 9202,331464,375886
Armagh City Library,2,Market Street,Armagh,BT61 7BU,028 3752 4072,287567,345176
Ballycastle Library,5,Leyland Road,Ballycastle,BT54 6DT,028 2076 2566,311092,440656
Ballyclare Library,1,School Street,Ballyclare,BT39 9BE,028 9335 2269,328710,391151
Ballyhackamore Library,001-003,Eastleigh Drive,Belfast,BT4 3DX,028 9050 9204,337952,373959
Ballymena Central Library,5,Pat's Brae,Ballymena,BT43 5AX,028 2563 3950,310604,403225
Ballymoney Library,24,Queen Street,Ballymoney,BT53 6JB,028 2766 3589,295229,425822
Ballynahinch Library,43,Main Street,Ballynahinch,BT24 8DN,028 9756 4282,336816,352613
Banbridge Library,23,Scarva Road,Banbridge,BT32 3AD,028 4062 3973,312396,345908
Bangor Carnegie Library,80,Hamilton Road,Bangor,BT20 4LH,028 9127 0591,350942,381727
Belfast Central Library,124,Royal Avenue,Belfast,BT1 1EA,028 9050 9150,333722,374686
Bessbrook Library,22,Church Road,Bessbrook,BT35 7AQ,028 3083 0424,304544,328517
Broughshane Library,48,Main Street,Broughshane,BT42 4JW,028 2586 1613,314982,406520
Brownlow Library,3,Brownlow Road,Craigavon,BT65 5DL,028 3834 1946,306210,356520
Carnlough Library,32,Harbour Road,Carnlough,BT44 0EU,028 2888 5552,328687,418002
Carrickfergus Library,2,Joymount Court,Carrickfergus,BT38 7DQ,028 9336 2261,341505,387541
Carryduff Library,24,Church Road,Carryduff,BT8 8DT,028 9081 3568,336870,364951
Castlederg Library,1A,Hospital Road,Castlederg,BT81 7BU,028 8167 1419,226369,384663
Castlewellan Library,3,Upper Square,Castlewellan,BT31 9DA,028 4377 8433,334158,336270
Chichester Library,109,Salisbury Avenue,Belfast,BT15 5EB,028 9050 9210,332965,377688
Cloughfern Library,2A,King's Crescent,Newtownabbey,BT37 0DH,028 9085 4789,334752,383124
Coalisland Library,002-004,"Lineside, The Cornmill",Coalisland,BT71 4LT,028 8774 0569,284103,366509
Coleraine Library,16-24,Queen Street,Coleraine,BT52 1BE,028 7034 2561,284709,432506
Colin Glen Library,Unit 17,"The Dairy Farm Centre, Stewartstown Road",Belfast,BT17 0AW,028 9043 1266,328119,369828
Comber Library,3,Newtownards Road,Comber,BT23 5AU,028 9187 2610,346203,369349
Cookstown Library,13,Burn Road,Cookstown,BT80 8DJ,028 8676 3702,280837,378350
Cregagh Library,409-413,Cregagh Road,Belfast,BT6 0LF,028 9040 1365,336143,371283
Creggan Library,59,Central Drive,Londonderry,BT48 9QH,028 7126 6168,241848,416627
Crossmaglen Library,44,The Square,Crossmaglen,BT35 9AA,028 3086 1951,291222,315112
Crumlin Library,1,Orchard Road,Crumlin,BT29 4SD,028 9442 3066,315242,376073
Cushendall Library,24C,Mill Street,Cushendall,BT44 0RR,028 2177 1297,323600,427518
Derry Central Library,35,Foyle Street,Londonderry,BT48 6AL,028 7122 9990,243655,416695
Donaghadee Library,5,Killaughey Road,Donaghadee,BT21 0BL,028 9188 2507,359098,379670
Downpatrick Library,79,Market Street,Downpatrick,BT30 6LZ,028 4461 2895,348440,344337
Draperstown Library,50,High Street,Draperstown,BT45 7AD,028 7962 8249,278455,394616
Dromore Library,38,Market Square,Dromore,BT25 1AW,028 9269 2280,320197,353334
Dundonald Library,16,Church Road,Dundonald,BT16 2LN,028 9048 3994,341990,373915
Dungannon Library,36,Market Square,Dungannon,BT70 1JD,028 8772 2952,279777,362522
Dungiven Library,107,Main Street,Dungiven,BT47 4LE,028 7774 1475,269055,409278
Enniskillen Library,3,Halls Lane,Enniskillen,BT74 7DR,028 6632 2886,223394,344389
Falls Road Library,49,Falls Road,Belfast,BT12 4PD,028 9050 9212,332347,374131
Finaghy Library,38B,Finaghy Road South,Belfast,BT10 0DR,028 9050 9214,330520,369835
Fintona Library,112-114,Main Street,Fintona,BT78 2AE,028 8284 1774,244198,361188
Fivemiletown Library,67,Main Street,Fivemiletown,BT75 0PG,028 8952 1409,244538,347935
Garvagh Library,14A,Bridge Street,Garvagh,BT51 5AF,028 2955 8500,284147,415857
Glengormley Library,40,Carnmoney Road,Newtownabbey,BT36 6HP,028 9083 3797,331850,382599
Greenisland Library,17,Glassillan Grove,Greenisland,BT38 8TE,028 9086 5419,337307,385328
Greystone Library,51,Greystone Road,Antrim,BT41 1JW,028 9446 3891,316777,386554
Grove Library,120,York Road,Belfast,BT15 3HF,028 9050 9244,334106,376724
Holywood Arches Library,004-012,Holywood Road,Belfast,BT4 1NT,028 9050 9216,336488,374235
Holywood Library,86-88,High Street,Holywood,BT18 9AE,028 9042 4232,339740,379052
Irish & Local Studies Library Armagh*,39C,Abbey Street,Armagh,BT61 7EB,028 3752 7851,287328,345281
Irvinestown Library,24,Main Street,Irvinestown,BT94 1GJ,028 6862 1383,223801,358256
Keady Library,25,Bridge Street,Keady,BT60 3TA,028 3753 1365,284510,334039
Kells & Connor Library,5,Main Street,Kells,BT42 3JH,028 2589 0019,314418,397025
Kilkeel Library,51A,Greencastle Street,Kilkeel,BT34 4BH,028 4176 2278,330393,314222
Killyleagh Library,52,High Street,Killyleagh,BT30 9QF,028 4482 8407,352437,352841
Kilrea Library,26,The Diamond,Kilrea,BT51 5QJ,028 2954 0630,292594,412527
Larne Library,36,Pound Street,Larne,BT40 1SQ,028 2827 7047,339815,402644
Limavady Library,5,Connell Street,Limavady,BT49 0EA,028 7776 2540,267208,423163
Lisburn City Library,23,Linenhall Street,Lisburn,BT28 1FJ,028 9266 9345,326776,364169
Lisburn Road Library,440,Lisburn Road,Belfast,BT9 6GR,028 9050 9223,331784,371048
Lisnaskea Library,157-159,Main Street,Lisnaskea,BT92 0JE,028 6772 1222,236370,333870
Lurgan Library,1,Carnegie Street,Lurgan,BT66 6AS,028 3832 3912,308157,358290
Maghera Library,1,Church Street,Maghera,BT46 5EA,028 7964 2578,285486,400332
Magherafelt Library,6,Church Street,Magherafelt,BT45 6AN,028 7963 2278,289718,390714
Mellon Centre for Migration Studies*,2,Mellon Road,Omagh,BT78 5QU,028 8225 6315,242943,379265
Moira Library,21A,Backwood Road,Moira,BT67 0LJ,028 9261 9330,314827,360568
Newcastle Library,141-143,Main Street,Newcastle,BT33 0AE,028 4372 2710,337639,331116
Newry City Library,79,Hill Street,Newry,BT34 1DG,028 3026 4683,308612,326581
Newtownards Library,13,Regent Street,Newtownards,BT23 4AB,028 9181 4732,348813,374203
Newtownbreda Library,53A,Saintfield Road,Belfast,BT8 7HL,028 9070 1620,335249,369846
Newtownstewart Library,2,Main Street,Newtownstewart,BT78 4AA,028 8166 2060,240041,385533
Omagh Library,1,"Spillars Place, Irishtown Road",Omagh,BT78 1HL,028 8224 4821,245445,372551
Ormeau Road Library,247,Ormeau Road,Belfast,BT7 3GG,028 9050 9228,334373,372391
Portadown Library,24-26,Church Street,Portadown,BT62 3LQ,028 3833 6122,300933,353654
Portaferry Library,47,High Street,Portaferry,BT22 1QU,028 4272 8194,359586,350966
Portglenone Library,19,Townhill Road,Portglenone,BT44 8AD,028 2582 2228,297970,404022
Portrush Library,12,Causeway Street,Portrush,BT56 8AB, 028 7082 3718,285905,440578
Portstewart Library,2,The Crescent,Portstewart,BT55 7AB,028 7083 2712,281648,438077
Randalstown Library,34,New Street,Randalstown,BT41 3AF,028 9447 2725,308130,390234
Rathcoole Library,2,Rosslea Way,Newtownabbey,BT37 9BJ,028 9085 1157,334303,381506
Rathfriland Library,12,John Street,Rathfriland,BT34 5QH,028 4063 0661,319886,333478
Richhill Library,1,Maynooth Road,Richhill,BT61 9PE,028 3887 0639,294103,347911
Saintfield Library,15,Ballynahinch Road,Saintfield,BT24 7AD,028 9751 0550,340337,358905
Shankill Road Library,298-300,Shankill Road,Belfast,BT13 2BN,028 9050 9232,332195,374805
Shantallow Library,92,Racecourse Road,Londonderry,BT48 8DA,028 7135 4185,243849,420236
Strabane Library,1,Railway Road,Strabane,BT82 8EF,028 7188 3686,234485,397865
Strathfoyle Library,22,Temple Road,Londonderry,BT47 6TJ,028 7186 0385,246985,420717
Suffolk Library,86,Stewartstown Road,Belfast,BT11 9JP,028 9050 9235,328896,370783
Tandragee Library,84,Market Street,Tandragee,BT62 2BP,028 3884 0694,303294,345945
Tullycarnet Library,80,Kinross Avenue,Belfast,BT5 7GF,028 9048 5079,340252,373420
Warrenpoint Library,61,Summerhill,Warrenpoint,BT34 3JB,028 4175 3375,314530,318333
Waterside Library,23,Glendermott Road,Londonderry,BT47 6BG,028 7134 2963,244382,416640
Whitehead Library,17B,Edward Road,Whitehead,BT38 9QB,028 9335 3249,347338,391938
Whiterock Library,10,Whiterock Road,Belfast,BT12 7FW,028 9050 9236,330207,373516
Woodstock Library,358,Woodstock Road,Belfast,BT6 9DQ,028 9050 9239,335748,373119
* Specialist Libraries,,,,,,,
