Birthday Honours List 2016,,,,,,,
Order,Level,Award,Name,Citation,County,,
Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Dr Peter INGRAM-MONK ,"Chair, Dumfries and Galloway Disability Access Panel. For services to People with Disabilities in Dumfries and Galloway.",Dumfries,,
Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Ms Lois Anne KEITH ,"Lately Equality and Diversity Adviser, Conservatoire for Dance and Drama.  For services to Equality and Diversity in Higher Education and the Performing Arts.",London,,
Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Mr Norman William KERR ,"Area Chair, Glasgow Children’s Panel.  For services to the Children's Hearing System in Scotland and charitable and voluntary service in Glasgow.",Glasgow,,
Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Mr Timothy KIDD ,"Deputy UK Chief Commissioner, Scout Association. For services to Young People through the Scout Movement.",Oxfordshire,,
Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Mr Saul Charles KLEIN ,"General Partner, LocalGlobal and co-Founder Lovefilm, Seedcamp and Kano. For services to Business",London,,
Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Ms Irene Margaret KNOX ,"Chief Executive, Northern Ireland Library Authority. For services to Public Libraries and the community in Northern Ireland.",Down,,
Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Ms Julia LALLA-MAHARAJH ,"Founder, Orchid Project. For services to Supporting an End to Female Genital Cutting.",London,,
Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Mr Anthony Gerard LARKIN ,"Lately Director of Business and Enterprise, Royal National College for the Blind.  For services to Further Education and Disability Sport.",Herefordshire,,
Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Mr Richard LEMON ,"Policy Adviser, Northern Ireland Office. For services to the Northern Ireland Peace Process.",Down,,
Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Mr Mark LUND ,"Chief Executive, McCann Worldgroup UK.  For services to the Advertising Industry.",Oxfordshire,,
Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Mrs Estelle Miriam MACDONALD ,"Chief Executive Officer, Hull Collaborative Academy Trust and Hull Collaborative Teaching School Alliance. For services to Education.",East Riding of Yorkshire,,
Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Mr (David Alexander) Dennis MALCOLM ,"Managing Director and Master Distiller, Glen Grant. For services to Business and the community in Speyside.",Moray,,
Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Mr Hanif MALIK ,"Chief Executive, Hamara.  For services to Sport and the community particularly in Yorkshire.",West Yorkshire,,
Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Mr Sewa Singh MANDLA ,For services to the Inter-faith and Community Cohesion particularly in the Sikh community.,West Midlands,,
Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Mr Neil Stuart MARTIN ,"Chief Executive, Jewish Lads' and Girls' Brigade. For services to Young People and Interfaith Relations.",London,,
Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Mr (Jonathan) Glyn MATHIAS ,For public service and services to Broadcasting in Wales.,Powys,,
Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Dr Vanessa Linda MAYATT ,For services to Public Health and Animal Health.,Cheshire,,
Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Mr Tim MAZZUCCHI ,"Universal Credit Implementation Manager, Department for Work and Pensions. For services to Welfare Reform and voluntary service to Young People in Tynemouth.",Tyne and Wear,,
Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Mr Kevin Martin MCCANN ,"Director, Research and Development, Invest NI. For services to Economic Development in Northern Ireland.",Antrim,,
Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Mrs Roberta Ann MCCLELLAND ,"Deputy Director, Reforming FE Provision, Department for Business, Innovation and Skills.  For services to Further and Vocational Education.",South Yorkshire,,
Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Mr Kevin MCGRATH ,For charitable services.,London,,
Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Mr Glenn MCKEE ,"Clerk,  Public Bill Office, House of Commons. For parliamentary service.",London,,
Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Mr Anthony David MCPARTLIN ,Presenter. For services to Broadcasting and Entertainment.,London,,
Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Professor Edward Charles MELHUISH ,"Research Professor, University of Oxford and Birkbeck, University of London.  For services to Social Science",London,,
Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Mr Phillip MONKS ,"Chief Executive Officer, Aldemore. For services to Banking.",Essex,,
Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Mr Tom MORRIS ,"Artistic Director, Bristol Old Vic. For services to Theatre.",Bristol,,
Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Professor Celia MOSS ,"Consultant in Paediatric Dermatology, Birmingham Children's Hospital.  For services to Paediatric Dermatology.",West Midlands,,
Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Mrs Gweneth Jean MOULSTER ,"Co-chair, UK Nurse Consultants in Learning Disability Network. For services to Nursing and People with Learning Disabilities.",Hampshire,,
Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Dr Hugh Connor MULHOLLAND ,"Consultant Paediatric Cardiologist, Royal Belfast Hospital for Sick Children and lately Trustee, Heartbeat. For services to Healthcare in Northern Ireland.",Oxfordshire,,
Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Ms Emma MULQUEENY ,"Founder, Rewired State and Young Rewired State. For services to Technology and Education.",Surrey,,
Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Mr John Weir MUNDELL ,"Chief Executive, Inverclyde Council.  For services to Local Government.",West Lothian,,
Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Mr Christopher Ian MURRAY ,"Head of Operational Banking, HM Revenue and Customs. For services to HMRC Banking and charitable fundraising.",Stirling and Falkirk,,
Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Mr Jamie MURRAY ,Tennis Player.  For services to Tennis and charity.,London,,
Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Ms Alison MUTCH (MRS WEBB) ,"Deputy Chief Crown Prosecutor for Merseyside and Cheshire, Crown Prosecution Service. For services to Law and Order particularly Tackling Hate Crime.",Cheshire,,
Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Mr Stephen Michael MYCIO ,"Chair, Central Manchester University Hospitals NHS Foundation Trust.  For voluntary and charitable services to Health and Wellbeing in Manchester.",Derbyshire,,
Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Mr Gareth Elwin NEAME ,TV Producer. For services to Drama.,London,,
Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Professor Ruth NORTHWAY ,"Professor of Learning Disability Nursing, University of South Wales. For services to Learning Disability Nursing.","Rhondda, Cynon, Taff",,
Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Mr Oluseyi Oluyemi OBAKIN ,"Chief Executive, Centrepoint, Commissioner, UK Commission for Employment, Skills. For services to Youth Skills, Employment and Homelessness.",London,,
Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Ms Jasmine Sky O'CONNOR ,"Lately Head of International Campaigns, Policy and Research, Stonewall. For services to International Development and Human Rights.",London,,
Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Dr Sara Felicity OLDFIELD ,"Lately Secretary General, Botanic Gardens Conservation International.  For services to the Conservation and Protection of Wild Tree Species Worldwide.",Cambridgeshire,,
Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Mr Allen George PACKWOOD ,"Director, Churchill Archives Centre. For services to Archives and Scholarship.",Cambridgeshire,,
Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Mr David PALFREYMAN ,"Director, Oxford Centre for Higher Education Policy Studies and Bursar, New College, Oxford.  For services to Higher Education.",Oxfordshire,,
Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Mr Guy Thomas Ernest PARSONS ,For services to Business and charity.,West Sussex,,
Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Rev Canon Dr David PEACOCK ,"Founder and Chair, Cumbria Reducing Re-offending Partnership Trust.  For services to Rehabiliation and Reducing Re-offending.",Lancashire,,
Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Professor Ian Gerrard PEATE ,"Visiting Professor, St George's, University of London and Kingston University and Head of School of Health Studies, Gibraltar. For services to Nursing and Nurse Education",London,,
Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Mr (Trevor) John PELLY ,"Lately Chief Executive, Moorfields Eye Hospital NHS Foundation Trust.  For services to the NHS.",London,,
Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Ms Caroline Bayantai PLUMB (MRS TAYLOR) ,"Founder and Executive Chair, FreshMinds.  For services to Business and Charity.",Surrey,,
Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Dr Nima POOVAYA SMITH ,"Founder and Director, Alchemy Anew. For services to Arts and Museums in Yorkshire.",West Yorkshire,,
Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Reverend John Anthony PROCTOR ,For services to Homeless and Vulnerable People.,Wiltshire,,
Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Mr Duncan Douglas Faulds RAE ,"Managing Director, Golden Casket (Greenock) Ltd and Chairman, Greenock Morton Football Club.  For services to Business and the community in Renfrewshire.",Renfrewshire,,
Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Ms Bhanu RAMASWAMY ,Independent Physiotherapy Consultant. For services to Physiotherapy.,South Yorkshire,,
Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Mr Adil RAY ,"Actor, Radio and Television Presenter. For services to Broadcasting.",London,,
Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Mr Howard Peter REDWAY ,"Statistician, Model Development Division, Analytical Services Directorate, Department for Work and Pensions. For services to Public Data Analysis.",West Sussex,,
Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Ms Kathleen Mary REID ,"Deputy Head of Office, South Sudan, Department for International Development. For services to International Development.",East Sussex,,
Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Mrs Bernadette Elizabeth Ann RIJNENBERG ,"Lately, Probation Director Wales, Community Rehabilitation Company. For services to Probation.",Powys,,
Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Mrs Deborah ROGAN ,"Executive Headteacher, The Wickford CofE School and Chief Executive Officer, HEARTS Multi-Academy Trust, Essex. For services to Education.",Essex,,
Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Professor (Frances) Alice ROGERS ,"Emeritus Professor of Mathematics, King's College, London.  For services to Mathematics Education and Higher Education.",London,,
Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Mr Ian Isaac ROSENBLATT ,"Founder, Rosenblatt Recitals Series. For philanthropic services to Music.",London,,
Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Mr Guy Ridley SALTER MVO,"Deputy Chair, Walpole. For services to the Economy.",London,,
Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Professor Eileen SCANLON ,"Regius Professor of Open Education, The Open University.  For services to Education.",Bedfordshire,,
Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Mr Stephen John Buckland SEGAR ,"Chair, Westonbirt Arboretum. For services to Natural Heritage and the community.",Wiltshire,,
Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Professor Deborah Janette SHARP ,"Professor of Primary Health Care, University of Bristol.  For services to Primary Care.",Somerset,,
Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Miss Jennifer Elizabeth SHAW (MRS ADAMS) ,"Head of Battle of Jutland Commemorations, Department for Culture, Media and Sport. For services to the Commemoration of the Centenary of the First World War.",London,,
Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Dr David SHIERS ,"Clinical Adviser, National Audit of Schizophrenia. For services to Vulnerable People.",Staffordshire,,
Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Mr Dhanonday SHRIVASTAV ,"Musician, Instrumentalist and Founder, Inner Vision Orchestra. For services to Music.",London,,
Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Ms Stella Frances SILAS DUFFY (STELLA DUFFY) ,Writer and Theatremaker. For services to the Arts.,London,,
Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Miss Evelyn Ruth SMITH TD,For voluntary services to Healthcare and the community in Northern Ireland.,Belfast,,
Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Mr Leon SMITH ,"Captain, Davis Cup Team.  For services to Tennis.",Edinburgh,,
Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Lady Frances Mary SORRELL ,"Co-Founder and Co-Chair, the Sorrell Foundation. For services to Art and Design Education.",London,,
Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Mrs Shirley Louise SPEAR ,For services to the Food and Drink Industry in Scotland.,East Lothian,,
Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Mr Timothy STEINER ,"Founder and Chief Executive Officer, Ocado. For services to the Economy.",Hertfordshire,,
Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Mrs Clare STOCKS ,"Grade 7, Ministry of Defence. For services to Defence.",London,,
Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Mr Paul Malcolm STONEBANKS ,"Managing Director, AIS Group. For services to Manufacturing and Skills in the Offshore and Renewable Sectors.",Tyne and Wear,,
Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Ms Gina Lorraine SUTHERLAND-KREMER ,"Lately Editor, Hansard. For services to Parliament.",London,,
Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Mrs Enid Josephine TEASDALE ,"Lately Chair of Governors, Barnsley College.  For services to Education in South Yorkshire.",West Yorkshire,,
Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Mr Anthony William THOMPSON ,"Grade 6, Planning Development Management, Department for Communities and Local Government. For services to Planning and voluntary services to Young People.",London,,
Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Mr John Joseph THORNHILL JP,"President, National Council of Independent Monitoring Boards. For services to the Criminal Justice System.",Merseyside,,
Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Ms Nicola Anne THOROLD ,"Executive Producer, The Roundhouse. For services to the Arts.",London,,
Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Professor Alan John THORPE ,"Lately Director-General, European Centre for Medium Range Weather Forecasts.  For services to Environmental Science and Research.",Berkshire,,
Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Mrs Eileen TURNBULL ,For services to Social Justice and Campaigning through the Trades Union Movement.,Merseyside,,
Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Ms Hayley TURNER ,For services to Horseracing.,Suffolk,,
Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Mr Robert James TWIGGER ,"Lately Acting Serjeant at Arms, House of Commons.  For parliamentary service.",Surrey,,
Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Dr Joanna TWIST ,"Chief Executive Officer, Ukie. For services to the Creative Industries.",London,,
Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Dr Geetha UPADHYAYA ,"Co-Founder and lately Chief Executive and Artistic Director, Kala Sangam. For services to South Asian Arts in the UK.",West Yorkshire,,
Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Ms Joanna Clare WAKEMAN ,"Deputy Director, Large Business, HM Revenue and Customs. For services to the Taxation of Financial Services.",London,,
Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Mr Terence WATKIN ,For services to Trades Union Movement.,Tyne and Wear,,
Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Mrs Pauline WATTS ,"Lead Nurse, Quality, Mental Health, Learning Disability and Dementia, Public Health England. For services to Nursing and Health Visiting.",Warwickshire,,
Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Mr Nicholas John WAY ,"Lately Director General, Historic Houses Association. For services to the Conservation of the UK’s Architectural Heritage.",Oxfordshire,,
Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Professor Nick Anthony David John WEBBORN ,"Chief Medical Officer, Paralympics GB.  For services to Paralympic Sports Medicine and the British Paralympic Association.",East Sussex,,
Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Mr Peter Giles WEST ,"Commercial Manager, Great Western Franchise, Department for Transport. For services to the Rail Industry.",London,,
Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Mrs Deborah Ann WESTON ,"Associate Senior Leadership Team Member, Mulberry School for Girls, London. For services to Religious Education and Inter- and Intra-faith Relations.",London,,
Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Mr Mark Steven WHITE ,For services to Education particularly in Teesside.,Durham,,
Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Mr Edward John WHITING ,"Deputy Principal Private Secretary, Prime Minister's Office.  For public service and services to No. 10 Downing Street.",London,,
Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Dr Carolyn Ann WILKINS ,"Chief Executive, Oldham Council.  For services to Local Government and Public Sector Reform.",Derbyshire,,
Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Ms Claire WILLIAMS ,"Deputy Team Principal, Williams Martini Racing Team. For services to Formula 1 Racing.",Oxfordshire,,
Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Dr Paul WILLIAMSON ,"Lately Keeper of Sculpture, Metalwork, Ceramics and Glass, V&A. For services to Medieval Art.",London,,
Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Dr Ingrid WOLFE (MRS HORTON) ,"Director, Evelina London Child Health Programme. For services to Child Health and Care.",London,,
Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Mrs Sarah WOOD ,"Co-founder and co-Chief Executive Officer, Unruly. For services to Innovation and Technology.",London,,
Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Ms Deborah Jane WOSSKOW ,"Founder and Chief Executive, Love Home Swap.  For services to Business.",London,,
Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Mrs Diana Rosemary YAKELEY ,For services to the UK Interior Design Profession.,London,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Ms Harriet Eva ACKUNSON ,"Lately HEO, Faith and Integration, Department for Communities and Local Government.  For services to Faith Groups.",Kent,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Laurie ADAMS ,"Group Manager, Devon and Somerset Fire and Rescue Service.  For services to Flood Capability Policy and Rescue Services.",Devon,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Roger Charles AGOMBAR ,"Lately Consultant, Department for Transport.  For services to Tackling Drink and Drug Driving.",London,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Amanda ALDOUS ,"Founder, Hackwood Art Festival.  For services to the Arts.",Hampshire,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Mohammed ALI ,Street Artist. For services to Art and Community Cohesion.,West Midlands,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Michael Joseph ALLURED ,"Policy Adviser, Children in Care, Children's Services and Departmental Strategy Directorate, Department for Education.  For services to Education and to charity.",London,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Deborah ALSINA-ANDERSON ,"Chief Executive, Bowel Cancer UK. For services to Bowel Cancer Patients.",Gloucestershire,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Mohammed AMIN ,"Founder Member and Co-Chair, Muslim Jewish Forum of Greater Manchester. For services to Community Cohesion and Inter-faith Relations in Greater Manchester.",Greater Manchester,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Margaret Watt ANDERSON ,"For services to charity in Fraserburgh, Aberdeenshire.",Aberdeenshire,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Ms Rachel Paula ANDERSON ,For services to Gender Equality in Football.,Essex,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr David ASHTON ,"For services to the Church of England and the community in Batley, West Yorkshire.",West Yorkshire,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Ruth ATKINSON ,"Communities Director, Eden District Council. For services to Local Government.",Cumbria,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr William James BAILIE ,"Senior Professional Technical Officer (Deputy Principal), Northern Ireland Executive. For services to the Justice Department and Development of the Prison Estate.",County Down,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Jonathan BAINES ,"Senior Executive Officer, Ministry of Defence. For services to Defence.",London,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Julian Huw BAINES ,"Chief Executive Officer, EKF Diagnostics. For services to the Life Sciences Industry.",South Glamorgan,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr John Charles BALL ,"Technician, Urban Search and Rescue, Essex County Fire and Rescue Service.  For services to National and International Search and Rescue.",Suffolk,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Ms Ellen (Elly) BARNES ,"Founder and Chief Executive, Educate & Celebrate. For services to Equality and Diversity.",London,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Tracy BARNETT ,"Member, Diversity Steering Group, Royal Mail. For services to Royal Mail and voluntary service in the UK and Abroad.",East Sussex,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr John George BARON ,"HOLMES Coordinator, Greater Manchester Police. For services to the Police.",Lancashire,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Felix BARRETT ,"Founder and Artistic Director, Punchdrunk. For services to Drama.",London,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr David John BATCHELOR ,"Senior Executive Officer, Ministry of Defence.  For services in Support of the Drawdown of the Military Estate in Germany.",Lincolnshire,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Rikki BEADLE-BLAIR ,"Playwright, Director and Screenwriter.  For services to Drama.",London,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Elizabeth Ann BELL ,"Vice Chair, South Antrim Community Transport.  For voluntary service to Community Transport.",Antrim,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Ms Alice BENTINCK ,"Co-founder, Entrepreneur First.  For services to Business.",London,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Ms Margaret Ann BERSEY ,"Social Worker and Team Manager, Plymouth City Council. For services to Children and Families.",Cornwall,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Ms Deborah BESTWICK ,"Co-founder, Team17. For services to the Video Games Industry.",Nottinghamshire,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Miss Caryl Suzanne BILLINGHAM ,"For services to the community in Brackley, Northamptonshire.",Northamptonshire,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Susan Mary BIRD ,"Consultant Acoustic Engineer and lately Partner, Bird Acoustics. For services to Engineering and Women in Engineering in the UK and Abroad.",Buckinghamshire,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Heather MacQueen BISSET JP,"Lately President, Gordon County Girl Guides.  For services to the Guiding Movement and the community in Aberdeenshire.",Aberdeenshire,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr William Edward BLACKLEDGE ,For services to North West in Bloom.,Lancashire,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr James Miller BLAIR ,"Principal Conductor and Artistic Director, Young Musicians Symphony Orchestra. For services to Music.",London,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Nigel David BLAIR ,"Founder and Trustee, Eikon Charity. For services to Young People in Surrey.",Surrey,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Miss Davina Paola BLAKE ,"Executive Officer, Department for Work and Pensions.  For services to Jobseekers and the community in South London.",Surrey,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Nigel Graham BLISS ,"Director, Finance and Operations, Liberal Democrats. For political and public service.",London,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,EurIng Andrew Graeme BLYTH ,For services to the Maritime Industry and Maritime Safety.,Hampshire,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Dr Stephen Eric BOLD FRENG,"For services to Engineering, Education and to Charity.",Oxfordshire,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Jacqueline Dawn BONFIELD ,For services to the Promotion of Diversity in Engineering.,Hertfordshire,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr John Stephen BOSTWICK ,For services to Education and the community in Barnsley and charitable services to the Fire Service Benevolent Fund.,South Yorkshire,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Adrian Mark BOWATER ,"Member, Academies Finance and Assurance Steering Group, Education Funding Agency and Director of Finance, Walsall Academy. For services to Education.",West Midlands,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Carol BRADY ,"Chair, Chartered Trading Standards Institute Board. For services to Consumers and Better Regulation.",Derbyshire,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Stuart Christopher John BROAD ,For services to Cricket.,London,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Elizabeth BROOKER ,"Road Safety and Sustainable Transport Manager, London Borough of Lewisham. For services to Road Safety.",Kent,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Keith Charles BROWN ,"Chair of Governors, College of North East London.  For services to Further Education.",Hertfordshire,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Elizabeth BROWNE ,"Lately Paediatric Nurse, Ulster Hospital. For services to Healthcare.",Down,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Dudley Alan BRYANT ,For political service.,Lincolnshire,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Dr Robin Harold BUCKLAND ,"Founder, The Children's Holiday Foundation Charity, North Devon. For services to Children.",Devon,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mrs Margaret BURNS JP,"Contact Centre Manager, Peterlee Contact Centre, HM Revenue and Customs, Peterlee. For services to Benefit Recipients and to the community in Tyne and Wear.",Tyne and Wear,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Robert BURNS ,For services to charity and the community in Somerset.,Somerset,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Mike BUTCHER ,"Editor-at-Large, TechCrunch. For services to Technology and Journalism.",Surrey,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Miss Sarah Frances BYFORD JP,For voluntary services to Grassland Societies and Rural Communities.,Monmouthshire,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Dr Kathleen Frances BYRNE ,"Lately Commissioner, Royal Commission on the Ancient and Historical Monuments of Scotland.  For services to Heritage Information.",Midlothian,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Dr Anna CAMPBELL ,"Founder, CanRehab.  For services to Research into Exercise-Based Cancer Rehabilitation Services.",Perth and Kinross,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Dr Robert Menzies CAMPBELL ,"Volunteer, VSO. For services to International Development.",North Yorkshire,,
Members of the Order of the British Empire,MBE,Member of the Order of the British Empire,Mr Stephen Robert CANNON ,"Consultant Orthopaedic Surgeon and Chair, Skeletal Cancer Action Trust. For services to Orthopaedics.",Buckinghamshire,,
