Birthday Honours List 2016,,,,,,,
Order,Level,Award,Name,Citation,County,,
Dames Commander of the Order of the British Empire,DBE,Dame Commander of the Order of the British Empire,Ms Christine LENEHAN OBE,"Director, Council for Disabled Children. For services to Children and Young People.",Middlesex,,
Dames Commander of the Order of the British Empire,DBE,Dame Commander of the Order of the British Empire,Ms Julia PEYTON-JONES OBE,"Director and Co-Director of Exhibitions and Programmes, Serpentine Gallery. For services to the Arts.",London,,
Dames Commander of the Order of the British Empire,DBE,Dame Commander of the Order of the British Empire,Ms Benita REFSON OBE,"President, Place2Be. For services to Education.",London,,
Dames Commander of the Order of the British Empire,DBE,Dame Commander of the Order of the British Empire,Ms Penelope Alice WILTON OBE,Actress. For services to Drama.,London,,
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Dr Cheryll Mary ADAMS ,"Founding Director, Institute of Health Visiting. For services to Health Visiting.",Hampshire,,
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Martin AINSCOUGH DL,"For philanthropic services to charity, Education and Young People in Wigan, Greater Manchester.",Lancashire,,
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr John Christopher ARMITAGE ,For philanthropic services through the John Armitage Charitable Trust.,London,,
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr David ARMOND QPM,"T/Deputy Director General, National Crime Agency. For services to Law Enforcement particularly to International Policing.",Essex,,
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Richard Lee BANKS ,"Chief Executive Officer, UK Asset Resolution.  For services to Taxpayers.",Cheshire,,
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Stephen Kenneth James BELL ,"President, National Conservative Convention. For political service.",East Sussex,,
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Professor Dinah Lynne BIRCH ,"Pro Vice Chancellor for Research, University of Liverpool.  For services to Higher Education, Literary Scholarship and Cultural Life.",Merseyside,,
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Simon Paul BLAGDEN MBE,"Chairman, Fujitsu UK.  For services to the Economy and Skills.",North Yorkshire,,
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Graham BRAMMER ,"Director, Debt Management, HM Revenue and Customs. For service to Taxpayers and Tax Collection.",West Sussex,,
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr James BRISBANE ,"Lately Chief Operating Officer, Operations Directorate, Crown Prosecution Service.  For services to Law and Order.",Carmarthenshire,,
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mrs Kay BROCK LVO,For public service particularly to the Church of England.,London,,
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr David Lovell BURBIDGE OBE DL,For services to Cultural Philanthropy in the West Midlands.,Warwickshire,,
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Ms Stella Anne BURGESS ,"Champion, Islamic Finance Market. For services to the Economy.",Kent,,
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Roger Victor John CADBURY ,For services to the Bournville Village Trust in Birmingham and to charity in Warwickshire.,Gloucestershire,,
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Professor Derek Harold CALAM OBE,For services to Public Health and the Regulation of Medicines.,Wiltshire,,
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr David Ewan CAMERON ,"Director, Community Land Scotland.  For services to Community Land Ownership in Scotland.",Western Isles,,
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Dr Thomas Norman CAVEN ,"Lately Registrar General and Chief Executive, Northern Ireland Statistics and Research Agency. For services to Civil Registration and Official Statistics.",Down,,
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Professor Usha CHAKRAVARTHY ,"Professor of Ophthalmology, Belfast Health and Social Care Trust. For services to Ophthalmology in Northern Ireland and voluntary service to Managing Eye Conditions.",Belfast,,
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Keith Robertson COCHRANE ,"Chief Executive, The Weir Group plc. For services to Business in Scotland.",Perth and Kinross,,
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr James Henry CONN ,Lately Crown Solicitor. For services to Justice.,Belfast,,
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Alastair Nathan COOK MBE,"Captain, England Cricket Squad.  For services to Cricket.",Bedfordshire,,
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr John Raymond Barnett CRISFORD ,"National Chairman, The Royal British Legion. For voluntary service to Ex-Servicemen and Women.",Norfolk,,
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Ms Carol Jean DAVIES ,"Deputy Director, Employment Group, Government Legal Department. For services to Employment Law and voluntary services through Spelthorne Rentstart.",Middlesex,,
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Peter Roger DAVIES OBE,"Lately Commissioner for Sustainable Futures, Wales. For service to Sustainable Development in Wales.",Pembrokeshire,,
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Dr Robson Sinclair DAVISON ,"Lately Chair, Governing Body, South Eastern Regional College. For services to Further Education.",Antrim,,
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Colin James DIAMOND ,"Executive Director of Education, Birmingham City Council. For services to Education.",Somerset,,
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr David James DUNAWAY ,"Craniofacial Surgeon, Great Ormond Street Hospital and Trustee, Facing Africa.  For services to Facial Surgery in the UK and Africa.",Glasgow,,
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Ms Althea Joy Barrett EFUNSHILE ,"Lately Acting Chief Executive, Arts Council. For services to Arts and Culture.",Surrey,,
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Harold Mark ENNIS ,"Non-Executive Chairman, SSE Ireland. For services to the Economy and the community in Northern Ireland.",Down,,
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Professor Anthony Charles Wiener FINKELSTEIN ,"Professor of Software Systems Engineering, University College London and The Alan Turing Institute.  For services to Computer Science and Engineering.",London,,
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Professor Geoffrey Nigel GILBERT FRENG,"Professor of Sociology and Director, Centre for Research in Social Simulation, University of Surrey.  For services to Engineering and the Social Sciences.",Surrey,,
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Professor Martin GORE ,"Consultant Cancer Physician and Medical Director, Royal Marsden Hospital.  For services to Oncology.",London,,
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Robert Jeremy Goltho GRANTHAM ,For philanthropic service to Climate Change Research.,Abroad,,
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Dr Tessa HARTMANN ,For services to the Scottish Fashion and Textile Industries.,Glasgow,,
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Lady Susan HAUGHEY DL,For services to Business and Philanthropy.,Lanarkshire,,
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Ms Rachel Laura HOPCROFT ,Lately Principal Private Secretary to the Cabinet Secretary.  For public service.,London,,
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Ms Elizabeth Anne HORNE ,"Chief Executive Officer, Horizons Specialist Academies Trust, Stockton. For services to Education.",Durham,,
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Ms Alison Elizabeth HUTCHINSON ,"Chief Executive Officer, Pennies Foundation. For services to the Economy and Charities.",London,,
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr John Allan HYDE ,"Executive Chairman, Hospitality Industry Training.  For services to the Further Education and Training Sectors.",West Sussex,,
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Professor Charles Adrian JEFFERY ,"Professor of Politics, University of Edinburgh and lately Director, Future of the UK and Scotland Research Programme, ESRC. For services to the Social Sciences.",Edinburgh,,
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Paul Bede JOHNSON ,For services to Literature.,London,,
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Professor Peter JOHNSON ,"Professor of Medical Oncology, University of Southampton. For services to Medicine and Higher Education.",Hampshire,,
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Ms Catherine Elizabeth JOHNSTONE ,"Lately Chief Executive, Samaritans. For services to Suicide Prevention.",Oxfordshire,,
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Richard Andrew JONES ,"Director, Financial Planning and Scrutiny, Ministry of Defence. For services to Defence.",London,,
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Stephen Edward KERSHAW ,"Director of Strategy and Partnerships, Immigration Enforcement, Home Office. For services to Border Security, Policing and Education.",Hertfordshire,,
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Dr Brian Andrew LANG FRSE,"Chairman, Royal Scottish National Orchestra. For services to the Arts, Heritage and Education.",Edinburgh,,
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Hon Alderman Allah Yar Mushtaq LASHARIE ,For political service and charitable services in Pakistan through the Jhok Aid Project.,London,,
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Professor Colin James LAWSON ,"Director, Royal College of Music. For services to Music and Music Education.",London,,
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Dr John Wilfred LAZAR FRENG,"Chairman, Metaswitch Networks.  For services to Engineering.",London,,
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Adrian LEPPARD QPM,"Lately Commissioner, City of London Police. For service to Policing and the Prevention of Economic Crime.",Wiltshire,,
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Paul LEWIS ,Classical Pianist.  For services to Music.,London,,
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr John David LOVERING ,For services to the Charitable Sector and philanthropic services through the Lovering Charitable Trust.,East Sussex,,
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Professor John Nicholas LUDDEN ,"Executive Director, British Geological Survey.  For services to Geoscience.",Nottinghamshire,,
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Howard Austin LYONS ,"Lately Managing Director, Healthcare UK.  For services to Healthcare Management.",London,,
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Professor Laura Jean MCALLISTER ,"Chair, Sport Wales.  For services to Sport in Wales.",Cardiff,,
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Tom MCCORMACK ,"Child Maintenance Group Director, Department for Work and Pensions. For services to Child Maintenance Reform.",Northumberland,,
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Ms Tracey Elizabeth MCDERMOTT ,"Acting Chief Executive, Financial Conduct Authority. For services to Financial Services Consumers and Markets.",London,,
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Professor Peter MCGUFFIN ,"Clinical Psychiatrist, King's College London. For services to Biomedical Research and Psychiatric Genetics.",Cardiff,,
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr John MCLEOD ,Composer and Conductor.  For services to Music.,Edinburgh,,
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Bharat Maganlal MEHTA OBE,"Chief Executive Officer, Trust for London. For services to Finance in the Charitable and Voluntary Sectors.",London,,
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Richard John MICKLETHWAIT ,"Lately Editor-in-Chief, the Economist. For services to Journalism and Economics.",Abroad,,
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Professor Ann Patricia MOORE ,"Lately Head, Centre for Health Research and Professor of Physiotherapy, University of Brighton. For services to Physiotherapy.",East Sussex,,
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Stephen Peter MORGAN OBE,For philanthropic services through the Morgan Foundation.,Cheshire,,
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Jack Anthony MORRIS OBE,For services to Business and Charity in London.,London,,
