Number of applications in England and Wales divided by local authority,,,,,,,,,,,,
,,,,,,,,,,,,
Metrics, ,,,,,,,,,,,
Calendar Month,Nov-17,,,,,,,,,,,
Local Authority,FR,DFL,TP,DLG,OS(W),OS(NPW),OS(P),OS(NPP),SIMS,OC1,OC2,Total
Total,12201,20904,18171,434288,197164,3034,37980,48,24970,837837,187626,1774223
ALL COUNTIES,1,0,0,2,0,0,0,0,0,17,66,86
ADUR,16,11,13,429,218,0,22,0,22,807,187,1725
ALLERDALE,66,25,50,740,338,2,46,0,57,1307,259,2890
AMBER VALLEY,58,13,53,853,371,0,76,0,51,1444,339,3258
ARUN,33,52,80,1310,586,1,111,1,46,2495,610,5325
ASHFIELD,26,6,35,846,367,13,57,0,40,1091,287,2768
ASHFORD,13,33,85,1072,452,8,123,0,67,2120,456,4429
AYLESBURY VALE,43,39,103,1468,708,8,194,0,100,3182,666,6511
BABERGH,39,13,59,679,308,5,72,0,51,1145,241,2612
BARKING AND DAGENHAM,5,55,42,1239,584,6,98,0,41,2637,562,5269
BARNET,6,295,34,2789,1198,11,272,1,175,7523,1556,13860
BARNSLEY,63,44,101,1491,713,7,143,0,77,2220,529,5388
BARROW-IN-FURNESS,23,1,16,457,233,0,33,0,15,681,85,1544
BASILDON,24,35,43,1464,660,6,96,0,45,2359,486,5218
BASINGSTOKE AND DEANE,23,39,44,1339,577,16,118,0,76,2229,525,4986
BASSETLAW,35,28,44,828,332,8,80,0,81,1336,309,3081
BATH AND NORTH EAST SOMERSET,61,73,81,1444,560,34,198,0,82,2687,642,5862
BEDFORD,31,61,77,1262,570,5,236,0,52,2639,674,5607
BEXLEY,14,113,12,1756,877,6,121,3,52,3266,756,6976
BIRMINGHAM,127,322,159,6867,2838,25,416,0,409,13790,2762,27715
BLABY,36,38,68,707,348,1,75,0,40,1138,214,2665
BLACKBURN WITH DARWEN,22,23,13,884,421,9,47,0,78,1708,382,3587
BLACKPOOL,35,34,4,1052,457,7,22,0,85,1943,353,3992
BLAENAU GWENT,40,3,13,415,161,3,9,2,18,736,141,1541
BOLSOVER,17,5,41,574,237,4,35,0,30,991,205,2139
BOLTON,57,65,75,1888,841,11,104,0,135,3976,886,8038
BOSTON,28,8,27,441,188,3,44,0,27,873,171,1810
BOURNEMOUTH,33,87,9,1669,786,11,131,0,70,3141,888,6825
BRACKNELL FOREST,2,48,17,1015,440,7,67,0,43,1805,460,3904
BRADFORD,74,150,112,3025,1409,13,286,0,151,6047,1030,12297
BRAINTREE,40,30,30,1149,594,5,74,0,72,2272,505,4771
BRECKLAND,56,28,41,1072,652,0,129,0,67,1735,398,4178
BRENT,5,190,18,1877,831,7,233,1,113,6030,1131,10436
BRENTWOOD,14,25,10,645,286,2,45,0,18,1561,243,2849
BRIDGEND,25,7,47,1145,422,2,81,0,85,1549,276,3639
BRIGHTON AND HOVE,53,255,22,2446,1152,17,103,0,80,5130,1484,10742
BROADLAND,80,10,59,996,479,5,117,0,79,1409,322,3556
BROMLEY,23,127,16,2518,1155,4,104,0,64,4864,1137,10012
BROMSGROVE,23,14,52,921,379,1,75,0,35,1251,231,2982
BROXBOURNE,10,40,16,692,280,3,88,0,21,1384,392,2926
BROXTOWE,19,7,18,695,347,32,27,0,31,1102,232,2510
BURNLEY,14,26,25,636,322,13,43,0,59,1803,266,3207
BURY,27,33,41,1456,621,3,65,0,94,2650,581,5571
CAERPHILLY,51,13,49,1262,511,10,21,0,51,1546,344,3858
CALDERDALE,48,26,58,1428,709,7,74,0,56,2517,404,5327
CAMBRIDGE,15,46,17,742,353,11,136,1,70,1594,400,3385
CAMDEN,2,287,7,1712,662,9,295,3,167,8043,1716,12903
CANNOCK CHASE,20,12,122,790,304,1,79,0,39,1044,237,2648
CANTERBURY,9,60,30,1131,556,2,59,0,51,2199,485,4582
CARDIFF,35,74,43,2699,1200,12,125,1,94,4556,991,9830
CARLISLE,46,21,55,832,379,4,117,0,76,1395,331,3256
CARMARTHENSHIRE,124,26,62,1384,603,5,118,0,84,2184,389,4979
CASTLE POINT,39,10,16,747,326,1,20,0,56,878,153,2246
CENTRAL BEDFORDSHIRE,53,54,156,2287,1107,31,291,1,106,3794,892,8772
CEREDIGION,97,9,34,557,243,0,32,0,32,850,160,2014
CHARNWOOD,36,32,107,1156,584,6,148,0,64,1824,357,4314
CHELMSFORD,37,50,48,1501,551,3,126,0,65,2566,524,5471
CHELTENHAM,39,37,36,979,429,3,61,0,31,1533,370,3518
CHERWELL,37,70,103,1107,518,11,205,2,74,2329,560,5016
CHESHIRE EAST,84,194,180,3225,3390,11,351,2,174,5682,1251,14544
CHESHIRE WEST AND CHESTER,68,135,159,2670,1282,7,338,2,147,4499,962,10269
CHESTER,0,0,0,0,0,0,0,0,2,0,0,2
CHESTERFIELD,21,9,25,825,294,3,53,0,35,1114,265,2644
CHICHESTER,44,44,65,848,389,0,96,5,93,2255,513,4352
CHILTERN,29,15,19,745,287,5,29,0,44,1524,321,3018
CHORLEY,24,80,28,873,407,2,99,1,74,1353,322,3263
CHRISTCHURCH,12,20,16,388,185,1,17,0,18,764,136,1557
CITY OF BRISTOL,42,265,68,3774,1617,123,361,0,154,6375,1874,14653
CITY OF DERBY,34,77,76,1709,760,8,125,0,53,2239,773,5854
CITY OF KINGSTON UPON HULL,23,26,60,1553,716,9,103,0,71,2373,522,5456
CITY OF LONDON,3,73,5,459,110,22,104,0,92,2612,971,4451
CITY OF NOTTINGHAM,15,89,63,1809,834,119,139,0,75,3972,781,7896
CITY OF PETERBOROUGH,20,44,74,1362,678,12,279,0,56,2480,585,5590
CITY OF PLYMOUTH,30,97,47,1768,840,6,236,0,70,2978,671,6743
CITY OF WESTMINSTER,8,423,25,2860,1162,48,439,0,445,14383,3772,23565
COLCHESTER,59,43,82,1472,676,1,169,0,69,2958,627,6156
CONGLETON,0,0,0,0,1,0,0,0,0,2,1,4
CONWY,56,52,52,892,401,5,69,0,75,1484,311,3397
COPELAND,49,8,29,513,245,2,41,0,42,731,140,1800
CORBY,9,19,55,590,255,2,108,0,32,961,310,2341
CORNWALL,298,166,362,4834,1967,12,563,0,445,8209,1967,18823
COTSWOLD,33,29,109,743,338,10,113,1,62,1977,409,3824
COUNTY DURHAM,164,48,236,3439,1532,10,279,0,192,5908,1147,12955
COVENTRY,45,79,48,2184,949,9,137,0,116,3537,665,7769
CRAVEN,28,4,21,471,220,0,52,0,24,697,157,1674
CRAWLEY,7,25,28,734,332,4,103,0,24,1362,298,2917
CREWE AND NANTWICH,0,0,0,0,0,0,0,0,2,0,0,2
CROYDON,10,220,39,3039,1482,8,209,0,103,6963,1686,13759
DACORUM,33,49,49,1153,539,6,93,0,61,2138,489,4610
DARLINGTON,18,19,41,691,288,7,47,0,32,1143,254,2540
DARTFORD,16,98,57,996,459,9,188,0,39,2413,478,4753
DAVENTRY,21,21,96,635,278,0,149,0,43,1200,260,2703
DENBIGHSHIRE,49,13,19,716,307,5,53,0,71,1167,241,2641
DERBYSHIRE DALES,57,12,50,542,225,5,48,0,68,1378,236,2621
DONCASTER,51,49,145,2014,934,18,218,0,92,2988,567,7076
DOVER,12,21,39,844,419,7,94,1,33,1328,262,3060
DUDLEY,56,65,57,1937,824,3,113,0,76,3453,668,7252
DURHAM,0,0,0,0,0,0,0,0,2,0,0,2
EALING,6,191,36,2455,961,9,121,0,118,5987,1182,11066
EAST CAMBRIDGESHIRE,40,21,35,699,319,3,41,0,45,1268,245,2716
EAST DEVON,31,62,108,1245,543,23,166,0,70,1882,471,4601
EAST DORSET,27,10,26,670,330,2,43,0,51,1193,310,2662
EAST HAMPSHIRE,46,23,56,973,505,2,173,1,95,1911,429,4214
EAST HERTFORDSHIRE,21,67,53,1243,531,3,107,0,78,2575,613,5291
EAST LINDSEY,79,27,47,1069,495,3,76,0,77,1628,301,3802
EAST NORTHAMPTONSHIRE,29,21,61,759,353,3,59,0,36,1213,216,2750
EAST RIDING OF YORKSHIRE,112,31,148,2590,1231,7,171,0,179,3808,746,9023
EAST STAFFORDSHIRE,48,33,67,839,369,3,100,0,63,1263,257,3042
EASTBOURNE,1,42,17,858,411,1,50,0,17,1684,486,3567
EASTLEIGH,27,30,83,1146,503,12,160,1,71,1999,502,4534
EDEN,36,11,59,508,200,3,48,0,43,830,193,1931
ELMBRIDGE,3,37,21,1114,512,4,37,0,69,2657,559,5013
ENFIELD,6,134,16,2081,856,9,87,0,74,5293,1036,9592
EPPING FOREST,18,53,22,1046,499,5,99,0,73,2441,502,4758
EPSOM AND EWELL,0,23,15,566,288,2,31,0,26,1042,250,2243
EREWASH,22,19,20,879,404,13,27,0,26,1227,283,2920
EXETER,18,28,46,815,441,2,117,0,77,1596,362,3502
FAREHAM,24,28,48,891,443,1,55,2,27,1499,312,3330
FENLAND,51,8,43,730,363,9,104,0,61,1354,218,2941
FLINTSHIRE,72,15,38,1100,414,0,84,0,67,1864,389,4043
FOREST HEATH,28,12,33,545,314,11,70,0,52,912,215,2192
FOREST OF DEAN,45,28,41,561,279,4,52,0,45,989,245,2289
FYLDE,23,25,26,773,315,3,68,0,47,1427,335,3042
GATESHEAD,34,29,65,1507,616,15,89,0,73,2318,539,5285
GEDLING,25,13,21,818,417,2,26,0,27,1128,287,2764
GLOUCESTER,14,54,27,1077,497,8,60,0,80,1496,372,3685
GOSPORT,22,16,13,589,293,2,21,1,19,1109,227,2312
GRAVESHAM,6,22,16,688,374,1,53,0,18,1264,279,2721
GREAT YARMOUTH,37,22,25,793,351,7,34,0,40,957,203,2469
GREENWICH,7,251,15,1998,967,10,274,1,66,4838,1013,9440
GUILDFORD,7,76,20,1007,458,11,67,0,38,2260,433,4377
GWYNEDD,100,33,54,859,391,2,65,1,80,1697,283,3565
HACKNEY,2,148,4,1666,755,1,198,0,136,6578,1403,10891
HALTON,18,62,28,898,466,4,76,0,48,1499,274,3373
HAMBLETON,65,23,51,612,373,4,74,0,73,1188,262,2725
HAMMERSMITH AND FULHAM,3,259,10,1831,599,2,208,1,119,5381,1248,9661
HARBOROUGH,28,13,57,741,395,2,75,0,37,1338,305,2991
HARINGEY,2,194,6,1822,712,25,115,0,82,5299,995,9252
HARLOW,6,18,29,591,268,1,32,1,19,1076,264,2305
HARROGATE,78,33,52,1312,583,3,112,0,95,2296,477,5041
HARROW,3,173,7,1563,695,6,107,0,75,3687,750,7066
HART,16,34,50,786,318,7,98,0,33,1475,312,3129
HARTLEPOOL,8,9,23,556,266,9,42,0,16,960,173,2062
HASTINGS,5,63,12,776,337,5,66,0,21,1582,415,3282
