Department,Entity,Posted Date,Internal Voucher Number, Invoice Line Amount Net GBP ,Supplier Name,Account Code
FCO,FCO,01/05/2017,9095346,32031.71,ONE SANSOME PROPERTY LLC,Multiple Accounts
FCO,FCO,01/05/2017,9120776,46580.18,THE ROYAL BANK OF SCOTLAND,Corporate Credit Card Clearing Account
FCO,FCO,01/05/2017,9120822,26026.95,THE ROYAL BANK OF SCOTLAND,Travel Package Advance Overseas Posting (Credit Card Payments Only)
FCO,FCO,01/05/2017,9095989,35187.05,ACCOMODATION PROVIDER,Rental Payments - residential
FCO,FCO,01/05/2017,9095993,48697.27,SCHOOL,Recharge Suspense Account (Oracle PA Control Account)
FCO,FCO,01/05/2017,9095996,45750.62,SCHOOL,Schooling for Children at Post
FCO,FCO,01/05/2017,9096126,31593.05,NAJMI SONS AND BROTHERS LTD,Fuel Oil Residential
FCO,FCO,01/05/2017,9096127,65447.79,INTERNATIONAL CAPITAL TRADING,Rental Payments - residential
FCO,FCO,01/05/2017,9096129,33251.7,EAST & WEST INTERNATIONAL GROUP LLC,Rental Payments - residential
FCO,FCO,01/05/2017,9096240,200000,THE WORLD BANK,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9096272,25203.43,ADAM SMITH INTERNATIONAL,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9096282,27708.05,RICARDO AEA LTD,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9096294,27746,FORUM FOR THE FUTURE,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9096345,32404.38,TODD RESEARCH LTD,Estates - Other Machinery and Equipment
FCO,FCO,01/05/2017,9096362,43599,GENDER PERSPECTIVES,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9096405,50000,FCO SERVICES,Security: Works Residential
FCO,FCO,01/05/2017,9096412,32500,FCO SERVICES,Unscheduled repairs to building infrastructure
FCO,FCO,01/05/2017,9096419,37007.2,THE ROYAL BANK OF SCOTLAND,Multiple Accounts
FCO,FCO,01/05/2017,9096429,188000,FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,01/05/2017,9096440,90168.17,TEARFUND,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9096451,33427.83,THE ROYAL BANK OF SCOTLAND,Multiple Accounts
FCO,FCO,01/05/2017,9096452,206808.28,FCO SERVICES,Air Freight Dip Bags - Freight & Clearance Charges
FCO,FCO,01/05/2017,9096466,35262.97,HYUNDAI MOTORS NIG LTD,Recharge Suspense Account (Oracle PA Control Account)
FCO,FCO,01/05/2017,9096500,67958.8,BAE SYSTEMS APPLIED INTELLIGENCE LIMITED,IT/IS Consultancy
FCO,FCO,01/05/2017,9096515,164613,MEDIA DIVERSITY INSTITUTE,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9096588,44589.21,HAYS SPECIALIST RECRUITMENT LTD,IT/IS Consultancy
FCO,FCO,01/05/2017,9096600,39547.15,ZEF PALI AND GJERGJ PALI,Rental Payments - non residential
FCO,FCO,01/05/2017,9096615,60084.02,JLT SERVICES,Multiple Accounts
FCO,FCO,01/05/2017,9096788,111319.25,AECOM,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,01/05/2017,9096800,-111319.25,AECOM,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,01/05/2017,9120776,41889.2,THE ROYAL BANK OF SCOTLAND,Corporate Credit Card Clearing Account
FCO,FCO,01/05/2017,9120822,41481.75,THE ROYAL BANK OF SCOTLAND,Travel Package Advance Overseas Posting (Credit Card Payments Only)
FCO,FCO,01/05/2017,9097542,40860.51,MINISTRY OF FINANCE,Rental Payments - non residential
FCO,FCO,01/05/2017,9097570,37220.84,ACCOMODATION PROVIDER,Rental Payments - residential
FCO,FCO,01/05/2017,9098048,350000,COMPUTACENTER UK LTD,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,01/05/2017,9098069,-40134,COMPUTACENTER UK LTD,IT/IS Consultancy
FCO,FCO,01/05/2017,9098076,40132,COMPUTACENTER UK LTD,IT/IS Consultancy
FCO,FCO,01/05/2017,9098079,44984.72,KPMG ADVISORY HONG KONG LIMITED,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9098122,49853.03,FCO SERVICES,Air Freight Dip Bags - Freight & Clearance Charges
FCO,FCO,01/05/2017,9098134,42072.79,ACCOMODATION PROVIDER,Rental Payments - residential
FCO,FCO,01/05/2017,9098138,34902.64,CHARITIES AID FOUNDATION CAF RUSSIA,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9098145,32572.11,AETNA,Multiple Accounts
FCO,FCO,01/05/2017,9098209,82867,THE ASIA FOUNDATION,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9098214,280390.21,DAI EUROPE LIMITED,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9098221,59032.36,EVOLVE SECURE SOLUTIONS,IT/IS Consultancy
FCO,FCO,01/05/2017,9098241,37426.4,DX NETWORK SERVICES,Postal Services
FCO,FCO,01/05/2017,9098302,32566,WESTMINSTER FOUNDATION FOR DEMOCRACY,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9098321,814456.05,INCOSTRAT,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9098368,40684,IIZUKA,Information Systems Maintenance
FCO,FCO,01/05/2017,9098407,185370,CONTROL RISKS GROUP,UK Mobile Guarding Contract overseas
FCO,FCO,01/05/2017,9053089,-40901.44,ALBERT PALI,Rental Payments - non residential
FCO,FCO,01/05/2017,9099365,121510.69,BUPA INTERNATIONAL,Multiple Accounts
FCO,FCO,01/05/2017,9099374,43469.52,AMANA TAKAFUL PLC,Subsidy To Local Medical Schemes
FCO,FCO,01/05/2017,9099386,32955.96,DIPLOMAT FREIGHT SERVICES LTD(DFS),Multiple Accounts
FCO,FCO,01/05/2017,9099463,56888.53,ACCOMODATION PROVIDER,Rental Payments - residential
FCO,FCO,01/05/2017,9099663,39641,IHS GLOBAL PTE LTD,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9099694,467488.92,GOVERNMENT LEGAL DEPARTMENT,Multiple Accounts
FCO,FCO,01/05/2017,9099700,139777.14,COFFEY INTERNATIONAL DEVELOPMENT,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9099701,26836.28,GOVERNMENT LEGAL DEPARTMENT,Multiple Accounts
FCO,FCO,01/05/2017,9099702,101295,COFFEY INTERNATIONAL DEVELOPMENT,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9099703,112450.61,COFFEY INTERNATIONAL DEVELOPMENT,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9099715,88738.62,BRITISH COUNCIL,British Council Funding Transfer
FCO,FCO,01/05/2017,9099913,26219.8,BAE SYSTEMS APPLIED INTELLIGENCE LIMITED,Specialist Contractors
FCO,FCO,01/05/2017,9099937,71227.76,PENAL REFORM INTERNATIONAL,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9099959,628194.65,RISK ADVISORY GROUP PLC,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9099972,98227.27,HEALIX INTERNATIONAL LTD,FCO Healthcare Scheme
FCO,FCO,01/05/2017,9099988,40684,IIZUKA,Information Systems Maintenance
FCO,FCO,01/05/2017,9100104,73675.13,RISK ADVISORY GROUP PLC,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9100239,166465,M INTEGRATED SOLUTIONS,Miscellaneous Expenditure: inc subscriptions and equipment maintenance
FCO,FCO,01/05/2017,9100253,169168.15,RISK ADVISORY GROUP PLC,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9100337,29192.63,COMPUTACENTER UK LTD,IT/IS Consultancy
FCO,FCO,01/05/2017,9100345,35730,POWER ELECTRICS GENERATORS LTD,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,01/05/2017,9100439,40936.55,PICKFORDS MOVE MANAGEMENT LTD,Personal Car Freight
FCO,FCO,01/05/2017,9100485,32568.24,ACCOMODATION PROVIDER,Rental Payments - residential
FCO,FCO,01/05/2017,9100722,26361.57,TRANQUILIDADE,Multiple Accounts
FCO,FCO,01/05/2017,9100754,35801.33,SCHOOL,Schooling for Children at Post
FCO,FCO,01/05/2017,9101811,39399.45,ZHEJIANG UNIVERSITY,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9101891,27164.68,NORTEL SECURITY ZAO OP,Local Guards
FCO,FCO,01/05/2017,9102288,60510,NORWEGIAN REFUGEE COUNCIL SOMALIA,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9102292,141877.75,MARCH,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9102300,32591.44,FCO SERVICES,Air Freight Dip Bags - Freight & Clearance Charges
FCO,FCO,01/05/2017,9102333,30994.91,COMMONWEALTH PARLIAMENTARY ASSOCIATION,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9102342,125096.22,COMPUTACENTER UK LTD,Information Systems Maintenance
FCO,FCO,01/05/2017,9102346,62546.22,COMPUTACENTER UK LTD,Information Systems Maintenance
FCO,FCO,01/05/2017,9102366,81198.49,FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,01/05/2017,9102369,50000,FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,01/05/2017,9102372,70000,FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,01/05/2017,9102408,65421.33,FCO SERVICES,Security: Works Non-Residential
FCO,FCO,01/05/2017,9102497,84929.44,INDEPENDENT DIPLOMATS,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9102525,51094.99,WORX O SEVEN,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,01/05/2017,9102528,89724,FCO SERVICES,IT/IS Consultancy
FCO,FCO,01/05/2017,9102541,101609.93,FCO SERVICES,Travel Package
FCO,FCO,01/05/2017,9102547,51094.99,WORX O SEVEN,Security: Works Residential
FCO,FCO,01/05/2017,9102555,105000,COMMISSION FOR JUSTICE AND ACCOUNTABILITY,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9102589,73344.5,CAPITA PROPERTY AND INFRASTRUCTURE LTD,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,01/05/2017,9102591,113671.38,LANGUAGE SERVICES DIRECT,Language Tuition: Essential
FCO,FCO,01/05/2017,9102599,31900.77,LANGUAGE SERVICES DIRECT,Language Tuition: Essential
FCO,FCO,01/05/2017,9102601,136697.43,EUROPEAN ENDOWMENT FOR DEMOCRACY,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9102711,75022.78,LANGUAGE SERVICES DIRECT,Language Tuition: Essential
FCO,FCO,01/05/2017,9102767,140000,GLOBAL PARTNERS GOVERNANCE PRACTICE LTD,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9102816,-61559.18,DANISH REFUGEE COUNCIL,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9102961,50851.06,VODAFONE LTD,Multiple Accounts
FCO,FCO,01/05/2017,9103006,66699.71,VOYA FINANCIAL,Multiple Accounts
FCO,FCO,01/05/2017,9103986,36287.53,PAGE GROUP ISRAEL LIMITED,Local Guards
FCO,FCO,01/05/2017,9103994,31554.69,TEL AVIV MUNICIPALITY,Rental Payments - non residential
FCO,FCO,01/05/2017,9104000,29482.6,SCHOOL,Schooling for Children at Post
FCO,FCO,01/05/2017,9104106,116412.03,APEX HEALTH INSURANCE LIMITED,Multiple Accounts
FCO,FCO,01/05/2017,9104108,27242.47,SCHOOL,Multiple Accounts
FCO,FCO,01/05/2017,9104115,28365.38,ACCOMODATION PROVIDER,Rental Payments - residential
FCO,FCO,01/05/2017,9104120,32568.23,AMJAD HIDMI,Multiple Accounts
FCO,FCO,01/05/2017,9104321,75605.02,ADP,Multiple Accounts
FCO,FCO,01/05/2017,9104460,26043,UNIVERSITY OF WARWICK,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9104470,149230,STABILIZATION SUPPORT SERVICES,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9104472,95459.17,KOIZA INTERNATIONAL LTD,Recharge Suspense Account (Oracle PA Control Account)
FCO,FCO,01/05/2017,9104479,51673.46,PENAL REFORM INTERNATIONAL,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9104589,31017.37,BUR CASHBOX TOP UP,Interbank Transfers/Withdrawals
FCO,FCO,01/05/2017,9104850,59490.52,IISS - INTERNATIONAL INSTITUTE FOR STRATEGIC STUDIES,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9104859,200000.47,UNITED NATIONS,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9104893,48377.66,CHP CASHBOX TOP UP,Interbank Transfers/Withdrawals
FCO,FCO,01/05/2017,9104897,35232.31,WESTMINSTER FOUNDATION FOR DEMOCRACY,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9104898,63445.43,BMATT,Recharge Suspense Account (Oracle PA Control Account)
FCO,FCO,01/05/2017,9105073,273282.66,LONDON ENERGY,Electricity Non-Residential
FCO,FCO,01/05/2017,9105179,189342.71,SECURITAS AS,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,01/05/2017,9105485,38473.16,COMPUTACENTER UK LTD,Information Systems Maintenance
FCO,FCO,01/05/2017,9105941,28870.92,Abdulsalam Al Rafi Group LLC,Rental Payments - residential
FCO,FCO,01/05/2017,9106561,37684.28,FINEPOINT BROADCAST LTD,Multiple Accounts
FCO,FCO,01/05/2017,9106715,41465.65,CONFEDERATION OF INDIAN INDUSTRY,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9106880,-40684,IIZUKA,Information Systems Maintenance
FCO,FCO,01/05/2017,9106914,9000000,BBC  BRITISH BROADCASTING CORPORATION,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9107036,-40684,IIZUKA,Information Systems Maintenance
FCO,FCO,01/05/2017,9107058,98227.27,HEALIX INTERNATIONAL LTD,FCO Healthcare Scheme
FCO,FCO,01/05/2017,9107068,40856.57,ADAM SMITH INTERNATIONAL,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9107261,509281.14,BBC MEDIA ACTION,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9107447,43950,CONFEDERATION OF INDIAN INDUSTRY,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9107463,100178.27,H M EXCHEQUER,CFER Payments to The Exchequer (CSC Use Only)
FCO,FCO,01/05/2017,9107473,52484.07,RANGER PROTECTION AND SECURITY COMPANY LTD,Local Guards
FCO,FCO,01/05/2017,9108646,-30709.93,IND OTHER DEBTORS,Overseas Reclaimable Taxes
FCO,FCO,01/05/2017,9108772,96082.42,SCHOOL,Multiple Accounts
FCO,FCO,01/05/2017,9108777,58085.5,CHP CASHBOX TOP UP,Interbank Transfers/Withdrawals
FCO,FCO,01/05/2017,9108779,33431.35,BRITISH EMBASSY,Interpost Fundings
FCO,FCO,01/05/2017,9108939,28311.79,HARIS ENTERPRISES PVT LTD,Local Guards
FCO,FCO,01/05/2017,9109002,47707.94,TNT EXPRESS,Specialist Contractors
FCO,FCO,01/05/2017,9109020,44242,PRICEWATERHOUSE COOPERS PRIVATE LIMITED,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9109041,53685,CAPGEMINI UK PLC,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,01/05/2017,9109042,33990.56,SCHOOL,Recharge Suspense Account (Oracle PA Control Account)
FCO,FCO,01/05/2017,9109043,56710,ABDUL RAZAK LABABIDI,Dilapidations Non-Residential
FCO,FCO,01/05/2017,9109091,59792,INTERNATIONAL ENERGY AGENCY,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9109116,141202.59,BAE SYSTEMS APPLIED INTELLIGENCE LIMITED,Information Systems Maintenance
FCO,FCO,01/05/2017,9109146,1403695.39,EUROPEAN BANK FOR CONSTRUCTION AND DEVELOPMENT,Protocol - General VAT Refunds to Other Organisations
FCO,FCO,01/05/2017,9109337,1102417.73,EUROPEAN MEDICINES AGENCY,Protocol - General VAT Refunds to Other Organisations
FCO,FCO,01/05/2017,9109338,25821.04,HEALIX INTERNATIONAL LTD,Hospital/Specialist Treatment
FCO,FCO,01/05/2017,9109346,384259.85,FCO SERVICES,Residential Property Services
FCO,FCO,01/05/2017,9109382,992952.41,GARDA WORLD LTD,UK Mobile Guarding Contract overseas
FCO,FCO,01/05/2017,9109387,-992952.41,GARDA WORLD LTD,UK Mobile Guarding Contract overseas
FCO,FCO,01/05/2017,9109391,132624.84,UNESCO,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9109409,92561.67,INCLUSIVE SECURITY ACTION,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9109432,188891.01,OROSTREAM INTERNATIONAL CONTRACTS LTD,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,01/05/2017,9109465,32836.66,RAND EUROPE,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9109466,33304.31,TODD RESEARCH LTD,Estates - Other Machinery and Equipment
FCO,FCO,01/05/2017,9109496,244955.9,DEFENCE BUSINESS SERVICES FINANCE,Mod Guarding Services Residential
FCO,FCO,01/05/2017,9109746,39668.7,WILLIS OF MARYLAND INC,Multiple Accounts
FCO,FCO,01/05/2017,9109756,72640.18,WILLIS OF MARYLAND INC,Multiple Accounts
FCO,FCO,01/05/2017,9110414,1093521.08,CABINET OFFICE,Multiple Accounts
FCO,FCO,01/05/2017,9110421,129264,UNITED NATIONS,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9110435,650000,BIOT REVENUE ACCOUNT,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9110439,61986.62,BRITISH COUNCIL,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9110440,13400000,BRITISH COUNCIL,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9110443,1225014.3,FCO SERVICES,Residential Property Services
FCO,FCO,01/05/2017,9110445,795243.71,FCO SERVICES,Residential Property Services
FCO,FCO,01/05/2017,9110457,38589.9,OROSTREAM INTERNATIONAL CONTRACTS LTD,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,01/05/2017,9110581,294826.71,GILBERT ASH LIMITED,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,01/05/2017,9110584,34571.34,UNITED NATIONS,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9110603,72982,UNITED NATIONS,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9110608,144721.92,INSTITUTE FOR INTERNATIONAL CRIMINAL INVESTIGATIONS,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9110724,40078.5,ACCOMODATION PROVIDER,Rental Payments - residential
FCO,FCO,01/05/2017,9110765,128078.32,AFRICAN SKIES LTD,Local Guards
FCO,FCO,01/05/2017,9111090,37086.76,SECURITAS SAC,Local Guards
FCO,FCO,01/05/2017,9112561,35959.34,THE CLUB,Business Hospitality (former DEE)
FCO,FCO,01/05/2017,9112565,38251.12,NAJMI SONS AND BROTHERS LTD,Fuel Oil Residential
FCO,FCO,01/05/2017,9112680,101560,NORTH HIGHLAND UK LTD,Specialist Contractors
FCO,FCO,01/05/2017,9112703,28846.15,UNHAS SOMALIA,Post - Air Travel
FCO,FCO,01/05/2017,9112706,26062.34,UNHAS SOMALIA,Post - Air Travel
FCO,FCO,01/05/2017,9112718,25110,NORTH HIGHLAND UK LTD,Specialist Contractors
FCO,FCO,01/05/2017,9112727,26168.92,ALBANY ASSOCIATES,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9112730,125166.51,AECOM,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,01/05/2017,9112745,112610.4,SYNERGY FOR JUSTICE LTD,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9112768,655500,DYNASAFE BACTEC LTD,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9112798,46419,THE CLIMATE GROUP,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9112811,28331.32,CARBON TRUST ADVISORY LTD,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9112820,2500000,ISS FACILITY SERVICES LTD FCO OP - POE,FMCU POE Trust Account Debtor
FCO,FCO,01/05/2017,9112877,26446.5,AVARN SECURITY OY,Local Guards
FCO,FCO,01/05/2017,9112906,66156.35,AGILE BYTE LIMITED,IT/IS Consultancy
FCO,FCO,01/05/2017,9112925,90256.09,GLOBAL PARTNERS GOVERNANCE PRACTICE LTD,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9112972,109150,SEARCH FOR COMMON GROUND,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9113044,-38218.3,PAK OTHER DEBTORS,Local Guards
FCO,FCO,01/05/2017,9113189,31050.31,CXA INSURANCE BROKERS SINGAPORE PTE LTD,Subsidy To Local Medical Schemes
FCO,FCO,01/05/2017,9113602,501348.16,ATHENA EUNAVFOR MED OHQ TPC,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9113705,167409.15,SECUREX AGENCIES LTD,Staff and Other Advances AP Control (Oracle Ap Control Account)
FCO,FCO,01/05/2017,9114305,74441.69,ACCOMODATION PROVIDER,Rental Payments - residential
FCO,FCO,01/05/2017,9114360,145777.53,RM JONES AND CO,Multiple Accounts
FCO,FCO,01/05/2017,9114448,33368.07,ACCOMODATION PROVIDER,Rental Payments - residential
FCO,FCO,01/05/2017,9114475,32727.84,SINVEST HARMINCAD 6 KFT,Multiple Accounts
FCO,FCO,01/05/2017,9114485,507955.15,RISK ADVISORY GROUP PLC,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9114519,25026.06,BAE SYSTEMS APPLIED INTELLIGENCE LIMITED,Information Systems Maintenance
FCO,FCO,01/05/2017,9114520,37277,UNITED NATIONS,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9114531,174000,UNITED NATIONS,Programme Spend (Oracle Projects Control Account)
FCO,FCO,01/05/2017,9114535,64533,BAE SYSTEMS APPLIED INTELLIGENCE LIMITED,Information Systems Maintenance
FCO,FCO,01/05/2017,9114536,50938.92,SERVEST MULTI SERVICE GROUP,Manned Guarding Services
