ExtractDate,PublisherURI,PublisherLabel,OrganisationURI,OrganisationLabel,CaseReference,CaseURL,CaseDate,ServiceTypeURI,ServiceTypeLabel,ClassificationURI,ClassificationLabel,CaseText,LocationText,DecisionTargetDate,Status,CoordinateReferenceSystem,GeoX,GeoY,GeoPointLicensingURL,DecisionDate,Decision,DecisionType,DecisionNoticeDate,AppealRef,AppealDecisionDate,AppealDecision,GeoAreaURI,GeoAreaLabel,GroundArea,UPRN,Agent,PublicConsultationStartDate,PublicConsultationEndDate,ResponsesFor,ResponsesAgainst
10/04/2015,http://opendatacommunities.org/id/county-council/hampshire,Hampshire,http://opendatacommunities.org/id/county-council/hampshire,Hampshire,K6419/16,http://www3.hants.gov.uk/mineralsandwaste/application-details.htm?id=14000,03/04/2009,http://id.esd.org.uk/service/487,Full planning applications,,,Construction of boiler flues to Science Block and Main Block,"Brune Park Community School, Military Road, Gosport",04/06/2009,,OSGB36,,,http://www.ordnancesurvey.co.uk/business-and-government/public-sector/mapping-agreements/end-user-licence.html,,Approve,Delegated,22/05/2009,,,,,,5,,"Property, Business and Regulatory Services",,20/05/2009,,
10/04/2015,http://opendatacommunities.org/id/county-council/hampshire,Hampshire,http://opendatacommunities.org/id/county-council/hampshire,Hampshire,09/00686/HCC3S,http://www3.hants.gov.uk/mineralsandwaste/application-details.htm?id=14001,03/04/2009,http://id.esd.org.uk/service/487,Full planning applications,,,Installation of roof mounted solar panels,"Mountbatten Secondary School, Whitenap Lane, Romsey",29/05/2009,,OSGB36,,,http://www.ordnancesurvey.co.uk/business-and-government/public-sector/mapping-agreements/end-user-licence.html,,Approve,Delegated,08/06/2009,,,,,,1578,,"Property, Business and Regulatory Services",,06/05/2009,,
10/04/2015,http://opendatacommunities.org/id/county-council/hampshire,Hampshire,http://opendatacommunities.org/id/county-council/hampshire,Hampshire,09/00707/HCC3S,http://www3.hants.gov.uk/mineralsandwaste/application-details.htm?id=14002,06/04/2009,http://id.esd.org.uk/service/487,Full planning applications,,,Proposed remedial works to foul drainage system,"Adjacent West Tytherley Primary School, The Village, West Tytherley",01/06/2009,,OSGB36,,,http://www.ordnancesurvey.co.uk/business-and-government/public-sector/mapping-agreements/end-user-licence.html,,Approve,Delegated,03/07/2009,,,,,,2981,,"Property, Business and Regulatory Services",,10/07/2009,,
10/04/2015,http://opendatacommunities.org/id/county-council/hampshire,Hampshire,http://opendatacommunities.org/id/county-council/hampshire,Hampshire,09/00704/HCC3S,http://www3.hants.gov.uk/mineralsandwaste/application-details.htm?id=14003,07/04/2009,http://id.esd.org.uk/service/487,Full planning applications,,,"It is proposed that the existing Site Managers House, which has not been lived in for approx 2.5 years, is refurbished to provide additional facilities for the school and community","The Romsey School, Greatbridge, Romsey",02/06/2009,,OSGB36,,,http://www.ordnancesurvey.co.uk/business-and-government/public-sector/mapping-agreements/end-user-licence.html,,Approve,Delegated,02/06/2009,,,,,,53,,"Property, Business and Regulatory Services",,07/05/2009,,
10/04/2015,http://opendatacommunities.org/id/county-council/hampshire,Hampshire,http://opendatacommunities.org/id/county-council/hampshire,Hampshire,09/00189/HCC,http://www3.hants.gov.uk/mineralsandwaste/application-details.htm?id=14011,09/04/2009,http://id.esd.org.uk/service/487,Full planning applications,,,Location and operation of a crusher,"Unit 1, Stubbs Lane, Hollybush Lane, Aldershot",11/06/2009,,OSGB36,,,http://www.ordnancesurvey.co.uk/business-and-government/public-sector/mapping-agreements/end-user-licence.html,,Withdrawn,,18/06/2009,,,,,,1760,,SLR Consulting Ltd,,25/05/2009,,
10/04/2015,http://opendatacommunities.org/id/county-council/hampshire,Hampshire,http://opendatacommunities.org/id/county-council/hampshire,Hampshire,09/00734/HCS,http://www3.hants.gov.uk/mineralsandwaste/application-details.htm?id=14012,17/04/2009,http://id.esd.org.uk/service/487,Full planning applications,,,"Erection of two agricultural buildings to house livestock and fodder  
(1. Second-hand structure 6.7m x 12.2m approx, 2. new steel-framed building 9.14m x 24.38m approx.)","Tynefield Cottages, Whiteley Lane, Fareham",15/06/2009,,OSGB36,,,http://www.ordnancesurvey.co.uk/business-and-government/public-sector/mapping-agreements/end-user-licence.html,,Approve,Delegated,16/06/2009,,,,,,223,,Estates Practice,,20/05/2009,,
10/04/2015,http://opendatacommunities.org/id/county-council/hampshire,Hampshire,http://opendatacommunities.org/id/county-council/hampshire,Hampshire,P/09/0374/CC,http://www3.hants.gov.uk/mineralsandwaste/application-details.htm?id=14013,17/04/2009,http://id.esd.org.uk/service/487,Full planning applications,,,Creation of a new Adult Learning Centre,"Brookfield School, Brook Lane, Sarisbury Green",12/06/2009,,OSGB36,,,http://www.ordnancesurvey.co.uk/business-and-government/public-sector/mapping-agreements/end-user-licence.html,,Approve,Delegated,12/06/2009,,,,,,181,,"Property, Business and Regulatory Services",,06/05/2010,,
10/04/2015,http://opendatacommunities.org/id/county-council/hampshire,Hampshire,http://opendatacommunities.org/id/county-council/hampshire,Hampshire,BDB/70613,http://www3.hants.gov.uk/mineralsandwaste/application-details.htm?id=14014,17/04/2009,http://id.esd.org.uk/service/487,Full planning applications,,,"Creation of a new Adult Learning Centre including an Ofsted registered sessional creche for the Adult Learning Centre, this will include a fenced external play area","The Hurst Community School, Brimpton Road, Baughurst, Tadley",12/06/2009,,OSGB36,,,http://www.ordnancesurvey.co.uk/business-and-government/public-sector/mapping-agreements/end-user-licence.html,,Approve,Delegated,08/06/2009,,,,,,449,,"Property, Business and Regulatory Services",,02/07/2010,,
10/04/2015,http://opendatacommunities.org/id/county-council/hampshire,Hampshire,http://opendatacommunities.org/id/county-council/hampshire,Hampshire,BDB/70626,http://www3.hants.gov.uk/mineralsandwaste/application-details.htm?id=14018,22/04/2009,http://id.esd.org.uk/service/1735,Removal/variation of planning conditions,http://opendatacommunities.org/def/concept/planning/application/6000/6023,Q60 Minerals (CPS 1-9 and 13-22),"Variation of condition 8 of PP BDB/58692 to allow excavated material to be conveyed over Ramptons Lane, by dumper truck","Mortimer Quarry, Welshmans Road, Mortimer West End",17/06/2009,,OSGB36,,,http://www.ordnancesurvey.co.uk/business-and-government/public-sector/mapping-agreements/end-user-licence.html,,Approve,Committee,05/08/2009,,,,,,469914,,Hanson Aggregates,,25/05/2009,,
10/04/2015,http://opendatacommunities.org/id/county-council/hampshire,Hampshire,http://opendatacommunities.org/id/county-council/hampshire,Hampshire,09/94039,http://www3.hants.gov.uk/mineralsandwaste/application-details.htm?id=14019,22/04/2009,http://id.esd.org.uk/service/487,Full planning applications,,,Installation of a 6kW Proven wind turbine on a 15m mast,"Sopley Primary School, South Ripley BH23 8ET",18/06/2009,,OSGB36,,,http://www.ordnancesurvey.co.uk/business-and-government/public-sector/mapping-agreements/end-user-licence.html,,Approve,Committee,15/01/2010,,,,,,7,,"Property, Business and Regulatory Services",,29/03/2010,,
