Department Family,Entity,Payment Date,Expense Area,Expense Type,Supplier,System Transaction Number,Amount
Ministry of Justice,National Offender Management Service,06/04/2011,Estates Capacity,WIP - Acquisitions,KIER REGIONAL LTD,3958564,"9,228,577.97"
Ministry of Justice,National Offender Management Service,18/04/2011,London DOMS Office,Contracted-out Probation Boards,LONDON PROBATION TRUST,3958507,"5,398,979.00"
Ministry of Justice,National Offender Management Service,07/04/2011,Estates Capacity,WIP - Acquisitions,KIER NORTHERN,3962667,"4,691,658.00"
Ministry of Justice,National Offender Management Service,26/04/2011,Estates Capacity,Contracted-out Building Maintenance,HOME OFFICE,3984530,"4,512,714.02"
Ministry of Justice,National Offender Management Service,19/04/2011,London Probation Trust,Contracted-out Probation Boards,LONDON PROBATION TRUST,3968758,"4,166,666.67"
Ministry of Justice,National Offender Management Service,06/04/2011,Greater Manchester Probation Trust,Contracted-out Probation Trusts,GREATER MANCHESTER PROBATION TRUST,3963166,"3,994,333.34"
Ministry of Justice,National Offender Management Service,15/04/2011,National Operations Group,Contracted-out Electronic Monitoring,SERCO LTD,3976464,"3,949,410.84"
Ministry of Justice,National Offender Management Service,13/04/2011,Estates Capacity,WIP - Acquisitions,WATES CONSTRUCTION LTD,3969230,"3,645,824.86"
Ministry of Justice,National Offender Management Service,11/04/2011,Altcourse,Contracted-out operation of prisons and detention centres,FAZAKERLEY PRISON SERVICES LTD,3963241,"3,290,656.20"
Ministry of Justice,National Offender Management Service,26/04/2011,National Operations Group,Contracted-out Electronic Monitoring,SERCO LTD,3982214,"3,064,951.30"
Ministry of Justice,National Offender Management Service,12/04/2011,Forest Bank,Contracted-out operation of prisons and detention centres,AGECROFT PRISON MANAGEMENT LTD,3968385,"2,987,242.97"
Ministry of Justice,National Offender Management Service,11/04/2011,Wales Probation Trust,Contracted-out Probation Trusts,WALES PROBATION TRUST,3966206,"2,833,333.33"
Ministry of Justice,National Offender Management Service,28/04/2011,London Probation Trust,Contracted-out Probation Boards,LONDON PROBATION TRUST,3968758,"2,833,333.33"
Ministry of Justice,National Offender Management Service,06/04/2011,Parc,Contracted-out operation of prisons and detention centres,BRIDGEND CUSTODIAL SERVICES LTD,3957745,"2,829,432.00"
Ministry of Justice,National Offender Management Service,28/04/2011,Quantum,Contracted-out Computer Services,HP ENTERPRISE SERVICES UK LTD,3953881,"2,603,399.27"
Ministry of Justice,National Offender Management Service,12/04/2011,Dovegate,Contracted-out operation of prisons and detention centres,MORETON PRISON SERVICES LTD,3960386,"2,390,349.97"
Ministry of Justice,National Offender Management Service,08/04/2011,Bronzefield,Contracted-out operation of prisons and detention centres,ASHFORD PRISON SERVICES LIMITED,3964523,"2,253,655.13"
Ministry of Justice,National Offender Management Service,08/04/2011,Ashfield,Contracted-out operation of prisons and detention centres,PUCKLECHURCH CUSTODIAL SERVICES LTD,3960388,"2,182,648.00"
Ministry of Justice,National Offender Management Service,14/04/2011,Staffordshire & West Midlands Probation Trust,Contracted-out Probation Trusts,STAFFORDSHIRE AND WEST MIDLANDS PROBATION TRUST,3967647,"2,083,333.33"
Ministry of Justice,National Offender Management Service,07/04/2011,Lowdham Grange,Contracted-out operation of prisons and detention centres,LOWDHAM GRANGE PRISON SERVICES LTD,3960384,"2,013,916.23"
Ministry of Justice,National Offender Management Service,13/04/2011,Kent Probation Trust,Contracted-out Probation Trusts,KENT PROBATION TRUST,3969609,"2,000,000.00"
Ministry of Justice,National Offender Management Service,06/04/2011,Estates Capacity,WIP - Acquisitions,KIER REGIONAL LTD,3962049,"1,950,265.01"
Ministry of Justice,National Offender Management Service,20/04/2011,Prisoner Escort & Custody Service (PECS),Contracted-out Escorts,RELIANCE SECURE TASK MANAGEMENT,3972457,"1,940,567.84"
Ministry of Justice,National Offender Management Service,12/04/2011,Doncaster,Contracted-out operation of prisons and detention centres,SERCO LTD,3969919,"1,935,719.91"
Ministry of Justice,National Offender Management Service,14/04/2011,Prisoner Escort & Custody Service (PECS),Contracted-out Escorts,G4S CARE & JUSTICE SERVICES LTD,3959250,"1,803,132.66"
Ministry of Justice,National Offender Management Service,06/04/2011,Prisoner Escort & Custody Service (PECS),Contracted-out Escorts,SERCO LTD,3958812,"1,699,089.59"
Ministry of Justice,National Offender Management Service,27/04/2011,HOPS Payroll Charge,Inter-Unit Charge (IUC),TREASURY SOLICITORS,3986154,"1,554,448.74"
Ministry of Justice,National Offender Management Service,06/04/2011,Rye Hill,Contracted-out operation of prisons and detention centres,ONLEY PRISON SERVICES LTD,3963239,"1,436,428.66"
Ministry of Justice,National Offender Management Service,06/04/2011,Prisoner Escort & Custody Service (PECS),Contracted-out Escorts,SERCO LTD,3959269,"1,399,449.76"
Ministry of Justice,National Offender Management Service,04/04/2011,Estates Capacity,WIP - Acquisitions,INTERSERVE PROJECT SERVICES LTD,3957817,"1,389,292.92"
Ministry of Justice,National Offender Management Service,19/04/2011,Peterborough,Contracted-out operation of prisons and detention centres,PETERBOROUGH PRISON MANAGEMENT LTD,3964623,"1,349,935.20"
