Prosecution outcomes,2009 - 10 volume,2009 - 10 Percentage
"Prosecutions dropped inc. discontinued, no evidence offered & withdrawn",1482,10.65%
of which - no evidence offered,807,5.80%
Dismissed after full trial,551,3.96%
Judge directed acquittal,51,0.37%
Jury acquittal,210,1.51%
All other unsuccessful outcomes,222,1.59%
Unsuccessful outcomes,2516,18.07%
Guilty plea,9700,69.68%
Conviction after trial,1657,11.90%
Proved in absence,48,0.34%
Convictions,11405,81.93%
Total prosecutions,13921,100.00%
