Minister      ,Date,Gift,Given or received,Who gift was given to or received from,Value (£),"Outcome 
(received gifts only)"
Secretary of State for Defence - Michael Fallon,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return
Secretary of State for Defence - Gavin Williamson ,2017-12-10,Traditional Qatari Sword ,Received,Qatari Defence Minister,£200.00,Held by department
Minister of State in the House of Lords - Earl Howe,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return
Minister of State for the Armed Forces - Mark Lancaster,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return
Minister for Defence Procurement - Harriett Baldwin,2017-11-30,Pearl Necklace,Received,"Manager of Ritz Carlton Hotel, Qatar","£1,000.00",Held by department
Minister for Defence People and Veterans - Tobias Ellwood,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return
