Constituency,Eligible Electorate,Votes Polled,% Turnout
Belfast East,"65,740","37,623",57.23
Belfast North,"70,872","37,193",52.48
Belfast South,"68,469","37,147",54.25
Belfast West,"63,993","36,990",57.80
East Antrim,"64,194","32,744",51.01
East Londonderry,"68,600","34,848",50.79
Fermanagh And South Tyrone,"74,257","47,934",64.55
Foyle,"71,759","40,187",56.00
Lagan Valley,"73,746","39,227",53.19
Mid Ulster,"70,430","41,381",58.75
Newry And Armagh,"81,756","48,498",59.32
North Antrim,"78,337","41,464",52.93
North Down,"65,760","32,597",49.57
South Antrim,"69,680","35,544",51.01
South Down,"77,409","41,645",53.80
Strangford,"65,695","33,014",50.25
Upper Bann,"85,204","46,383",54.44
West Tyrone,"65,694","39,325",59.86
Total,"1,281,595","703,744",54.91
