"Household recycling by material and region, England.  1996/97 to 2009/10",,,,,,,,,,,,,,,,
,Region,(All),,,,,,,,,,,,,,
,Tonnes (thousand),,Year,,,,,,,,,,,,,
1996/97,Recycling reuse composting,Other,North West,32.00,,,,,,,,,,,,
1996/97,Recycling reuse composting,Other,South East,80.00,,,,,,,,,,,,
1996/97,Recycling reuse composting,Other,South West,48.00,,,,,,,,,,,,
1996/97,Recycling reuse composting,Other,West Midlands,6.00,,,,,,,,,,,,
1996/97,Recycling reuse composting,Other,Yorkshire and the Humber,8.00,,,,,,,,,,,,
1996/97,Recycling reuse composting,Paper & card,East,74.00,,,,,,,,,,,,
1996/97,Recycling reuse composting,Paper & card,East Midlands,45.00,,,,,,,,,,,,
1996/97,Recycling reuse composting,Paper & card,London,94.00,,,,,,,,,,,,
1996/97,Recycling reuse composting,Paper & card,North East,12.00,,,,,,,,,,,,
1996/97,Recycling reuse composting,Paper & card,North West,57.00,,,,,,,,,,,,
1996/97,Recycling reuse composting,Paper & card,South East,133.00,,,,,,,,,,,,
1996/97,Recycling reuse composting,Paper & card,South West,70.00,,,,,,,,,,,,
1996/97,Recycling reuse composting,Paper & card,West Midlands,43.00,,,,,,,,,,,,
1996/97,Recycling reuse composting,Paper & card,Yorkshire and the Humber,27.00,,,,,,,,,,,,
1996/97,Recycling reuse composting,Plastics,East,0.00,,,,,,,,,,,,
1996/97,Recycling reuse composting,Plastics,East Midlands,1.00,,,,,,,,,,,,
1996/97,Recycling reuse composting,Plastics,London,0.00,,,,,,,,,,,,
1996/97,Recycling reuse composting,Plastics,North East,0.00,,,,,,,,,,,,
1996/97,Recycling reuse composting,Plastics,North West,1.00,,,,,,,,,,,,
1996/97,Recycling reuse composting,Plastics,South East,2.00,,,,,,,,,,,,
1996/97,Recycling reuse composting,Plastics,South West,1.00,,,,,,,,,,,,
1996/97,Recycling reuse composting,Plastics,West Midlands,0.00,,,,,,,,,,,,
1996/97,Recycling reuse composting,Plastics,Yorkshire and the Humber,0.00,,,,,,,,,,,,
1996/97,Recycling reuse composting,Scrap metals & white goods,East,20.00,,,,,,,,,,,,
1996/97,Recycling reuse composting,Scrap metals & white goods,East Midlands,21.00,,,,,,,,,,,,
1996/97,Recycling reuse composting,Scrap metals & white goods,London,21.00,,,,,,,,,,,,
1996/97,Recycling reuse composting,Scrap metals & white goods,North East,6.00,,,,,,,,,,,,
1996/97,Recycling reuse composting,Scrap metals & white goods,North West,11.00,,,,,,,,,,,,
1996/97,Recycling reuse composting,Scrap metals & white goods,South East,63.00,,,,,,,,,,,,
1996/97,Recycling reuse composting,Scrap metals & white goods,South West,28.00,,,,,,,,,,,,
1996/97,Recycling reuse composting,Scrap metals & white goods,West Midlands,19.00,,,,,,,,,,,,
1996/97,Recycling reuse composting,Scrap metals & white goods,Yorkshire and the Humber,10.00,,,,,,,,,,,,
1996/97,Recycling reuse composting,Textiles,East,4.00,,,,,,,,,,,,
1996/97,Recycling reuse composting,Textiles,East Midlands,3.00,,,,,,,,,,,,
1996/97,Recycling reuse composting,Textiles,London,3.00,,,,,,,,,,,,
1996/97,Recycling reuse composting,Textiles,North East,1.00,,,,,,,,,,,,
1996/97,Recycling reuse composting,Textiles,North West,2.00,,,,,,,,,,,,
1996/97,Recycling reuse composting,Textiles,South East,7.00,,,,,,,,,,,,
1996/97,Recycling reuse composting,Textiles,South West,5.00,,,,,,,,,,,,
1996/97,Recycling reuse composting,Textiles,West Midlands,3.00,,,,,,,,,,,,
1996/97,Recycling reuse composting,Textiles,Yorkshire and the Humber,2.00,,,,,,,,,,,,
1996/97,Totals,Total household waste,London,"3,089.00",,,,,,,,,,,,
1996/97,Totals,Total household waste,North East,"1,113.00",,,,,,,,,,,,
1996/97,Totals,Total household waste,North West,"3,420.00",,,,,,,,,,,,
1996/97,Totals,Total household waste,South East,"3,772.00",,,,,,,,,,,,
1996/97,Totals,Total household waste,South West,"2,206.00",,,,,,,,,,,,
1996/97,Totals,Total household waste,West Midlands,"2,373.00",,,,,,,,,,,,
1996/97,Totals,Total household waste,Yorkshire and the Humber,"2,246.00",,,,,,,,,,,,
1996/97,Totals,Total household waste,East,"2,367.00",,,,,,,,,,,,
1996/97,Totals,Total household waste,East Midlands,"1,961.00",,,,,,,,,,,,
1997/98,Recycling reuse composting,Cans,East,2.00,,,,,,,,,,,,
1997/98,Recycling reuse composting,Cans,East Midlands,2.00,,,,,,,,,,,,
1997/98,Recycling reuse composting,Cans,London,2.00,,,,,,,,,,,,
1997/98,Recycling reuse composting,Cans,North East,1.00,,,,,,,,,,,,
1997/98,Recycling reuse composting,Cans,North West,1.00,,,,,,,,,,,,
1997/98,Recycling reuse composting,Cans,South East,5.00,,,,,,,,,,,,
1997/98,Recycling reuse composting,Cans,South West,3.00,,,,,,,,,,,,
1997/98,Recycling reuse composting,Cans,West Midlands,1.00,,,,,,,,,,,,
1997/98,Recycling reuse composting,Cans,Yorkshire and the Humber,1.00,,,,,,,,,,,,
1997/98,Recycling reuse composting,Co-mingled,East,0.00,,,,,,,,,,,,
1997/98,Recycling reuse composting,Co-mingled,East Midlands,0.00,,,,,,,,,,,,
1997/98,Recycling reuse composting,Co-mingled,London,0.00,,,,,,,,,,,,
1997/98,Recycling reuse composting,Co-mingled,North East,0.00,,,,,,,,,,,,
1997/98,Recycling reuse composting,Co-mingled,North West,0.00,,,,,,,,,,,,
1997/98,Recycling reuse composting,Co-mingled,South East,0.00,,,,,,,,,,,,
1997/98,Recycling reuse composting,Co-mingled,South West,0.00,,,,,,,,,,,,
1997/98,Recycling reuse composting,Co-mingled,West Midlands,0.00,,,,,,,,,,,,
1997/98,Recycling reuse composting,Co-mingled,Yorkshire and the Humber,0.00,,,,,,,,,,,,
1997/98,Recycling reuse composting,Compost,East,88.00,,,,,,,,,,,,
1997/98,Recycling reuse composting,Compost,East Midlands,27.00,,,,,,,,,,,,
1997/98,Recycling reuse composting,Compost,London,18.00,,,,,,,,,,,,
1997/98,Recycling reuse composting,Compost,North East,2.00,,,,,,,,,,,,
1997/98,Recycling reuse composting,Compost,North West,39.00,,,,,,,,,,,,
1997/98,Recycling reuse composting,Compost,South East,80.00,,,,,,,,,,,,
1997/98,Recycling reuse composting,Compost,South West,83.00,,,,,,,,,,,,
1997/98,Recycling reuse composting,Compost,West Midlands,26.00,,,,,,,,,,,,
1997/98,Recycling reuse composting,Compost,Yorkshire and the Humber,21.00,,,,,,,,,,,,
1997/98,Recycling reuse composting,Glass,East,46.00,,,,,,,,,,,,
1997/98,Recycling reuse composting,Glass,East Midlands,24.00,,,,,,,,,,,,
1997/98,Recycling reuse composting,Glass,London,43.00,,,,,,,,,,,,
1997/98,Recycling reuse composting,Glass,North East,9.00,,,,,,,,,,,,
1997/98,Recycling reuse composting,Glass,North West,32.00,,,,,,,,,,,,
1997/98,Recycling reuse composting,Glass,South East,82.00,,,,,,,,,,,,
1997/98,Recycling reuse composting,Glass,South West,47.00,,,,,,,,,,,,
1997/98,Recycling reuse composting,Glass,West Midlands,29.00,,,,,,,,,,,,
1997/98,Recycling reuse composting,Glass,Yorkshire and the Humber,25.00,,,,,,,,,,,,
1997/98,Recycling reuse composting,Other,East,7.00,,,,,,,,,,,,
1997/98,Recycling reuse composting,Other,East Midlands,25.00,,,,,,,,,,,,
1997/98,Recycling reuse composting,Other,London,13.00,,,,,,,,,,,,
1997/98,Recycling reuse composting,Other,North East,16.00,,,,,,,,,,,,
1997/98,Recycling reuse composting,Other,North West,16.00,,,,,,,,,,,,
1997/98,Recycling reuse composting,Other,South East,45.00,,,,,,,,,,,,
1997/98,Recycling reuse composting,Other,South West,33.00,,,,,,,,,,,,
1997/98,Recycling reuse composting,Other,West Midlands,3.00,,,,,,,,,,,,
1997/98,Recycling reuse composting,Other,Yorkshire and the Humber,8.00,,,,,,,,,,,,
1997/98,Recycling reuse composting,Paper & card,East,100.00,,,,,,,,,,,,
1997/98,Recycling reuse composting,Paper & card,East Midlands,50.00,,,,,,,,,,,,
1997/98,Recycling reuse composting,Paper & card,London,98.00,,,,,,,,,,,,
1997/98,Recycling reuse composting,Paper & card,North East,16.00,,,,,,,,,,,,
1997/98,Recycling reuse composting,Paper & card,North West,65.00,,,,,,,,,,,,
1997/98,Recycling reuse composting,Paper & card,South East,177.00,,,,,,,,,,,,
1997/98,Recycling reuse composting,Paper & card,South West,85.00,,,,,,,,,,,,
1997/98,Recycling reuse composting,Paper & card,West Midlands,54.00,,,,,,,,,,,,
1997/98,Recycling reuse composting,Paper & card,Yorkshire and the Humber,45.00,,,,,,,,,,,,
1997/98,Recycling reuse composting,Plastics,East,1.00,,,,,,,,,,,,
1997/98,Recycling reuse composting,Plastics,East Midlands,1.00,,,,,,,,,,,,
1997/98,Recycling reuse composting,Plastics,London,0.00,,,,,,,,,,,,
1997/98,Recycling reuse composting,Plastics,North East,0.00,,,,,,,,,,,,
1997/98,Recycling reuse composting,Plastics,North West,1.00,,,,,,,,,,,,
1997/98,Recycling reuse composting,Plastics,South East,2.00,,,,,,,,,,,,
1997/98,Recycling reuse composting,Plastics,South West,1.00,,,,,,,,,,,,
1997/98,Recycling reuse composting,Plastics,West Midlands,0.00,,,,,,,,,,,,
1997/98,Recycling reuse composting,Plastics,Yorkshire and the Humber,1.00,,,,,,,,,,,,
1997/98,Recycling reuse composting,Scrap metals & white goods,East,29.00,,,,,,,,,,,,
1997/98,Recycling reuse composting,Scrap metals & white goods,East Midlands,23.00,,,,,,,,,,,,
1997/98,Recycling reuse composting,Scrap metals & white goods,London,24.00,,,,,,,,,,,,
1997/98,Recycling reuse composting,Scrap metals & white goods,North East,8.00,,,,,,,,,,,,
1997/98,Recycling reuse composting,Scrap metals & white goods,North West,21.00,,,,,,,,,,,,
1997/98,Recycling reuse composting,Scrap metals & white goods,South East,58.00,,,,,,,,,,,,
1997/98,Recycling reuse composting,Scrap metals & white goods,South West,34.00,,,,,,,,,,,,
1997/98,Recycling reuse composting,Scrap metals & white goods,West Midlands,21.00,,,,,,,,,,,,
1997/98,Recycling reuse composting,Scrap metals & white goods,Yorkshire and the Humber,14.00,,,,,,,,,,,,
1997/98,Recycling reuse composting,Textiles,East,9.00,,,,,,,,,,,,
1997/98,Recycling reuse composting,Textiles,East Midlands,3.00,,,,,,,,,,,,
1997/98,Recycling reuse composting,Textiles,London,3.00,,,,,,,,,,,,
1997/98,Recycling reuse composting,Textiles,North East,1.00,,,,,,,,,,,,
1997/98,Recycling reuse composting,Textiles,North West,3.00,,,,,,,,,,,,
1997/98,Recycling reuse composting,Textiles,South East,7.00,,,,,,,,,,,,
1997/98,Recycling reuse composting,Textiles,South West,6.00,,,,,,,,,,,,
1997/98,Recycling reuse composting,Textiles,West Midlands,3.00,,,,,,,,,,,,
1997/98,Recycling reuse composting,Textiles,Yorkshire and the Humber,2.00,,,,,,,,,,,,
1997/98,Totals,Total household waste,London,"3,162.00",,,,,,,,,,,,
1997/98,Totals,Total household waste,North East,"1,177.00",,,,,,,,,,,,
1997/98,Totals,Total household waste,North West,"3,309.00",,,,,,,,,,,,
1997/98,Totals,Total household waste,South East,"3,890.00",,,,,,,,,,,,
1997/98,Totals,Total household waste,South West,"2,398.00",,,,,,,,,,,,
1997/98,Totals,Total household waste,West Midlands,"2,429.00",,,,,,,,,,,,
1997/98,Totals,Total household waste,Yorkshire and the Humber,"2,285.00",,,,,,,,,,,,
1997/98,Totals,Total household waste,East,"2,620.00",,,,,,,,,,,,
1997/98,Totals,Total household waste,East Midlands,"2,063.00",,,,,,,,,,,,
1998/99,Recycling reuse composting,Cans,East,2.88,,,,,,,,,,,,
1998/99,Recycling reuse composting,Cans,East Midlands,1.62,,,,,,,,,,,,
1998/99,Recycling reuse composting,Cans,London,3.37,,,,,,,,,,,,
1998/99,Recycling reuse composting,Cans,North East,0.94,,,,,,,,,,,,
1998/99,Recycling reuse composting,Cans,North West,1.38,,,,,,,,,,,,
1998/99,Recycling reuse composting,Cans,South East,6.74,,,,,,,,,,,,
1998/99,Recycling reuse composting,Cans,South West,6.04,,,,,,,,,,,,
1998/99,Recycling reuse composting,Cans,West Midlands,0.87,,,,,,,,,,,,
1998/99,Recycling reuse composting,Cans,Yorkshire and the Humber,2.17,,,,,,,,,,,,
1998/99,Recycling reuse composting,Co-mingled,East,0.00,,,,,,,,,,,,
1998/99,Recycling reuse composting,Co-mingled,East Midlands,0.00,,,,,,,,,,,,
1998/99,Recycling reuse composting,Co-mingled,London,0.00,,,,,,,,,,,,
1998/99,Recycling reuse composting,Co-mingled,North East,0.00,,,,,,,,,,,,
1998/99,Recycling reuse composting,Co-mingled,North West,0.00,,,,,,,,,,,,
1998/99,Recycling reuse composting,Co-mingled,South East,0.00,,,,,,,,,,,,
1998/99,Recycling reuse composting,Co-mingled,South West,0.00,,,,,,,,,,,,
1998/99,Recycling reuse composting,Co-mingled,West Midlands,0.00,,,,,,,,,,,,
1998/99,Recycling reuse composting,Co-mingled,Yorkshire and the Humber,0.00,,,,,,,,,,,,
1998/99,Recycling reuse composting,Compost,East,93.60,,,,,,,,,,,,
1998/99,Recycling reuse composting,Compost,East Midlands,34.79,,,,,,,,,,,,
1998/99,Recycling reuse composting,Compost,London,24.20,,,,,,,,,,,,
1998/99,Recycling reuse composting,Compost,North East,2.58,,,,,,,,,,,,
1998/99,Recycling reuse composting,Compost,North West,40.92,,,,,,,,,,,,
1998/99,Recycling reuse composting,Compost,South East,102.06,,,,,,,,,,,,
1998/99,Recycling reuse composting,Compost,South West,96.24,,,,,,,,,,,,
1998/99,Recycling reuse composting,Compost,West Midlands,34.60,,,,,,,,,,,,
1998/99,Recycling reuse composting,Compost,Yorkshire and the Humber,25.01,,,,,,,,,,,,
1998/99,Recycling reuse composting,Glass,East,45.67,,,,,,,,,,,,
1998/99,Recycling reuse composting,Glass,East Midlands,24.63,,,,,,,,,,,,
1998/99,Recycling reuse composting,Glass,London,45.75,,,,,,,,,,,,
1998/99,Recycling reuse composting,Glass,North East,8.39,,,,,,,,,,,,
1998/99,Recycling reuse composting,Glass,North West,29.29,,,,,,,,,,,,
1998/99,Recycling reuse composting,Glass,South East,83.10,,,,,,,,,,,,
1998/99,Recycling reuse composting,Glass,South West,53.89,,,,,,,,,,,,
1998/99,Recycling reuse composting,Glass,West Midlands,32.03,,,,,,,,,,,,
1998/99,Recycling reuse composting,Glass,Yorkshire and the Humber,24.59,,,,,,,,,,,,
1998/99,Recycling reuse composting,Other,East,16.88,,,,,,,,,,,,
1998/99,Recycling reuse composting,Other,East Midlands,32.49,,,,,,,,,,,,
1998/99,Recycling reuse composting,Other,London,9.61,,,,,,,,,,,,
1998/99,Recycling reuse composting,Other,North East,4.36,,,,,,,,,,,,
1998/99,Recycling reuse composting,Other,North West,14.35,,,,,,,,,,,,
1998/99,Recycling reuse composting,Other,South East,62.62,,,,,,,,,,,,
1998/99,Recycling reuse composting,Other,South West,25.70,,,,,,,,,,,,
