Primary Liable party name,Full Property Address,Current Rateable Value,2017 NDR - Analysis code desc,Account Start date
Ashall Projects Ltd,"Cumbria Constabulary, Market Street, Barrow In Furness, Cumbria, LA14 2LE",111000,Police Station,24/12/2017
Blake Henderson (Lawson Street) Ltd,"1-2 & Pt 3, Lawson Street, Barrow In Furness, Cumbria, LA14 2LP",8500,Offices,15/12/2017
Real State Company Ltd,"103-105, Dalton Road, Barrow In Furness, Cumbria, LA14 1HZ",34250,Shop,06/12/2017
