TRANSACTION TYPE,TRANSACTION DATE,TRANSACTION REFERENCE,MERCHANT,TOTAL
Individual GPC,01/04/2014,PCCL1714923,R.S.J.RESTAURANT LTD     ,1255.28
Individual GPC,02/04/2014,PCCL1714708,THE GENERAL COUNCIL OF THE BAR,655.00
Individual GPC,03/04/2014,PCCL1714877,CIVIL SERVICE LEARNING   ,865.20
Individual GPC,05/04/2014,PCCL1715838,BANNER BUSINESS SERVICES LTD   ,741.95
Individual GPC,06/04/2014,PCCL1715904,MSFT ONLINE           ,575.64
Individual GPC,08/04/2014,PCCL1715654,MCIPCO2                  ,989.87
Individual GPC,09/04/2014,PCCL1715620,ONLINE ERGONOMICS LTD        ,958.50
Lodged GPC,03/04/2014,494045612,HOGG ROBINSON GROUP LTD,2967.95
Lodged GPC,03/04/2014,494045614,HOGG ROBINSON GROUP LTD,2967.95
Lodged GPC,04/04/2014,494045402,HOGG ROBINSON GROUP LTD,-5035.75
Lodged GPC,04/04/2014,494045618,HOGG ROBINSON GROUP LTD,924.50
Lodged GPC,07/04/2014,494365057,HOGG ROBINSON GROUP LTD,-5314.75
Lodged GPC,08/04/2014,495181145,HOGG ROBINSON GROUP LTD,522.20
Lodged GPC,10/04/2014,495181305,HOGG ROBINSON GROUP LTD,-5314.75
Lodged GPC,10/04/2014,495181311,HOGG ROBINSON GROUP LTD,-5093.85
Lodged GPC,10/04/2014,495181312,HOGG ROBINSON GROUP LTD,-5093.85
Lodged GPC,10/04/2014,496598455,HOGG ROBINSON GROUP LTD,-2349.75
Lodged GPC,10/04/2014,495181307,HOGG ROBINSON GROUP LTD,-2032.95
Lodged GPC,10/04/2014,496601313,HOGG ROBINSON GROUP LTD,686.40
Lodged GPC,10/04/2014,495627768,HOGG ROBINSON GROUP LTD,997.95
Lodged GPC,10/04/2014,495627767,HOGG ROBINSON GROUP LTD,997.95
Lodged GPC,14/04/2014,496270913,HOGG ROBINSON GROUP LTD,770.72
Lodged GPC,14/04/2014,496128417,HOGG ROBINSON GROUP LTD,4363.45
Lodged GPC,14/04/2014,496128418,HOGG ROBINSON GROUP LTD,4363.45
Lodged GPC,16/04/2014,497233133,HOGG ROBINSON GROUP LTD,501.32
Lodged GPC,16/04/2014,497233210,HOGG ROBINSON GROUP LTD,564.33
Lodged GPC,22/04/2014,497473308,HOGG ROBINSON GROUP LTD,1540.95
Lodged GPC,24/04/2014,498445698,HOGG ROBINSON GROUP LTD,560.87
Lodged GPC,24/04/2014,498445706,HOGG ROBINSON GROUP LTD,710.25
Lodged GPC,24/04/2014,498445705,HOGG ROBINSON GROUP LTD,713.99
Lodged GPC,25/04/2014,498189853,HOGG ROBINSON GROUP LTD,-2760.30
Lodged GPC,25/04/2014,498189852,HOGG ROBINSON GROUP LTD,-2760.30
Lodged GPC,25/04/2014,498449913,HOGG ROBINSON GROUP LTD,1086.55
Lodged GPC,28/04/2014,498757412,HOGG ROBINSON GROUP LTD,554.40
Lodged GPC,28/04/2014,498444956,HOGG ROBINSON GROUP LTD,611.00
Lodged GPC,28/04/2014,498757411,HOGG ROBINSON GROUP LTD,723.40
Lodged GPC,29/04/2014,499349566,HOGG ROBINSON GROUP LTD,518.97
