Obscenity Offences,2007-2008,2008-2009,2009-2010,2010-2011,2011-2012,2012 - 2013
Malicious Communications Act 1988 Sections (1 (1)(a) & (1)(b)) - Indecent or grossly offensive material,566,791,899,1273,1301,1250
Obscene publications Act 1959 (2 (1) ) - Obscene publications,111,152,82,71,76,34
"Communications Act 2003 (127 (1)(a), (1)(b) & (3))Grossly offensive or indecent communications",1037,1278,1315,1869,1924,1909
"Communications Act 2003 (127 (2)(a), (2)(b), (2)(c) and (3)) - Causing annoyance, inconvenience or needless anxiety to another person",568,659,888,1037,1181,1003
"Criminal Justice and Immigration Act 2008 (63 (1), (7)(d) and 67(3)) - Possession of extreme pornographic images",0,2,270,1165,1319,1312
