Department family,Entity,Date,Supplier,Amount,Description,Description
HM Revenue & Customs,HM Revenue & Customs,16/10/2017,UK Border Agency,3199,Government Services-Not Elsewhere Classified,Certificate of sponsorship for lawyers who possess the relevant specialist skills required by HMRC
HM Revenue & Customs,HM Revenue & Customs,16/10/2017,UK Border Agency,3199,Government Services-Not Elsewhere Classified,Certificate of sponsorship for lawyers who possess the relevant specialist skills required by HMRC
