Minister,Date of Trip,Destination,Purpose,"Scheduled','No.32 (The Royal Squadron)'  or 'other RAF' or 'Charter' or 'Scheduled' or 'Eurostar'",Number of officials accompanying Ministers (where non-scheduled travel is used),Total Cost including travel and accommodation of Minister only
"Lords Commissioner of HM Treasury, Anne Milton MP",16-18/03/2014,New York,Visit to the UN,Scheduled,N/A,£273.70 (cost met by FCO)
"Lords Commissioner of HM Treasury, Mark Lancaster TD MP",16-18/03/2014,New York,Visit to the UN,Scheduled,N/A,£273.70 (cost met by FCO)
