Date,Supplier,Amount
15/05/2012,NFOPP,£729.00
14/05/2012,TFL CC/LEZ CHARGE,"£2,520.00"
22/05/2012,GV MULTIMEDIA,£801.60
07/05/2012,BANNER BUSINESS SUPPLIES,£629.70
03/05/2012,BRITISH LIBRARY-FINANCE,"£1,000.00"
18/05/2012,PARK PLAZA RIVERBANK,£875.00
22/05/2012,UNICOM SEMINARS LTD,£676.50
22/05/2012,UNICOM SEMINARS LTD,£676.50
01/05/2012,LINK MICROTEK LTD,"£2,000.00"
01/05/2012,WP-IEE EVENTS,£622.80
04/05/2012,FARNELL INTERNET,£535.25
04/05/2012,FOSTER & FREEMAN L,£680.74
04/05/2012,WWW.HOMECOMMERCIALSECU,£798.00
04/05/2012,RS COMPONENTS,£784.68
11/05/2012,FARNELL INTERNET,£551.02
28/05/2012,GORDON RESEARCH CONF,£839.05
29/05/2012,SIGMA-ALDRICH COMP,£505.80
31/05/2012,RS COMPONENTS,£796.12
18/05/2012,DAYS HOTEL,"£2,584.70"
18/05/2012,DAYS HOTEL,£895.75
07/05/2012,NORWEGIAN AIR,£593.80
01/05/2012,BRITISH STANDARDS,£530.40
02/05/2012,WWW.NEOPOST.CO.UK,£515.00
02/05/2012,PACIFIC,"£3,796.53"
02/05/2012,PACIFIC,"£3,916.94"
02/05/2012,SUITE NOVOTEL,"£2,359.93"
03/05/2012,SHERATON HEATHROW,"£1,746.00"
03/05/2012,BANNER BUSINESS SUPPLIES,£546.76
03/05/2012,XMA LTD,£884.39
03/05/2012,HOLIDAY INN,"£7,911.75"
03/05/2012,HOTEL BERO,£683.47
03/05/2012,GEORGE V MERCURE,"£1,348.75"
03/05/2012,DOVER PRIORY STATION,£593.30
04/05/2012,WWW.NEOPOST.CO.UK,£824.00
07/05/2012,INTERCONTINENTAL HOTELS,£545.90
07/05/2012,RADISSON,£520.00
07/05/2012,HOLIDAY INN WEST DRAYTON,£510.00
07/05/2012,GARVOCK HOUSE HOTEL,£924.00
07/05/2012,INTERCONTINENTAL HOTELS,£525.60
07/05/2012,SUITE NOVOTEL,"£1,172.33"
07/05/2012,HOTEL BERO,£899.17
07/05/2012,HOTEL MEURICE,"£4,395.59"
07/05/2012,GEORGE V MERCURE,"£1,339.22"
07/05/2012,HILTON,£510.00
07/05/2012,RADISSON,£935.30
09/05/2012,XMA LTD,£607.67
10/05/2012,BANNER BUSINESS SUPPL,£544.32
10/05/2012,RENAISSANCE HEATHROW HOT,£536.00
10/05/2012,RENAISSANCE HEATHROW HOT,£542.00
11/05/2012,XMA LTD,£536.68
11/05/2012,HOTEL BERO,£887.80
11/05/2012,HORSLEY CONF CENTRE,£735.00
14/05/2012,HOLIDAY INN LN-HEATH,£900.00
14/05/2012,THISTLE HOTEL,£732.00
14/05/2012,HOLIDAY INN,"£7,694.27"
14/05/2012,HOTEL MEURICE,"£3,399.06"
14/05/2012,GEORGE V MERCURE,"£1,327.29"
14/05/2012,GEORGE V MERCURE,"£1,323.27"
14/05/2012,SUITE NOVOTEL,"£1,158.37"
14/05/2012,HILTON,£510.00
14/05/2012,HILTON,£567.00
15/05/2012,TRAVELODGE ,£621.95
15/05/2012,TRAVELODGE,£730.00
15/05/2012,PREMIER INN,£530.25
15/05/2012,PREMIER INN,£545.25
15/05/2012,NEW SOUTHERN RAILW,£588.30
15/05/2012,HOTEL BERO,£887.65
16/05/2012,BANNER BUSINESS SUPPL,£999.76
16/05/2012,JM BRUNEAU,£652.47
16/05/2012,GARVOCK HOUSE HOTEL,£539.00
17/05/2012,WWW.NEOPOST.CO.UK,£824.00
17/05/2012,BANNER BUSINESS SUPPL,£764.56
17/05/2012,XMA LTD,£516.98
18/05/2012,XMA LTD,£891.00
18/05/2012,BANNER BUSINESS SUPPL,£855.40
18/05/2012,HOLIDAY INN,"£4,134.37"
18/05/2012,HOLIDAY INN,"£7,408.80"
18/05/2012,HOLIDAY INN,"£8,081.04"
21/05/2012,BJ KERRY CENTRE HOTEL CO,£615.54
21/05/2012,PC WORLD,£889.96
21/05/2012,WWW.NEOPOST.CO.UK,£824.00
21/05/2012,SOLENT PLASTICS,"£1,469.70"
21/05/2012,SOLENT PLASTICS,"£1,468.70"
21/05/2012,UKOFFICEDIRECT.CO.,£745.42
21/05/2012,TRAFALGAR TOFG,£552.53
21/05/2012,HOTEL BERO,£889.02
21/05/2012,HOTEL MEURICE,"£2,897.29"
21/05/2012,EASYJET     ,£970.47
22/05/2012,ORWELL HOTEL,£650.00
22/05/2012,ORWELL HOTEL,£650.00
22/05/2012,ORWELL HOTEL,£650.00
23/05/2012,HOTEL BERO,£894.73
23/05/2012,GEORGE V MERCURE,"£1,260.34"
23/05/2012,SUITE NOVOTEL,"£1,166.54"
23/05/2012,BANNER BUSINESS SUPPL,£999.94
24/05/2012,XMA LTD,£747.78
24/05/2012,ROSEHALL RESORTS,£610.93
24/05/2012,XMA LTD,£696.15
25/05/2012,ALMA,£506.00
25/05/2012,GARVOCK HOUSE HOTEL,"£1,309.00"
28/05/2012,RADISSON BLU HOTEL,£510.00
28/05/2012,RADISSON BLU HOTEL,£510.00
28/05/2012,HOLIDAY INN,"£7,729.39"
28/05/2012,HOTEL BERO,£888.12
28/05/2012,POSTURITE (UK) LTD,£940.44
28/05/2012,HILTON,£510.00
29/05/2012,HOTEL FRANCAIS,£506.68
29/05/2012,HOLIDAY INN LN-HEATH,£918.00
29/05/2012,SHEPHERD'S,£566.44
29/05/2012,PARK HOTEL HEATHROW,"£1,011.89"
29/05/2012,HOLIDAY INN LN-HEATH,£840.00
30/05/2012,PREMIER INN,£586.80
30/05/2012,XMA LTD,£520.29
30/05/2012,WWW.NEOPOST.CO.UK,£515.00
30/05/2012,EBK EBOOKERS,£952.11
31/05/2012,WWW.IMOTEK.COM,£670.80
31/05/2012,THE LENSBURY,"£1,060.00"
31/05/2012,HOTEL MEURICE,"£4,456.22"
31/05/2012,HOTEL BERO,£600.05
21/05/2012,EAST COAST MAINLINE,-£611.20
