"Change in the relative abundance of priority species in the UK, 1970 to 2012 Year",Abundance,95% Confidence interval  min,95% Confidence interval  max,Year,Freqency of occurence,95% Confidence interval min,95% Confidence interval  max,,,,,,,,,,,,,
1970,100.0,100.0,100.0,1970,100.0,100.0,100.0,,,,,,,,,,,,,
1971,79.3,71.3,87.7,1971,98.3,97.4,99.1,,,,,,,,,,,,,
1972,76.9,67.6,86.6,1972,96.5,94.8,98.1,,,,,,,,,,,,,
1973,83.2,73.5,94.1,1973,94.9,92.4,97.3,,,,,,,,,,,,,
1974,74.3,65.3,84.7,1974,93.3,90.1,96.5,,,,,,,,,,,,,
1975,74.5,63.8,86.8,1975,91.8,87.8,95.6,,,,,,,,,,,,,
1976,98.4,86.3,112.1,1976,90.2,85.5,94.8,,,,,,,,,,,,,
1977,74.9,63.2,88.4,1977,88.7,83.3,94.0,,,,,,,,,,,,,
1978,72.3,61.9,84.5,1978,87.2,81.2,93.2,,,,,,,,,,,,,
1979,72.6,62.9,84.0,1979,85.7,79.1,92.4,,,,,,,,,,,,,
1980,66.8,56.8,78.5,1980,84.3,77.2,91.6,,,,,,,,,,,,,
1981,59.8,51.0,70.1,1981,82.8,75.2,90.7,,,,,,,,,,,,,
1982,70.4,60.9,81.4,1982,81.6,73.6,90.0,,,,,,,,,,,,,
1983,70.1,60.5,81.3,1983,80.5,72.2,89.2,,,,,,,,,,,,,
1984,70.6,60.9,82.3,1984,79.5,70.9,88.6,,,,,,,,,,,,,
1985,60.4,50.9,72.0,1985,78.4,69.7,87.9,,,,,,,,,,,,,
1986,59.3,49.8,71.0,1986,77.4,68.4,87.2,,,,,,,,,,,,,
1987,58.4,48.6,70.5,1987,76.6,67.4,86.6,,,,,,,,,,,,,
1988,55.2,45.7,67.0,1988,75.7,66.4,86.0,,,,,,,,,,,,,
1989,61.0,50.8,73.9,1989,74.9,65.5,85.4,,,,,,,,,,,,,
1990,55.8,46.0,68.1,1990,74.0,64.4,84.9,,,,,,,,,,,,,
1991,56.7,46.6,69.3,1991,73.2,63.4,84.3,,,,,,,,,,,,,
1992,56.4,46.4,69.0,1992,72.4,62.4,83.7,,,,,,,,,,,,,
1993,49.3,39.8,61.7,1993,71.6,61.5,83.2,,,,,,,,,,,,,
1994,48.8,39.2,61.2,1994,70.8,60.6,82.6,,,,,,,,,,,,,
1995,53.7,43.9,66.3,1995,70.0,59.6,82.1,,,,,,,,,,,,,
1996,54.2,44.2,66.9,1996,69.2,58.7,81.6,,,,,,,,,,,,,
1997,46.6,37.4,58.6,1997,68.4,57.7,81.2,,,,,,,,,,,,,
1998,39.4,31.2,50.2,1998,67.6,56.8,80.6,,,,,,,,,,,,,
1999,37.1,29.4,47.4,1999,66.9,55.9,80.2,,,,,,,,,,,,,
2000,39.3,31.3,50.2,2000,66.2,55.1,79.7,,,,,,,,,,,,,
2001,39.2,31.1,50.1,2001,65.6,54.3,79.3,,,,,,,,,,,,,
2002,38.3,30.5,48.9,2002,64.9,53.6,78.8,,,,,,,,,,,,,
2003,43.3,34.5,54.9,2003,64.3,52.9,78.4,,,,,,,,,,,,,
2004,43.6,34.8,55.4,2004,63.7,52.2,78.0,,,,,,,,,,,,,
2005,38.2,30.1,49.2,2005,63.1,51.5,77.6,,,,,,,,,,,,,
2006,39.9,31.6,51.3,2006,62.5,50.8,77.2,,,,,,,,,,,,,
2007,34.8,27.1,45.1,2007,61.9,50.1,76.7,,,,,,,,,,,,,
2008,34.6,27.0,45.2,2008,61.3,49.5,76.4,,,,,,,,,,,,,
2009,39.9,31.5,51.3,2009,60.8,48.9,76.1,,,,,,,,,,,,,
2010,41.3,32.6,53.1,2010,60.2,48.2,75.7,,,,,,,,,,,,,
2011,41.6,32.8,53.5,2011,59.7,47.6,75.4,,,,,,,,,,,,,
2012,33.5,25.9,43.9,,,,,,,,,,,,,,,,,
Trend,Data type,Time period,No. species,%Species,,,,,,,,,,,,,,,,
Decline,Abundance,Long term,159,74.6%,,,,,,,,,,,,,,,,
Increase,Abundance,Long term,54,25.4%,,,,,,,,,,,,,,,,
Decline,Abundance,Short term,112,52.6%,,,,,,,,,,,,,,,,
Increase,Abundance,Short term,101,47.4%,,,,,,,,,,,,,,,,
Trend,Data type,Time period,No. species,%Spp,,,,,,,,,,,,,,,,
Decline,Frequency of occurrence,1970-2011,117,65.36%,,,,,,,,,,,,,,,,
Increase,Frequency of occurrence,1970-2011,62,34.64%,,,,,,,,,,,,,,,,
"Change in relative species abundance by taxonomic group, 1970 to 2012 Year",Mammals (11 species),Butterflies (21 species),"Birds 
(99 species)","Moths 
(79 species)","Change in distribution of species by taxonomic group, 1970 to 2010","Bees_Wasps_Ants 
(62 species)","Moths 
(105 species)","Other insects 
(7 species)",,,,,,,,,,,,
1970,,,100.0,100.0,1970,100.0,100.0,100.0,,,,,,,,,,,,
1971,,,102.6,66.4,1971,99.0,97.1,98.2,,,,,,,,,,,,
1972,,,105.6,61.7,1972,98.0,94.3,96.4,,,,,,,,,,,,
1973,,,107.6,69.7,1973,97.1,91.6,93.6,,,,,,,,,,,,
1974,,,109.0,56.8,1974,96.1,88.9,90.9,,,,,,,,,,,,
1975,,,115.0,55.0,1975,95.1,86.3,88.2,,,,,,,,,,,,
1976,,100.0,122.9,87.3,1976,94.2,83.8,85.7,,,,,,,,,,,,
1977,,64.1,120.6,54.3,1977,93.2,81.4,83.2,,,,,,,,,,,,
1978,,60.7,116.1,52.7,1978,92.3,79.1,80.8,,,,,,,,,,,,
1979,,63.2,111.5,54.9,1979,91.4,76.8,78.5,,,,,,,,,,,,
1980,,56.9,111.6,46.9,1980,90.5,74.5,76.2,,,,,,,,,,,,
1981,,42.1,99.9,43.7,1981,89.6,72.6,73.8,,,,,,,,,,,,
1982,,59.5,102.1,56.4,1982,88.7,70.8,71.5,,,,,,,,,,,,
1983,,57.3,109.0,52.7,1983,88.1,69.0,69.3,,,,,,,,,,,,
1984,,67.5,107.4,52.1,1984,87.7,67.3,67.1,,,,,,,,,,,,
