Post,Supplier, Amount 
01/11/2012,CIVIL SERVICE LEARNING,£576.00
01/11/2012,HILTON,"£2,148.00"
01/11/2012,HILTON,"£3,400.46"
02/11/2012,MARY WARD HOUSE LTD,£533.52
02/11/2012,E Q V UK LTD,"£1,908.00"
05/11/2012,WWW.MWBEX.COM,£789.60
06/11/2012,DEPARTMENT OF HEALTH,£666.00
06/11/2012,DEPARTMENT OF HEALTH,"£1,021.38"
06/11/2012,JONES YARRELL LEADENHA,£524.05
07/11/2012,INCOME OFFICE (2),£700.00
07/11/2012,STATIONERY OFFICE BOOK,"£1,800.07"
08/11/2012,WWW.EQUITY-EVENTS.CO.U,£900.00
08/11/2012,DUNCAN & TODD LTD,£836.40
09/11/2012,THE KNOWLEDGE ACADEMY,£672.00
09/11/2012,POSTURITE (UK) LTD,"£1,072.12"
12/11/2012,CHECKPOINT SECURITY,£630.96
12/11/2012,STATIONERY OFFICE BOOK,£689.60
12/11/2012,CAPITA BUSINESS SERVS,£999.60
12/11/2012,NHS CONFEDERATION,£718.80
12/11/2012,NHS CONFEDERATION,£718.80
12/11/2012,LEARNING TREE INT,£600.00
13/11/2012,NHS SBS,"£1,452.00"
14/11/2012,ROYAL ARMOURIES (INT) PL,"£1,485.00"
14/11/2012,STATIONERY OFFICE BOOK,£503.01
14/11/2012,BCFC/ACCOUNTS,"£1,741.86"
14/11/2012,ACUITY TRAINING LTD,£834.00
14/11/2012,MAN UTD LTD,"£2,328.00"
15/11/2012,ROYAL SOCIETY MEDICINE,£600.00
15/11/2012,QA-IQ LTD,"£1,968.00"
15/11/2012,WWW.QA-IQ.COM,£708.00
15/11/2012,NEWSTIME LTD,£535.72
15/11/2012,WWW.EUROSPANBOOKSTORE.,£799.00
15/11/2012,INSTITUTE OF FISCAL ST,"£1,440.00"
15/11/2012,LAING & BUISSON,"£1,195.00"
15/11/2012,BUSINESS MOVES LIM,"£2,928.24"
16/11/2012,INSTITUTE OF RISK MGMT,"£1,015.00"
19/11/2012,WWW.EUROSPANBOOKSTORE.,£663.00
19/11/2012,DMU FINANCE,£987.49
19/11/2012,MAIL BOX EXPRESS LTD,£524.45
20/11/2012,IDEASCALE LLC,£649.54
20/11/2012,DEPARTMENT OF HEALTH,£597.36
20/11/2012,CROWNE PLAZA,£740.00
20/11/2012,WWW.MWBEX.COM,£846.00
20/11/2012,WWW.MWBEX.COM,£511.20
20/11/2012,DATRIXTRAIN,"£2,700.66"
21/11/2012,KAPLAN FINANCIAL LTD,"£1,570.00"
21/11/2012,30 GUILDFORD ST,£650.00
21/11/2012,THISTLE HOTELS,£798.00
21/11/2012,THISTLE HOTELS,£798.00
22/11/2012,EMAP LTD,£900.00
22/11/2012,EMAP LTD,£510.00
22/11/2012,WWW.PAYMENTSIMPERIAL.A,£507.50
22/11/2012,THE CARRIAGEWORKS,£981.12
23/11/2012,NHS CONFEDERATION,£796.80
23/11/2012,WWW.LEEDS.AC.UK,"£3,000.00"
26/11/2012,DEPARTMENT OF HEALTH,£569.34
26/11/2012,ROYAL MAIL GROUP,£900.00
27/11/2012,BIG YELLOW S S CROYDON,£776.52
27/11/2012,WWW.MAILBOXEXPRESS.CO.,£547.21
27/11/2012,E OF ENGLAND AMB,£607.20
28/11/2012,BIRKBECK COLLEGE,"£1,000.00"
28/11/2012,WWW.MWBEX.COM,£540.00
28/11/2012,PARAGON GROUP UK,£900.00
29/11/2012,POSTURITE (UK) LTD,£977.88
29/11/2012,N STEWART EVENTS,£852.00
30/11/2012,THE DEVONSHIRE PAR,£630.00
