Entity,Merchant Name,Date Posted,Billing Amount,Description
HA,PENNA PLC,28/02/2013,£592.20,Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,28/02/2013,"£1,416.78",Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,28/02/2013,"£1,018.86",Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,28/02/2013,"£1,019.89",Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,28/02/2013,"£2,273.83",Statutory Advertising for work undertaken on HA road network
HA,PENNA PLC,28/02/2013,"£1,713.21",Statutory Advertising for work undertaken on HA road network
HA,BARRY BENNETT LTD,28/02/2013,£537.70,Specialist equipment for one person following DSE assessment
MCA,WWW.CONTACT-MEDIA,01/02/2013,£798.00,Training course for 1 staff member over 2 days
MCA,WWW.CONTACT-MEDIA,01/02/2013,£798.00,Training course for 1 staff member over 2 days
MCA,EB  STRATEGIC APPROACH,07/02/2013,£800.00,Training course for 1 staff member over 2 days
MCA,WWW.FLYBE.COCLXQ2E,11/02/2013,£556.92,One-way flight for 2 staff members
MCA,CASTLE LODGE GUEST,14/02/2013,£600.00,Hotel accommodation for 1 staff member for 12 nights
MCA,KTS SEA SAFETY,27/02/2013,£600.00,Purchase of pyrotechnic flares
VCA,IEC,04/02/2013,"£1,592.17",11 x IEC Standards from IEC website
VCA,WWW.IMECHE.ORG,08/02/2013,"£4,800.00",2 day training course for 5 people
VCA,WWW.IMECHE.ORG,08/02/2013,£960.00,2 day training course for 1 person
VCA,DGAC,15/02/2013,£664.63,Trade association US membership fee
VCA,NAGOYAKANKOHOTERU,19/02/2013,£554.97,"2 people for 4 nights each. Client Business Development Meetings, non rechargeable"
VCA,MILLERS HOTEL,20/02/2013,"£2,495.00",Accommodation for 22 people for 2 nights - training course
VOSA,GIFTVOUCHERSHOP.CO.UK,01/02/2013,£746.90,Staff Reward Scheme Vouchers
VOSA,WWW.EQUIP4WORK.CO.UK,01/02/2013,"£1,224.00",Workplace Lockers
VOSA,EBUYER (UK) LTD,11/02/2013,"£2,088.99", 2 x Samsung slate tablet pc's for evaluation
VOSA,APPLE ONLINE STORE GBP,12/02/2013,£604.00,Apple Mac Mini + peripherals for evaluation
VOSA,WWW.NEOPOST.CO.UK,22/02/2013,£515.00,Mailing Costs (Franking Machine top up)
VOSA,Amazon EU,25/02/2013,£571.42,Conference Phones
