Completed prosecution by defendant gender,2007 - 08 Volume,2007 - 08 Percentage,2008 - 09 Volume,2008 - 09 Percentage,2009 - 10 Volume,2009 - 10 Percentage
Women,38,1.08%,43,1.23%,43,1.13%
Men,3465,98.92%,3451,98.74%,3774,98.82%
Unknown,0,0.00%,1,0.03%,2,0.05%
Total,3503,100.00%,3495,100.00%,3819,100.00%
