Posting Date,Merchant Name,Final Transaction Amount,Purpose
04/04/2011,ADOBE SYSTEMS,£619.20,Video Editing KIT
04/04/2011,LEXISNEXIS UK,£703.45,Subscription services for the DfE legal library 
06/04/2011,ADOBE SYSTEMS,£619.20,Video Editing KIT
06/04/2011,WWW.CREATIVEVIDEO.CO.,£678.44,Video Editing KIT
06/04/2011,WWW.CIPS.ORG,£771.60,CIPS Training
06/04/2011,IIA - UK & IRELAND,£800.00,CIIA Membership renewal fee
06/04/2011,IIA - UK & IRELAND,£840.00,CIIA Membership renewal fee
06/04/2011,IIA - UK & IRELAND,£840.00,CIIA Membership renewal fee
06/04/2011,IIA - UK & IRELAND,£840.00,CIIA Membership renewal fee
08/04/2011,LEXISNEXIS UK,"£1,685.45",Subscription services for the DfE legal library 
13/04/2011,GOVNET COMMUNICATI,£534.00,GovNET Training
13/04/2011,GOVNET COMMUNICATI,£534.00,GovNET Training
19/04/2011,QA-IQ LTD,"£1,378.80",Training Course  
25/04/2011,ZOHO CORPORATION,"£1,116.71",PC/Computer Software
27/04/2011,DOD`S PARLIAMENTARY CO,£576.00,Event Subscription Fee
28/04/2011,INSTANTA LTD,£500.00,Water Filters for Tea-Point Boilers
29/04/2011,LOVE2REWARD.CO.UK,"£7,900.00",Reward vouchers for departmental rewards scheme
05/05/2011,QA-IQ LTD,"£2,757.60",ITIL V3 Training x2 delegates
10/05/2011,COOLSPIRIT LTD,£993.17,PC/Computer Software
12/05/2011,LEXISNEXIS UK,£863.45,Subscription services for the DfE legal library 
12/05/2011,LEXISNEXIS UK,"£2,439.00",Subscription services for the DfE legal library 
20/05/2011,QA-IQ LTD,£741.60,Training Course
23/05/2011,LEXISNEXIS UK,"£1,247.90",Subscription services for the DfE legal library 
06/06/2011,LEXISNEXIS UK,£863.45,Subscription services for the DfE legal library 
06/06/2011,LEXISNEXIS UK,"£1,052.45",Subscription services for the DfE legal library 
10/06/2011,SHEFFIELD HALLAM U,"£1,170.00",Web Design Training x3
17/06/2011,PREMIERE GLOBAL SERVIC,£580.68,Teleconferencing - account settlement
20/06/2011,QA-IQ LTD,"£4,790.40",ITIL V3 Training x7 delegates
22/06/2011,JONES YARRELL LEADENHA,£583.98,Newspapers/Magazines - account settlement
22/06/2011,QA-IQ LTD,£741.60,Training course 'Continual Improvement' x1
22/06/2011,PURPLE GRIFFON LTD,"£1,074.00",ITIL V3 Training x1
23/06/2011,NIELSEN BOOKSERVICES,£524.16,ISBNs for Departmental publications
24/06/2011,XMA LTD,£534.60,PC/Computer Software
30/06/2011,LOVE2REWARD.CO.UK,"£3,920.00",Reward vouchers for departmental rewards scheme
