Minister,Date received,From,Gift,Value (£), Outcome
Secretary of State for Transport - Rt Hon Justine Greening MP,nil return,,,,
Secretary of State for Transport - Rt Hon Patrick McLoughlin MP,nil return,,,,
Minister of State - Rt Hon Theresa Villiers MP,nil return,,,,
Minister of State - Rt Hon Simon Burns MP,nil return,,,,
Parliamentary Under Secretary of State - Norman Baker MP,nil return,,,,
Parliamentary Under Secretary of State - Mike Penning MP,nil return,,,,
Parliamentary Under Secretary of State - Stephen Hammond MP,nil return,,,,
