Transparency data above £500 for period ending August 2010,,,,,,,
,,,,,,,
Dept Family,Entity,Posting Date,Expense Type,Expense Area,Vendor Name,Document ref,Amount
CLG,VTS,24/08/2010,Tribunal Hearing Venues,Operational,ASHFORD BC,2100074548,591.34
CLG,VTS,04/08/2010,Telecoms,IT,B T PAYMENT SERVICES LTD,2100074148,608.09
CLG,VTS,27/08/2010,Telecoms,IT,B T PAYMENT SERVICES LTD,2100074632,841.02
CLG,VTS,10/08/2010,Legal fees,Central Services,BEACHCROFT LLP,2100074244,"1,715.97"
CLG,VTS,05/08/2010,T&S claim,Board,BOARD CHAIRMAN,2100074188,519.24
CLG,VTS,03/08/2010,Heating and lighting,Estates,BRITISH GAS BUSINESS,2100074069,876.37
CLG,VTS,10/08/2010,Heating and lighting,Estates,BRITISH GAS BUSINESS,2100074249,542.53
CLG,VTS,23/08/2010,Heating and lighting,Estates,BRITISH GAS BUSINESS,2100074511,719.85
CLG,VTS,23/08/2010,Telecoms,IT,BT GLOBAL,2100074512,664.85
CLG,VTS,24/08/2010,Dilaps/Refurbishment,Estates,CAEC HOWARD ARKWRIGHT LTD,2100074564,"31,000.00"
CLG,VTS,03/08/2010,Domestic Services,Estates,CLD SERVICES LTD,2100074075,891.04
CLG,VTS,05/08/2010,Property maintenance,Estates,COFELY LTD,2100074071,637.77
CLG,VTS,05/08/2010,Property maintenance,Estates,COFELY LTD,2100074195,960.23
CLG,VTS,06/08/2010,Property maintenance,Estates,COFELY LTD,2100074227,958.96
CLG,VTS,06/08/2010,Property maintenance,Estates,COFELY LTD,2100074228,509.01
CLG,VTS,06/08/2010,Property maintenance,Estates,COFELY LTD,2100074229,550.43
CLG,VTS,06/08/2010,Property maintenance,Estates,COFELY LTD,2100074231,650.59
CLG,VTS,26/08/2010,Property maintenance,Estates,COFELY LTD,2100074603,637.77
CLG,VTS,24/08/2010,Rent,Estates,COMBE ESTATE,2100074565,"7,250.00"
CLG,VTS,05/08/2010,IT Hardware,IT,COMPANY BARCLAYCARD,2100074206,17.97
CLG,VTS,05/08/2010,Judicial Journals,Corporate,COMPANY BARCLAYCARD,2100074206,50.43
CLG,VTS,05/08/2010,Judicial Journals,Corporate,COMPANY BARCLAYCARD,2100074206,68.95
CLG,VTS,05/08/2010,Meeting expenses,Central Services,COMPANY BARCLAYCARD,2100074206,109.35
CLG,VTS,05/08/2010,Meeting expenses,Training,COMPANY BARCLAYCARD,2100074206,82.25
CLG,VTS,05/08/2010,Rail and Hotel booking services,Operational,COMPANY BARCLAYCARD,2100074206,8.00
CLG,VTS,05/08/2010,T&S claim,Finance,COMPANY BARCLAYCARD,2100074206,56.50
CLG,VTS,05/08/2010,T&S claim,IT,COMPANY BARCLAYCARD,2100074206,40.45
CLG,VTS,05/08/2010,T&S claim,Operational,COMPANY BARCLAYCARD,2100074206,119.00
CLG,VTS,19/08/2010,Printing,Corporate,CONQUEST LITHO LTD,2100074443,862.45
CLG,VTS,04/08/2010,Telecoms,IT,Credit from Cable & Wireless,8000000198,(646.25)
CLG,VTS,27/08/2010,Tribunal Hearing Venues,Operational,CROWN & MITRE HOTEL,2100074615,"1,848.00"
CLG,VTS,18/08/2010,Outsourced services,Central Services,DCLG,2100074426,"8,352.28"
CLG,VTS,05/08/2010,Heating and lighting,Estates,EDF ENERGY,2100074198,897.60
CLG,VTS,12/08/2010,Office Supplies,Operational,FOUR X NINETY LIMITED,2100074341,951.75
CLG,VTS,23/08/2010,Office Supplies,Operational,FOUR X NINETY LIMITED,2100074489,951.75
CLG,VTS,02/08/2010,Agency Staff,HR,HUNTRESS SEARCH LTD,2100074076,723.12
CLG,VTS,02/08/2010,Agency Staff,HR,HUNTRESS SEARCH LTD,2100074077,523.53
CLG,VTS,06/08/2010,Agency Staff,HR,HUNTRESS SEARCH LTD,2100074226,857.70
CLG,VTS,13/08/2010,Agency Staff,HR,HUNTRESS SEARCH LTD,2100074375,846.56
CLG,VTS,23/08/2010,Agency Staff,HR,HUNTRESS SEARCH LTD,2100074515,863.27
CLG,VTS,23/08/2010,Agency Staff,HR,HUNTRESS SEARCH LTD,2100074516,785.55
CLG,VTS,27/08/2010,Agency Staff,HR,HUNTRESS SEARCH LTD,2100074613,835.43
CLG,VTS,27/08/2010,Agency Staff,HR,HUNTRESS SEARCH LTD,2100074614,842.78
CLG,VTS,18/08/2010,Outsourced services,Central Services,HYMANS ROBERTSON,2100074427,"2,612.03"
CLG,VTS,18/08/2010,Outsourced services,Central Services,HYMANS ROBERTSON,2100074428,881.25
CLG,VTS,18/08/2010,Outsourced services,Central Services,HYMANS ROBERTSON,2300000378,"(2,612.03)"
CLG,VTS,23/08/2010,Publicity,Corporate,INST REVENUE RATING & VALUATION,2100074540,"5,197.26"
CLG,VTS,05/08/2010,Judicial Journals,Corporate,LEXIS-NEXIS UK,2100074161,"3,847.45"
CLG,VTS,05/08/2010,Printing,Corporate,LEXIS-NEXIS UK,2100074161,"1,130.00"
CLG,VTS,04/08/2010,Outsourced services,Central Services,LOGICA CMG UK LTD,2100074116,"1,007.67"
CLG,VTS,13/08/2010,Office Supplies,Central Services,LYRECO UK LTD,2100074360,75.13
CLG,VTS,13/08/2010,Office Supplies,Central Services,LYRECO UK LTD,2100074360,"1,246.27"
CLG,VTS,13/08/2010,Office Supplies,Operational,LYRECO UK LTD,2100074360,"2,929.50"
CLG,VTS,12/08/2010,IT Hardware,IT,MISCO,2100074358,"1,073.68"
